date	open	high	low	close	vol
2015/01/22	9.300	9.420	9.040	9.090	444483
2015/01/23	9.300	9.310	9.010	9.150	467185
2015/01/26	9.150	9.150	8.860	9.090	398975
2015/01/27	9.100	9.150	8.900	8.940	430022
2015/01/28	8.980	8.980	8.820	8.830	219815
2015/01/29	8.700	8.750	8.450	8.510	673854
2015/01/30	8.580	8.650	8.340	8.450	451872
2015/02/02	8.100	8.150	7.870	8.050	642723
2015/02/03	8.000	8.170	7.730	8.040	649031
2015/02/04	8.110	8.340	8.000	8.250	483350
2015/02/05	8.390	8.480	7.860	8.000	474675
2015/02/06	7.950	8.100	7.920	8.010	278065
2015/02/09	8.000	8.000	7.810	7.900	169859
2015/02/10	8.000	8.140	7.900	8.090	369543
2015/02/11	8.150	8.270	8.100	8.230	313063
2015/02/12	8.270	8.620	8.250	8.560	522291
2015/02/13	8.660	8.660	8.430	8.520	267789
2015/02/16	8.550	8.580	8.350	8.450	183703
2015/02/17	8.500	8.990	8.470	8.830	472168
2015/02/18	8.900	9.050	8.830	8.940	230597
2015/02/23	8.980	9.060	8.800	9.000	227195
2015/02/24	9.000	9.280	8.940	9.200	340147
2015/02/25	9.200	9.230	9.060	9.110	296174
2015/02/26	9.190	9.620	9.130	9.540	706475
2015/02/27	9.590	9.600	9.450	9.480	385316
2015/03/02	9.700	9.700	9.210	9.260	507212
2015/03/03	9.190	9.260	9.080	9.130	463847
2015/03/04	9.090	9.260	8.950	8.980	365939
2015/03/05	8.970	9.130	8.740	9.080	391927
2015/03/06	9.100	9.130	8.870	8.980	252566
2015/03/09	8.830	9.180	8.750	9.140	246102
2015/03/10	9.100	9.150	8.910	8.960	206161
2015/03/11	8.900	9.090	8.870	8.880	171992
2015/03/12	9.000	9.050	8.900	8.970	200518
2015/03/13	8.960	9.140	8.910	9.060	247086
2015/03/16	8.950	9.280	8.910	9.270	308852
2015/03/17	9.300	9.570	9.280	9.450	626853
2015/03/18	9.550	9.630	9.430	9.490	369822
