Tue, 6 May, 2025 16:10:18 pm Market Closed
编号	股名	现价	日价格变化 %	分钟价格变化 %	日金额变化 %	分钟金额变化 %	金额指数
00354	中国软件国际	5.37	7.4	0	529	1	107
00189	东岳集团	9.7	5.78	-0.11	466	0	65
01138	中远海能	6.2	4.2	0	438	0	101
00880	澳博控股	2.26	3.67	0	431	0	116
01302	先健科技	1.57	6.8	0.68	429	0	98
09633	农夫山泉	38.55	6.93	-0.14	408	0	81
01072	东方电气	11.7	8.94	0	403	0	83
01055	中国南方航空股份	3.4	6.25	0	374	0	87
01860	汇量科技	5.17	-7.51	0	339	1	92
00670	中国东方航空股份	2.51	7.73	0	334	0	83
01666	同仁堂科技	4.8	1.27	0	330	0	109
01128	永利澳门	5.48	3.59	0	321	1	107
03377	远洋集团	0.147	-8.7	0	320	8	151
01368	特步国际	5.6	6.67	0	307	0	63
01928	金沙中国有限公司	14.96	5.35	0	291	1	92
02233	西部水泥	1.57	-0.63	0	289	0	75
02727	上海电气	2.68	1.9	0	278	0	80
02285	泉峰控股	13.36	-4.16	-0.14	272	0	98
00564	郑煤机	13.32	5.71	0	272	0	67
02556	迈富时	44.2	9.41	-0.12	271	0	174
02155	森松国际	5.74	4.94	0	263	0	81
00694	北京首都机场股份	2.82	4.06	0.37	246	1	133
00087	太古股份公司B	10.66	0	0	244	0	121
00338	上海石油化工股份	1.18	1.72	0	231	1	69
00551	裕元集团	11.32	2.35	0.18	227	1	104
00467	联合能源集团	0.4	-5.88	0	225	0	55
00293	国泰航空	9.28	1.31	0	221	1	156
00853	微创医疗	7.36	-1.21	-0.14	219	0	117
02869	绿城服务	4.48	0.67	-0.45	212	2	85
02866	中远海发	0.92	0	0	212	0	144
02883	中海油田服务	6.05	-1.14	0.17	207	0	65
01157	中联重科	5.8	1.22	-0.18	207	0	139
00358	江西铜业股份	13.34	3.25	0	206	1	109
01999	敏华控股	4.16	-4.15	0	206	0	81
01415	高伟电子	23.5	1.29	0	204	1	48
00177	江苏宁沪高速公路	9.51	-0.63	-0.21	202	0	109
02018	瑞声科技	36.95	-2.89	0	201	1	115
