date,price
2017/01/03,0.9930
2017/01/04,0.9830
2017/01/05,0.9970
2017/01/06,1.0010
2017/01/09,0.9970
2017/01/10,1.0020
2017/01/11,1.0010
2017/01/12,1.0000
2017/01/13,1.0080
2017/01/16,1.0120
2017/01/17,1.0010
2017/01/18,1.0160
2017/01/19,1.0070
2017/01/20,1.0100
2017/01/23,1.0180
2017/01/24,1.0240
2017/01/25,1.0260
2017/01/26,1.0340
2017/01/27,1.0220
2017/02/01,1.0270
2017/02/02,1.0280
2017/02/03,1.0310
2017/02/06,1.0320
2017/02/07,1.0240
2017/02/08,1.0240
2017/02/09,1.0240
2017/02/10,1.0280
2017/02/13,1.0270
2017/02/14,1.0270
2017/02/15,1.0290
2017/02/16,1.0340
2017/02/17,1.0370
2017/02/20,1.0370
2017/02/21,1.0390
2017/02/22,1.0430
2017/02/23,1.0420
2017/02/24,1.0390
2017/02/27,1.0310
2017/02/28,1.0310
2017/03/01,1.0400
