Code	Close	High	Low	Vol
00001	95.950	96.800	93.800	6261449
00002	78.900	78.900	77.500	3199070
00003	15.200	15.200	14.960	15261742
00004	58.300	58.500	57.750	3435638
00005	58.350	58.650	58.200	33362952
00006	72.950	73.450	72.300	3438210
00008	4.620	4.620	4.560	8423347
00010	29.750	30.250	29.550	1295000
00011	140.100	141.000	138.300	1390198
00012	45.950	46.300	45.300	1988323
00014	35.800	36.150	35.500	980213
00016	115.800	115.800	114.100	4949979
00017	9.670	9.680	9.510	15849861
00019	80.650	81.450	80.200	1670171
