Date,Open,High,Low,Close,Volume
2016-01-18,6.035,6.415,6.035,6.265,361243
2016-01-19,6.315,6.595,6.185,6.575,430782
2016-01-20,6.485,6.485,6.205,6.275,311195
2016-01-21,6.395,6.495,6.045,6.095,314723
2016-01-22,6.325,6.415,6.225,6.325,366000
2016-01-25,6.515,6.785,6.425,6.695,642437
2016-01-26,6.585,6.695,6.455,6.505,335641
2016-01-27,6.675,6.675,6.405,6.615,262424
2016-01-28,6.595,6.605,6.415,6.555,268340
2016-01-29,6.495,6.635,6.435,6.615,315090
2016-02-01,6.705,6.935,6.605,6.835,481309
2016-02-02,6.775,7.225,6.715,7.095,871358
2016-02-03,6.815,7.025,6.275,6.345,1174164
2016-02-04,6.445,6.775,6.385,6.555,961969
2016-02-05,6.525,6.625,6.355,6.545,721725
2016-02-11,6.155,6.185,5.945,6.075,1075100
2016-02-12,5.985,6.225,5.975,6.165,540988
2016-02-15,6.325,6.405,6.205,6.365,283454
2016-02-16,6.465,6.515,6.245,6.285,359348
2016-02-17,6.345,6.515,6.255,6.265,384703
2016-02-18,6.415,6.495,6.335,6.415,398646
2016-02-19,6.395,6.475,6.325,6.465,345326
2016-02-22,6.535,6.555,6.435,6.545,307852
2016-02-23,6.555,6.565,6.405,6.405,322028
2016-02-24,6.325,6.435,6.185,6.275,384309
2016-02-25,6.345,6.355,6.125,6.195,330357
2016-02-26,6.285,6.415,6.265,6.375,256699
2016-02-29,6.345,6.365,6.135,6.225,605181
2016-03-01,6.285,6.325,6.155,6.305,211298
2016-03-02,6.405,6.475,6.375,6.425,385214
2016-03-03,6.325,6.355,6.145,6.155,3037692
2016-03-04,6.235,6.315,6.195,6.295,655002
2016-03-07,6.335,6.395,6.215,6.275,493436
2016-03-08,6.275,6.285,6.095,6.175,335136
2016-03-09,6.085,6.145,6.085,6.125,268917
2016-03-10,6.125,6.185,6.045,6.065,373946
2016-03-11,6.055,6.215,6.055,6.175,379403
2016-03-14,6.215,6.335,6.195,6.285,330569
2016-03-15,6.295,6.335,6.255,6.315,234768
2016-03-16,6.265,6.295,6.155,6.205,298789
2016-03-17,6.255,6.265,6.165,6.225,390091
2016-03-18,6.205,6.245,5.925,6.005,1015894
2016-03-21,6.035,6.115,5.945,5.985,594963
2016-03-22,6.045,6.175,6.015,6.105,402435
2016-03-23,6.155,6.155,5.995,6.025,313753
2016-03-24,5.835,5.935,5.825,5.885,413778
2016-03-29,5.855,5.975,5.745,5.765,554513
2016-03-30,5.735,5.915,5.715,5.885,888514
2016-03-31,5.915,5.945,5.735,5.775,708844
2016-04-01,5.775,5.775,5.625,5.675,521992
2016-04-05,5.585,5.605,5.395,5.425,886803
2016-04-06,5.425,5.515,5.395,5.425,446416
2016-04-07,5.485,5.515,5.435,5.485,284493
2016-04-08,5.485,5.675,5.465,5.645,695703
2016-04-11,5.635,5.705,5.555,5.615,319200
2016-04-12,5.695,5.805,5.595,5.775,696137
2016-04-13,5.885,5.955,5.815,5.935,564118
2016-04-14,6.015,6.225,5.975,6.165,998585
2016-04-15,6.165,6.215,6.095,6.195,614764
2016-04-18,6.135,6.205,6.065,6.155,333997
2016-04-19,6.235,6.265,6.155,6.255,400074
2016-04-20,6.315,6.315,5.975,6.095,397082
2016-04-21,6.135,6.205,6.065,6.145,223066
2016-04-22,6.135,6.135,5.965,6.065,374494
2016-04-25,6.045,6.185,6.015,6.115,359722
2016-04-26,6.205,6.215,6.115,6.205,448423
2016-04-27,6.205,6.205,6.075,6.115,208006
2016-04-28,6.185,6.225,6.055,6.135,342417
2016-04-29,6.105,6.115,5.855,5.905,521071
2016-05-03,5.785,5.835,5.615,5.625,733423
2016-05-04,5.645,5.675,5.555,5.595,398791
2016-05-05,5.545,5.585,5.495,5.515,519882
2016-05-06,5.495,5.515,5.335,5.375,572590
2016-05-09,5.455,5.495,5.405,5.435,207240
2016-05-10,5.325,5.325,4.915,4.965,1497466
2016-05-11,5.035,5.075,4.935,4.975,744313
2016-05-12,4.915,4.995,4.855,4.885,428149
2016-05-13,4.815,4.845,4.695,4.735,742861
2016-05-16,4.665,4.985,4.655,4.905,568760
2016-05-17,4.915,4.935,4.795,4.895,393388
2016-05-18,4.835,4.895,4.705,4.745,343003
2016-05-19,4.675,4.855,4.665,4.745,231417
2016-05-20,4.715,4.815,4.685,4.705,259827
2016-05-23,4.735,4.735,4.565,4.615,403794
2016-05-24,4.635,4.645,4.485,4.595,408593
2016-05-25,4.705,4.805,4.655,4.735,353885
2016-05-26,4.735,4.735,4.615,4.715,246070
2016-05-27,4.635,4.645,4.505,4.525,1005734
2016-05-30,4.535,4.605,4.445,4.495,659204
2016-05-31,4.535,4.655,4.495,4.505,928120
2016-06-01,4.505,4.525,4.425,4.485,617973
2016-06-02,4.365,4.395,4.235,4.295,7357889
2016-06-03,4.305,4.415,4.295,4.415,1252853
2016-06-06,4.405,4.415,4.345,4.365,650065
2016-06-07,4.385,4.475,4.365,4.455,1085631
2016-06-08,4.475,4.585,4.405,4.515,985902
2016-06-10,4.595,4.695,4.565,4.615,1417217
2016-06-13,4.525,4.655,4.505,4.635,1109972
2016-06-14,4.635,4.635,4.445,4.455,732529
2016-06-15,4.425,4.565,4.405,4.535,485641
2016-06-16,4.515,4.535,4.305,4.395,703267
2016-06-17,4.435,4.515,4.385,4.475,694887
2016-06-20,4.535,4.555,4.455,4.505,359602
2016-06-21,4.495,4.505,4.445,4.465,264514
2016-06-22,4.435,4.595,4.435,4.555,630795
2016-06-23,4.555,4.585,4.505,4.525,315012
2016-06-24,4.495,4.605,4.225,4.445,731763
2016-06-27,4.395,4.445,4.345,4.395,329295
2016-06-28,4.285,4.325,4.255,4.315,500452
2016-06-29,4.305,4.415,4.305,4.395,297424
2016-06-30,4.445,4.465,4.365,4.405,507328
2016-07-04,4.395,4.485,4.305,4.455,733747
2016-07-05,4.405,4.485,4.395,4.395,479409
2016-07-06,4.355,4.385,4.295,4.355,528492
2016-07-07,4.365,4.415,4.345,4.395,705628
2016-07-08,4.375,4.435,4.355,4.415,495117
2016-07-11,4.510,4.520,4.440,4.460,583089
2016-07-12,4.500,4.570,4.460,4.540,572564
2016-07-13,4.570,4.610,4.510,4.560,509127
2016-07-14,4.550,4.680,4.530,4.660,706520
2016-07-15,4.640,4.720,4.590,4.680,817636
2016-07-18,4.700,5.070,4.700,5.040,1992243
2016-07-19,5.070,5.090,4.970,4.990,1044606
2016-07-20,5.030,5.270,5.010,5.150,2124018
2016-07-21,5.160,5.340,5.160,5.210,1682650
2016-07-22,5.190,5.290,5.160,5.220,709647
2016-07-25,5.230,5.230,5.030,5.070,1091781
2016-07-26,5.050,5.180,4.980,5.020,1073764
2016-07-27,5.060,5.100,4.970,5.060,774797
2016-07-28,5.040,5.050,4.940,4.990,738937
2016-07-29,4.970,5.050,4.940,4.960,721427
2016-08-01,5.000,5.060,4.980,5.020,329095
2016-08-03,4.990,5.010,4.950,5.000,455655
2016-08-04,5.030,5.080,4.990,5.030,307839
2016-08-05,5.060,5.090,5.030,5.080,376496
2016-08-08,5.090,5.390,5.080,5.390,1297363
2016-08-09,5.350,5.480,5.320,5.340,901932
2016-08-10,5.350,5.390,5.230,5.320,614576
2016-08-11,5.310,5.320,5.230,5.270,554533
2016-08-12,5.320,5.410,5.290,5.340,672682
2016-08-15,5.330,5.490,5.320,5.410,774110
2016-08-16,5.400,5.450,5.310,5.380,585324
2016-08-17,5.370,5.400,5.260,5.290,804556
2016-08-18,5.500,5.570,5.390,5.410,1638956
2016-08-19,5.440,5.450,5.140,5.200,1700303
2016-08-22,5.240,5.260,5.070,5.190,695951
2016-08-23,5.170,5.200,5.090,5.160,562620
