                  联想集团 (00992)
      时间	    开盘	    最高	    最低	    收盘	         成交量	  6FC.FS1   	  6FC.FS2   	  6FC.FL4   	  6FC.FL6   	  6FC.FL12  	  6FC.FL18  	  6FC.FL24  	  6FC.FT    	  6FC.FB    	  6FC.FHH   	  6FC.FLL   	  6FC.      	  6FC.      	XXFCN.FC    	XXFCN.FA    	XXFCN.FCD   	XXFCN.FFCD  	XXFCN.LCD   	XXFCN.LLCD  	XXFCN.FDH   	XXFCN.FDL   	XXFCN.      	XXFCN.      	 MACD.DIF   	 MACD.DEA   	 MACD.MACD  	
 2016/01/18	   6.035	   6.415	   6.035	   6.265	         361243	           	           	           	           	           	           	           	           	           	           	           	      1.000	      1.000	           	           	           	           	           	           	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	
 2016/01/19	   6.315	   6.595	   6.185	   6.575	         430782	           	           	           	           	           	           	           	           	           	           	           	      1.000	      1.000	           	           	           	           	           	           	           	           	      0.000	      0.000	      0.006	      0.001	      0.009	
 2016/01/20	   6.485	   6.485	   6.205	   6.275	         311195	           	           	           	           	           	           	           	           	           	           	           	      0.000	      0.000	           	           	           	           	           	           	           	           	      0.000	      0.000	      0.004	      0.002	      0.005	
 2016/01/21	   6.395	   6.495	   6.045	   6.095	         314723	           	           	           	           	           	           	           	           	           	           	           	      0.000	      0.000	           	           	           	           	           	           	           	           	      0.000	      0.000	     -0.000	      0.001	     -0.003	
 2016/01/22	   6.325	   6.415	   6.225	   6.325	         366000	           	           	           	           	           	           	           	           	           	           	           	      0.000	      0.000	           	           	           	           	           	           	           	           	      0.000	      0.000	      0.001	      0.001	     -0.001	
 2016/01/25	   6.515	   6.785	   6.425	   6.695	         642437	      6.475	           	           	           	           	           	           	           	           	           	           	      1.000	      1.000	           	           	           	           	           	           	           	           	      0.000	      0.000	      0.008	      0.002	      0.011	
 2016/01/26	   6.585	   6.695	   6.455	   6.505	         335641	      6.543	           	           	           	           	           	           	           	           	           	           	      0.000	      0.000	           	           	           	           	           	           	           	           	      0.000	      0.000	      0.010	      0.004	      0.012	
 2016/01/27	   6.675	   6.675	   6.405	   6.615	         262424	      6.598	           	           	           	           	           	           	           	           	           	           	      0.000	      0.000	           	           	           	           	           	           	           	           	      0.000	      0.000	      0.013	      0.006	      0.015	
 2016/01/28	   6.595	   6.605	   6.415	   6.555	         268340	      6.601	           	           	           	           	           	           	           	           	           	           	      0.000	      0.000	           	           	           	           	           	           	           	           	      0.000	      0.000	      0.014	      0.007	      0.014	
 2016/01/29	   6.495	   6.635	   6.435	   6.615	         315090	      6.568	           	           	           	           	           	           	           	           	           	           	      0.000	      0.000	           	           	           	           	           	           	           	           	      0.000	      0.000	      0.016	      0.009	      0.014	
 2016/02/01	   6.705	   6.935	   6.605	   6.835	         481309	      6.637	           	           	           	           	           	           	           	           	           	           	      0.000	      0.000	           	           	           	           	           	           	           	           	      0.000	      0.000	      0.021	      0.011	      0.020	
 2016/02/02	   6.775	   7.225	   6.715	   7.095	         871358	      6.842	      6.789	           	           	           	           	           	      6.938	      6.640	           	           	      1.000	      1.000	           	           	           	           	           	           	           	           	      0.000	      0.000	      0.029	      0.014	      0.029	
