代码	名称	涨幅%%	总金额	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	现价	
601318	中国平安	0.53	10624480256	0.40	75.50	75.51	1415763	491	-0.14	          1.31	75.00	75.60	74.05	75.08	    15.60	75.48	
000725	京东方Ａ	-6.74	8704589824	-0.41	5.67	5.68	15090672	145536	-0.52	          4.46	6.08	6.08	5.56	6.08	    22.85	5.67	
600030	中信证券	0.99	5949369344	0.21	21.52	21.53	2786751	354	0.00	          2.84	21.40	21.56	21.01	21.29	    24.65	21.50	
000063	中兴通讯	-9.99	5871329280	-3.11	--  	28.01	2050649	3529	0.00	          5.98	30.00	30.00	28.01	31.12	    22.54	28.01	
601166	兴业银行	1.07	5120645120	0.20	18.87	18.88	2732813	8	0.16	          1.43	18.62	18.90	18.54	18.68	     6.24	18.88	
601668	中国建筑	0.59	4367268352	0.06	10.18	10.19	4308254	2005	-0.09	          1.45	10.18	10.23	10.01	10.12	     8.88	10.18	
600516	方大炭素	-7.49	4137920256	-2.22	27.42	27.43	1475920	53	-0.21	          8.59	28.52	29.21	27.11	29.64	    18.22	27.42	
600048	保利地产	2.03	3937634560	0.35	17.59	17.60	2247726	96	-0.05	          1.92	17.35	17.85	17.18	17.23	    18.91	17.58	
000651	格力电器	-0.64	3879257600	-0.36	55.58	55.59	703188	9370	-0.38	          1.18	56.28	56.36	54.05	55.94	    16.22	55.58	
600519	贵州茅台	-0.89	3846421504	-6.81	757.36	757.69	50583	1	0.23	          0.40	767.00	767.30	752.92	764.54	    35.72	757.73	
000858	五 粮 液	-1.66	3673372416	-1.40	82.97	82.98	445690	3861	-0.23	          1.17	83.60	83.85	81.18	84.38	    33.92	82.98	
601398	工商银行	2.67	3463752704	0.20	7.67	7.68	4568140	60	0.26	          0.17	7.44	7.70	7.42	7.48	     9.00	7.68	
300059	东方财富	-0.92	3345607936	-0.14	15.14	15.15	2177751	46678	-0.91	          6.83	15.40	15.68	14.95	15.29	   106.50	15.15	
601288	农业银行	1.12	3247557888	0.05	4.50	4.51	7231630	248	0.45	          0.25	4.45	4.54	4.43	4.46	     6.87	4.51	
601899	紫金矿业	-0.97	2942522624	-0.05	5.07	5.08	5773003	10	0.20	          3.65	5.13	5.23	5.01	5.13	    39.63	5.08	
000001	平安银行	-0.14	2821583616	-0.02	14.03	14.04	2005615	12681	-0.20	          1.19	13.95	14.30	13.84	14.05	     9.43	14.03	
601328	交通银行	1.47	2740120832	0.10	6.86	6.87	4026710	10	0.29	          1.03	6.79	6.89	6.73	6.78	     7.04	6.88	
601939	建设银行	1.26	2529536768	0.12	9.63	9.64	2655517	33	0.42	          2.77	9.47	9.67	9.38	9.51	     8.97	9.63	
600029	南方航空	1.53	2391622656	0.18	11.95	11.96	1986854	180	0.08	          2.83	11.92	12.25	11.83	11.77	    12.82	11.95	
000002	万 科Ａ	-0.16	2380069120	-0.06	37.49	37.50	635425	7952	-0.10	          0.65	37.50	38.04	36.90	37.56	    27.99	37.50	
600036	招商银行	1.50	2378431232	0.51	34.46	34.47	692850	561	0.15	          0.34	34.05	34.92	33.85	33.94	    11.08	34.45	
600000	浦发银行	0.99	2289044480	0.13	13.31	13.32	1735733	2383	0.08	          0.62	13.14	13.33	12.94	13.17	     6.99	13.30	
600019	宝钢股份	3.01	2271897856	0.30	10.27	10.29	2209585	56	0.49	          1.00	10.18	10.55	10.03	9.98	    14.71	10.28	
000333	美的集团	-0.80	2240855808	-0.48	59.33	59.34	380032	1999	-0.19	          0.60	60.00	60.10	58.14	59.82	    19.35	59.34	
600028	中国石化	1.13	2209354752	0.08	7.15	7.16	3114831	10761	0.28	          0.33	7.10	7.17	6.97	7.08	    16.94	7.16	
600340	华夏幸福	1.95	2189761280	0.88	45.99	46.00	478194	600	0.75	          1.62	45.30	46.80	45.00	45.06	    16.35	45.94	
603799	华友钴业	-2.18	2129844864	-2.18	97.80	97.82	212311	11	0.01	          3.63	102.00	103.85	97.00	100.00	    39.61	97.82	
002230	科大讯飞	-4.64	2082090112	-2.55	52.40	52.41	389184	7778	-0.01	          3.29	54.98	55.69	51.66	54.96	   323.72	52.41	
002925	盈趣科技	-4.30	1950983680	-3.32	73.87	73.88	264798	2829	-0.21	         35.31	76.02	77.00	69.55	77.20	    33.82	73.88	
600887	伊利股份	1.52	1894432768	0.52	34.63	34.64	548771	1	0.14	          0.91	34.19	35.00	33.93	34.10	    31.97	34.62	
601988	中国银行	1.98	1887008896	0.09	4.61	4.62	4103409	664	0.00	          0.19	4.53	4.65	4.52	4.54	     7.03	4.63	
601688	华泰证券	0.51	1886574208	0.10	19.68	19.69	967097	101	0.05	          1.78	19.63	19.74	19.25	19.59	    22.47	19.69	
600050	中国联通	-4.01	1812884224	-0.28	6.71	6.72	2654865	41	0.00	          1.25	6.96	7.04	6.68	6.98	   115.80	6.70	
601766	中国中车	1.58	1795016192	0.18	11.56	11.57	1575795	226	0.17	          0.69	11.42	11.58	11.16	11.38	    36.54	11.56	
000825	太钢不锈	-0.47	1770512896	-0.03	6.31	6.32	2745402	29791	-0.15	          4.82	6.39	6.68	6.24	6.35	    12.51	6.32	
002146	荣盛发展	-0.51	1728436096	-0.07	13.68	13.69	1253560	10045	-0.14	          3.22	14.02	14.03	13.38	13.76	    16.00	13.69	
600016	民生银行	1.77	1719347968	0.16	9.20	9.21	1887656	141	0.11	          0.64	9.06	9.25	8.99	9.06	     6.27	9.22	
002797	第一创业	-9.99	1713542656	-1.02	--  	9.19	1773056	12834	0.00	          9.24	10.30	10.33	9.19	10.21	    80.77	9.19	
600585	海螺水泥	1.51	1697747584	0.52	34.93	34.95	484714	4	0.23	          1.21	34.65	35.98	34.26	34.43	    14.16	34.95	
600606	绿地控股	-3.25	1669999488	-0.30	8.92	8.93	1850710	430	-0.32	          5.74	9.21	9.31	8.81	9.24	    12.43	8.94	
601818	光大银行	1.28	1639916544	0.06	4.72	4.73	3495246	5	0.21	          0.88	4.66	4.74	4.62	4.67	     7.32	4.73	
000732	泰禾集团	2.28	1634167424	0.80	35.89	35.90	453684	9388	-0.46	          3.65	36.04	37.00	35.12	35.10	    23.46	35.90	
600104	上汽集团	1.40	1581189120	0.48	34.88	34.89	458882	9	0.26	          0.40	34.58	34.90	34.04	34.39	    12.40	34.87	
601933	永辉超市	-5.58	1566870144	-0.64	10.84	10.85	1410821	162	-0.54	          2.17	11.47	11.54	10.80	11.47	    55.83	10.83	
600782	新钢股份	5.17	1564709888	0.39	7.91	7.92	1950299	68	-0.24	          7.00	7.68	8.31	7.68	7.55	    13.81	7.94	
601088	中国神华	1.67	1546765056	0.44	26.82	26.83	575923	51	0.07	          0.35	26.46	27.45	26.35	26.39	    11.23	26.83	
600690	青岛海尔	1.08	1533956608	0.23	21.44	21.45	729021	561	0.05	          1.20	21.20	21.45	20.68	21.20	    17.25	21.43	
601699	潞安环能	-1.55	1506396160	-0.20	12.63	12.64	1178949	21	-0.07	          3.94	12.80	13.31	12.05	12.87	    14.95	12.67	
600383	金地集团	0.89	1453771008	0.14	15.81	15.82	936880	90	-0.18	          2.08	15.56	15.84	15.09	15.66	    23.58	15.80	
601601	中国太保	1.29	1438485504	0.51	40.05	40.06	363310	10	0.03	          0.58	39.40	40.25	38.88	39.53	    24.91	40.04	
000776	广发证券	-0.85	1421212032	-0.16	18.63	18.64	762593	6393	-0.31	          1.29	18.88	18.95	18.38	18.79	    16.72	18.63	
601111	中国国航	3.64	1414448640	0.48	13.67	13.68	1034701	70	1.11	          1.21	13.40	13.92	13.39	13.20	    18.00	13.68	
601009	南京银行	-1.67	1410692352	-0.17	10.02	10.03	1402457	1	-0.49	          1.74	10.19	10.29	9.83	10.19	     8.58	10.02	
000830	鲁西化工	1.28	1402925440	0.29	22.88	22.89	612183	9060	0.48	          4.18	22.88	23.49	22.34	22.59	    23.45	22.88	
600115	东方航空	1.56	1388571648	0.13	8.47	8.48	1633266	27	0.47	          1.67	8.40	8.64	8.36	8.35	    11.63	8.48	
001979	招商蛇口	0.27	1382784384	0.07	25.84	25.85	531455	3438	-0.30	          2.80	25.85	26.50	25.55	25.78	    41.21	25.85	
601155	新城控股	0.87	1377623296	0.35	40.59	40.60	344829	253	-0.04	          4.79	40.13	40.85	38.86	40.22	    34.48	40.57	
300737	科顺股份	-3.62	1370101504	-0.76	20.22	20.23	677023	6448	-0.38	         44.35	21.80	21.80	19.42	20.98	    55.38	20.22	
600362	江西铜业	-5.69	1363886080	-1.18	19.56	19.59	672293	35	-1.00	          3.24	20.85	20.93	19.48	20.74	    32.14	19.56	
601997	贵阳银行	-4.15	1358741248	-0.72	16.64	16.65	798188	66	-0.35	          6.60	17.27	17.58	16.48	17.34	     8.99	16.62	
000069	华侨城Ａ	-2.71	1321452928	-0.28	10.07	10.08	1314498	32062	0.00	          2.14	10.24	10.37	9.74	10.35	    13.10	10.07	
600352	浙江龙盛	0.56	1311012608	0.07	12.55	12.57	1040267	251	0.32	          3.40	12.53	12.95	12.26	12.47	    16.34	12.54	
300017	网宿科技	0.34	1291650688	0.04	11.86	11.87	1071161	10805	-0.16	          6.74	11.90	12.29	11.81	11.82	    37.45	11.86	
600031	三一重工	0.87	1255900288	0.08	9.28	9.29	1378080	34	0.11	          1.80	9.12	9.29	8.92	9.19	    29.71	9.27	
002024	苏宁云商	-5.38	1253621504	-0.71	12.47	12.48	990776	6903	-0.55	          1.99	13.16	13.21	12.33	13.19	   129.73	12.48	
601336	新华保险	0.80	1238902784	0.48	60.63	60.64	205350	12	0.03	          0.98	60.15	60.71	59.62	60.13	    28.13	60.61	
002415	海康威视	-0.55	1209515520	-0.22	39.67	39.68	301169	2672	-0.04	          0.41	40.19	40.75	39.44	39.90	    44.64	39.68	
601012	隆基股份	-4.52	1197291008	-1.74	36.78	36.80	322234	3	-0.29	          1.63	37.93	38.46	36.11	38.50	    24.53	36.76	
000568	泸州老窖	-3.52	1196336896	-2.30	63.00	63.01	190222	704	-0.42	          1.36	64.76	64.76	61.52	65.31	    34.66	63.01	
601086	国芳集团	-7.25	1190712448	-0.86	11.05	11.07	998880	38	1.94	         62.43	12.13	13.02	10.68	11.87	    59.18	11.01	
600570	恒生电子	-5.24	1187835392	-2.70	48.80	48.81	237826	5	-0.54	          3.85	51.71	52.47	47.39	51.49	    78.00	48.79	
600487	亨通光电	-3.39	1176453120	-1.22	34.81	34.82	334691	3	-0.30	          2.70	36.26	36.28	34.69	36.03	    21.25	34.81	
600497	驰宏锌锗	-1.64	1145270016	-0.12	7.18	7.19	1530883	42	-0.41	          3.55	7.52	7.75	7.02	7.31	    31.97	7.19	
601628	中国人寿	2.45	1139153920	0.74	30.97	30.99	370735	57	-0.28	          0.18	30.30	31.16	30.03	30.26	    24.50	31.00	
000792	盐湖股份	-9.38	1129078528	-1.22	11.78	11.79	930870	12606	-0.24	          3.39	11.86	12.60	11.75	13.00	--  	11.78	
000786	北新建材	4.08	1123666176	1.01	25.73	25.74	440791	6044	-0.03	          3.12	24.60	25.99	24.55	24.73	    22.07	25.74	
601989	中国重工	-3.70	1103562240	-0.23	5.99	6.00	1816047	20	-0.16	          0.99	6.21	6.24	5.96	6.22	    77.56	5.99	
601313	江南嘉捷	-2.40	1099550976	-1.23	50.00	50.03	218725	80	-0.63	          5.51	49.97	51.60	49.01	51.26	   332.43	50.03	
601828	美凯龙	-0.05	1081159680	-0.01	21.51	21.52	498564	226	0.28	         15.83	21.40	22.10	21.21	21.51	    22.37	21.50	
300251	光线传媒	-2.85	1079673600	-0.37	12.59	12.60	845805	21450	-0.07	          3.07	12.92	13.07	12.41	12.96	    44.08	12.59	
603993	洛阳钼业	-1.46	1070101568	-0.11	7.44	7.45	1416368	44	-0.12	          1.09	7.50	7.71	7.36	7.56	    75.22	7.45	
002839	张家港行	-6.40	1051891392	-0.67	9.80	9.81	1048148	17684	-0.30	         12.56	10.39	10.44	9.66	10.47	    23.84	9.80	
000055	方大集团	-3.27	1047271616	-0.28	8.29	8.30	1185031	6975	-0.11	         17.47	8.85	9.31	8.21	8.57	    20.37	8.29	
600903	贵州燃气	2.37	1040965056	0.57	24.65	24.68	424337	133	0.57	         34.80	24.28	25.30	23.50	24.10	   146.96	24.67	
601211	国泰君安	1.30	1035844224	0.26	20.35	20.36	515874	271	0.20	          1.09	20.15	20.37	19.75	20.07	    18.89	20.33	
600703	三安光电	-1.21	1028441216	-0.28	22.94	22.95	448077	5	0.13	          1.10	23.42	23.59	22.08	23.22	    29.51	22.94	
002466	天齐锂业	-0.27	1025434368	-0.14	52.27	52.28	193833	2754	-0.22	          1.71	52.50	53.89	51.97	52.42	    29.49	52.28	
002016	世荣兆业	-1.96	1017874560	-0.30	14.98	14.99	650723	10235	-0.65	         10.07	15.66	16.38	14.81	15.28	    23.04	14.98	
000960	锡业股份	-4.24	1011023744	-0.68	15.34	15.35	643553	10529	-0.25	          5.32	15.86	16.26	15.15	16.03	    35.63	15.35	
002460	赣锋锂业	0.05	1003140480	0.03	58.10	58.11	170207	2102	0.07	          3.28	58.18	59.89	57.76	58.08	    32.21	58.11	
601108	财通证券	-6.82	996507840	-1.25	17.08	17.09	569162	6	-0.11	         15.85	18.05	18.23	16.68	18.34	    38.03	17.09	
600282	南钢股份	2.45	993510144	0.13	5.43	5.45	1827440	5	0.74	          4.72	5.36	5.57	5.29	5.31	     8.79	5.44	
000933	神火股份	-8.00	974880128	-0.70	8.05	8.06	1178611	8098	0.12	          6.20	8.53	8.77	7.88	8.75	    12.91	8.05	
600460	士兰微	0.70	968594560	0.09	12.93	12.94	745784	146	0.31	          5.98	12.86	13.25	12.60	12.85	    94.29	12.94	
300113	顺网科技	-0.68	962828288	-0.14	20.54	20.55	455585	3760	-0.04	          9.86	20.94	21.68	20.40	20.68	    28.80	20.54	
600711	盛屯矿业	-9.98	959810496	-0.97	--  	8.75	1050889	16	0.00	          7.02	9.76	9.82	8.75	9.72	    29.09	8.75	
300156	神雾环保	-10.01	956648256	-1.50	--  	13.49	694186	663	0.00	          9.62	13.77	14.28	13.49	14.99	    14.99	13.49	
000060	中金岭南	-5.92	952957056	-0.71	11.28	11.29	822192	5441	-0.34	          3.72	11.86	12.05	11.02	12.00	    23.35	11.29	
000671	阳 光 城	-1.41	947196288	-0.14	9.81	9.82	943684	10314	-0.80	          2.91	10.22	10.44	9.75	9.95	    48.16	9.81	
601169	北京银行	1.33	940838528	0.10	7.61	7.62	1248191	21	0.13	          0.68	7.49	7.63	7.46	7.51	     7.78	7.61	
601006	大秦铁路	1.04	912418880	0.10	9.75	9.76	943935	121	0.31	          0.63	9.65	9.77	9.53	9.65	     9.67	9.75	
300677	英科医疗	10.01	887682752	5.85	64.32	--  	138546	126	0.00	         56.99	64.32	64.32	62.08	58.47	    42.39	64.32	
600522	中天科技	1.00	886838720	0.12	12.13	12.14	753601	2011	0.41	          3.31	11.93	12.13	11.51	12.00	    19.37	12.12	
002456	欧菲科技	0.84	877048320	0.15	18.00	18.01	488222	4038	0.00	          1.84	17.66	18.30	17.53	17.85	    35.86	18.00	
000807	云铝股份	-9.98	874330816	-0.98	--  	8.84	974959	1664	0.00	          4.33	9.10	9.26	8.84	9.82	    40.81	8.84	
002092	中泰化学	-4.20	866962176	-0.63	14.38	14.39	594277	4615	0.14	          2.92	15.08	15.15	14.15	15.01	    11.32	14.38	
300624	万兴科技	8.58	860153600	4.82	61.00	61.01	145087	893	-0.28	         72.54	60.00	61.80	57.33	56.18	    69.67	61.00	
000717	韶钢松山	1.60	833867072	0.13	8.24	8.25	997981	7123	0.00	          4.12	8.25	8.53	8.16	8.11	     8.54	8.24	
000983	西山煤电	-0.47	832636160	-0.05	10.57	10.58	779638	5718	-0.18	          2.47	10.66	10.99	10.30	10.63	    18.20	10.58	
002236	大华股份	-0.23	831886592	-0.06	26.21	26.22	315412	2295	-0.18	          1.85	26.15	26.97	25.65	26.27	    39.45	26.21	
300618	寒锐钴业	-6.47	831606528	-16.96	245.00	245.10	32638	755	0.10	         10.88	264.00	267.00	241.80	261.96	    70.72	245.00	
601233	桐昆股份	-5.42	831258112	-1.50	26.21	26.24	305505	103	-0.41	          2.54	27.75	28.63	25.90	27.69	    22.28	26.19	
601238	广汽集团	-10.00	829191424	-2.40	--  	21.60	380884	3	0.00	          0.88	24.00	24.16	21.60	24.00	    13.18	21.60	
600325	华发股份	-4.06	825440704	-0.38	8.97	8.98	892497	148	-0.87	          4.66	9.30	9.55	8.95	9.36	    16.48	8.98	
600068	葛洲坝	-4.31	820646784	-0.41	9.10	9.11	888091	60	0.00	          1.93	9.60	9.62	9.06	9.51	    12.14	9.10	
300487	蓝晓科技	-4.07	818562816	-1.22	28.77	28.78	266219	4990	-0.85	         31.47	30.59	32.77	28.71	30.00	    56.87	28.78	
600155	宝硕股份	8.15	816931584	0.90	11.93	11.94	680526	122	0.84	          6.03	11.03	12.14	11.02	11.04	    68.71	11.94	
603329	上海雅仕	-4.15	816505600	-1.61	37.20	37.21	208088	2	-2.87	         63.06	38.68	42.00	36.40	38.76	    71.85	37.15	
000735	罗 牛 山	-9.66	815927360	-0.86	8.03	8.04	963772	6297	0.37	          9.10	9.01	9.17	8.01	8.90	    46.82	8.04	
002001	新 和 成	-4.57	810089728	-1.80	37.49	37.55	214825	1264	0.40	          2.00	38.88	39.19	36.77	39.35	    39.50	37.55	
300058	蓝色光标	-2.27	806244864	-0.16	6.89	6.90	1127047	20848	-0.99	          7.18	7.20	7.36	6.90	7.06	    41.04	6.90	
000503	海虹控股	-10.01	802588672	-3.95	--  	35.53	217338	1982	0.00	          2.42	39.50	39.89	35.53	39.48	--  	35.53	
600507	方大特钢	1.79	793876864	0.27	15.38	15.39	507607	5	-0.70	          3.83	15.19	16.04	15.19	15.12	     9.94	15.39	
