代码	名称	涨幅%%	总金额	买价	卖价	现价	现量	涨速%%	换手%%	量比	今开	最高	最低	总量	细分行业	
00700	腾讯控股	-0.78	7917368320	460.000	460.200	460.000	2182600	-0.39	          0.18	  0.70	466.000	466.800	460.000	17119372	软件服务	
00939	建设银行	-1.00	4489805312	8.920	8.930	8.930	45530000	-0.33	          0.21	  0.68	9.110	9.240	8.920	495420288	银行	
02318	中国平安	-1.67	4406204928	91.100	91.150	91.100	2915500	0.05	          0.65	  0.65	92.800	92.950	90.850	48093444	保险	
01398	工商银行	-0.14	3708300800	7.390	7.400	7.390	28965000	-0.27	          0.57	  0.94	7.500	7.620	7.390	493218880	银行	
00005	汇丰控股	-0.18	2792887808	84.000	84.050	84.050	2130000	0.12	          0.16	  1.08	83.500	84.150	83.450	33272296	银行	
00388	香港交易所	-1.89	2560882176	290.600	290.800	290.800	553900	-0.14	          0.71	  0.62	296.000	296.600	290.200	8751050	其他金融	
02628	中国人寿	-0.38	2523173888	26.300	26.350	26.350	5728000	0.00	          1.28	  1.04	26.500	26.750	26.250	95303840	保险	
03988	中国银行	-0.64	2477052416	4.680	4.690	4.680	42165000	-0.21	          0.63	  0.65	4.730	4.820	4.680	523192096	银行	
01299	友邦保险	-2.54	1545260416	65.300	65.450	65.300	3052600	-0.46	          0.19	  1.03	66.700	67.000	65.300	23426112	保险	
00288	万洲国际	0.52	1524594304	9.740	9.750	9.740	5731000	0.00	          1.08	  3.97	9.750	9.880	9.660	158368848	农业产品	
00027	银河娱乐	0.72	1315229184	69.750	69.800	69.800	994000	0.29	          0.44	  1.34	69.750	70.700	68.150	18935056	酒店及消闲	
00069	香格里拉（亚洲）	-8.34	1260619392	18.240	18.260	18.240	796000	-0.22	          1.90	 16.30	18.580	18.640	18.020	68267600	酒店及消闲	
00763	中兴通讯	-6.84	1192803584	26.500	26.550	26.550	1174000	-0.93	          5.86	  2.02	28.450	28.450	26.250	44280864	信息器材	
01918	融创中国	-6.52	1143853824	35.100	35.300	35.100	1941000	-1.27	          0.72	  1.05	37.750	37.750	35.100	31669068	地产	
01288	农业银行	-0.83	1128475904	4.760	4.770	4.760	15374000	-0.21	          0.76	  0.58	4.830	4.930	4.740	234093408	银行	
02238	广汽集团	-4.06	1077585152	17.000	17.020	17.000	1500000	0.24	          2.85	  1.77	17.780	18.000	16.780	63021312	汽车	
00857	中国石油股份	-1.61	1064363648	6.090	6.100	6.100	13870000	0.16	          0.82	  0.62	6.160	6.210	6.070	173641936	石油天然气	
00688	中国海外发展	3.96	1055397248	31.450	31.500	31.500	1940000	0.00	          0.30	  1.30	31.200	32.200	30.850	33357428	地产	
01928	金沙中国有限公司	-0.79	1055390400	45.250	45.300	45.250	1078800	-0.22	          0.29	  1.30	45.250	46.350	44.600	23201538	酒店及消闲	
