代码	名称	涨幅%%	总金额	买价	卖价	现价	现量	涨速%%	换手%%	量比	今开	最高	最低	总量	细分行业	
08406	合宝丰年	14.29	35768000	--  	--  	0.800	10000	0.00	          5.88	  2.20	0.690	0.820	0.670	47040000	家电及用品	
08469	盛业资本	-1.79	25464688	--  	--  	7.140	10000	0.56	          0.48	  1.85	7.290	7.290	7.080	3572236	其他金融	
08207	中新控股	0.00	22455202	--  	--  	1.000	8000	0.00	          0.10	  1.73	1.000	1.010	0.990	22428000	其他金融	
08089	华人策略控股	0.00	21438638	--  	--  	3.930	1800	2.34	          2.65	  1.73	3.990	3.990	3.800	5488600	其他金融	
08457	健升物流中国	3.92	19230150	--  	--  	0.530	1000000	1.92	          4.61	  1.71	0.500	0.550	0.480	36900000	工用支援	
08369	立基工程控股	9.09	17141050	--  	--  	0.300	10000	0.00	          4.36	  3.84	0.280	0.325	0.280	55860000	建筑	
08227	西安海天天	-1.89	16255461	--  	--  	6.230	10000	-0.32	          0.40	  1.71	6.330	6.370	6.150	2602000	信息器材	
08043	ATLINKS	8.24	10992951	--  	--  	0.920	15000	0.00	          2.95	  0.42	0.880	1.000	0.870	11785000	信息器材	
08147	汇思太平洋	2.00	10014920	--  	--  	0.255	24000	2.82	          0.71	  1.34	0.255	0.265	0.248	39140000	电讯	
08138	同仁堂国药	0.51	9763500	--  	--  	11.880	1000	-0.34	          0.10	  1.39	11.920	12.080	11.600	824000	医药医疗	
08300	皇玺餐饮集团	2.36	9720500	--  	--  	0.130	900000	0.00	          2.87	  2.43	0.127	0.130	0.126	75740000	酒店及消闲	
08133	铸能控股	-3.06	9406320	--  	--  	0.222	3540000	0.91	          1.20	 11.37	0.221	0.227	0.220	41880000	工业工程	
08047	中国海洋捕捞	-7.14	8498776	--  	--  	0.520	100000	0.00	          0.54	  4.67	0.560	0.590	0.510	15639200	工用支援	
08383	东骏控股	3.70	8115161	--  	--  	0.420	8000	-2.33	          2.29	  0.52	0.430	0.475	0.405	18328000	工用支援	
08158	中国再生医学	-1.10	7989141	--  	--  	0.179	15000	0.00	          0.25	  2.64	0.178	0.189	0.177	43615000	医药医疗	
08422	ＷＴ集团	3.08	7952401	--  	--  	1.340	830000	-0.74	          0.61	  1.17	1.320	1.380	1.260	6055000	建筑	
08261	海天能源	-2.53	7213121	--  	--  	0.385	8000	1.32	          0.21	  0.84	0.400	0.400	0.360	19200000	公用事业	
08156	众彩股份	1.27	7163161	--  	--  	0.800	10000	1.27	          0.27	  1.61	0.800	0.810	0.790	9006000	酒店及消闲	
08137	洪桥集团	-4.85	6013041	--  	--  	1.570	38000	-1.26	          0.04	  1.76	1.650	1.660	1.560	3744000	工业工程	
08232	CLASSIFIED GP	40.99	5580521	--  	--  	2.270	5000	3.18	          0.59	  6.42	1.740	2.300	1.680	2652000	酒店及消闲	
