代码	名称	涨幅%%	总金额	买价	卖价	现价	现量	涨速%%	换手%%	量比	今开	最高	最低	总量	细分行业	
02828	恒生Ｈ股	-0.88	1227684352	--  	--  	135.900	423800	0.00	--  	  0.72	137.200	138.600	135.600	8950277		
02822	南方Ａ５０	0.23	928302208	--  	--  	17.540	1476400	0.11	--  	  0.88	17.500	17.660	17.420	52956796		
02823	安硕Ａ５０	0.23	781456576	--  	--  	17.080	1360800	0.12	--  	  1.13	17.060	17.200	16.940	45781672		
03188	华夏沪深三百	-0.46	714248640	--  	--  	53.750	47400	-0.09	--  	  1.19	54.300	54.400	53.500	13275800		
02800	盈富基金	-0.76	654056448	--  	--  	32.850	1415500	-0.15	--  	  0.46	33.050	33.250	32.850	19805784		
00823	领展房产基金	-0.22	394940768	--  	--  	69.050	752500	0.00	--  	  1.52	69.800	69.850	68.850	5708230		
07288	ＦＬ二南方国指	-1.87	80673168	--  	--  	12.620	17200	-0.16	--  	  0.75	12.880	13.180	12.620	6256700		
07200	ＦＬ二南方恒指	-1.57	73100936	--  	--  	13.800	2500	-0.43	--  	  1.03	14.020	14.100	13.800	5256200		
07230	ＦＬ二未来国指	-1.65	71471000	--  	--  	13.120	132400	-0.15	--  	  1.74	13.400	13.680	13.120	5337500		
07231	ＦＬ二未来恒指	-1.51	69623080	--  	--  	14.360	1000	-0.42	--  	  2.21	14.560	14.660	14.380	4799800		
00778	置富产业信托	0.00	68867616	--  	--  	9.830	108000	0.10	--  	  3.81	9.790	9.870	9.790	7009000		
07228	ＦＬ二　三星国指	-1.86	50225908	--  	--  	10.540	3400	-0.94	--  	  1.50	10.740	10.960	10.560	4674600		
07267	ＦＬ二华夏国指	-1.83	39510144	--  	--  	13.940	10000	-0.43	--  	  1.71	14.280	14.540	14.000	2755100		
07300	ＦＩ南方恒指	0.80	38099372	--  	--  	5.030	8000	0.20	--  	  0.88	4.990	5.030	4.960	7621900		
00405	越秀房产信托基金	0.97	34128096	--  	--  	5.230	308000	-0.19	--  	  2.64	5.200	5.260	5.170	6524225		
07205	ＦＬ二　三星恒指	-1.55	28199474	--  	--  	11.460	50000	-0.69	--  	  1.47	11.640	11.700	11.480	2435400		
83188	华夏沪深三百－Ｒ	-0.46	25407588	--  	--  	43.300	600	0.00	--  	  1.78	43.050	43.750	43.050	586254		
07388	ＦＩ南方国指	0.98	24534088	--  	--  	5.170	10000	0.39	--  	  0.85	5.110	5.170	5.060	4807700		
02778	冠君产业信托	-0.69	22232216	--  	--  	5.770	230000	0.00	--  	  2.03	5.760	5.820	5.750	3850030		
02827	标智沪深３００	-0.72	19839390	--  	--  	41.550	34400	0.00	--  	  3.53	41.950	42.200	41.400	474600		
03115	安硕恒生指数	-0.68	16344053	--  	--  	117.300	600	-0.51	--  	  5.07	118.200	118.300	117.300	138350		
07221	ＦＬ二华夏恒指	-1.68	15481317	--  	--  	15.260	116200	-1.17	--  	  0.93	15.520	15.600	15.320	1000600		
03161	易亚中概股	0.41	14523297	--  	--  	14.800	42400	0.00	--  	  5.59	14.840	14.840	14.800	979800		
07328	ＦＩ　三星国指	0.70	12988157	--  	--  	4.310	60000	0.23	--  	  4.15	4.240	4.320	4.240	3029600		
03167	南方中国新行业	-1.03	12543149	--  	--  	81.650	1550	-0.18	--  	  2.28	82.500	82.600	81.650	152874		
03040	未来ＭＳＣＩ中国	-3.93	12287546	--  	--  	37.850	300	-3.07	--  	  3.54	39.400	39.650	37.850	313200		
02833	恒指ＥＴＦ	-0.75	11309864	--  	--  	33.200	2600	-0.15	--  	  1.61	33.550	33.550	33.200	339678		
82822	南方Ａ５０－Ｒ	0.14	11102868	--  	--  	14.140	12800	-0.14	--  	  0.75	14.100	14.220	14.040	785748		
02840	ＳＰＤＲ金ＥＴＦ	-0.45	9639350	--  	--  	992.500	30	0.00	--  	  0.75	996.000	998.000	992.500	9690		
03147	南方中创业板	-2.69	8527618	--  	--  	7.590	4000	-0.13	--  	  1.65	7.720	7.850	7.580	1114800		
07242	ＦＬ二易方达恒指	-1.48	7515381	--  	--  	8.660	1500	-0.35	--  	  1.76	8.840	8.850	8.680	856500		
07341	ＦＩ华夏国指	0.88	6987011	--  	--  	5.720	400	1.06	--  	  1.48	5.610	5.690	5.610	1231200		
