代码	名称	涨幅%%	总金额	现价	买价	卖价	总量	现量	涨速%%	换手%%	
601318	中国平安	-3.24	12632931328	71.38	71.32	71.33	1747841	56	-0.03	          1.61	
00939	建设银行	-2.64	7638264320	8.100	8.100	8.110	909354816	54543000	-0.37	          0.38	
600030	中信证券	-4.87	5437201408	19.55	19.55	19.57	2679637	563	-0.50	          2.73	
01398	工商银行	-1.74	4772723712	6.780	6.770	6.780	682012544	35254000	0.30	          0.79	
000001	平安银行	-7.71	4521586688	12.92	12.91	12.92	3345717	22577	-0.07	          1.98	
601899	紫金矿业	-3.40	3196141056	5.12	5.10	5.11	6112642	2651	-0.96	          3.87	
601939	建设银行	-5.96	3001896704	8.84	8.83	8.84	3265009	190	0.34	          3.40	
000830	鲁西化工	-9.98	2940991744	21.10	--  	21.10	1272183	5443	0.00	          8.69	
02628	中国人寿	-1.42	2798953984	24.350	24.300	24.350	113133648	8670000	0.21	          1.52	
02007	碧桂园	-4.00	2576387072	13.920	13.900	13.920	179027824	5414000	0.14	          0.82	
600340	华夏幸福	-9.49	2566482688	37.48	37.43	37.46	655503	29	-0.02	          2.22	
600362	江西铜业	-4.25	2507359232	20.71	20.69	20.72	1151243	286	-0.04	          5.55	
001979	招商蛇口	-9.96	2268034560	23.05	23.05	23.06	934291	4787	-0.34	          4.92	
002146	荣盛发展	-9.77	2117860224	11.54	11.54	11.55	1730342	5576	0.00	          4.45	
600606	绿地控股	-5.41	2055303680	7.87	7.85	7.86	2541544	519	0.13	          7.88	
600383	金地集团	-8.77	1824953600	13.31	13.30	13.31	1334186	148	0.08	          2.96	
00998	中信银行	-5.29	1757840640	5.910	5.900	5.910	284768864	10510000	0.00	          1.91	
603799	华友钴业	-0.88	1730675072	87.90	87.88	87.89	193191	40	0.25	          3.30	
600031	三一重工	-4.22	1467488256	8.85	8.83	8.85	1630680	137	-0.10	          2.13	
01171	兖州煤业股份	-6.93	1427304576	11.820	11.800	11.820	113388408	1422000	0.17	          5.81	
600115	东方航空	-3.62	1417324672	8.25	8.23	8.25	1680054	2630	0.49	          1.71	
600352	浙江龙盛	-3.42	1409985792	12.14	12.15	12.16	1124326	245	0.08	          3.67	
000069	华侨城Ａ	-9.30	1397918336	8.97	8.97	8.98	1504997	5105	0.45	          2.45	
