代码	名称	涨幅%%	总金额	现价	买价	卖价	总量	现量	涨速%%	换手%%	
601313	江南嘉捷	6.44	2228450560	57.99	57.68	57.90	387676	62	-0.18	          9.76	
601229	上海银行	1.13	1875200768	16.06	16.08	16.09	1146716	19	0.06	          3.09	
00001	长和	0.49	1715767040	101.800	101.800	101.900	16757674	1418500	-0.29	          0.43	
300058	蓝色光标	10.01	1378841984	7.91	7.91	--  	1792006	2533	0.00	         10.66	
600567	山鹰纸业	4.34	1262439424	4.81	4.80	4.81	2612121	151	0.00	          5.72	
601390	中国中铁	0.69	1072526144	8.72	8.72	8.73	1225831	20	0.00	          0.67	
00823	领展房产基金	0.08	879203008	66.200	--  	--  	13256654	1565500	0.00	--  	
002601	龙蟒佰利	0.77	866363072	18.35	18.35	18.36	461813	4243	0.00	          6.87	
600971	恒源煤电	0.17	819432064	11.74	11.73	11.74	676148	20	-0.41	          6.76	
600409	三友化工	1.47	803339264	10.36	10.37	10.38	763773	86	0.10	          4.13	
601101	昊华能源	6.57	774752064	9.08	9.09	9.10	845240	3	1.11	          7.04	
300618	寒锐钴业	0.27	753273216	226.80	226.80	226.82	32720	337	0.33	         10.91	
002078	太阳纸业	0.26	739475008	11.54	11.54	11.55	625367	3133	-0.59	          2.47	
300212	易华录	8.53	703116800	31.04	31.03	31.04	236369	3705	0.16	          7.75	
000681	视觉中国	6.74	702149056	22.95	22.95	22.96	317425	2761	1.15	         11.34	
600588	用友网络	7.71	649037376	25.57	25.55	25.57	259300	15	-0.30	          1.78	
300451	创业软件	3.22	585306752	26.00	26.00	26.01	226529	2396	0.12	         17.55	
300287	飞利信	5.70	584643584	8.35	8.34	8.35	718204	5754	-0.11	          6.80	
02688	新奥能源	6.34	551179904	57.000	56.900	57.000	9813614	1960000	2.70	          0.91	
601069	西部黄金	7.49	540857088	15.49	15.49	15.50	365445	74	0.85	          5.75	
300253	卫宁健康	4.31	520875264	8.47	8.46	8.47	621508	7567	0.59	          5.42	
300738	奥飞数据	6.14	500664224	58.28	58.27	58.28	88338	732	0.81	         54.13	
300015	爱尔眼科	3.49	483609216	32.60	32.58	32.60	147813	1383	-0.54	          1.23	
600123	兰花科创	2.64	467893920	9.33	9.32	9.33	494216	13	0.00	          4.33	
01558	东阳光药	0.12	445139680	40.950	--  	--  	10280500	200	-0.24	          4.55	
300168	万达信息	3.70	437965760	14.28	14.28	14.29	307115	2718	0.28	          3.05	
300348	长亮科技	10.01	419221408	19.13	19.13	--  	231720	1135	0.00	         12.69	
601678	滨化股份	2.12	416859424	9.16	9.17	9.18	451431	1000	-0.21	          3.80	
603356	华菱精工	2.93	409126368	23.89	23.92	23.98	179545	14	0.76	         53.85	
603499	翔港科技	10.00	384873440	33.88	33.88	--  	123267	1	0.00	         49.31	
300044	赛为智能	5.19	375444544	16.00	15.99	16.00	236186	2524	-0.30	          9.77	
002136	安 纳 达	10.02	361599584	15.48	15.48	--  	237111	2343	1.51	         11.11	
600988	赤峰黄金	0.85	336136800	5.91	5.91	5.92	573260	123	0.17	          4.70	
00200	新濠国际发展	1.38	321844512	22.100	22.100	22.150	14449781	1088000	-0.23	          0.94	
07300	ＦＩ南方恒指	1.12	321782048	5.400	--  	--  	60627800	10000	0.19	--  	
002074	国轩高科	6.62	318661440	17.89	17.89	17.90	181346	1027	-0.05	          2.87	
000528	柳 工	1.39	317434432	8.73	8.72	8.73	362636	4196	-0.45	          3.22	
06060	众安在线	2.34	307025120	65.500	65.500	65.650	4630765	72200	-0.53	          0.99	
600645	中源协和	2.85	302806816	17.34	17.31	17.42	186602	51	0.93	          4.86	
300725	药石科技	1.45	292788800	87.30	87.26	87.30	33724	599	-0.22	         18.39	
601898	中煤能源	0.66	284444288	6.10	6.10	6.11	457389	30	-0.15	          0.50	
300296	利亚德	1.34	263181712	18.09	18.09	18.10	148369	1186	0.06	          1.52	
300666	江丰电子	3.11	262585024	41.17	41.17	41.18	63976	584	0.05	         11.70	
600359	新农开发	9.23	245144672	6.98	6.96	6.97	364299	111	0.29	          9.55	
600165	新日恒力	1.93	239592976	15.81	15.69	15.97	154938	650	0.00	          2.26	
00563	上实城市开发	1.08	233429504	1.880	1.870	1.880	124646000	48000	0.53	          2.59	
03918	金界控股	5.51	230275264	6.890	--  	--  	33230408	18000	-0.14	          0.77	
06823	香港电讯－ＳＳ	2.55	207779920	9.650	--  	--  	21721686	1000	0.42	          0.29	
02338	潍柴动力	0.99	201218240	9.190	9.190	9.200	21612564	1390000	0.11	          1.11	
600354	敦煌种业	8.18	195684016	6.88	6.88	6.89	288287	128	-0.14	          6.44	
002330	得利斯	7.13	181955168	8.57	8.56	8.57	217789	3006	3.38	          4.34	
01591	汛和集团	24.63	180634864	0.167	--  	--  	1106589952	60000	0.60	         27.66	
00689	长盈集团（控股）	8.51	180097696	1.020	--  	--  	181592208	15000	-0.97	          3.62	
603703	盛洋科技	5.71	171776912	11.10	11.08	11.10	170971	5	0.27	         17.82	
00696	中国民航信息网络	1.71	171267248	23.850	23.800	23.850	7068235	281000	-0.63	          0.76	
600593	大连圣亚	1.75	166019312	30.82	30.78	30.80	55704	4	-0.09	          6.05	
002426	胜利精密	1.80	165143424	5.10	5.10	5.11	325453	7006	0.39	          1.57	
600280	中央商场	4.43	163319840	8.01	8.01	8.02	206786	117	0.25	          1.80	
002505	大康农业	1.98	160273488	2.57	2.57	2.58	609995	3464	0.00	          1.11	
002042	华孚时尚	0.17	159197104	11.85	11.85	11.86	137402	2622	-0.07	          1.64	
603816	顾家家居	3.13	155761040	61.57	61.48	61.57	25314	4	0.18	          2.84	
300230	永利股份	9.99	152998384	11.45	11.45	--  	133724	115	0.00	          5.06	
002588	史丹利	4.37	146248224	7.40	7.39	7.40	199335	3996	0.41	          2.82	
002479	富春环保	2.02	143383680	7.59	7.59	7.60	189973	815	-0.25	          2.60	
002203	海亮股份	3.36	140177344	8.31	8.30	8.31	170500	1957	0.00	          1.15	
000829	天音控股	10.00	138452816	8.80	8.80	--  	158966	304	0.00	          1.67	
601717	郑煤机	4.34	129028432	6.01	6.01	6.02	218542	56	-0.16	          1.59	
002685	华东重机	10.04	122167952	8.88	8.88	--  	137673	22	0.00	          2.46	
300020	银江股份	3.18	121611952	9.41	9.41	9.42	129528	1788	-0.31	          2.09	
601801	皖新传媒	2.33	118376160	9.21	9.21	9.22	130660	2	0.11	          0.66	
002036	联创电子	5.30	117992488	13.30	13.27	13.30	89285	980	0.08	          2.26	
000301	东方市场	3.30	117176720	5.94	5.93	5.94	198870	3744	0.00	          1.63	
01929	周大福	1.44	112080488	8.450	8.450	8.460	13007200	266400	-0.47	          0.13	
002842	翔鹭钨业	4.24	111658624	42.00	42.00	42.02	26261	314	0.24	          6.22	
600654	*ST中安	0.94	111414992	3.21	3.20	3.21	356327	14	0.31	          4.72	
600285	羚锐制药	6.78	106929080	8.35	8.35	8.36	129334	15	0.00	          2.42	
002308	威创股份	5.05	106722768	9.78	9.77	9.78	111839	887	0.10	          1.33	
00867	康哲药业	2.67	106108856	16.140	16.100	16.140	6536897	642000	-0.37	          0.26	
002688	金河生物	6.21	104732720	7.18	7.18	7.19	148593	1953	0.14	          2.79	
300641	正丹股份	3.84	103971408	14.33	14.32	14.33	72982	800	-0.27	         10.14	
300691	联合光电	0.51	101044960	47.29	47.28	47.29	21462	219	-0.31	         10.03	
002570	贝因美	10.04	100234248	5.04	5.04	--  	207973	209	0.00	          2.03	
002055	得润电子	2.51	93662256	16.74	16.73	16.74	56963	1009	0.66	          1.41	
01347	华虹半导体	5.44	91681856	14.340	14.300	14.340	6390288	125000	0.56	          0.62	
002399	海普瑞	4.52	90194400	16.88	16.87	16.88	53656	976	-0.70	          0.43	
00494	利丰	0.26	89998008	3.800	3.800	3.810	23552964	3606000	-0.78	          0.28	
603578	三星新材	7.00	89845792	32.42	32.33	32.44	28075	140	0.09	         12.76	
603883	老百姓	1.41	89511920	54.10	54.13	54.49	16243	2	-0.05	          1.93	
603889	新澳股份	3.44	86192176	15.03	15.05	15.06	57157	50	0.40	          1.77	
603025	大豪科技	6.20	83313720	32.87	32.87	32.88	25903	1	0.03	          5.08	
002642	荣之联	0.65	80804856	9.34	9.34	9.35	86104	516	-0.10	          1.74	
600678	四川金顶	2.14	80751752	8.58	8.53	8.56	100727	2	-0.22	          2.89	
000417	合肥百货	3.47	79903272	7.15	7.15	7.16	112840	627	-0.13	          1.45	
600686	金龙汽车	2.92	79663088	10.92	10.92	10.93	72675	5	0.18	          1.64	
002058	威 尔 泰	4.93	79298312	18.50	18.50	18.62	48242	2060	-4.58	          3.36	
600229	城市传媒	6.74	79187272	8.24	8.23	8.24	98621	6	-0.11	          2.29	
300179	四方达	9.71	70984600	5.65	5.64	5.65	126769	689	0.53	          3.90	
603879	永悦科技	2.64	69359784	13.22	13.19	13.24	53701	2	-0.14	         14.92	
300252	金信诺	1.99	66670780	11.30	11.30	11.31	59266	98	-0.17	          1.96	
300300	汉鼎宇佑	0.82	65520628	14.69	14.66	14.69	46173	1535	1.10	          1.69	
603678	火炬电子	1.70	65480224	21.50	21.50	21.51	31501	30	0.00	          0.70	
002088	鲁阳节能	1.83	63747072	12.22	12.22	12.26	53088	245	-0.64	          2.54	
000713	丰乐种业	9.96	62686308	6.18	6.18	--  	102589	56	0.00	          3.43	
002322	理工环科	2.33	61398272	15.40	15.40	15.44	40355	2046	-0.05	          1.41	
000981	银亿股份	4.13	60816664	8.32	8.30	8.32	74719	27575	2.21	          0.29	
000042	中洲控股	0.67	59659416	15.10	15.08	15.10	40733	61	0.73	          0.83	
002334	英威腾	4.46	58677136	7.26	7.25	7.26	82250	640	0.14	          1.44	
600070	浙江富润	9.18	58298460	9.04	9.05	9.06	67123	69	-0.65	          1.67	
600986	科达股份	1.00	58251124	9.09	9.08	9.09	66401	50	0.11	          1.35	
300118	东方日升	2.04	56358672	11.03	11.02	11.03	52120	766	-0.26	          1.05	
002757	南兴装备	0.58	56179176	32.80	32.75	32.80	16985	25	-0.48	          4.43	
603939	益丰药房	0.27	56152080	41.10	41.10	41.11	13532	14	0.20	          0.68	
600053	九鼎投资	10.03	54592556	21.40	21.40	--  	25550	24	0.00	          0.59	
002780	三夫户外	0.31	54327388	16.43	16.43	16.44	33938	213	0.61	          5.24	
03633	中裕燃气	0.63	54022824	8.000	--  	--  	6782000	2000	0.00	          0.27	
600747	*ST大控	1.55	53958780	1.97	1.96	1.97	283217	185	-0.50	          2.66	
002518	科士达	0.76	53719828	14.50	14.50	14.51	37398	161	0.00	          0.68	
002159	三特索道	3.09	53307872	13.66	13.66	13.67	39441	266	-1.08	          2.85	
002824	和胜股份	10.00	53274016	14.19	14.19	--  	37774	18	0.00	          5.10	
002515	金字火腿	0.42	52880924	7.10	7.10	7.11	76303	3063	2.16	          1.24	
300248	新开普	0.77	50399404	10.49	10.48	10.49	48507	448	-0.18	          2.37	
603618	杭电股份	2.74	50079352	6.75	6.75	6.76	74967	28	0.30	          2.42	
603789	星光农机	9.96	49544100	12.47	12.47	--  	41129	4	0.65	          3.95	
