代码	名称	涨幅%%	总金额	现价	卖价	总量	现量	涨速%%	换手%%	量比	今开	
02828	恒生Ｈ股	-2.57	4129152000	125.300	--  	31991868	250800	-0.08	--  	  1.70	132.600	
02800	盈富基金	-1.30	2334204160	30.450	--  	75200048	1709500	-0.33	--  	  1.10	31.500	
02822	南方Ａ５０	-2.92	2261357056	16.620	--  	132658320	3525000	-0.12	--  	  1.61	17.500	
02823	安硕Ａ５０	-2.76	1416264192	16.220	--  	84900336	2114700	0.00	--  	  1.17	17.100	
03188	华夏沪深三百	-1.93	1016344960	50.850	--  	19588600	553200	0.20	--  	  1.26	52.750	
00823	领展房产基金	0.08	879203008	66.200	--  	13256654	1565500	0.00	--  	  1.72	66.150	
07300	ＦＩ南方恒指	1.12	321782048	5.400	--  	60627800	10000	0.19	--  	  3.50	5.200	
07288	ＦＬ二南方国指	-4.46	137334160	10.720	--  	12050300	3000	-0.37	--  	  1.00	12.000	
07200	ＦＬ二南方恒指	-1.98	111239512	11.860	--  	8997300	100	-0.50	--  	  1.06	12.700	
07267	ＦＬ二华夏国指	-4.35	71433584	11.860	--  	5560500	1000	-0.34	--  	  2.22	12.400	
07388	ＦＩ南方国指	4.40	50834232	5.700	--  	9357600	500	1.60	--  	  1.21	5.300	
07230	ＦＬ二未来国指	-4.45	47287412	11.160	--  	3930400	2300	-0.18	--  	  0.68	12.380	
00778	置富产业信托	-0.76	35182692	9.160	--  	3810298	42000	0.11	--  	  0.54	9.250	
02827	标智沪深３００	-1.61	34864332	39.600	--  	871200	200	0.00	--  	  1.73	40.900	
00405	越秀房产信托基金	0.00	32782048	5.090	--  	6399243	102000	-0.20	--  	  0.81	5.140	
02840	ＳＰＤＲ金ＥＴＦ	-0.95	31739636	987.000	--  	32137	80	0.00	--  	  2.31	986.000	
02778	冠君产业信托	1.10	30012856	5.520	--  	5454930	1040000	0.73	--  	  1.05	5.510	
83188	华夏沪深三百－Ｒ	-2.17	28506152	40.650	--  	684270	800	0.00	--  	  1.38	42.300	
02833	恒指ＥＴＦ	-0.96	26515654	30.800	--  	844561	500	-0.16	--  	  1.76	32.300	
82822	南方Ａ５０－Ｒ	-3.19	25796768	13.360	--  	1863459	1000	0.15	--  	  0.94	14.020	
07231	ＦＬ二未来恒指	-1.75	23280038	12.360	--  	1803700	200000	-0.16	--  	  0.43	13.180	
03115	安硕恒生指数	-1.09	19897192	108.800	--  	177720	30	-0.18	--  	  2.05	112.600	
07228	ＦＬ二　三星国指	-4.27	19193974	8.960	--  	1997000	10000	-0.22	--  	  0.38	9.590	
03081	价值黄金	-1.37	17540190	32.350	--  	541053	200	0.00	--  	  3.75	32.450	
87001	汇贤产业信托	-0.63	15368397	3.140	--  	4845620	11000	-0.32	--  	  1.11	3.190	
07205	ＦＬ二　三星恒指	-1.79	15170481	9.860	--  	1521200	6000	0.10	--  	  0.63	10.200	
03161	易亚中概股	1.33	15049933	13.720	--  	1090000	10000	0.00	--  	  2.08	13.920	
03087	ＸＤＢ富时越南	4.62	14797821	272.000	--  	54150	40	-0.73	--  	  2.31	260.200	
02801	安硕中国ＥＴＦ	0.35	14218581	28.800	--  	485931	6200	-0.17	--  	  0.89	29.500	
07341	ＦＩ华夏国指	2.15	12657677	6.170	--  	2146300	5800	0.16	--  	  1.14	5.890	
07221	ＦＬ二华夏恒指	-1.79	12346725	13.140	--  	905300	1000	-0.15	--  	  1.05	13.380	
07242	ＦＬ二易方达恒指	-1.85	11479685	7.440	--  	1469600	2000	-0.13	--  	  1.78	7.000	
07336	ＦＩ未来恒指	0.89	10463759	5.640	--  	1903500	20000	0.00	--  	  1.58	5.410	
01881	富豪产业信托	0.42	9849633	2.400	--  	4058058	1000	0.00	--  	  2.62	2.380	
00808	泓富产业信托	1.81	9524332	3.370	--  	2830432	122000	0.30	--  	  1.26	3.310	
07312	ＦＩ　三星恒指	1.12	7238529	4.510	--  	1642200	4000	0.22	--  	  1.13	4.380	
03147	南方中创业板	1.12	7220813	7.250	--  	995000	200	0.00	--  	  1.25	7.250	
03167	南方中国新行业	-0.20	6771881	75.800	--  	87956	5000	-0.39	--  	  0.70	77.800	
03010	安硕亚洲除日	0.45	6131826	56.150	--  	108001	1000	0.00	--  	  4.75	56.650	
00435	阳光房地产基金	1.13	5539602	5.370	--  	1036362	20000	0.56	--  	  1.16	5.310	
83115	安硕恒生指数－Ｒ	-1.30	5441680	87.450	--  	61080	10000	-0.23	--  	  6.01	90.050	
02846	安硕沪深三百	-2.73	5309386	32.100	--  	161300	500	0.00	--  	  3.54	33.000	
07328	ＦＩ　三星国指	2.19	5197014	4.660	--  	1150200	10000	0.87	--  	  0.73	4.430	
03175	Ｆ三星原油期	0.30	4914632	13.380	--  	366800	1000	-0.15	--  	  2.85	13.380	
03140	领航标普５００	3.13	4855411	19.120	--  	252929	12500	-0.21	--  	  1.29	19.120	
03128	恒生Ａ股龙头	-2.54	4243985	63.350	--  	65244	400	-0.16	--  	  1.48	66.000	
07210	ＸＬ二易亚中概股	2.51	4209528	18.800	--  	221000	10000	0.00	--  	  1.44	19.260	
07321	ＦＩ华夏恒指	1.01	3788150	5.990	--  	644900	20000	0.34	--  	  0.72	5.910	
03095	价值中国Ａ股	-2.17	3564345	9.010	--  	385500	7500	-0.11	--  	  2.02	9.400	
01426	春泉产业信托	-0.59	3498560	3.360	--  	1040000	4000	-0.30	--  	  2.30	3.390	
03173	ＰＰ中国新经济	0.75	3496805	8.030	--  	429000	2000	-0.12	--  	  1.66	7.990	
03085	领航亚洲高股息率	1.27	3494606	23.900	--  	145320	200	0.00	--  	  6.05	24.600	
00820	汇丰中国翔龙基金	-0.68	3337923	11.720	--  	281878	10000	0.00	--  	  1.34	11.860	
07261	ＦＬ二华夏纳一百	5.46	2914000	27.050	--  	106800	200	0.00	--  	  3.97	27.400	
82823	安硕Ａ５０－Ｒ	-3.27	2653318	13.020	--  	201300	300	-0.31	--  	  0.53	13.400	
02843	东汇Ａ５０	-2.85	2482088	17.060	--  	145000	10000	-0.58	--  	  1.22	17.540	
07322	ＸＩ未来标普	-2.25	2428770	12.160	--  	200700	1000	0.16	--  	  2.67	12.120	
02836	安硕印度	0.41	2381247	24.300	--  	96519	400	0.00	--  	  0.82	24.250	
82843	东汇Ａ５０－Ｒ	-3.39	2324024	13.680	--  	169200	4000	-0.58	--  	  2.14	14.360	
07331	ＦＩ华夏纳一百	-1.94	2295986	11.100	--  	207400	500	0.00	--  	  1.72	10.940	
03101	领航富时发展欧洲	1.63	2132923	19.900	--  	106493	1200	0.00	--  	  1.33	19.900	
07362	ＦＩ未来国指	1.93	2118602	5.820	--  	377500	10000	0.00	--  	  0.49	5.540	
03086	ＢＭＯ纳斯达克	2.30	1864280	13.340	--  	139200	22800	0.00	--  	  2.48	13.480	
03036	ＤＢ台湾	0.80	1646390	226.600	--  	7250	600	0.00	--  	  1.99	227.400	
02803	ＰＰ中国基石经济	-1.58	1569280	8.730	--  	176500	10000	0.00	--  	  0.80	8.990	
02811	海通沪深三百	-2.16	1540920	18.100	--  	83200	200	0.00	--  	  1.80	18.820	
02805	领航富时亚洲	-0.39	1534607	25.300	--  	60114	400	0.00	--  	  0.71	25.750	
07302	ＦＩ易方达恒指	0.63	1269696	4.780	--  	272300	10000	0.00	--  	  0.41	4.630	
02848	ＤＢ韩国	-2.41	1229500	607.500	--  	1960	40	-1.22	--  	  0.96	625.500	
83199	南方五年国债－Ｒ	0.35	1114850	101.350	--  	11000	1000	0.00	--  	  4.07	101.350	
03020	ＸＤＢ美国	2.78	1086683	555.500	--  	1950	90	-0.18	--  	  0.27	558.500	
03084	价值日本ＥＴＦ	-0.90	1008126	15.440	--  	64500	1800	0.00	--  	  5.51	15.700	
03126	领航富时日本	0.00	1005270	26.800	--  	37000	5000	-0.19	--  	  1.34	27.550	
03146	安硕ＤＡＸ	2.62	977120	10.960	--  	88800	10000	-0.36	--  	  1.53	11.040	
03046	价值中国ＥＴＦ	-2.16	960850	47.600	--  	19800	1000	-0.10	--  	  0.58	50.200	
03118	嘉实明晟Ａ股	-0.93	946400	17.080	--  	55000	1000	-0.70	--  	  7.66	17.460	
83146	安硕ＤＡＸ－Ｒ	2.09	926027	8.780	--  	105100	5000	-0.45	--  	  1.22	8.810	
03082	ＤＢ马来西亚	1.94	894762	105.000	--  	8490	30	0.00	--  	  1.29	105.700	
03155	安硕ＥＳ５０	2.33	883338	10.560	--  	83300	5000	-0.19	--  	  1.21	10.640	
03019	ＸＤＢ环球	2.46	865676	45.750	--  	18870	250	-0.11	--  	  2.28	45.900	
02834	安硕纳指一百	1.99	850810	12.280	--  	69000	1000	0.16	--  	  0.83	12.400	
83118	嘉实明晟Ａ股－Ｒ	-1.15	823094	13.740	--  	59416	22000	-0.72	--  	  2.52	13.940	
02838	恒生富时中国５０	-1.81	822720	216.800	--  	3700	500	-0.37	--  	  0.71	226.800	
83155	安硕ＥＳ５０－Ｒ	1.44	796513	8.460	--  	93700	5000	-0.47	--  	  1.15	8.490	
03160	ＢＭＯ日股对冲	0.90	778512	11.240	--  	68400	2600	0.00	--  	  2.73	11.400	
03110	未来恒生高股息率	-1.42	778205	31.350	--  	24300	1000	0.00	--  	  1.02	32.400	
03015	ＸＤＢＮ５０印度	1.99	771600	1279.000	--  	600	600	-0.54	--  	  0.78	1286.000	
02825	标智香港１００	-1.27	717830	27.150	--  	25600	600	-1.45	--  	  2.58	28.050	
03100	易方达中一百	-4.85	676000	52.000	--  	13000	5000	0.00	--  	  4.89	52.000	
83095	价值中国Ａ股－Ｒ	-2.69	671280	7.240	--  	92500	3000	0.00	--  	  3.97	7.290	
03070	平安香港高息股	-1.06	656735	32.550	--  	19500	1000	0.00	--  	  1.07	34.200	
03016	ＤＢ菲律宾	-0.24	656000	16.400	--  	40000	40000	0.00	--  	 15.63	16.400	
07225	ＦＬ二未来东证	0.73	620484	16.500	--  	36200	5400	-2.37	--  	  1.71	17.320	
03171	ＣＯＭＳ德股	2.31	619010	119.700	--  	5150	100	-0.25	--  	  2.89	120.200	
83100	易方达中一百－Ｒ	-4.44	550111	42.000	--  	12889	6000	-0.59	--  	  2.22	43.250	
02832	博时ＦＡ５０	-3.33	532298	8.720	--  	59200	1000	-1.13	--  	  7.55	9.020	
03143	ＢＭＯ香港银行股	-1.57	530080	10.040	--  	52000	2000	-0.20	--  	  3.04	10.480	
83128	恒生Ａ股龙头－Ｒ	-2.68	526980	50.900	--  	10200	800	-0.10	--  	  1.93	52.950	
03049	ＸＤＢ沪深三百	-2.11	503955	8.800	--  	56100	12300	0.00	--  	  0.15	9.130	
03048	ＤＢ巴西	5.01	490010	40.900	--  	12050	750	0.00	--  	  0.93	41.250	
03040	未来ＭＳＣＩ中国	-0.42	486642	35.900	--  	13180	200	-1.51	--  	  0.06	36.950	
82828	恒生Ｈ股－Ｒ	-2.71	461080	100.700	--  	4400	600	-0.89	--  	  0.45	105.800	
03170	安硕韩国二百	-2.09	393450	11.240	--  	34300	400	0.00	--  	  4.02	11.540	
82811	海通沪深三百－Ｒ	-2.27	371444	14.620	--  	25000	3000	-0.27	--  	  1.56	15.200	
03177	ＣＯＭＳ德高息股	2.30	369108	169.200	--  	2180	2000	0.00	--  	  2.06	170.600	
09115	安硕恒生指数－Ｕ	-0.71	354456	13.940	--  	25130	11520	-0.57	--  	  1.62	14.200	
02802	安硕亚洲新兴	0.44	328830	57.100	--  	5600	200	-0.70	--  	  0.22	58.900	
02824	力宝专选中港地产	-0.95	274775	78.100	--  	3500	1000	-0.51	--  	  1.61	78.500	
07222	ＸＬ二未来标普	4.73	268030	23.250	--  	11400	500	0.00	--  	  1.09	23.700	
03102	易亚证券收益增长	0.00	219000	10.940	--  	20000	10000	0.00	--  	  0.63	10.960	
03127	未来沪深三百	-2.08	215036	16.960	--  	12600	1000	-0.12	--  	  1.28	17.300	
03121	ＢＭＯ亚太房地产	-0.54	212448	11.080	--  	19000	18000	-0.89	--  	  1.47	11.240	
03027	ＸＤＢ俄罗斯	0.91	209063	22.100	--  	9500	125	0.00	--  	  0.45	22.700	
82836	安硕印度－Ｒ	1.45	197488	19.640	--  	10000	5000	-0.51	--  	  0.40	19.760	
83170	安硕韩国二百－Ｒ	-3.01	179204	9.010	--  	19800	200	0.00	--  	  1.80	9.240	
03012	东汇香港３５	-0.67	166750	22.100	--  	7500	2500	-0.45	--  	  0.35	22.300	
03055	ＤＢ中国	-0.26	159350	153.700	--  	1000	500	-3.52	--  	  0.61	159.400	
07315	ＦＩ未来东证	6.67	145000	7.360	--  	20000	20000	1.52	--  	  0.86	7.250	
03024	标智上证５０	-1.62	141590	30.350	--  	4500	300	-2.10	--  	  0.97	31.500	
03199	南方五年国债	0.64	138792	126.250	--  	1100	100	0.00	--  	  0.15	126.100	
82834	安硕纳指一百－Ｒ	2.70	138740	9.890	--  	14000	14000	-0.20	--  	  0.95	9.910	
03135	Ｆ南方东英原油	0.48	132780	8.360	--  	15900	1500	0.12	--  	  0.40	8.350	
03116	易亚富时黄金矿业	-1.17	127000	8.470	--  	15000	5000	0.00	--  	  0.17	8.460	
83012	东汇香港３５－Ｒ	-1.01	125240	17.720	--  	7000	2000	-0.67	--  	  0.22	18.000	
03099	ＸＤＢ印尼	0.77	125075	131.600	--  	950	800	0.08	--  	  0.26	132.500	
03080	平安中国国债	0.12	121350	121.350	--  	1000	1000	0.00	--  	  0.11	121.350	
83127	未来沪深三百－Ｒ	-1.43	111140	13.740	--  	8000	2000	-0.29	--  	  0.41	14.080	
03092	ＤＢ泰国	0.65	102940	216.000	--  	475	300	0.28	--  	  0.24	214.000	
03165	ＢＭＯ欧优股对冲	2.02	91440	10.100	--  	9000	4000	-0.59	--  	  0.04	10.160	
03060	价值台湾ＥＴＦ	3.17	84550	42.300	--  	2000	1000	0.00	--  	  1.43	42.250	
03041	价值韩国ＥＴＦ	-1.03	79005	33.750	--  	2300	2300	-1.03	--  	  1.77	--  	
03141	ＢＭＯ亚洲投资债	-0.65	75480	15.250	--  	4947	2200	0.00	--  	  0.08	15.250	
02847	安硕富时一百	1.60	73240	9.500	--  	7700	4700	0.00	--  	  0.26	9.530	
