代码	名称	涨幅%%	总金额	现价	买价	卖价	总量	现量	涨速%%	换手%%	今开	
601318	中国平安	0.82	6677189632	64.96	64.93	64.94	1029612	322	-0.08	          0.95	64.66	
600519	贵州茅台	2.06	4466343424	697.48	698.00	698.10	64180	1	0.21	          0.51	691.00	
000651	格力电器	4.17	3873398528	51.51	51.51	51.52	763373	7175	-0.22	          1.28	49.69	
000725	京东方Ａ	3.47	3507426560	5.37	5.37	5.38	6600097	66477	-0.18	          1.95	5.27	
000858	五 粮 液	4.49	3294954240	74.40	74.39	74.40	446022	3296	-0.02	          1.18	72.00	
600048	保利地产	2.18	2844179200	14.50	14.50	14.51	1995140	84	0.00	          1.70	14.20	
600030	中信证券	-0.12	2814024960	17.33	17.32	17.33	1619696	211	-0.22	          1.65	17.42	
600516	方大炭素	8.67	2647812608	28.84	28.90	28.96	955810	95	0.49	          5.56	26.69	
600036	招商银行	-2.15	2637441792	30.05	30.05	30.06	876966	11	0.00	          0.43	30.40	
601398	工商银行	-1.05	2344434688	6.61	6.60	6.61	3544423	3653	0.00	          0.13	6.64	
601166	兴业银行	-0.90	2340750848	17.63	17.63	17.64	1326698	198	-0.05	          0.70	17.73	
601288	农业银行	-1.68	2329221632	4.09	4.08	4.09	5683729	229	0.00	          0.19	4.14	
002466	天齐锂业	10.00	2310316544	58.18	58.18	--  	406417	2060	0.00	          3.58	54.05	
300059	东方财富	1.63	2209077504	13.13	13.12	13.13	1702373	20081	-0.14	          5.34	12.98	
603799	华友钴业	9.46	2175407104	95.24	95.33	95.35	236801	98	0.62	          4.04	88.80	
000063	中兴通讯	3.41	2170791680	29.42	29.42	29.43	742885	8844	-0.19	          2.17	28.99	
000333	美的集团	4.69	2020911744	54.42	54.41	54.42	374562	2132	0.07	          0.59	51.98	
002925	盈趣科技	10.00	1861981056	83.71	83.71	--  	225852	454	0.00	         30.11	80.00	
601668	中国建筑	-0.11	1693182336	8.84	8.84	8.85	1911707	215	-0.10	          0.64	8.88	
