代码	名称	涨幅%%	总金额	现价	卖价	总量	现量	涨速%%	换手%%	量比	今开	
00700	腾讯控股	0.54	14074697728	409.600	409.800	33853960	2707000	-0.92	          0.36	  0.58	412.800	
02318	中国平安	0.25	5580414976	79.450	79.500	69845816	3720000	-0.25	          0.94	  0.63	79.950	
00939	建设银行	-0.13	3953723648	7.710	7.710	509941888	36273000	-0.13	          0.21	  0.61	7.800	
00005	汇丰控股	-0.50	3198098944	79.400	79.450	40033784	1998000	-0.13	          0.20	  0.52	80.000	
01398	工商银行	-1.07	3160070144	6.460	6.470	485637920	25329000	0.00	          0.56	  0.73	6.600	
00388	香港交易所	-0.08	2766075392	258.000	258.200	10611228	724700	-0.69	          0.86	  0.47	260.800	
03988	中国银行	0.00	2230137600	4.170	4.170	532073376	34243000	-0.24	          0.64	  0.58	4.210	
01299	友邦保险	1.18	2069870592	60.000	60.050	34277612	2089000	-0.17	          0.28	  0.95	61.000	
00941	中国移动	-0.80	1842772992	74.000	74.000	24819482	2898500	0.00	          0.12	  1.04	74.600	
02628	中国人寿	-1.08	1477501184	22.900	22.950	64035632	5038000	-0.43	          0.86	  0.59	23.450	
00175	吉利汽车	2.79	1452065280	22.100	22.100	65358080	3098000	0.00	          0.73	  0.65	21.900	
00981	中芯国际	-9.13	1375502848	8.860	8.860	152589168	2186000	-0.11	          3.10	  3.01	9.840	
02382	舜宇光学科技	3.49	1306445184	112.600	112.600	11588117	282400	-0.35	          1.06	  1.15	110.000	
00027	银河娱乐	-1.19	1264860672	62.150	62.150	20045060	763000	-0.32	          0.47	  1.02	62.500	
03968	招商银行	-0.61	1155796480	32.400	32.400	35380296	1212500	0.00	          0.77	  0.78	33.000	
02007	碧桂园	0.00	1131952000	13.120	13.120	85988032	3123000	-0.15	          0.40	  0.67	13.400	
02018	瑞声科技	-0.14	1129084672	144.000	144.000	7718183	230500	0.00	          0.63	  0.65	146.000	
00883	中国海洋石油	-2.15	1085565312	10.920	10.940	99036696	12406000	0.37	          0.22	  0.95	10.980	
00386	中国石油化工股份	-0.33	993216320	6.060	6.060	163329840	17398000	0.66	          0.64	  0.78	6.080	
02601	中国太保	-0.55	934971712	36.100	36.100	25864734	1556000	0.14	          0.93	  0.73	36.600	
01288	农业银行	0.24	912825536	4.140	4.140	220492816	11345000	0.24	          0.72	  0.59	4.170	
01918	融创中国	0.00	782798016	27.450	27.500	28258000	1032000	-0.72	          0.64	  0.63	27.900	
00857	中国石油股份	-1.67	773947520	5.290	5.290	145602112	10444000	-0.19	          0.69	  0.55	5.370	
01928	金沙中国有限公司	0.24	648785984	41.650	41.650	15445845	924400	-0.24	          0.19	  0.74	41.550	
01093	石药集团	6.53	644174336	16.640	16.700	38829180	2226000	-0.60	          0.62	  1.18	16.080	
00688	中国海外发展	-0.76	633838464	26.150	26.150	24000052	1732000	-0.19	          0.22	  0.71	26.850	
00001	长和	-1.63	627417600	96.550	96.600	6444929	646500	-0.26	          0.17	  0.57	98.900	
00998	中信银行	-0.54	620848576	5.520	5.530	110929792	3324000	-0.18	          0.75	  0.54	5.650	
