代码	名称	涨幅%%	总金额	现价	卖价	总量	现量	涨速%%	换手%%	量比	今开	
02822	南方Ａ５０	1.29	1717727616	15.660	--  	109697872	1568000	-0.13	--  	  0.79	15.580	
02828	恒生Ｈ股	0.08	1185303296	120.400	--  	9808276	227200	0.25	--  	  0.41	121.600	
02800	盈富基金	0.00	961516736	29.650	--  	32231898	3796500	-0.17	--  	  0.45	29.850	
02823	安硕Ａ５０	1.59	921646720	15.300	--  	60274980	1904600	0.00	--  	  0.59	15.180	
03188	华夏沪深三百	1.99	637592768	48.750	--  	13107433	744200	0.10	--  	  0.54	48.400	
00823	领展房产基金	1.38	473052128	66.000	--  	7212675	1040000	0.23	--  	  0.76	65.000	
07288	ＦＬ二南方国指	0.31	142088096	9.830	--  	14316500	7000	-0.10	--  	  0.94	9.920	
07300	ＦＩ南方恒指	0.00	82609216	5.550	--  	14992900	10000	0.18	--  	  0.37	5.550	
07228	ＦＬ二　三星国指	0.37	49911172	8.220	--  	6035600	1000	-0.12	--  	  1.28	8.220	
07200	ＦＬ二南方恒指	-0.18	49882300	11.180	--  	4411100	5000	-0.18	--  	  0.48	11.220	
02778	冠君产业信托	0.96	32680862	5.240	--  	6254026	185000	0.19	--  	  0.69	5.230	
07388	ＦＩ南方国指	-0.17	27651622	5.810	--  	4784900	81600	0.17	--  	  0.48	5.820	
07230	ＦＬ二未来国指	0.39	25569176	10.220	--  	2466800	3100	0.00	--  	  0.49	10.620	
07205	ＦＬ二　三星恒指	0.11	23289792	9.300	--  	2469600	4400	0.00	--  	  1.58	9.290	
00405	越秀房产信托基金	0.40	23193626	5.050	--  	4590025	174000	-0.20	--  	  0.49	5.030	
07267	ＦＬ二华夏国指	0.18	19527818	10.860	--  	1772300	2300	0.00	--  	  0.52	11.000	
07231	ＦＬ二未来恒指	-0.17	19492014	11.640	--  	1649700	17800	-0.17	--  	  0.52	11.720	
82822	南方Ａ５０－Ｒ	1.60	18492918	12.680	--  	1465436	4800	-0.16	--  	  0.44	12.460	
00778	置富产业信托	0.88	16338321	9.140	--  	1789000	117000	0.11	--  	  0.31	9.090	
02833	恒指ＥＴＦ	0.00	15825556	29.950	--  	525234	2000	0.00	--  	  0.73	30.000	
07242	ＦＬ二易方达恒指	0.14	13387484	7.020	--  	1880500	1000	-0.99	--  	  1.37	7.080	
02840	ＳＰＤＲ金ＥＴＦ	0.41	13228106	981.000	--  	13470	1000	0.05	--  	  0.48	979.000	
83188	华夏沪深三百－Ｒ	2.47	12148754	39.450	--  	310660	2800	0.13	--  	  0.41	38.400	
87001	汇贤产业信托	0.32	8430769	3.130	--  	2693821	5000	0.00	--  	  0.49	3.120	
07328	ＦＩ　三星国指	-0.41	7164873	4.840	--  	1488600	14000	0.21	--  	  1.32	4.800	
03167	南方中国新行业	1.85	6937973	74.350	--  	93150	200	0.00	--  	  0.72	73.750	
07341	ＦＩ华夏国指	-0.31	6635821	6.420	--  	1036600	56800	0.16	--  	  0.53	6.450	
00435	阳光房地产基金	1.34	5861021	5.300	--  	1109000	6000	0.57	--  	  1.02	5.230	
00808	泓富产业信托	-0.30	5647631	3.290	--  	1712000	113000	-0.60	--  	  0.56	3.290	
02827	标智沪深３００	2.03	4786316	37.750	--  	126860	200	0.00	--  	  0.22	37.450	
07221	ＦＬ二华夏恒指	0.00	4606068	12.380	--  	368500	10000	-0.48	--  	  0.42	12.380	
01881	富豪产业信托	0.00	4154760	2.350	--  	1770000	20000	0.43	--  	  0.59	2.340	
03173	ＰＰ中国新经济	1.28	4051150	7.890	--  	506500	59000	-0.63	--  	  1.63	8.000	
82843	东汇Ａ５０－Ｒ	1.25	3773676	12.960	--  	291600	10000	0.15	--  	  1.37	12.880	
03049	ＸＤＢ沪深三百	0.00	3650958	8.310	--  	438300	600	-0.24	--  	  0.97	8.280	
03115	安硕恒生指数	-0.09	3632346	105.700	--  	34190	100	-0.28	--  	  0.22	105.600	
02801	安硕中国ＥＴＦ	0.72	3471040	27.900	--  	123300	100	-0.18	--  	  0.18	27.750	
07312	ＦＩ　三星恒指	-0.22	3422206	4.630	--  	743000	10000	0.00	--  	  0.48	4.640	
01426	春泉产业信托	-0.61	3086660	3.260	--  	944000	5000	-0.31	--  	  0.91	3.270	
07336	ＦＩ未来恒指	0.00	2938564	5.790	--  	510500	3000	0.00	--  	  0.22	5.750	
03128	恒生Ａ股龙头	1.43	2654790	60.450	--  	44000	200	0.00	--  	  0.73	59.800	
03161	易亚中概股	2.12	2487988	13.460	--  	185200	5000	0.00	--  	  0.28	13.420	
03087	ＸＤＢ富时越南	3.46	2457248	268.800	--  	9320	10	0.00	--  	  0.21	263.000	
07261	ＦＬ二华夏纳一百	3.79	2214455	26.000	--  	85800	100	0.78	--  	  1.68	25.800	
02811	海通沪深三百	0.71	2179108	17.140	--  	126600	200	0.00	--  	  1.41	17.240	
02803	ＰＰ中国基石经济	1.23	2163800	8.260	--  	262500	2500	0.00	--  	  1.04	8.260	
03147	南方中创业板	3.11	2077822	7.300	--  	287600	7000	-0.41	--  	  0.40	7.140	
02846	安硕沪深三百	0.33	2044970	30.750	--  	67100	300	0.16	--  	  0.59	30.400	
03140	领航标普５００	0.75	1981017	18.840	--  	105099	1000	-0.21	--  	  0.40	18.720	
07321	ＦＩ华夏恒指	-0.32	1938649	6.140	--  	316800	1000	0.00	--  	  0.30	6.160	
03046	价值中国ＥＴＦ	0.22	1792935	45.450	--  	39200	500	0.00	--  	  1.93	45.500	
03070	平安香港高息股	0.32	1607370	31.150	--  	51500	1000	-0.32	--  	  2.78	31.250	
02836	安硕印度	0.82	1602750	24.550	--  	65600	2000	0.00	--  	  0.33	25.000	
03116	易亚富时黄金矿业	-0.36	1517888	8.210	--  	184600	5000	0.00	--  	  2.47	8.160	
07362	ＦＩ未来国指	-0.33	1431919	6.060	--  	237900	3000	0.00	--  	  0.41	6.080	
02843	东汇Ａ５０	0.75	1421384	16.020	--  	88600	2000	0.00	--  	  0.41	15.960	
03175	Ｆ三星原油期	-0.95	1325288	12.560	--  	105800	4000	0.16	--  	  0.36	12.500	
03081	价值黄金	-0.46	1219289	32.350	--  	37727	200	0.00	--  	  0.15	32.350	
82836	安硕印度－Ｒ	0.51	1027736	19.660	--  	52400	600	0.10	--  	  1.70	19.480	
03099	ＸＤＢ印尼	0.54	976250	130.100	--  	7500	5000	0.00	--  	  2.00	130.400	
03095	价值中国Ａ股	0.83	902435	8.500	--  	106000	2500	0.00	--  	  0.33	8.500	
03118	嘉实明晟Ａ股	0.12	896842	16.120	--  	55300	300	0.00	--  	  3.44	16.260	
07322	ＸＩ未来标普	-0.49	887156	12.280	--  	72800	7600	0.00	--  	  0.50	12.040	
83115	安硕恒生指数－Ｒ	0.29	854000	85.450	--  	10000	10000	0.06	--  	  0.28	85.400	
03141	ＢＭＯ亚洲投资债	-0.33	771710	15.250	--  	50648	400	0.00	--  	  1.88	15.250	
03086	ＢＭＯ纳斯达克	0.93	756340	13.000	--  	58000	12200	-0.46	--  	  0.84	13.040	
07331	ＦＩ华夏纳一百	-2.60	716986	11.260	--  	63800	2200	0.00	--  	  0.38	10.920	
