代码	名称	涨幅%%	总金额	现价	卖价	总量	现量	涨速%%	换手%%	量比	今开	
08473	弥明生活百货	-12.50	49155404	0.245	--  	189510000	100000	-0.41	         16.92	  0.33	0.290	
08522	德益控股	1.25	48817284	0.810	--  	63104000	472000	0.00	         16.96	0.00	0.650	
08510	TOPSTANDARDCORP	-5.71	40449520	0.330	--  	131336000	8000	0.00	         16.42	0.00	0.300	
08147	汇思太平洋	-15.17	39656776	0.246	--  	149024000	100000	0.41	          2.71	  3.90	0.290	
08469	盛业资本	9.04	20585520	7.360	--  	2840000	14000	0.14	          0.38	  0.85	6.750	
08156	众彩股份	10.39	17666750	0.850	--  	21605000	200000	2.41	          0.66	  1.97	0.800	
08207	中新控股	-1.05	15234881	0.940	--  	16232000	4000	0.00	          0.07	  0.55	0.950	
08227	西安海天天	1.50	13965571	6.100	--  	2265000	4000	-0.49	          0.35	  1.17	6.020	
08022	永耀集团控股	3.77	13212001	1.100	--  	12441000	3000	1.85	          0.75	  1.31	1.070	
08523	常满控股	-1.25	9015300	0.395	--  	21150000	5000	0.00	          5.29	  0.12	0.420	
08138	同仁堂国药	5.38	8889774	12.140	--  	738401	1000	-0.16	          0.09	  0.55	11.880	
08535	荧德控股	2.21	8005321	0.139	--  	55620000	20000	1.46	          4.63	  0.28	0.143	
08228	国艺娱乐	0.00	7597201	0.390	--  	19280000	80000	0.00	          0.43	  0.36	0.395	
08032	非凡中国	5.06	7173441	0.830	--  	8644000	4000	0.00	          0.10	  2.04	0.820	
08083	中国创新支付	5.26	6485281	0.400	--  	16412000	440000	0.00	          0.24	  1.10	0.380	
08470	莹岚集团	15.38	5946161	1.500	--  	4032000	8000	0.00	          0.67	  0.27	1.340	
08137	洪桥集团	4.07	4894020	1.280	--  	3828000	10000	0.79	          0.04	  0.29	1.240	
08359	HYPEBEAST	-6.49	4778500	0.360	--  	12860000	200000	1.41	          0.64	  0.59	0.395	
08043	ATLINKS	12.96	4766600	0.610	--  	7740000	230000	0.00	          1.94	  1.51	0.560	
08519	JIA GROUP	-0.56	4739800	0.179	--  	25650000	200000	-0.56	          2.98	  0.19	0.180	
08232	CLASSIFIED GP	-5.41	4470500	1.050	--  	4355000	15000	0.96	          0.98	  1.09	1.120	
08293	星亚控股	0.47	4420500	21.600	--  	210000	10000	0.00	          0.08	  1.24	21.500	
08373	靛蓝星	-10.78	4270300	0.910	--  	3975000	5000	-4.21	          0.99	  3.41	1.060	
08238	惠陶集团	24.14	3972408	0.072	--  	63384000	240000	4.35	          0.73	  3.37	0.058	
08073	兴业新材料	-2.44	3815501	1.200	--  	3096522	16000	-4.00	          0.65	  1.34	1.200	
08457	健升物流中国	9.09	3732850	0.300	--  	12870000	20000	0.00	          1.61	  0.17	0.285	
08257	靖洋集团	10.71	3515550	0.310	--  	11460000	10000	0.00	          1.15	  2.63	0.290	
08413	亚洲杂货	0.00	3242900	0.310	--  	10940000	40000	3.33	          0.94	  0.40	0.310	
08349	美固科技控股	0.00	3039700	2.340	--  	1310000	50000	0.00	          0.33	 34.47	2.310	
08086	新维国际控股	5.77	3035800	0.275	--  	11240000	200000	0.00	          0.40	  1.34	0.270	
08089	华人策略控股	1.67	3005494	3.040	--  	987400	1800	1.33	          0.48	  0.75	3.000	
08100	智易控股	1.12	2871220	0.450	--  	6302600	30000	3.45	          1.42	  0.54	0.450	
08279	亚博科技控股	-1.14	2702240	0.870	--  	3012000	4000	0.00	          0.03	  0.84	0.910	
08047	中国海洋捕捞	0.00	2631840	0.560	--  	4868000	20000	0.00	          0.17	  1.62	0.540	
08462	桥英控股	2.50	2599000	1.230	--  	2155000	25000	0.82	          0.36	  1.60	1.090	
08300	皇玺餐饮集团	0.00	2412100	0.129	--  	18700000	480000	0.00	          0.71	  0.69	0.129	
08158	中国再生医学	0.57	2386555	0.177	--  	13370000	10000	-0.56	          0.08	  0.36	0.179	
08450	钜京控股	2.40	2375710	0.171	--  	13690000	80000	0.59	          1.37	  0.52	0.170	
08406	合宝丰年	-6.58	2359700	0.355	--  	6630000	30000	0.00	          0.83	  0.52	0.365	
08260	银合控股	6.06	2304700	0.700	--  	3560000	10000	6.06	          0.24	  4.22	0.650	
08055	中国网络信息科技	-2.60	2161080	0.375	--  	5736000	40000	0.00	          0.16	  0.18	0.380	
08427	瑞强集团	0.00	2092480	0.270	--  	7584000	8000	0.00	          1.22	  0.98	0.275	
08350	骏溢环球金融	2.70	2008360	0.380	--  	5280000	960000	-1.30	          0.66	  2.25	0.375	
08307	密迪斯肌	1.96	2007640	0.520	--  	3780000	32000	0.00	          0.79	  2.10	0.510	
08085	香港生命科学	4.40	1773568	0.095	--  	19544000	20000	0.00	          0.34	  0.76	0.092	
08445	怡康泰工程集团	1.06	1759100	0.475	--  	3660000	40000	0.00	          0.61	  1.42	0.495	
08266	金达集团国际	3.25	1686400	0.127	--  	13600000	96000	-0.78	          0.33	  1.82	0.115	
08460	基地锦标集团	1.38	1637820	0.220	--  	7560000	200000	0.00	          0.76	  0.94	0.205	
08285	森浩集团	7.84	1505075	0.275	--  	5330000	100000	1.85	          0.95	  1.76	0.260	
08102	利宝阁集团	2.38	1494350	0.430	--  	3470000	50000	0.00	          0.43	  0.87	0.430	
08410	安领国际	1.45	1451500	1.400	--  	1032000	20000	0.72	          0.10	  0.76	1.500	
08095	北大青鸟环宇	0.00	1420550	1.340	--  	1079000	1000	0.00	          0.16	  0.55	1.340	
08013	ECI TECH	-4.19	1285000	0.160	--  	8080000	20000	0.63	          0.51	  0.50	0.160	
08417	大地教育	-8.05	1205100	0.800	--  	1490000	10000	-1.23	          0.09	  3.13	0.850	
08383	东骏控股	-1.47	1199600	0.335	--  	3520000	96000	0.00	          0.44	  0.60	0.335	
08479	金泰丰国际控股	-5.48	1196760	0.690	--  	1700000	32000	-1.43	          0.40	  0.13	0.730	
08120	国农金融投资	-3.62	1184220	0.133	--  	8800000	2000000	0.00	          0.89	  1.87	0.141	
08157	象兴国际	3.64	1158100	0.285	--  	4020000	80000	0.00	          0.40	  1.06	0.280	
08455	礼建德集团	-0.59	1153900	1.680	--  	670000	10000	0.00	          0.08	  1.16	1.570	
08081	互娱中国	2.63	1128860	0.039	--  	29236000	510000	0.00	          0.55	  0.67	0.037	
08371	尝高美集团	9.33	1076640	0.820	--  	1332000	4000	0.00	          0.33	  2.05	0.750	
08385	万里印刷	1.67	1068400	0.305	--  	3590000	50000	0.00	          0.45	  1.20	0.310	
08342	飞思达科技	-1.44	1063750	1.370	--  	765000	5000	0.00	          0.16	  0.71	1.390	
08376	方圆房服集团	6.12	1030200	0.520	--  	1928000	4000	0.00	          0.48	  2.70	0.490	
08392	舍图控股	3.64	1006450	0.285	--  	3530000	10000	0.00	          0.35	  0.71	0.275	
08001	东方汇财证券	1.30	1004280	0.780	--  	1276000	120000	0.00	          0.30	  0.72	0.790	
08352	成安控股	-2.70	956200	0.360	--  	2650000	90000	0.00	          0.39	  0.81	0.370	
08175	中国数码文化	1.54	935500	0.660	--  	1430000	10000	1.54	          0.07	  0.36	0.650	
08513	迎宏控股	-5.05	927740	0.470	--  	1944000	8000	-1.05	          0.49	  0.95	0.495	
08026	长达健康	-1.59	909130	0.310	--  	2990000	1000	0.00	          0.25	  0.74	0.315	
08275	永勤集团控股	0.00	904100	0.680	--  	1310000	20000	0.00	          0.22	  0.07	0.680	
08315	冠辉集团控股	0.00	899850	0.032	--  	28360000	30000	0.00	          0.36	  0.62	0.031	
08423	CHI HO DEV	3.05	847100	1.350	--  	630000	10000	0.75	          0.08	  0.51	1.310	
08117	中国基础能源	-5.10	843400	0.930	--  	900000	30000	3.33	          0.10	  1.32	0.980	
08446	ITP HOLDINGS	13.78	824500	5.120	--  	160000	130000	-0.78	          0.02	  0.77	5.250	
08292	盛良物流	0.00	807500	1.090	--  	720000	20000	-0.91	          0.09	  0.33	1.140	
08420	NEXION TECH	3.85	782900	0.540	--  	1440000	10000	0.00	          0.24	  0.42	0.540	
08172	拉近网娱	6.06	782500	0.350	--  	2560000	100000	16.67	          0.06	  7.90	0.335	
08309	万成环球控股	-4.44	778200	0.430	--  	1760000	10000	0.00	          0.29	  2.09	0.450	
08189	泰达生物	-5.26	771600	0.270	--  	2995000	5000	1.89	          0.30	 17.11	0.260	
08142	德利机械	0.00	755000	0.300	--  	2490000	620000	0.00	          0.25	  0.50	0.300	
08422	ＷＴ集团	-2.29	744300	1.280	--  	580000	10000	0.79	          0.06	  0.22	1.260	
08251	优越集团控股	3.23	713100	0.640	--  	1080000	20000	0.00	          0.27	  8.85	0.660	
08395	齐家控股	-1.50	700600	0.131	--  	5340000	100000	-1.50	          0.34	  0.66	0.133	
08167	中国新电信	0.00	700532	0.190	--  	3808000	20000	1.06	          0.04	  2.37	0.181	
08501	庄皇集团公司	-2.60	698120	1.500	--  	450000	2000	-6.25	          0.23	  2.48	1.500	
08452	富银融资股份	-3.13	693740	1.240	--  	558000	10000	-0.80	          0.62	  0.32	1.250	
08090	中国融保金融集团	4.94	688420	0.850	--  	798000	6000	-2.30	          0.05	  0.27	0.840	
08217	联旺集团	0.00	675150	0.280	--  	2450000	20000	1.82	          0.20	  0.42	0.280	
08287	ZIONCOM	-1.32	666700	0.375	--  	1760000	20000	0.00	          0.27	  0.86	0.380	
08046	恒芯中国	-5.56	655324	0.034	--  	18626000	52000	0.00	          0.22	  0.11	0.035	
08221	PF GROUP	0.67	651520	0.150	--  	4420000	20000	2.74	          0.22	  1.87	0.149	
08226	树熊金融集团	0.95	644544	0.212	--  	3016000	4000	0.00	          0.12	  0.20	0.205	
08291	万成金属包装	-1.74	643900	1.130	--  	640000	15000	0.89	          0.16	  1.41	0.990	
08415	乐嘉思控股	-1.02	579150	0.194	--  	2990000	70000	0.00	          0.27	  0.49	0.201	
08347	Ｆ８企业	4.11	571760	0.380	--  	1504000	40000	0.00	          0.19	  1.23	0.365	
08377	申酉控股	8.00	559900	0.540	--  	1060000	200000	0.00	          0.13	  0.97	0.500	
08237	华星控股	-3.23	531480	0.600	--  	840000	30000	-1.64	          0.02	  0.43	0.610	
08456	民信国际控股	5.41	527220	0.390	--  	1380000	60000	0.00	          0.34	  0.54	0.370	
08340	域高金融	0.00	510250	0.500	--  	1060000	10000	3.09	          0.17	  0.11	0.500	
08130	智城控股	7.78	494524	0.180	--  	2820400	600000	-0.55	          0.09	  0.96	0.170	
08030	汇联金融服务	1.20	483300	0.840	--  	575000	10000	0.00	          0.03	  0.63	0.840	
08071	中彩网通控股	0.57	473930	0.177	--  	2705000	5000	1.14	          0.06	  0.96	0.186	
08425	兴铭控股	0.00	466440	1.260	--  	364000	100000	0.00	          0.09	  0.43	1.290	
08299	大唐潼金	0.00	466212	0.016	--  	31026000	36000	6.67	          0.14	  0.41	0.016	
08009	华夏能源控股	8.51	465460	0.051	--  	9980000	300000	0.00	          0.47	  2.37	0.049	
08192	环球能源资源	1.39	461700	0.365	--  	1284000	36000	-1.35	          0.12	  3.59	0.360	
08328	信义香港	-0.48	460973	2.070	--  	222750	8000	0.00	--  	 11.78	2.040	
08331	飞尚非金属	-5.66	456900	0.500	--  	910000	50000	-3.85	          0.16	  0.60	0.500	
08265	中国之信集团	0.00	446240	3.040	--  	148000	4000	0.00	          0.01	  0.18	3.000	
08430	春能控股	1.56	435750	0.325	--  	1395000	5000	1.56	          0.22	  2.11	0.310	
08267	蓝港互动	0.70	427725	1.440	--  	300000	7000	0.00	          0.08	  1.75	1.430	
08103	万泰企业股份	42.96	426000	1.930	--  	260000	120000	-3.50	          0.18	  0.85	1.220	
08308	古兜控股	-0.90	412640	2.190	--  	188000	8000	-0.45	          0.02	  0.40	2.240	
08463	TOMO HOLDINGS	6.72	409960	1.270	--  	320000	4000	-3.05	          0.07	  0.15	1.190	
08129	云信投资控股	3.70	398760	0.028	--  	14680000	300000	0.00	          0.49	  1.26	0.027	
08269	富誉控股	-3.45	397260	0.112	--  	3520000	100000	0.00	          0.43	  2.88	0.116	
08132	中油港燃	0.00	387630	0.058	--  	6690000	500000	0.00	          0.11	  1.17	0.058	
08065	高萌科技	7.81	373550	0.345	--  	1065000	40000	0.00	          0.27	  0.92	0.325	
08429	冰雪集团	-1.43	371400	0.690	--  	540000	5000	0.00	          0.11	  0.57	0.690	
08059	朝威控股	1.82	370600	0.560	--  	670000	5000	0.00	          0.07	  0.10	0.550	
08268	迪臣建设	0.00	362752	0.180	--  	2016000	2000000	0.00	          0.20	  2.62	0.172	
08485	竣球控股	1.32	360540	0.154	--  	2330000	10000	1.32	          0.23	  0.45	0.154	
08197	北斗嘉药业	4.29	347850	0.365	--  	960000	100000	0.00	          0.39	  1.80	0.355	
08419	ＡＶ策划推广	3.12	346850	0.660	--  	520000	5000	0.00	          0.13	  0.30	0.640	
08183	尚捷集团控股	0.00	339000	0.465	--  	760000	10000	-1.06	          0.15	  1.63	0.450	
08321	泰锦控股	0.56	327190	0.179	--  	1830000	10000	2.29	          0.23	  0.34	0.178	
08136	英马斯集团	-4.76	326750	0.300	--  	1070000	250000	-1.64	          0.11	  0.37	0.315	
08187	永骏国际控股	4.73	318450	1.550	--  	205000	5000	4.73	          0.04	  0.25	1.480	
08078	ＨＭＶ数码中国	-0.41	316040	0.243	--  	1300000	40000	0.83	          0.01	  0.23	0.244	
08199	中国万桐园	3.77	304550	0.275	--  	1140000	20000	0.00	          0.11	  0.77	0.270	
08037	中国生物科技服务	1.22	296800	1.660	--  	180000	60000	0.00	          0.02	  0.42	1.640	
08471	新达控股	2.86	296400	0.360	--  	830000	10000	0.00	          0.10	  0.42	0.360	
08101	壹家壹品	2.30	294300	0.089	--  	3296000	200000	-1.11	          0.11	  1.09	0.087	
08325	中国支付通	3.33	287000	0.930	--  	310000	100000	0.00	          0.02	  0.14	0.920	
08062	俊盟国际	-2.33	282150	0.420	--  	655000	5000	0.00	          0.14	  0.98	0.435	
08206	神通机器人教育	0.00	281040	0.400	--  	703000	4000	0.00	          0.04	  1.29	0.400	
08028	天时软件	0.00	280800	0.053	--  	5240000	100000	1.92	          0.19	  6.58	0.054	
08326	同景新能源	-5.04	267920	1.130	--  	240000	1000	0.89	          0.03	  0.08	1.190	
08506	福纺控股	3.70	258336	0.140	--  	1824000	12000	0.00	          0.18	  0.50	0.135	
08400	亚洲先锋娱乐	6.70	247190	0.191	--  	1320000	20000	0.00	          0.13	  0.58	0.182	
08181	港深联合	0.00	246000	0.375	--  	656000	16000	0.00	          0.08	  0.23	0.375	
08170	KSL HOLDINGS	0.00	241160	3.220	--  	75000	4000	0.00	          0.02	  0.24	3.230	
08431	浩柏国际	-2.37	219370	0.165	--  	1290000	20000	0.00	          0.10	  0.88	0.177	
08007	环球战略集团	2.94	219201	0.140	--  	1575080	10000	1.45	          0.03	  0.15	0.138	
08072	罗马集团	19.05	216450	0.125	--  	1807500	20000	4.17	          0.06	  1.71	0.105	
08436	德宝集团控股	-1.85	216300	0.530	--  	410000	20000	1.92	          0.10	  0.26	0.540	
08351	俊文宝石	0.00	214720	0.390	--  	562000	40000	-2.50	          0.02	  0.59	0.400	
08487	ISP GLOBAL	0.00	212300	0.550	--  	380000	40000	0.00	          0.05	  0.18	0.620	
08179	新煮意控股	0.00	208154	0.164	--  	1324800	24000	0.00	          0.06	  0.07	0.159	
08250	丝路能源	-1.82	207800	0.054	--  	3800000	40000	0.00	          0.06	  0.36	0.054	
08360	利骏集团香港	1.24	205316	0.163	--  	1288000	88000	2.52	          0.27	  0.68	0.161	
08407	兴证国际	0.00	200580	1.250	--  	162000	146000	2.46	          0.00	  0.25	1.220	
08231	节能元件	2.79	200400	0.221	--  	920000	30000	0.00	          0.06	  0.28	0.213	
08493	龙皇集团	1.83	199044	0.167	--  	1200000	60000	0.60	          0.08	  0.19	0.165	
08021	汇隆控股	0.00	194370	0.030	--  	6470000	10000	-3.23	          0.05	  0.10	0.030	
08280	中国数字视频	-2.50	186120	0.780	--  	238000	20000	-2.50	          0.04	  0.66	0.740	
08152	明梁控股	1.85	181000	0.275	--  	670000	10000	1.85	          0.11	  0.35	0.270	
08295	中植资本国际	-8.68	177500	0.200	--  	860000	20000	-1.96	          0.02	  1.35	0.210	
08069	纵横游控股	2.47	159800	0.830	--  	195000	90000	0.00	          0.05	  6.72	0.800	
08313	杰地集团	0.00	147250	0.295	--  	500000	50000	0.00	          0.03	  0.20	0.290	
08361	中国育儿网络	1.32	145110	0.385	--  	376000	78000	0.00	          0.04	  0.56	0.380	
08375	弘浩国际控股	0.52	143480	0.194	--  	740000	170000	0.00	          0.09	  0.60	0.194	
08118	濠亮环球	1.72	140080	0.295	--  	488000	8000	1.72	          0.10	  0.09	0.285	
08176	超人智能	1.01	134850	8.990	--  	15000	5000	0.00	          0.00	  1.06	8.990	
08109	麒麟集团控股	-5.56	131835	0.017	--  	7710000	150000	0.00	          0.17	  1.00	0.018	
08020	宏海控股集团	-3.50	130700	0.138	--  	1060000	10000	6.15	          0.04	  2.01	0.121	
08366	浙江联合投资	1.69	130000	0.600	--  	220000	10000	0.00	          0.02	  0.35	0.590	
08029	太阳国际	1.25	127700	0.810	--  	160000	25000	-2.41	          0.01	  0.25	0.790	
08368	中国创意控股	9.91	123193	0.255	--  	495000	49000	0.00	          0.03	  0.84	0.223	
08200	修身堂	0.00	118328	0.039	--  	2972000	200000	0.00	          0.05	  0.25	0.041	
08272	华人饮食集团	7.14	118200	0.015	--  	8060000	2000000	0.00	          0.25	  0.66	0.014	
08087	中国三三传媒	3.57	117040	0.029	--  	4080000	140000	0.00	          0.07	  0.50	0.028	
08432	太平洋酒吧	1.39	114550	0.146	--  	790000	200000	0.69	          0.09	  0.54	0.145	
08165	华普智通	6.06	111870	0.035	--  	3530000	10000	9.38	          0.15	  0.57	0.033	
08472	立高控股	0.00	110950	0.600	--  	185000	5000	1.69	          0.05	  0.22	0.600	
08027	吉辉控股	-10.29	110085	0.061	--  	1710000	100000	0.00	          0.05	  1.07	0.067	
08006	华泰瑞银	2.97	109939	0.208	--  	523750	10000	0.00	          0.14	  2.21	0.209	
08356	中国新华电视	6.38	108090	0.050	--  	2180000	10000	0.00	          0.05	  0.19	0.049	
08166	中国农业生态	-1.25	104220	0.079	--  	1340000	500000	2.60	          0.02	  0.14	0.078	
08116	中国幸福投资	3.57	103980	0.087	--  	1220000	680000	0.00	          0.04	  3.87	0.083	
08148	奥柏中国	-3.70	101980	0.130	--  	770000	300000	0.00	          0.07	  0.15	0.137	
08123	华亿金控	1.41	100710	0.072	--  	1416000	36000	1.41	          0.02	  0.24	0.071	
08048	御德国际控股	7.14	100584	0.105	--  	986000	56000	2.94	          0.08	  2.86	0.101	
08283	正力控股	-1.95	100350	1.510	--  	65000	5000	0.00	          0.01	  0.06	1.560	
08067	东方大学城控股	0.00	99750	3.900	--  	25000	25000	-2.50	          0.01	  0.31	3.950	
08495	1957 & CO.	4.88	96080	0.430	--  	224000	20000	0.00	          0.07	  0.33	0.410	
08155	南华资产控股	0.00	96000	0.048	--  	2000000	2000000	0.00	          0.02	  2.40	0.048	
08023	邝文记	-1.18	89730	0.420	--  	210000	42000	0.00	          0.04	  0.52	0.430	
08093	万星控股	-4.47	87750	1.710	--  	50000	5000	0.00	          0.01	  0.49	1.760	
08442	桦欣控股	0.00	84470	8.890	--  	9500	500	0.00	          0.03	  2.07	8.880	
08421	永顺控股香港	0.00	82200	0.435	--  	195000	5000	0.00	          0.03	  0.11	0.420	
08426	雅居投资控股	0.00	78660	0.193	--  	410000	20000	0.00	          0.05	  0.29	0.191	
08255	神州数字	-6.12	75660	0.920	--  	78000	6000	1.10	          0.02	  0.10	0.980	
08161	医汇集团	1.32	75380	0.077	--  	980000	400000	0.00	          0.09	  1.61	0.076	
08163	万德金融	1.25	74940	0.081	--  	940000	100000	1.25	          0.05	  0.29	0.078	
08126	Ｇ．Ａ．控股	0.00	71765	0.430	--  	167000	3000	0.00	          0.04	  0.89	0.430	
08056	饮食概念	-3.85	69050	0.250	--  	275000	10000	0.00	          0.03	  0.44	0.260	
08278	CMON	1.35	67400	0.226	--  	300000	300000	0.89	          0.02	  0.11	0.225	
08411	K W NELSON GP	3.57	66600	0.290	--  	230000	10000	1.75	          0.02	  0.05	0.290	
08310	大丰港	4.76	66000	0.660	--  	100000	100000	0.00	          0.01	  0.05	0.660	
08230	中国宇天	4.40	64125	0.475	--  	135000	70000	0.00	          0.02	  0.65	0.475	
08112	基石金融	-1.29	61296	0.230	--  	264000	48000	0.00	          0.02	  0.09	0.233	
08162	港银控股	0.00	60900	0.510	--  	120000	40000	0.00	          0.02	  2.22	0.500	
08509	威扬酒业控股	0.00	58400	0.730	--  	80000	4000	0.00	          0.02	  0.15	0.730	
08193	汉华专业服务	-2.44	57300	0.040	--  	1400000	60000	-2.44	          0.02	  0.20	0.044	
08242	宏创高科	0.00	56410	0.135	--  	420000	10000	0.00	          0.03	  0.31	0.134	
08119	即时科研	-1.56	55300	0.630	--  	90000	50000	5.00	          0.04	  2.42	0.610	
08198	乐透互娱	7.14	55264	0.180	--  	312000	100000	2.27	          0.01	  0.39	0.168	
08437	德斯控股	0.00	54640	0.570	--  	96000	8000	-1.72	          0.02	  0.07	0.550	
08355	超智能控股	6.25	53650	0.340	--  	160000	10000	0.00	          0.02	  0.33	0.330	
08057	麦迪森控股	0.00	53120	1.520	--  	36000	4000	4.83	          0.00	  0.02	1.450	
08476	大洋环球控股	3.17	51740	0.650	--  	80000	20000	0.00	          0.03	  0.19	0.630	
08243	大贺传媒	0.00	50175	0.375	--  	140000	25000	0.00	          0.06	  0.17	0.355	
08296	中国生命集团	11.76	49440	0.285	--  	172000	92000	0.00	          0.02	  0.34	0.295	
08225	中国医疗集团	1.89	48500	0.270	--  	180000	60000	0.00	          0.02	  0.69	0.265	
08258	西北实业	2.05	47520	0.199	--  	250000	20000	0.00	          0.08	  0.40	0.199	
08345	火岩控股	3.50	47360	5.920	--  	8000	2000	0.34	          0.01	  0.21	5.940	
08195	L&A INTL HOLD	0.00	44744	0.053	--  	848000	24000	0.00	          0.07	  0.05	0.053	
08480	飞霓控股	0.00	43700	0.420	--  	104000	4000	0.00	          0.02	  1.11	0.425	
08220	比高集团	7.94	43500	0.068	--  	640000	240000	0.00	          0.02	  1.37	0.067	
08178	中国信息科技	0.00	43008	0.128	--  	336000	120000	0.00	          0.01	  0.05	0.128	
08201	宝联控股	0.00	42137	0.355	--  	119700	7500	0.00	          0.04	  0.31	0.355	
08491	COOL LINK	1.69	41150	0.300	--  	130000	5000	0.00	          0.02	  0.23	0.330	
08346	创新电子控股	0.00	40000	0.250	--  	160000	160000	0.00	          0.03	  1.40	0.250	
08035	骏高控股	1.92	39950	0.265	--  	150000	50000	-7.02	          0.03	  0.39	0.260	
08416	HM INTL HLDGS	-7.35	39650	0.630	--  	60000	5000	-1.56	          0.01	  0.11	0.670	
08439	新百利融资	-2.01	38500	1.950	--  	20000	20000	0.00	          0.01	  0.28	1.900	
08091	奥传思维控股	-7.14	38110	0.130	--  	300000	30000	0.00	          0.04	  1.27	0.125	
08402	GT STEEL GROUP	0.00	37700	0.290	--  	130000	5000	0.00	          0.03	  0.11	0.290	
08428	国茂控股	-1.35	37356	0.220	--  	168000	72000	-3.51	          0.01	  0.07	0.228	
08143	华夏医疗	0.00	35316	0.120	--  	304000	32000	0.00	          0.01	  0.09	0.116	
08245	安悦国际控股	-2.22	35070	0.044	--  	805000	100000	0.00	          0.02	  0.45	0.049	
08317	财华社集团	3.45	33540	0.900	--  	38000	4000	0.00	          0.01	  1.90	0.870	
08050	量子思维	5.56	30120	1.140	--  	26000	4000	0.00	          0.00	  0.39	1.160	
