代码	名称	涨幅%%	总金额	现价	买价	卖价	总量	现量	涨速%%	换手%%	今开	
600030	中信证券	2.16	2802806272	18.01	18.02	18.03	1560165	370	0.06	          1.59	17.99	
601288	农业银行	3.61	2307025408	4.31	4.31	4.32	5380012	5	0.00	          0.18	4.27	
600036	招商银行	0.41	2144014336	31.50	31.51	31.52	677681	176	0.38	          0.33	31.88	
601166	兴业银行	2.37	2052991360	18.14	18.13	18.14	1137939	875	0.00	          0.60	18.00	
300059	东方财富	4.60	1831421568	13.41	13.41	13.42	1374946	17488	-0.14	          4.31	13.04	
600019	宝钢股份	1.36	1671300352	10.42	10.42	10.43	1628218	377	0.29	          0.74	10.41	
600028	中国石化	2.69	1670311424	6.48	6.48	6.49	2596592	5243	0.00	          0.27	6.43	
600048	保利地产	1.51	1626813440	15.43	15.46	15.47	1048358	20	-0.05	          0.89	15.50	
000001	平安银行	3.83	1573562624	12.46	12.46	12.47	1268406	15021	0.00	          0.75	12.25	
601899	紫金矿业	3.92	1513264768	4.77	4.76	4.77	3199938	545	0.00	          2.02	4.65	
601668	中国建筑	1.56	1331936640	9.12	9.12	9.13	1463113	242	0.11	          0.49	9.13	
601328	交通银行	1.37	1189547648	6.64	6.64	6.65	1793090	553	-0.14	          0.46	6.66	
600362	江西铜业	2.58	1111203968	18.67	18.66	18.67	599459	81	0.05	          2.89	18.40	
601088	中国神华	2.75	988759936	25.37	25.38	25.39	392804	55	0.08	          0.24	25.16	
600115	东方航空	7.80	976132672	8.02	8.01	8.02	1246046	713	0.25	          1.27	7.60	
601688	华泰证券	1.37	909816896	17.02	17.02	17.03	536043	92	0.29	          0.98	17.05	
002146	荣盛发展	3.47	857530624	11.62	11.62	11.63	747618	6365	0.43	          1.92	11.49	
600340	华夏幸福	3.00	842667520	37.81	37.82	37.83	224656	11	0.13	          0.76	37.30	
000732	泰禾集团	3.58	817898368	28.95	28.95	28.96	283935	7485	0.52	          2.28	28.76	
601699	潞安环能	2.44	793091648	12.59	12.59	12.60	631520	1	0.64	          2.11	12.45	
601988	中国银行	2.10	781265792	4.37	4.37	4.38	1790127	309	0.00	          0.08	4.34	
600740	山西焦化	7.68	770955904	13.18	13.19	13.20	597708	5	0.23	          9.10	12.50	
600188	兖州煤业	2.77	703113408	16.70	16.70	16.71	424877	41	0.06	          1.44	16.41	
601818	光大银行	2.08	699272768	4.41	4.41	4.42	1592599	86	0.23	          0.40	4.40	
601336	新华保险	5.08	677049728	54.58	54.58	54.59	125756	2	0.26	          0.60	52.65	
601766	中国中车	2.08	644335872	10.33	10.33	10.34	627056	1086	0.00	          0.27	10.20	
600016	民生银行	1.54	620420544	8.55	8.55	8.56	726099	272	0.00	          0.25	8.55	
601601	中国太保	4.06	609932288	40.53	40.51	40.52	152013	39	-0.09	          0.24	39.40	
601997	贵阳银行	2.06	596905728	15.33	15.35	15.36	390324	333	0.20	          3.15	15.35	
600282	南钢股份	0.76	594072448	5.32	5.32	5.33	1125036	10	0.19	          2.90	5.36	
000776	广发证券	1.42	585633408	16.43	16.43	16.44	356021	3351	0.06	          0.60	16.44	
300027	华谊兄弟	1.96	584903104	9.38	9.38	9.39	617763	6295	-0.20	          3.22	9.51	
600782	新钢股份	2.39	567372608	7.72	7.72	7.73	745628	1140	0.52	          2.68	7.62	
600383	金地集团	3.68	566346688	12.95	12.93	12.94	441191	2	0.15	          0.98	12.73	
601998	中信银行	5.49	555047808	7.11	7.10	7.11	795694	26	0.42	          0.25	6.90	
601211	国泰君安	0.17	552991360	17.61	17.62	17.63	313367	649	0.11	          0.66	17.77	
601628	中国人寿	3.47	549260288	27.14	27.15	27.16	204991	13	0.26	          0.10	26.55	
600000	浦发银行	1.36	529856480	12.63	12.62	12.64	420123	197	0.00	          0.15	12.60	
601009	南京银行	3.00	525645952	9.28	9.28	9.29	567044	10	-0.10	          0.70	9.22	
601225	陕西煤业	2.25	517366656	9.09	9.09	9.10	571225	5	0.44	          0.57	9.05	
600837	海通证券	0.17	511017792	12.08	12.08	12.09	422194	50	0.08	          0.52	12.17	
000069	华侨城Ａ	0.81	476923200	8.73	8.72	8.73	547361	6927	0.23	          0.89	8.78	
000060	中金岭南	2.11	471952512	10.15	10.14	10.15	466182	5235	0.20	          2.11	10.04	
600919	江苏银行	1.21	461085792	7.52	7.52	7.53	614551	41	0.13	          1.04	7.52	
002601	龙蟒佰利	3.71	451771520	18.17	18.17	18.18	252785	3764	-0.15	          3.76	17.75	
601828	美凯龙	3.18	444161120	17.54	17.55	17.57	257209	76	0.57	          8.17	17.19	
600497	驰宏锌锗	3.36	441937664	7.07	7.07	7.08	629251	75	0.00	          1.46	6.92	
000488	晨鸣纸业	3.04	390497376	17.30	17.30	17.33	226615	4178	-0.39	          2.05	17.02	
600348	阳泉煤业	2.02	387567104	8.57	8.57	8.58	452264	90	0.12	          1.88	8.53	
601857	中国石油	1.75	379639136	8.16	8.15	8.16	466576	33	0.00	          0.03	8.09	
600068	葛洲坝	3.46	377138240	8.68	8.67	8.68	438171	69	0.12	          0.95	8.52	
600808	马钢股份	1.21	369722848	4.19	4.18	4.19	888368	40	0.00	          1.49	4.16	
000983	西山煤电	1.52	361330624	9.34	9.33	9.34	387288	5311	0.00	          1.23	9.30	
603260	合盛硅业	4.98	361035552	56.49	56.45	56.46	65097	3	0.02	          9.30	54.38	
002839	张家港行	2.34	349492928	9.18	9.17	9.18	382758	6590	0.22	          4.59	9.10	
600409	三友化工	4.55	349295328	9.65	9.63	9.64	367482	110	0.31	          1.99	9.35	
600720	祁连山	2.99	318233536	11.04	11.04	11.05	288301	35	0.36	          3.71	10.94	
600325	华发股份	2.62	311087360	7.84	7.84	7.85	397797	500	0.00	          2.08	7.80	
002016	世荣兆业	3.52	301330720	11.47	11.46	11.47	264314	7700	0.26	          4.09	11.28	
601989	中国重工	1.66	286718144	5.52	5.51	5.52	521522	873	0.18	          0.28	5.47	
600569	安阳钢铁	1.22	285961440	4.98	4.98	4.99	580500	82	0.40	          2.43	4.96	
000717	韶钢松山	1.11	285039136	7.29	7.29	7.30	394592	11790	0.28	          1.63	7.22	
300072	三聚环保	1.12	284507200	32.45	32.44	32.45	87907	1284	0.15	          0.64	32.41	
600999	招商证券	1.67	283998944	17.02	17.01	17.03	167441	81	0.06	          0.34	16.91	
002092	中泰化学	2.90	283371968	12.77	12.77	12.78	222338	3002	0.16	          1.09	12.56	
300033	同花顺	3.71	280575808	47.85	47.85	47.86	59000	1131	0.08	          2.24	46.95	
000581	威孚高科	2.68	277967680	23.40	23.40	23.41	119462	1731	-0.08	          1.43	22.93	
600015	华夏银行	1.61	263816512	9.44	9.43	9.44	280126	506	0.11	          0.22	9.42	
600009	上海机场	6.41	262480592	46.63	46.61	46.62	57564	4	-0.14	          0.53	44.30	
002128	露天煤业	3.11	247129632	10.60	10.59	10.60	236256	2029	0.19	          1.45	10.36	
600970	中材国际	2.13	240235616	9.61	9.61	9.62	250396	433	0.10	          1.49	9.53	
002500	山西证券	1.25	236473472	7.28	7.28	7.29	325104	2857	0.14	          1.15	7.26	
603329	上海雅仕	4.46	234720928	27.41	27.39	27.40	85591	8	0.26	         25.94	26.80	
601390	中国中铁	1.61	223588064	7.58	7.57	7.58	296681	338	0.13	          0.16	7.51	
601881	中国银河	2.45	219709040	10.02	10.02	10.03	220594	30	0.30	          1.80	9.92	
600801	华新水泥	3.01	218305040	13.70	13.70	13.71	159813	6	0.00	          1.64	13.52	
000630	铜陵有色	2.58	217807136	2.78	2.78	2.79	784917	6431	0.36	          0.82	2.73	
600025	华能水电	1.75	216134448	4.07	4.07	4.08	533060	63	0.25	          2.96	4.03	
601377	兴业证券	0.89	214565152	6.77	6.76	6.77	317263	20	0.30	          0.47	6.75	
601666	平煤股份	1.43	210609936	6.37	6.36	6.37	331565	125	0.00	          1.40	6.33	
300624	万兴科技	4.16	209675632	45.83	45.83	45.84	46151	669	0.00	         23.08	44.45	
002673	西部证券	1.16	202868640	10.43	10.43	10.44	194442	2839	0.00	          0.56	10.41	
600160	巨化股份	2.52	196785184	10.57	10.57	10.58	186710	385	-0.08	          0.91	10.45	
600598	北大荒	3.31	195853568	10.30	10.30	10.31	191263	699	0.00	          1.08	10.13	
300708	聚灿光电	4.95	193745008	24.17	24.17	24.18	80566	1443	0.12	         12.52	23.52	
300157	恒泰艾普	1.52	193423792	6.03	6.02	6.03	325382	6588	0.00	          5.30	5.99	
600074	ST保千里	5.16	190428608	2.24	2.24	--  	866044	19	0.00	          8.50	2.14	
601003	柳钢股份	0.98	189508624	7.23	7.23	7.24	263573	10	0.14	          1.03	7.22	
601186	中国铁建	1.55	188824752	10.49	10.48	10.49	180619	57	0.10	          0.16	10.47	
600971	恒源煤电	2.77	183628176	10.40	10.40	10.41	177570	101	0.19	          1.78	10.26	
000878	云南铜业	1.60	182714832	12.68	12.67	12.68	144014	1725	0.00	          1.02	12.58	
600926	杭州银行	1.11	181766224	11.84	11.83	11.84	153754	2	0.25	          1.05	11.85	
