代码	名称	涨幅%%	总金额	现价	买价	卖价	总量	现量	涨速%%	换手%%	
02382	舜宇光学科技	-2.80	973416448	128.500	128.400	128.500	7491984	234800	0.08	          0.68	
000816	智慧农业	-0.51	937010816	3.94	3.94	3.95	2411318	64155	-0.24	         18.05	
01928	金沙中国有限公司	-3.09	825308224	43.950	43.900	43.950	18521986	1460000	0.00	          0.23	
02018	瑞声科技	-1.65	818348672	155.200	155.200	155.300	5232856	403500	-0.39	          0.43	
01093	石药集团	-1.77	333357952	17.740	17.740	17.780	18761978	1680000	-0.45	          0.30	
01766	中国中车	-3.09	290825440	7.220	7.220	7.230	39939184	6120000	-0.55	          0.91	
03898	中车时代电气	-4.34	152908304	41.850	41.850	41.900	3618370	145500	0.00	          0.66	
600130	波导股份	-0.83	97590656	7.15	7.11	7.12	136829	59	0.42	          1.78	
000576	广东甘化	-0.64	84415640	20.20	20.19	20.20	42389	1072	1.10	          0.98	
00168	青岛啤酒股份	-2.05	71974792	43.100	43.100	43.350	1658839	180000	0.00	          0.25	
002028	思源电气	-0.99	69751008	16.04	16.03	16.04	43563	428	0.12	          0.75	
03339	中国龙工	-4.71	56812356	3.240	3.230	3.240	17448000	358000	-0.31	          0.41	
00279	民众金融科技	-4.04	56236136	1.900	1.890	1.910	29274000	460000	0.53	          0.19	
002666	德联集团	-1.44	52952684	6.18	6.17	6.18	85282	3803	-0.15	          1.92	
02877	神威药业	-11.93	51052144	10.780	10.780	10.800	4571000	55000	-0.55	          0.55	
03918	金界控股	-2.14	49611908	7.330	--  	--  	6727400	10000	0.41	          0.15	
300547	川环科技	-0.85	47293736	57.00	56.81	57.00	8312	432	0.26	          2.66	
00607	丰盛控股	-0.52	45783548	3.790	3.780	3.790	12075971	840000	-0.26	          0.06	
01478	丘钛科技	-2.68	41192400	10.900	10.900	10.920	3749000	59000	-0.37	          0.34	
08469	盛业资本	-0.53	33407032	7.500	--  	--  	4473000	2000	0.00	          0.60	
00658	中国高速传动	-0.95	32933062	12.500	12.420	12.500	2665000	159000	0.32	          0.16	
00552	中国通信服务	-2.73	29735964	4.640	4.620	4.640	6425211	672000	0.00	          0.27	
