代码	名称	涨幅%%	总金额	现价	买价	卖价	总量	现量	涨速%%	换手%%	
00700	腾讯控股	-2.53	10103931904	446.400	446.400	446.800	22385044	1986000	-0.36	          0.24	
02318	中国平安	-1.67	3990042880	85.150	85.150	85.200	46641528	4813500	-0.06	          0.63	
00005	汇丰控股	-0.52	3004949760	79.550	79.550	79.600	37646052	2026000	-0.19	          0.19	
03968	招商银行	-0.88	1156865536	33.650	33.650	33.700	34401640	1134000	-0.30	          0.75	
02382	舜宇光学科技	-2.80	973416448	128.500	128.400	128.500	7491984	234800	0.08	          0.68	
000816	智慧农业	-0.51	937010816	3.94	3.94	3.95	2411318	64155	-0.24	         18.05	
02823	安硕Ａ５０	-0.87	906653696	15.960	--  	--  	56843804	1008100	-0.13	--  	
00386	中国石油化工股份	-2.18	835921536	6.280	6.280	6.290	132806096	9244000	-0.63	          0.52	
01928	金沙中国有限公司	-3.09	825308224	43.950	43.900	43.950	18521986	1460000	0.00	          0.23	
02822	南方Ａ５０	-0.61	774439936	16.400	--  	--  	47320200	4481600	0.00	--  	
00941	中国移动	-0.80	739948096	74.650	74.650	74.700	9912116	1427500	-0.20	          0.05	
002606	大连电瓷	-7.42	665600192	8.11	8.11	8.12	834398	7261	-0.72	         20.76	
00883	中国海洋石油	-2.23	556144256	11.380	11.360	11.380	48704304	6907000	0.18	          0.11	
000979	中弘股份	-8.00	494596768	1.61	1.61	1.62	3098193	26390	-0.61	          3.69	
00688	中国海外发展	-3.13	478078368	27.850	27.850	27.900	17020074	2244000	-0.54	          0.16	
03188	华夏沪深三百	-0.49	476266912	50.650	--  	--  	9411093	217400	-0.20	--  	
00006	电能实业	-0.23	474660416	65.400	65.350	65.400	7249494	474000	0.08	          0.34	
01113	长实集团	-1.62	470792832	66.900	66.850	66.900	7037621	1036000	0.07	          0.19	
00914	海螺水泥	-2.36	413997120	41.400	41.400	41.500	9921184	634000	-0.48	          0.76	
00823	领展房产基金	-0.84	402925664	65.000	--  	--  	6194625	609500	0.00	--  	
01109	华润置地	-4.11	386091872	29.200	29.200	29.300	13024011	920000	-0.34	          0.19	
603516	淳中科技	-5.09	368377600	44.17	44.22	44.25	83035	1	0.57	         35.51	
01093	石药集团	-1.77	333357952	17.740	17.740	17.780	18761978	1680000	-0.45	          0.30	
01128	永利澳门	-4.34	325631072	26.450	26.400	26.450	11970586	358000	-0.38	          0.23	
00763	中兴通讯	-1.47	303912736	26.800	26.800	26.850	11223821	1152400	-0.56	          1.49	
01766	中国中车	-3.09	290825440	7.220	7.220	7.230	39939184	6120000	-0.55	          0.91	
02202	万科企业	-3.24	280089728	35.800	35.800	35.850	7741982	666300	-0.42	          0.59	
300083	劲胜智能	-1.01	234865776	6.89	6.89	6.90	341396	2601	0.29	          2.87	
00728	中国电信	-1.14	196810624	3.460	3.450	3.460	56806840	10286000	-0.29	          0.41	
02313	申洲国际	-0.13	188697152	79.500	79.350	79.500	2394165	148000	0.25	          0.16	
01099	国药控股	-0.45	184320176	32.900	32.850	32.900	5609933	460400	-0.45	          0.47	
00551	裕元集团	-3.42	169914240	32.500	32.500	32.750	5201234	612500	-0.61	          0.32	
00135	昆仑能源	-0.27	158234720	7.300	7.290	7.300	21742272	1818000	0.14	          0.27	
02689	玖龙纸业	-0.84	156305472	11.800	11.800	11.820	13251649	913000	-0.17	          0.28	
00371	北控水务集团	-2.49	152961424	5.100	5.100	5.110	29704356	1434000	0.00	          0.32	
03898	中车时代电气	-4.34	152908304	41.850	41.850	41.900	3618370	145500	0.00	          0.66	
002903	宇环数控	-0.03	145386096	33.14	33.12	33.14	44572	1359	-0.44	         17.83	
00960	龙湖地产	-0.61	145037696	24.300	24.300	24.400	5974288	833500	-0.82	          0.10	
00347	鞍钢股份	-1.56	139573232	8.830	8.830	8.850	15739443	1150000	0.11	          1.45	
00004	九龙仓集团	-1.72	133411240	28.500	28.500	28.550	4672864	674000	-0.35	          0.15	
002583	海能达	-0.59	130609376	11.76	11.76	11.77	111559	1178	0.00	          1.06	
02607	上海医药	-2.13	129085872	19.260	19.260	19.280	6651371	204200	-0.21	          0.72	
00384	中国燃气	-1.81	122728072	24.450	24.400	24.450	5027893	556600	0.20	          0.10	
01357	美图公司	-1.35	119447888	10.220	10.200	10.220	11761655	418000	2.20	          0.28	
03309	希玛眼科	-5.14	118819248	11.440	--  	--  	10283000	50000	-0.17	          1.00	
00813	世茂房地产	-1.82	116979408	21.550	21.550	21.600	5418109	249500	-1.15	          0.16	
03969	中国通号	-4.00	112898912	6.000	6.000	6.010	18802000	903000	-0.33	          0.95	
00267	中信股份	-0.53	107954960	11.340	11.320	11.340	9555269	1275000	0.00	          0.03	
300425	环能科技	-1.52	107657176	9.06	9.06	9.07	120208	2373	0.67	          8.09	
00489	东风集团股份	-0.21	106046536	9.730	9.700	9.730	10915391	880000	0.10	          0.38	
01030	新城发展控股	-3.47	103320896	6.390	6.360	6.390	15906000	54000	0.31	          0.27	
603936	博敏电子	-7.74	99657464	23.11	23.12	23.16	42847	110	0.30	          7.64	
00012	恒基地产	-0.50	97524240	50.200	50.150	50.200	1948435	360000	0.20	          0.05	
00992	联想集团	-1.00	94011152	3.950	3.950	3.960	23794294	2744000	0.00	          0.20	
07228	ＦＬ二　三星国指	-2.26	82980600	9.100	--  	--  	9102000	4400	0.00	--  	
02208	金风科技	-0.50	81384008	12.000	11.980	12.000	6792280	14800	0.33	          1.04	
00836	华润电力	-0.74	78766000	13.440	13.440	13.460	5877807	908000	0.30	          0.12	
01776	广发证券	-1.05	74158544	15.060	15.060	15.080	4911860	249200	-0.26	          0.29	
00127	华人置业	-5.07	72699160	12.720	--  	--  	5613190	500	0.16	          0.29	
002411	必康股份	-3.60	72163200	24.08	24.07	24.08	30196	247	-0.44	          1.05	
00272	瑞安房地产	-1.36	70766208	2.180	2.170	2.180	32479500	1115000	0.46	          0.40	
03301	融信中国	-5.31	70255816	11.780	11.700	11.780	5899000	74000	0.68	          0.39	
300042	朗科科技	-7.24	70140008	22.03	22.03	22.04	31763	329	-0.22	          2.84	
002028	思源电气	-0.99	69751008	16.04	16.03	16.04	43563	428	0.12	          0.75	
00390	中国中铁	-0.71	69188392	5.630	5.630	5.640	12278444	1342000	-0.35	          0.29	
000737	*ST南风	-3.99	68640624	3.85	3.84	3.85	178525	1531	-0.25	          3.25	
00902	华能国际电力股份	-1.27	68429024	4.670	4.670	4.680	14651312	1814000	-0.21	          0.31	
00880	澳博控股	-2.21	68320904	7.510	7.510	7.520	9055869	718000	0.00	          0.16	
002881	美格智能	-0.19	64904576	26.55	26.55	26.58	24361	818	-0.33	          9.13	
600653	申华控股	-0.43	63145084	2.29	2.29	2.31	275115	8	-0.86	          1.58	
600537	亿晶光电	-0.69	61545184	4.30	4.30	4.31	142569	1	-0.45	          1.21	
00665	海通国际	-2.37	61006464	4.940	4.920	4.940	12313618	79000	0.00	          0.22	
300601	康泰生物	-0.02	60309784	42.89	42.87	42.89	14194	41	0.26	          0.89	
002370	亚太药业	-1.45	58205884	12.94	12.90	12.94	46866	860	1.25	          1.15	
03339	中国龙工	-4.71	56812356	3.240	3.230	3.240	17448000	358000	-0.31	          0.41	
00279	民众金融科技	-4.04	56236136	1.900	1.890	1.910	29274000	460000	0.53	          0.19	
01193	华润燃气	-2.39	54747656	26.600	26.500	26.600	2054669	538000	0.19	          0.09	
01789	爱康医疗	-5.11	54502904	3.900	--  	--  	13676000	4000	0.26	          1.32	
00020	会德丰	-1.93	54383036	55.750	55.750	55.800	974791	376000	0.18	          0.05	
300067	安诺其	-3.61	53694868	5.87	5.86	5.87	91769	3255	-0.33	          2.12	
02666	环球医疗	-2.37	52218620	6.600	6.590	6.600	7810717	128500	0.00	          0.46	
02877	神威药业	-11.93	51052144	10.780	10.780	10.800	4571000	55000	-0.55	          0.55	
06088	FIT HON TENG	-4.69	50002068	4.060	4.060	4.070	12205300	573000	0.00	          0.18	
03918	金界控股	-2.14	49611908	7.330	--  	--  	6727400	10000	0.41	          0.15	
00257	中国光大国际	-0.17	48873332	11.660	11.660	11.680	4181699	756000	0.00	          0.09	
03633	中裕燃气	-1.23	46417444	9.670	--  	--  	4770000	10000	0.83	          0.19	
300680	隆盛科技	-3.59	45170324	25.76	25.76	25.77	17612	441	-0.22	         10.36	
01317	枫叶教育	-0.71	45095396	9.840	9.800	9.850	4584320	52000	0.41	          0.31	
00598	中国外运	-3.14	44600136	4.320	4.320	4.330	10234000	559000	-0.92	          0.48	
06869	长飞光纤光缆	-2.47	43918532	31.600	31.600	31.700	1380667	38000	-0.63	          0.39	
002120	韵达股份	-0.68	43618008	41.20	41.20	41.21	10561	283	0.05	          1.08	
000788	北大医药	-0.79	41867776	7.57	7.57	7.58	55947	1318	0.40	          1.00	
00576	浙江沪杭甬	-1.92	41859984	8.700	8.700	8.720	4772218	398000	-0.46	          0.33	
00968	信义光能	-0.88	41728460	3.380	3.370	3.380	12374259	576000	0.30	          0.17	
03799	达利食品	-0.39	41420512	7.630	7.620	7.630	5434500	136000	0.00	          0.04	
01478	丘钛科技	-2.68	41192400	10.900	10.900	10.920	3749000	59000	-0.37	          0.34	
00916	龙源电力	-1.52	40319876	5.190	5.180	5.190	7741996	1021000	0.00	          0.23	
03337	安东油田服务	-3.88	39445540	0.990	--  	--  	39730000	136000	0.00	          1.49	
02005	石四药集团	-1.99	38443584	5.910	5.910	5.940	6512000	70000	-0.17	          0.22	
00921	海信科龙	-1.93	36607292	10.160	10.160	10.200	3605000	17000	-0.20	          0.78	
03360	远东宏信	-1.27	36048616	7.780	7.770	7.780	4583631	448000	-0.13	          0.12	
01071	华电国际电力股份	-2.21	34705064	2.650	2.640	2.650	13057600	374000	0.38	          0.76	
02669	中海物业	-1.45	34326708	2.710	2.710	2.720	12622998	220000	0.00	          0.38	
08469	盛业资本	-0.53	33407032	7.500	--  	--  	4473000	2000	0.00	          0.60	
03311	中国建筑国际	-0.75	33099182	10.620	10.620	10.640	3104613	442000	-0.56	          0.06	
00658	中国高速传动	-0.95	32933062	12.500	12.420	12.500	2665000	159000	0.32	          0.16	
01060	阿里影业	-1.83	31417308	1.070	1.060	1.070	29521042	1240000	0.00	          0.12	
02386	中石化炼化工程	-2.28	30923574	7.710	7.700	7.710	4027500	63500	0.00	          0.28	
01638	佳兆业集团	-3.50	30296654	4.140	4.140	4.150	7219000	65000	0.00	          0.12	
02357	中航科工	-0.98	30194732	4.060	4.060	4.070	7441323	440000	-0.49	          0.32	
00552	中国通信服务	-2.73	29735964	4.640	4.620	4.640	6425211	672000	0.00	          0.27	
00874	白云山	-2.06	29191952	21.350	21.300	21.350	1363000	18000	0.23	          0.62	
