代码	名称	涨幅%%	总金额	现价	卖价	总量	现量	涨速%%	换手%%	量比	今开	
00700	腾讯控股	-2.53	10103931904	446.400	446.800	22385044	1986000	-0.36	          0.24	  1.08	455.000	
00939	建设银行	-1.99	4038686208	8.390	8.390	479772096	23581000	-0.12	          0.20	  1.04	8.480	
02318	中国平安	-1.67	3990042880	85.150	85.200	46641528	4813500	-0.06	          0.63	  0.89	85.550	
00005	汇丰控股	-0.52	3004949760	79.550	79.600	37646052	2026000	-0.19	          0.19	  0.75	79.800	
01398	工商银行	-2.25	2805107456	6.950	6.960	401529600	19611000	-0.29	          0.46	  1.21	6.970	
00388	香港交易所	-1.13	2065651456	280.000	280.200	7348437	727900	-0.36	          0.59	  0.78	280.200	
03988	中国银行	-1.81	1975747968	4.340	4.350	453257280	26417000	0.00	          0.54	  1.08	4.340	
01299	友邦保险	-2.10	1576529408	63.000	63.100	24927028	3848800	-0.32	          0.21	  1.03	63.500	
03993	洛阳钼业	8.35	1328624000	6.360	6.370	213265136	2466000	-0.31	          5.42	  4.54	5.870	
00175	吉利汽车	-0.21	1290657792	23.700	23.700	54039664	4315000	0.00	          0.60	  1.48	23.600	
01288	农业银行	-0.45	1288404480	4.470	4.470	287956960	13381000	-0.22	          0.94	  1.93	4.450	
02007	碧桂园	-1.26	1278953472	14.160	14.160	89669592	2300000	-0.28	          0.41	  1.22	14.100	
02628	中国人寿	-0.21	1203421824	23.500	23.500	51100780	2496000	0.00	          0.69	  0.89	23.350	
03968	招商银行	-0.88	1156865536	33.650	33.700	34401640	1134000	-0.30	          0.75	  1.78	33.950	
02382	舜宇光学科技	-2.80	973416448	128.500	128.500	7491984	234800	0.08	          0.68	  0.66	133.000	
00027	银河娱乐	-1.69	941027136	66.800	66.900	13954641	1158000	-0.37	          0.32	  1.18	68.500	
00857	中国石油股份	-1.62	930765696	5.480	5.480	169520128	8762000	-0.36	          0.80	  1.32	5.500	
00386	中国石油化工股份	-2.18	835921536	6.280	6.290	132806096	9244000	-0.63	          0.52	  1.10	6.300	
01928	金沙中国有限公司	-3.09	825308224	43.950	43.950	18521986	1460000	0.00	          0.23	  1.21	44.950	
02018	瑞声科技	-1.65	818348672	155.200	155.300	5232856	403500	-0.39	          0.43	  1.08	157.400	
00981	中芯国际	1.71	762441344	10.140	10.160	75474224	980000	-0.20	          1.53	  3.11	9.950	
00941	中国移动	-0.80	739948096	74.650	74.700	9912116	1427500	-0.20	          0.05	  0.55	74.650	
02601	中国太保	0.79	739437248	38.100	38.150	19339854	1619600	-0.39	          0.70	  1.63	37.200	
01088	中国神华	2.01	690784896	22.800	22.800	30530814	1333500	0.00	          0.90	  2.03	22.000	
01548	金斯瑞生物科技	-4.21	666705152	23.900	23.950	26620900	110000	-0.42	          1.53	  2.37	24.300	
00998	中信银行	-0.33	611510656	5.980	5.990	102335152	4301000	-0.33	          0.69	  1.62	5.950	
02319	蒙牛乳业	5.58	586627840	26.500	26.550	22409244	790000	-0.38	          0.57	  2.36	25.000	
00883	中国海洋石油	-2.23	556144256	11.380	11.380	48704304	6907000	0.18	          0.11	  0.58	11.360	
01658	邮储银行	-0.21	535345888	4.830	4.830	110624000	1820000	-0.21	          0.56	  1.88	4.820	
01918	融创中国	-4.46	534661600	31.050	31.150	16851750	1260000	-0.80	          0.38	  1.33	32.000	
00011	恒生银行	1.25	527605856	194.900	194.900	2724184	265500	0.05	          0.14	  1.15	192.000	
00288	万洲国际	0.32	485233568	9.380	9.390	52131884	4917000	0.54	          0.36	  1.86	9.160	
00688	中国海外发展	-3.13	478078368	27.850	27.900	17020074	2244000	-0.54	          0.16	  0.72	28.300	
02328	中国财险	-0.26	476635936	15.360	15.360	31036140	2948000	-0.13	          0.67	  1.65	15.120	
00006	电能实业	-0.23	474660416	65.400	65.400	7249494	474000	0.08	          0.34	  1.44	65.500	
01113	长实集团	-1.62	470792832	66.900	66.900	7037621	1036000	0.07	          0.19	  1.24	66.600	
