代码	名称	涨幅%%	总金额	现价	卖价	总量	现量	涨速%%	换手%%	量比	今开	
02828	恒生Ｈ股	-1.10	1511636992	126.400	--  	11940573	203800	-0.16	--  	  1.02	127.000	
02823	安硕Ａ５０	-0.87	906653696	15.960	--  	56843804	1008100	-0.13	--  	  1.81	16.000	
02822	南方Ａ５０	-0.61	774439936	16.400	--  	47320200	4481600	0.00	--  	  1.05	16.400	
02800	盈富基金	-1.42	549270592	31.200	--  	17562204	2813500	-0.32	--  	  0.52	31.450	
03188	华夏沪深三百	-0.49	476266912	50.650	--  	9411093	217400	-0.20	--  	  1.47	50.700	
00823	领展房产基金	-0.84	402925664	65.000	--  	6194625	609500	0.00	--  	  1.12	65.550	
07288	ＦＬ二南方国指	-2.33	111159432	10.880	--  	10217900	23200	0.00	--  	  1.47	11.160	
07228	ＦＬ二　三星国指	-2.26	82980600	9.100	--  	9102000	4400	0.00	--  	  2.27	9.120	
07300	ＦＩ南方恒指	1.15	63200264	5.260	--  	12039700	6000	0.00	--  	  0.67	5.250	
02778	冠君产业信托	0.71	37504748	5.650	--  	6659992	751000	0.18	--  	  0.99	5.590	
07200	ＦＬ二南方恒指	-2.36	34262032	12.400	--  	2753300	5000	-0.16	--  	  1.10	12.700	
00405	越秀房产信托基金	-0.19	28302116	5.190	--  	5449000	50000	0.00	--  	  1.20	5.210	
07230	ＦＬ二未来国指	-2.25	27590182	11.320	--  	2434300	3000	0.00	--  	  1.51	11.260	
03115	安硕恒生指数	-0.98	21489648	111.500	--  	192540	3000	0.00	--  	  1.58	111.500	
07267	ＦＬ二华夏国指	-2.28	21192272	12.020	--  	1763800	1800	0.17	--  	  1.03	12.300	
07221	ＦＬ二华夏恒指	-2.14	20994366	13.740	--  	1525600	2000	-0.15	--  	  1.67	14.040	
00778	置富产业信托	-0.22	20314180	9.180	--  	2215000	29000	-0.11	--  	  1.46	9.200	
07231	ＦＬ二未来恒指	-2.27	15277571	12.900	--  	1181100	3000	0.00	--  	  1.12	12.920	
07242	ＦＬ二易方达恒指	-2.01	13384166	7.790	--  	1711800	1000	-0.38	--  	  0.88	7.790	
02840	ＳＰＤＲ金ＥＴＦ	-0.30	13376771	981.500	--  	13620	1000	0.00	--  	  1.01	984.500	
07341	ＦＩ华夏国指	1.00	12753437	6.080	--  	2090900	145100	0.33	--  	  1.32	6.120	
07388	ＦＩ南方国指	1.10	11348942	5.500	--  	2064600	78500	0.00	--  	  0.38	5.510	
82822	南方Ａ５０－Ｒ	-0.45	11078560	13.300	--  	834266	1000	0.00	--  	  1.16	13.360	
02833	恒指ＥＴＦ	-1.25	7842831	31.550	--  	248500	10100	0.00	--  	  0.38	31.550	
03040	未来ＭＳＣＩ中国	-1.33	7309666	37.100	--  	196600	5100	0.00	--  	  5.71	37.450	
07205	ＦＬ二　三星恒指	-2.28	7217281	10.300	--  	697400	1000	0.00	--  	  0.56	10.340	
07328	ＦＩ　三星国指	1.10	5720081	4.590	--  	1249600	1200	0.00	--  	  4.56	4.600	
87001	汇贤产业信托	-0.31	5511340	3.210	--  	1721464	3000	0.00	--  	  1.04	3.220	
02801	安硕中国ＥＴＦ	-1.48	4932680	29.950	--  	163800	600	-0.50	--  	  0.66	29.850	
83188	华夏沪深三百－Ｒ	0.12	4728688	41.150	--  	115686	400	0.00	--  	  0.78	41.000	
07336	ＦＩ未来恒指	1.29	4615454	5.490	--  	843100	3000	0.00	--  	  1.11	5.490	
03073	ＳＰＤＲ大中华	-0.11	4358848	43.900	--  	99200	99200	-0.11	--  	  3.50	--  	
00435	阳光房地产基金	0.74	4215750	5.410	--  	780000	6000	-0.55	--  	  0.82	5.390	
03010	安硕亚洲除日	-1.29	4065120	57.250	--  	70912	500	-0.09	--  	  2.96	57.300	
03167	南方中国新行业	-0.44	4062985	79.150	--  	51450	100	0.00	--  	  0.89	78.850	
02827	标智沪深３００	0.13	3998040	39.600	--  	101400	600	0.13	--  	  1.12	39.600	
03087	ＸＴＲ富时越南	-0.07	3603088	280.800	--  	12827	10	0.07	--  	  1.40	280.000	
07312	ＦＩ　三星恒指	0.92	3112828	4.390	--  	710200	153800	0.00	--  	  0.60	4.400	
03085	领航亚洲高股息率	-2.25	2526828	23.900	--  	102210	500	-0.21	--  	  3.48	25.300	
07302	ＦＩ易方达恒指	1.30	2472032	4.670	--  	531600	200	0.00	--  	  0.46	4.670	
03161	易亚中概股	-0.27	2055800	14.600	--  	141000	1000	0.00	--  	  0.48	14.580	
00808	泓富产业信托	-0.59	1976700	3.350	--  	588000	15000	0.00	--  	  0.69	3.370	
03147	南方中创业板	-0.80	1967528	7.440	--  	264600	200	-0.27	--  	  0.88	7.480	
07210	ＸＬ二易亚中概股	-1.18	1768940	20.850	--  	85000	5000	0.00	--  	  0.50	20.650	
03092	ＴＲ泰国	0.55	1753110	220.600	--  	8000	400	0.00	--  	  1.02	218.200	
83115	安硕恒生指数－Ｒ	-0.71	1606354	90.550	--  	17720	1720	-0.17	--  	  0.21	90.600	
07321	ＦＩ华夏恒指	0.87	1485818	5.820	--  	255000	12000	0.17	--  	  0.33	5.820	
02836	安硕印度	-0.62	1473670	23.900	--  	61800	4000	0.21	--  	  0.88	23.950	
03049	ＸＴＲ沪深三百	0.35	1467039	8.720	--  	168900	300	0.00	--  	  2.44	8.680	
03140	领航标普５００	-1.73	1377299	19.280	--  	70912	1600	0.00	--  	  0.85	19.620	
02838	恒生富时中国５０	-1.89	1313200	218.600	--  	6000	100	0.00	--  	  0.65	223.400	
02843	东汇Ａ５０	-0.36	1226828	16.780	--  	73400	10000	0.00	--  	  0.79	16.680	
03141	ＢＭＯ亚洲投资债	-0.33	1147275	15.200	--  	75513	400	0.00	--  	  3.02	15.200	
01881	富豪产业信托	-1.23	1040360	2.400	--  	432000	1000	-0.41	--  	  0.72	2.400	
00820	汇丰中国翔龙基金	0.18	958780	11.240	--  	85500	1000	0.00	--  	  3.35	11.200	
82843	东汇Ａ５０－Ｒ	-0.15	923964	13.600	--  	68200	10000	0.00	--  	  0.38	13.520	
03046	价值中国ＥＴＦ	-1.23	890050	48.000	--  	18600	1000	0.00	--  	  0.19	47.950	
82836	安硕印度－Ｒ	-0.52	868344	19.280	--  	45000	5000	0.00	--  	  1.34	19.460	
03128	恒生Ａ股龙头	-0.40	816150	62.950	--  	13000	1000	0.00	--  	  0.42	62.800	
03175	Ｆ三星原油期	-0.16	768556	12.820	--  	59800	1000	0.16	--  	  1.01	12.800	
07261	ＦＬ二华夏纳一百	-1.57	705580	28.200	--  	25100	3000	0.00	--  	  0.70	28.050	
03081	价值黄金	-0.46	614611	32.250	--  	19043	100	0.00	--  	  0.10	32.400	
02819	ＡＢＦ港债指数	-0.46	585998	98.350	--  	5940	900	0.00	--  	  3.15	99.500	
03101	领航富时发展欧洲	-1.58	552936	19.880	--  	27770	200	-0.10	--  	  0.91	19.980	
82828	恒生Ｈ股－Ｒ	-0.87	512000	102.800	--  	5000	5000	-0.87	--  	  1.18	--  	
02846	安硕沪深三百	0.47	507235	32.350	--  	15700	400	0.00	--  	  0.50	32.100	
03173	ＰＰ中国新经济	0.00	457115	8.220	--  	56000	500	0.12	--  	  0.43	8.120	
02834	安硕纳指一百	-1.42	409412	12.520	--  	32700	2000	0.00	--  	  2.02	12.600	
03027	ＸＴＲ俄罗斯	2.00	385194	22.950	--  	16875	1000	-0.22	--  	  2.45	22.700	
07331	ＦＩ华夏纳一百	0.93	377538	10.800	--  	34900	19000	0.00	--  	  0.67	10.820	
01426	春泉产业信托	-0.30	374430	3.310	--  	113000	1000	0.00	--  	  0.37	3.300	
09115	安硕恒生指数－Ｕ	-0.42	364448	14.280	--  	25530	1530	0.00	--  	  1.31	14.260	
02803	ＰＰ中国基石经济	-0.81	361550	8.540	--  	42500	5000	0.00	--  	  0.31	8.490	
03157	华夏港股通小型股	0.90	358850	27.900	--  	13000	1000	-0.53	--  	  0.50	27.550	
03060	价值台湾ＥＴＦ	-0.93	340400	42.550	--  	8000	8000	0.00	--  	  0.76	42.550	
