代码	名称	涨幅%%	总金额	现价	卖价	总量	现量	涨速%%	换手%%	量比	今开	
08473	弥明生活百货	7.02	521426880	0.610	--  	751726016	10000	1.67	         67.12	  2.59	0.560	
08379	汇安智能	-8.82	85720952	0.465	--  	170290000	100000	0.00	         21.29	  0.83	0.520	
08013	ECI TECH	-5.35	83215280	0.177	--  	365140000	20000	0.57	         22.82	 17.84	0.200	
08469	盛业资本	-0.53	33407032	7.500	--  	4473000	2000	0.00	          0.60	  1.81	7.680	
08392	舍图控股	16.90	26933902	0.415	--  	67320000	20000	0.00	          6.73	  4.75	0.355	
08101	壹家壹品	19.35	23409642	0.111	--  	212432000	300000	-0.89	          7.35	 99.83	0.096	
08238	惠陶集团	-2.88	21203658	0.101	--  	204728000	8000	-0.98	          2.37	  0.79	0.102	
08485	竣球控股	-8.70	20322740	0.189	--  	99220000	100000	2.16	          9.92	  4.81	0.210	
08359	HYPEBEAST	26.19	20075500	0.530	--  	41700000	20000	3.92	          2.09	  4.13	0.410	
08207	中新控股	-0.98	19801128	1.010	--  	19528000	36000	1.00	          0.09	  1.11	1.030	
08138	同仁堂国药	1.09	16559241	13.020	--  	1276000	1000	-0.31	          0.15	  1.21	12.920	
08470	莹岚集团	2.94	15089201	1.750	--  	8648000	8000	0.00	          1.44	  4.30	1.690	
08043	ATLINKS	9.84	13133301	0.670	--  	19015000	100000	0.00	          4.75	  4.89	0.630	
08479	金泰丰国际控股	5.19	13105421	0.810	--  	15582000	72000	-1.22	          3.71	  4.60	0.770	
08462	桥英控股	0.74	13045201	1.370	--  	9815000	30000	1.48	          1.64	  6.64	1.360	
08523	常满控股	12.50	11838651	0.495	--  	23875000	15000	3.13	          5.97	  2.46	0.440	
08227	西安海天天	-4.86	11751791	6.070	--  	1849000	5000	0.00	          0.29	  0.97	6.400	
08086	新维国际控股	1.75	11569641	0.290	--  	42612000	8000	0.00	          1.53	  2.92	0.270	
08519	JIA GROUP	9.04	10662541	0.205	--  	51400000	50000	0.00	          5.98	  3.65	0.188	
08228	国艺娱乐	-1.28	10626701	0.385	--  	27500000	20000	1.32	          0.61	  0.95	0.390	
08513	迎宏控股	16.67	10342100	0.560	--  	18236000	68000	1.82	          4.56	 16.60	0.480	
08065	高萌科技	20.00	9844225	0.450	--  	21205000	20000	2.27	          5.30	 29.66	0.360	
08285	森浩集团	12.07	7029251	0.325	--  	21290000	60000	1.56	          3.80	 13.53	0.290	
08181	港深联合	13.16	6948681	0.430	--  	17064000	48000	2.38	          1.99	 11.66	0.380	
08450	钜京控股	8.13	6838531	0.226	--  	30780000	20000	0.89	          3.08	  1.73	0.203	
08301	明华科技	1.02	5739361	0.990	--  	5856000	168000	-4.81	          2.93	  3.49	0.980	
08040	ＤＣＢ控股	6.49	5720151	0.820	--  	6975000	40000	0.00	          2.18	  0.23	0.780	
08156	众彩股份	-2.38	5314801	0.820	--  	6530000	30000	0.00	          0.20	  0.52	0.830	
08090	中国融保金融集团	0.00	5122880	0.900	--  	5687000	2000	0.00	          0.32	  1.40	0.900	
08083	中国创新支付	0.00	4983980	0.440	--  	11360000	4000	1.15	          0.16	  0.71	0.435	
08055	中国网络信息科技	-1.30	4973960	0.380	--  	13272000	80000	1.33	          0.37	  2.29	0.375	
08313	杰地集团	-4.62	4270850	0.310	--  	13550000	20000	0.00	          0.68	  1.47	0.320	
08073	兴业新材料	0.70	4057350	1.430	--  	2896318	4000	4.38	          0.60	  1.08	1.400	
08022	永耀集团控股	0.00	3898920	1.080	--  	3600000	3000	-0.92	          0.22	  0.51	1.070	
08422	ＷＴ集团	4.24	3724400	1.230	--  	3250000	10000	0.00	          0.33	  4.89	1.180	
08535	荧德控股	-2.86	3578100	0.136	--  	25760000	120000	-0.73	          2.15	  1.04	0.141	
