代码	名称	涨幅%%	总金额	现价	卖价	总量	现量	涨速%%	换手%%	量比	今开	
00700	腾讯控股	-0.27	9191829504	445.800	445.800	20482028	1219900	-0.18	          0.22	  0.62	450.000	
00005	汇丰控股	-3.11	7006639616	80.950	80.950	84846344	4714800	-0.55	          0.42	  1.68	83.750	
02318	中国平安	-2.01	3979704832	85.100	85.100	46383664	2945000	-0.06	          0.62	  0.60	86.200	
00939	建设银行	-1.77	3477149952	8.330	8.340	414637312	26398000	-0.12	          0.17	  0.69	8.500	
00388	香港交易所	-0.79	2631360256	277.800	277.800	9463176	259600	0.14	          0.76	  0.69	278.000	
03988	中国银行	-2.05	1761608576	4.310	4.320	405121728	29770000	-0.46	          0.48	  0.69	4.400	
01398	工商银行	-1.57	1720462464	6.880	6.880	249452112	15374000	-0.15	          0.29	  0.51	6.940	
01299	友邦保险	-0.08	1587935872	63.250	63.250	25243028	2574800	0.64	          0.21	  0.81	62.400	
02382	舜宇光学科技	2.58	1272461824	131.300	131.300	9695008	254100	-0.53	          0.88	  0.72	128.000	
00175	吉利汽车	2.42	1270095744	23.250	23.250	54404128	3126000	0.43	          0.61	  0.97	23.250	
00027	银河娱乐	1.95	992842368	68.000	68.000	14738503	857000	0.37	          0.34	  0.89	66.800	
02628	中国人寿	-0.22	976406400	23.100	23.100	42257448	2394000	0.22	          0.57	  0.54	23.150	
00941	中国移动	-0.27	936634752	74.000	74.000	12627082	1199500	0.00	          0.06	  0.52	74.200	
01928	金沙中国有限公司	1.12	922571648	45.100	45.100	20349376	844400	-0.44	          0.25	  1.28	45.900	
00883	中国海洋石油	-0.53	913036672	11.340	11.360	79975736	6312000	-0.18	          0.18	  0.76	11.680	
02007	碧桂园	-2.02	909719104	13.580	13.580	66660180	2470000	-0.15	          0.31	  0.71	13.960	
03968	招商银行	-2.91	731406912	33.400	33.400	21644198	1544500	-0.15	          0.47	  0.76	35.000	
02018	瑞声科技	2.55	679154368	156.900	156.900	4353739	297000	0.13	          0.36	  0.59	154.300	
00857	中国石油股份	-0.55	647126912	5.420	5.420	118340136	8548000	0.00	          0.56	  0.73	5.450	
01288	农业银行	-1.37	633015680	4.310	4.310	145983744	8091000	-0.23	          0.47	  0.66	4.390	
00011	恒生银行	-1.61	510722208	189.200	189.200	2680405	110400	0.00	          0.14	  1.25	192.000	
02388	中银香港	-1.27	476991872	38.900	38.950	12221838	707000	-0.13	          0.12	  0.86	39.400	
