代码	名称	涨幅%%	总金额	现价	买价	卖价	总量	现量	涨速%%	换手%%	今开	
601838	成都银行	6.17	1243422848	13.25	13.25	13.26	960566	112	0.23	         26.59	12.70	
600362	江西铜业	2.13	1099464192	19.21	19.21	19.22	580237	5	0.10	          2.80	18.83	
601328	交通银行	0.30	1049737152	6.70	6.69	6.70	1568245	41	0.15	          0.40	6.70	
002129	中环股份	10.06	665123520	8.64	8.64	--  	792862	1296	0.00	          3.00	7.93	
600000	浦发银行	0.08	620261056	12.73	12.73	12.74	488061	32	0.00	          0.17	12.77	
300027	华谊兄弟	2.78	569424192	9.61	9.61	9.62	597377	5646	0.10	          3.11	9.42	
000503	海虹控股	10.00	567379136	31.80	31.80	--  	186305	1909	0.00	          2.07	29.30	
000983	西山煤电	1.27	550404864	9.60	9.60	9.61	572646	4735	0.21	          1.82	9.65	
600547	山东黄金	1.68	524457984	26.62	26.64	26.65	198667	24	0.23	          1.37	26.17	
601628	中国人寿	1.80	514089760	27.75	27.75	27.76	187078	10	0.00	          0.09	27.38	
600497	驰宏锌锗	2.54	488260192	7.27	7.26	7.27	678296	74	0.55	          1.57	7.12	
000060	中金岭南	1.18	470196128	10.32	10.31	10.32	458170	4172	0.10	          2.07	10.23	
600919	江苏银行	0.79	441101600	7.62	7.62	7.63	580459	146	-0.25	          0.98	7.58	
600409	三友化工	2.07	389946432	9.84	9.83	9.84	399572	34	0.00	          2.16	9.70	
601666	平煤股份	3.84	375035328	6.76	6.76	6.77	566081	1626	0.15	          2.40	6.65	
300739	明阳电路	3.86	368704096	39.28	39.27	39.28	93148	1783	0.05	         30.24	39.40	
002128	露天煤业	0.09	363081792	10.85	10.85	10.86	337143	2564	0.09	          2.06	10.86	
300343	联创互联	4.02	362323072	14.74	14.73	14.74	247190	6157	0.20	          6.54	14.36	
002178	延华智能	1.85	316326720	6.62	6.61	6.62	481107	7845	0.00	          7.93	6.52	
002760	凤形股份	3.11	293085344	22.20	22.20	22.21	134294	2489	0.18	         29.37	21.53	
601390	中国中铁	0.92	288673472	7.70	7.70	7.71	377773	208	0.26	          0.21	7.65	
600875	东方电气	1.81	269075808	9.57	9.56	9.59	284722	160	0.10	          1.43	9.45	
300364	中文在线	5.08	263994144	10.35	10.35	10.36	257927	6303	0.29	          5.72	10.06	
601186	中国铁建	0.94	263854064	10.75	10.75	10.76	247053	5	0.00	          0.21	10.71	
300738	奥飞数据	4.05	253696672	53.40	53.40	53.42	47504	624	0.24	         29.11	53.39	
600958	东方证券	2.19	251200624	13.52	13.51	13.52	187191	32	0.07	          0.60	13.30	
600971	恒源煤电	1.03	238447600	10.77	10.77	10.78	222946	16	-0.08	          2.23	10.76	
603058	永吉股份	9.99	222094576	16.29	16.29	--  	142398	3	0.00	          6.24	14.82	
603499	翔港科技	6.87	181832656	25.20	25.21	25.22	73296	8	0.48	         29.32	24.19	
601101	昊华能源	1.52	181204064	8.02	8.01	8.02	228946	205	0.63	          1.91	7.96	
300157	恒泰艾普	0.48	179818080	6.30	6.29	6.30	287365	4584	0.32	          4.68	6.31	
600531	豫光金铅	1.94	179662512	6.82	6.81	6.82	266573	39	0.29	          2.45	6.69	
600177	雅戈尔	3.44	170044048	9.03	9.03	9.04	190250	5	0.00	          0.53	8.76	
600705	中航资本	1.12	166756000	5.43	5.42	5.43	308689	1	0.00	          0.41	5.38	
601198	东兴证券	2.92	145511552	13.74	13.73	13.75	107238	5	-0.06	          0.39	13.40	
000166	申万宏源	1.60	140301040	5.08	5.07	5.08	278317	3167	0.20	          0.14	5.01	
600816	安信信托	1.05	120963376	12.52	12.51	12.52	97105	98	0.00	          0.39	12.48	
601001	大同煤业	1.29	118062288	6.28	6.28	6.29	189786	20	0.32	          1.13	6.25	
600803	新奥股份	2.53	116504336	12.54	12.54	12.55	93478	10	0.08	          0.95	12.38	
000558	莱茵体育	2.20	115053664	4.18	4.17	4.18	277929	3621	0.24	          2.16	4.11	
600023	浙能电力	0.71	113559152	5.64	5.64	5.65	202334	40	0.18	          0.15	5.60	
002470	金正大	4.77	106990888	7.91	7.90	7.91	137864	1045	0.25	          0.51	7.57	
000937	冀中能源	0.70	106474624	5.74	5.73	5.74	186649	3791	0.00	          0.64	5.73	
600997	开滦股份	0.99	105755056	6.14	6.14	6.15	173403	30	0.16	          1.40	6.10	
000552	靖远煤电	0.82	102589416	3.67	3.66	3.67	281579	3240	0.55	          1.81	3.67	
600170	上海建工	0.52	100848552	3.83	3.82	3.83	264901	2	0.26	          0.31	3.81	
601618	中国中冶	0.71	99789184	4.23	4.23	4.24	236959	140	0.00	          0.13	4.20	
600061	国投资本	1.15	99683632	12.32	12.34	12.35	81023	120	-0.07	          0.22	12.22	
300081	恒信东方	3.09	95160792	10.35	10.34	10.35	93475	1131	-0.18	          3.81	10.04	
600395	盘江股份	1.33	94842400	6.88	6.87	6.88	138882	8	0.00	          0.84	6.90	
002101	广东鸿图	2.00	86463864	18.84	18.83	18.84	46359	591	0.16	          1.87	18.65	
600959	江苏有线	1.22	81328432	7.47	7.46	7.47	109498	114	0.13	          0.78	7.38	
000756	新华制药	2.71	80814272	11.76	11.75	11.76	69131	834	0.09	          2.25	11.49	
300326	凯利泰	2.94	76027376	8.06	8.05	8.06	95738	676	0.12	          1.50	7.87	
000584	哈工智能	1.51	71589400	14.83	14.83	14.84	48779	643	0.20	          0.80	14.65	
000018	神州长城	0.18	66909360	5.72	5.71	5.72	117584	2025	0.00	          1.56	5.71	
000638	万方发展	5.42	64412820	8.76	8.76	8.77	74751	1466	-0.22	          2.42	8.33	
300294	博雅生物	3.77	51892696	31.38	31.37	31.38	16613	164	-0.09	          0.51	30.45	
300256	星星科技	1.54	51786436	6.61	6.61	6.62	78080	1984	-0.14	          1.97	6.77	
000737	*ST南风	2.48	50568984	4.14	4.14	4.15	120667	543	-0.23	          2.20	4.09	
002231	奥维通信	4.05	48011520	7.70	7.69	7.70	63520	2098	-0.76	          2.20	7.39	
002847	盐津铺子	2.82	47080808	23.34	23.32	23.34	20279	188	0.04	          5.74	23.22	
600984	建设机械	2.18	46979656	6.55	6.54	6.55	71297	100	0.31	          1.32	6.51	
603079	圣达生物	2.70	41421924	43.82	43.67	43.79	9529	1	-0.17	          4.76	42.65	
300527	华舟应急	2.79	39182752	23.21	23.21	23.22	17027	78	0.22	          1.19	22.59	
000613	*ST东海A	5.05	37846012	7.91	7.90	7.91	48384	679	0.38	          1.82	7.60	
300680	隆盛科技	4.14	36155680	26.92	26.92	26.94	13576	154	0.19	          7.99	26.28	
002370	亚太药业	9.97	35780464	14.12	14.12	--  	26623	74	0.00	          0.65	12.86	
603637	镇海股份	4.96	33998876	18.40	18.41	18.42	18601	21	-0.37	          5.59	17.53	
300042	朗科科技	3.39	31490154	23.21	23.21	23.22	13793	137	-0.16	          1.23	22.39	
002355	兴民智通	1.65	29874182	9.88	9.87	9.88	30526	1511	0.20	          1.03	9.74	
300607	拓斯达	2.34	27976616	60.23	60.23	60.28	4697	65	-0.25	          1.44	58.60	
002319	乐通股份	1.76	26752154	16.18	16.17	16.18	16675	696	-0.11	          0.83	15.87	
600851	海欣股份	0.65	25250490	10.87	10.87	10.88	23343	119	0.09	          0.32	10.81	
002053	云南能投	1.93	22654702	11.10	11.10	11.11	20571	424	0.54	          0.55	10.98	
600858	银座股份	2.21	21401116	7.40	7.40	7.41	29228	3	0.27	          0.56	7.25	
002239	奥特佳	0.81	21120616	3.72	3.72	3.73	57028	586	0.00	          0.30	3.71	
002579	中京电子	2.35	20925558	8.28	8.27	8.28	25110	778	-0.11	          0.73	8.11	
300522	世名科技	2.78	16406814	16.98	16.97	16.98	9706	159	0.12	          1.86	16.62	
603028	赛福天	3.60	16257369	9.22	9.22	9.23	17708	10	0.00	          1.53	8.94	
002209	达 意 隆	2.75	16148654	8.59	8.59	8.60	18861	201	0.00	          0.99	8.49	
600007	中国国贸	1.07	11119352	15.17	15.16	15.17	7370	6	0.07	          0.07	15.03	
002435	长江润发	2.19	11059279	17.25	17.25	17.26	6457	116	0.06	          0.35	17.00	
300412	迦南科技	3.76	11045977	8.83	8.82	8.83	12708	500	0.57	          0.58	8.52	
300423	鲁亿通	1.44	7236612	25.36	25.35	25.36	2863	165	0.28	          0.42	25.15	
数据来源:通达信
