代码	名称	涨幅%%	总金额	现价	买价	卖价	总量	现量	涨速%%	换手%%	
600048	保利地产	-3.52	3019017728	15.09	15.08	15.09	2023755	99	0.33	          1.72	
000858	五 粮 液	-1.41	2511465984	78.52	78.52	78.53	320270	3303	0.23	          0.84	
000002	万 科Ａ	-1.56	1832518272	34.18	34.18	34.19	540655	4862	-0.05	          0.56	
002146	荣盛发展	-1.39	1466534656	11.39	11.39	11.40	1311339	9494	0.26	          3.37	
600340	华夏幸福	-0.79	1376941824	38.97	38.98	38.99	357995	29	0.36	          1.21	
600606	绿地控股	-0.64	1332587008	7.73	7.72	7.73	1746953	40	0.13	          5.42	
001979	招商蛇口	-2.61	1130979328	23.11	23.11	23.12	497713	2751	0.35	          2.62	
600383	金地集团	-2.07	849668608	12.76	12.76	12.77	668217	5	0.08	          1.48	
601155	新城控股	-2.96	799647552	34.15	34.15	34.16	236645	2	0.23	          3.29	
000069	华侨城Ａ	-0.80	647501760	8.70	8.70	8.71	755577	3970	0.23	          1.23	
601636	旗滨集团	-0.55	620229824	7.21	7.21	7.22	869721	12	0.84	          3.46	
601888	中国国旅	-1.74	611129856	53.14	53.20	53.25	114801	4	-0.27	          0.59	
002714	牧原股份	-4.67	602413120	50.43	50.43	50.44	120097	1542	0.66	          2.00	
600398	海澜之家	-0.39	583312000	12.71	12.70	12.71	461382	245	0.55	          1.03	
000671	阳 光 城	-1.30	526610560	8.38	8.38	8.39	636252	6695	0.24	          1.96	
600809	山西汾酒	-1.88	502067968	56.84	56.86	56.90	89248	3	0.26	          1.03	
002304	洋河股份	-1.54	447911552	128.78	128.78	128.88	34635	243	0.01	          0.28	
000568	泸州老窖	-0.50	423613696	61.55	61.55	61.60	69101	407	0.08	          0.49	
02688	新奥能源	-2.04	421766784	60.050	60.000	60.050	7017973	1466000	0.17	          0.65	
000806	银河生物	-6.10	388306144	6.62	6.61	6.62	599191	6870	-0.29	          8.58	
000537	广宇发展	-2.35	349343360	13.72	13.72	13.73	256835	2745	0.37	          5.01	
600466	蓝光发展	-2.01	315968416	9.73	9.73	9.74	326812	5	-0.20	          3.70	
300110	华仁药业	-9.96	311063296	6.60	--  	6.60	471308	249697	0.00	          3.99	
000663	永安林业	-1.58	276913792	18.10	18.10	18.13	163698	3583	3.13	          7.58	
000963	华东医药	-0.28	275546944	56.69	56.68	56.69	48819	191	0.34	          0.56	
02600	中国铝业	-4.18	247581136	4.810	4.800	4.810	50873688	1632000	0.42	          1.29	
000661	长春高新	-0.23	235182880	167.85	167.85	167.88	13983	46	0.09	          0.82	
600779	水井坊	-1.04	232821712	45.52	45.52	45.54	51301	22	-0.06	          1.05	
01813	合景泰富	-5.64	232634992	11.720	11.700	11.720	19683952	202500	0.17	          0.62	
603699	纽威股份	-2.78	229753472	16.41	16.41	16.43	147551	32	-0.35	          1.97	
01030	新城发展控股	-1.11	208365696	6.240	6.230	6.240	33726000	106000	0.16	          0.57	
600645	中源协和	-0.93	196286832	19.15	19.12	19.17	103178	50	0.10	          2.69	
603555	贵人鸟	-1.21	190664640	22.84	22.83	22.84	83466	66	0.04	          1.33	
00144	招商局港口	-1.49	188891312	18.500	18.480	18.500	10200179	674000	0.00	          0.31	
002547	春兴精工	-1.41	187356208	9.06	9.06	9.07	205722	2422	0.00	          2.57	
02313	申洲国际	-2.44	185211136	78.000	77.950	78.000	2362371	113000	0.06	          0.16	
00817	中国金茂	-1.40	180031472	4.930	4.920	4.930	36592000	1102000	0.41	          0.32	
600638	新黄浦	-1.28	177433968	15.38	15.38	15.39	117001	24	-0.18	          2.08	
01910	新秀丽	-1.01	174361152	34.450	--  	--  	5026679	600	-0.14	          0.35	
00968	信义光能	-5.70	161028624	3.310	3.310	3.320	47423264	936000	0.00	          0.64	
002278	神开股份	-9.98	160993216	10.37	--  	10.37	155249	13978	0.00	          4.54	
00813	世茂房地产	-3.42	154605536	21.200	21.200	21.250	7209446	176000	0.00	          0.21	
603833	欧派家居	-2.28	147127184	146.48	146.41	146.50	10027	1	0.00	          2.42	
00291	华润啤酒	-0.32	146159184	30.900	30.750	30.900	4736240	328000	0.32	          0.15	
00215	和记电讯香港	-2.34	127847632	3.340	3.340	3.350	38288800	450000	0.00	          0.79	
03380	龙光地产	-4.04	118570640	10.920	10.900	10.920	10866800	98000	0.18	          0.20	
03800	保利协鑫能源	-3.08	114892256	1.260	1.260	1.270	90619528	821000	-0.79	          0.49	
002124	天邦股份	-3.09	114204920	9.71	9.70	9.71	117329	903	-0.09	          3.07	
002713	东易日盛	-2.51	112451120	27.22	27.22	27.23	41797	188	0.07	          5.58	
601600	中国铝业	-10.01	106356432	7.28	--  	7.28	146094	3	0.00	          0.13	
00669	创科实业	-1.41	104818968	48.800	48.750	48.800	2153751	158500	0.00	          0.12	
03799	达利食品	-0.52	103889288	7.610	7.580	7.610	13702500	347500	0.53	          0.10	
002330	得利斯	-0.62	103229352	8.05	8.05	8.06	127517	1760	-0.36	          2.54	
601021	春秋航空	-0.38	94138952	34.30	34.42	34.43	27816	11	0.29	          0.35	
00772	阅文集团	-2.06	89242592	78.450	--  	--  	1132783	400	0.38	          0.12	
03900	绿城中国	-1.28	84797504	12.340	12.340	12.360	6915500	21500	0.00	          0.32	
000815	美利云	-2.56	82744760	12.96	12.95	12.96	63590	717	0.23	          2.01	
06169	宇华教育	-3.74	78850280	4.370	4.360	4.370	17830000	70000	-0.23	          0.55	
03301	融信中国	-4.76	77387056	11.200	11.180	11.200	6901500	57000	0.18	          0.46	
002609	捷顺科技	-0.94	74671736	14.83	14.82	14.83	50398	1333	0.00	          1.37	
002521	齐峰新材	-1.30	74242960	9.10	9.10	9.11	81696	2686	-0.10	          1.90	
603889	新澳股份	-0.58	70898272	15.42	15.41	15.42	46104	35	0.59	          1.43	
600182	S佳通	-0.11	66833944	26.43	26.42	26.46	25429	1	0.00	          1.50	
00279	民众金融科技	-6.28	65118180	1.790	1.780	1.800	36606000	1660000	0.00	          0.23	
600239	云南城投	-0.63	64717160	4.75	4.73	4.74	136870	3	0.21	          0.85	
00582	蓝鼎国际	-1.43	64229944	0.345	--  	--  	189644496	2040000	1.47	          0.13	
600892	大晟文化	-2.32	63971928	10.53	10.53	10.54	60819	6	-0.46	          2.42	
002248	*ST东数	-1.35	59055064	10.24	10.24	10.25	57980	952	0.00	          1.89	
07300	ＦＩ南方恒指	-0.77	57051164	5.170	--  	--  	11020300	15000	0.00	--  	
601886	江河集团	-0.11	56530028	8.88	8.87	8.88	63732	20	0.00	          0.68	
01628	禹洲地产	-1.96	55406964	4.990	4.990	5.000	10973107	88000	-0.40	          0.26	
600548	深高速	-2.02	54782448	8.74	8.73	8.74	62619	5	0.23	          0.44	
01919	中远海控	-0.71	54215724	4.190	4.180	4.190	12950650	346500	-0.24	          0.50	
600636	*ST爱富	-0.27	53801344	14.95	14.95	14.96	36130	200	0.07	          0.85	
00494	利丰	-1.26	53733312	3.930	3.920	3.930	13592759	1016000	0.00	          0.16	
03309	希玛眼科	-2.77	51222124	11.220	--  	--  	4540000	4000	0.18	          0.44	
300566	激智科技	-9.99	45259232	29.10	--  	29.10	15553	1023	0.00	          2.14	
02005	石四药集团	-2.69	44562940	5.790	5.790	5.820	7693130	122000	-1.19	          0.26	
300300	汉鼎宇佑	-0.13	43667168	15.43	15.42	15.43	28236	477	-0.05	          1.03	
03339	中国龙工	-2.18	43020444	3.140	3.130	3.140	13611491	215000	0.32	          0.32	
01458	周黑鸭	-2.09	42537336	8.430	8.390	8.430	5045500	14500	0.48	          0.21	
08469	盛业资本	-1.72	42129944	7.420	--  	--  	5632000	2000	-0.80	          0.76	
03606	福耀玻璃	-1.23	42066360	32.200	32.150	32.200	1303400	98000	-0.31	          0.26	
00520	呷哺呷哺	-2.81	40624676	15.240	--  	--  	2641000	500	-0.13	          0.25	
00119	保利置业集团	-1.68	39588024	4.100	4.090	4.100	9652001	207000	0.00	          0.26	
000586	汇源通信	-1.74	39451340	15.84	15.83	15.84	25055	565	0.19	          1.30	
002669	康达新材	-0.26	38292584	22.70	22.70	22.71	16928	2877	0.71	          0.79	
00142	第一太平	-3.48	37267628	4.710	4.710	4.720	7779199	664000	-0.42	          0.18	
00354	中国软件国际	-0.36	32929590	5.560	5.560	5.570	5988961	28000	0.00	          0.25	
01337	雷蛇	-2.74	32381592	3.550	--  	--  	9083000	10000	0.28	          0.10	
002480	新筑股份	-0.58	29905476	6.80	6.79	6.80	44024	573	0.15	          0.69	
00123	越秀地产	-0.62	29482246	1.600	1.590	1.600	18466734	720000	0.63	          0.15	
002188	ST巴士	-4.99	28349600	8.00	--  	8.00	35437	914	0.00	          1.92	
01239	TEAMWAY INTL GP	-9.38	28243402	0.058	--  	--  	485860000	20000	1.75	          4.40	
603997	继峰股份	-0.94	28209072	10.54	10.53	10.54	26638	5	-0.18	          1.56	
00127	华人置业	-1.13	27997612	12.260	--  	--  	2291380	500	0.16	          0.12	
000506	中润资源	-9.91	27289876	4.82	--  	4.82	56618	894	0.00	          0.61	
03663	协众国际控股	-2.50	26111682	1.560	--  	--  	16780000	4000	0.00	          2.10	
600083	博信股份	-0.10	25676020	19.30	19.31	19.32	13403	6	0.10	          0.59	
00672	众安房产	-7.25	24026736	0.640	--  	--  	38037800	1000	1.59	          0.65	
300282	汇冠股份	-2.00	23010510	18.12	18.12	18.13	12742	111	-0.54	          0.60	
01310	香港宽频	-2.73	21662226	8.900	8.890	8.900	2415825	334500	-0.45	          0.24	
03983	中海石油化学	-1.63	21521802	2.420	--  	--  	8742000	326000	-0.41	          0.49	
02001	新高教集团	-0.76	21122742	5.240	--  	--  	4038000	117000	0.38	          0.28	
600658	电子城	-0.30	21046572	10.03	10.03	10.04	21066	5	-0.09	          0.26	
01826	丰展控股	-12.63	18784100	1.660	--  	--  	10760000	10000	0.00	          0.87	
01970	IMAX CHINA	-1.06	17787550	23.250	23.250	23.400	760500	4400	-0.21	          0.21	
02233	西部水泥	-0.73	17177946	1.360	1.360	1.370	12570187	394000	0.00	          0.23	
02669	中海物业	-0.36	16125721	2.730	2.730	2.740	5915331	30000	0.00	          0.18	
06158	正荣地产	-1.64	15723831	4.810	--  	--  	3266000	7000	0.63	          0.08	
600070	浙江富润	-0.11	14786301	9.47	9.47	9.48	15631	40	0.11	          0.39	
00512	远大医药	-1.31	14560721	5.270	--  	--  	2756000	4000	-0.57	          0.12	
00464	建福集团	-12.70	13685321	2.130	--  	--  	6416000	36000	0.00	          1.44	
00303	VTECH HOLDINGS	-1.28	13316785	107.600	107.400	107.600	123985	18300	0.19	          0.05	
00508	鼎亿集团投资	-4.17	13213001	0.920	--  	--  	14350000	545000	0.00	          0.21	
01686	新意网集团	-3.07	12995706	5.360	--  	--  	2408000	1000	0.00	          0.10	
00179	德昌电机控股	-1.07	12871936	32.400	32.300	32.400	396928	28500	0.15	          0.05	
