代码	名称	涨幅%%	总金额	现价	买价	卖价	总量	现量	涨速%%	换手%%	
603993	洛阳钼业	7.36	4219532800	8.61	8.61	8.62	5056329	452	0.35	          3.90	
00388	香港交易所	3.50	4146043136	295.800	295.600	295.800	14127138	1033500	0.27	          1.14	
00175	吉利汽车	6.49	3931180288	25.450	25.400	25.450	153820752	6333000	0.20	          1.71	
600030	中信证券	2.53	3906586112	18.65	18.67	18.68	2119920	68	0.16	          2.16	
000063	中兴通讯	3.93	3816108032	32.55	32.55	32.56	1181346	18002	0.06	          3.44	
603799	华友钴业	0.54	3721688320	114.53	114.49	114.50	324425	5	0.00	          5.54	
02318	中国平安	1.46	3356995328	87.000	86.950	87.000	38732272	5884500	0.06	          0.52	
002236	大华股份	9.96	3173217536	29.15	29.14	29.15	1110402	4471	0.52	          6.52	
600516	方大炭素	3.26	2987549696	30.45	30.46	30.47	990157	263	0.20	          5.76	
00939	建设银行	0.36	2891026432	8.470	8.470	8.480	340706848	23814000	0.24	          0.14	
002415	海康威视	4.93	2669265152	43.00	43.00	43.01	624765	3696	0.09	          0.85	
600460	士兰微	9.24	2495694848	15.85	15.83	15.84	1619709	1184	0.06	         12.99	
002230	科大讯飞	2.29	2279329024	54.52	54.52	54.53	413299	7763	0.04	          3.49	
300059	东方财富	4.58	2232202496	13.93	13.93	13.94	1626227	13898	0.07	          5.10	
01398	工商银行	0.00	2203955968	7.030	7.020	7.030	313495872	24028000	0.00	          0.36	
601398	工商银行	0.14	1973958656	7.02	7.01	7.02	2804497	15	0.14	          0.10	
002466	天齐锂业	0.02	1950378112	61.00	60.99	61.00	318732	3384	-0.04	          2.81	
02828	恒生Ｈ股	1.01	1892881280	129.600	--  	--  	14623782	688200	0.23	--  	
002049	紫光国芯	3.37	1875542144	42.32	42.32	42.33	445496	4881	0.33	          7.39	
601166	兴业银行	0.50	1866077696	18.25	18.25	18.26	1022612	12	0.05	          0.54	
600703	三安光电	4.15	1750002816	25.12	25.14	25.15	695113	16	0.52	          1.70	
