代码	名称	涨幅%%	总金额	现价	买价	卖价	总量	现量	涨速%%	换手%%	
603993	洛阳钼业	7.36	4219532800	8.61	8.61	8.62	5056329	452	0.35	          3.90	
00175	吉利汽车	6.49	3931180288	25.450	25.400	25.450	153820752	6333000	0.20	          1.71	
603799	华友钴业	0.54	3721688320	114.53	114.49	114.50	324425	5	0.00	          5.54	
002236	大华股份	9.96	3173217536	29.15	29.14	29.15	1110402	4471	0.52	          6.52	
002415	海康威视	4.93	2669265152	43.00	43.00	43.01	624765	3696	0.09	          0.85	
600460	士兰微	9.24	2495694848	15.85	15.83	15.84	1619709	1184	0.06	         12.99	
002049	紫光国芯	3.37	1875542144	42.32	42.32	42.33	445496	4881	0.33	          7.39	
300136	信维通信	9.27	1501132288	40.09	40.08	40.09	384243	3045	0.35	          5.16	
002340	格林美	3.50	1486772480	7.09	7.08	7.09	2109852	15994	0.28	          6.77	
002497	雅化集团	6.32	1374076288	13.12	13.11	13.12	1069947	10058	-0.52	         13.13	
603019	中科曙光	6.36	1358759808	41.64	41.63	41.64	331246	64	0.31	          5.15	
002241	歌尔股份	8.98	1313043456	14.93	14.92	14.93	896134	8423	-0.26	          3.29	
002916	深南电路	4.95	1258228608	73.15	73.14	73.15	173817	2157	0.05	         24.83	
600282	南钢股份	0.89	1252575232	5.69	5.69	5.70	2193574	72	0.53	          5.66	
000816	智慧农业	9.92	1238369152	4.32	4.32	--  	2971444	901	0.00	         22.24	
02333	长城汽车	4.61	1102698240	9.300	9.290	9.300	116173584	4381000	0.32	          3.75	
300431	暴风集团	4.01	1086656896	26.44	26.44	26.45	413010	4929	0.04	         17.60	
00006	电能实业	2.28	1081607808	67.200	67.200	67.250	16401540	162000	0.07	          0.77	
002027	分众传媒	3.36	1035850112	14.46	14.46	14.47	722037	6312	-0.40	          1.24	
002594	比亚迪	3.36	1015836672	64.91	64.91	64.92	156114	1003	0.08	          1.37	
300487	蓝晓科技	9.99	990040128	29.28	29.28	--  	347267	1605	0.00	         41.05	
