代码	名称	涨幅%%	总金额	现价	卖价	总量	现量	涨速%%	换手%%	量比	今开	
00700	腾讯控股	-0.09	9607596032	453.000	453.000	21252148	2095600	0.44	          0.22	  1.12	456.000	
00388	香港交易所	3.50	4146043136	295.800	295.800	14127138	1033500	0.27	          1.14	  1.77	290.000	
00175	吉利汽车	6.49	3931180288	25.450	25.450	153820752	6333000	0.20	          1.71	  3.98	25.300	
02318	中国平安	1.46	3356995328	87.000	87.000	38732272	5884500	0.06	          0.52	  0.93	86.600	
00939	建设银行	0.36	2891026432	8.470	8.480	340706848	23814000	0.24	          0.14	  0.82	8.540	
01398	工商银行	0.00	2203955968	7.030	7.030	313495872	24028000	0.00	          0.36	  1.04	7.100	
00005	汇丰控股	-0.13	1923591680	79.550	79.550	24170092	939600	0.06	          0.12	  0.51	80.100	
03988	中国银行	1.13	1526878720	4.480	4.480	341443328	34092000	0.45	          0.41	  0.87	4.490	
01299	友邦保险	-0.71	1425284096	63.200	63.250	22473288	2838400	-0.32	          0.19	  1.14	63.500	
00941	中国移动	-0.67	1305405952	74.250	74.300	17486760	1998500	-0.13	          0.09	  1.42	75.900	
02333	长城汽车	4.61	1102698240	9.300	9.300	116173584	4381000	0.32	          3.75	  6.77	9.800	
00006	电能实业	2.28	1081607808	67.200	67.250	16401540	162000	0.07	          0.77	  3.79	66.000	
02018	瑞声科技	1.37	1040108096	155.600	155.600	6729119	208000	0.06	          0.55	  1.54	157.000	
03993	洛阳钼业	5.14	947555776	6.750	6.750	141157248	2283000	0.60	          3.59	  1.50	6.490	
01288	农业银行	-0.66	941191424	4.540	4.550	205864032	15105000	-0.44	          0.67	  1.11	4.600	
02382	舜宇光学科技	4.05	921275008	131.100	131.100	7111221	250700	0.08	          0.65	  0.97	128.500	
01211	比亚迪股份	2.12	894394880	74.750	74.800	11809425	425000	-0.20	          1.29	  2.72	74.300	
02007	碧桂园	-1.46	847354432	14.820	14.840	57069748	1740000	-0.40	          0.26	  0.78	15.280	
00857	中国石油股份	0.90	781437696	5.620	5.620	138584624	12394000	0.18	          0.66	  1.03	5.640	
00883	中国海洋石油	1.21	745176512	11.680	11.680	63847364	4883000	0.17	          0.14	  0.98	11.760	
02628	中国人寿	0.21	739883072	23.800	23.800	31043946	4171000	-0.21	          0.42	  0.73	23.900	
01918	融创中国	-3.46	644154624	30.650	30.650	20837048	466000	0.49	          0.47	  1.53	32.400	
00027	银河娱乐	1.85	626209984	68.650	68.650	9146091	667000	0.29	          0.21	  0.88	67.900	
01109	华润置地	-0.17	626031808	29.800	29.800	21190578	706000	0.17	          0.31	  1.95	30.300	
01928	金沙中国有限公司	1.93	619204416	44.850	44.850	13818021	1370400	0.34	          0.17	  0.96	44.000	
00386	中国石油化工股份	1.55	603071424	6.570	6.570	92156776	10264000	0.00	          0.36	  0.85	6.500	
03968	招商银行	0.14	577879040	34.800	34.850	16539190	1266000	-0.43	          0.36	  0.63	35.300	
00688	中国海外发展	1.06	563513344	28.650	28.650	19741778	1690000	0.00	          0.18	  1.37	28.600	
00763	中兴通讯	4.36	556671360	28.700	28.750	19477218	1189000	-1.03	          2.58	  2.73	27.750	
02601	中国太保	1.79	547527680	39.750	39.750	13776482	1181000	0.13	          0.50	  1.02	39.950	
00016	新鸿基地产	2.03	543762880	130.600	130.700	4172643	449000	-0.23	          0.14	  1.58	129.500	
01177	中国生物制药	5.03	536471232	15.020	15.020	36265440	1334000	0.13	          0.49	  2.20	14.500	
00981	中芯国际	4.72	535920736	10.660	10.660	50752000	946000	0.19	          1.03	  1.47	10.240	
02238	广汽集团	0.99	532755616	18.340	18.340	29047012	1100000	0.00	          1.31	  1.78	18.380	
00762	中国联通	-1.55	519118592	10.140	10.160	51042508	3428000	0.00	          0.17	  1.85	10.300	
00998	中信银行	-0.83	512877504	5.990	6.000	85222808	2467000	-0.33	          0.57	  1.19	6.150	
00914	海螺水泥	3.53	510298720	44.000	44.050	11706308	1036000	0.23	          0.90	  1.51	43.000	
00966	中国太平	2.29	506844800	31.300	31.300	16306745	351400	0.00	          0.45	  2.39	31.000	
01088	中国神华	0.21	503217984	23.400	23.400	21448256	1218500	0.21	          0.63	  1.11	23.800	
01171	兖州煤业股份	-3.64	493372288	12.720	12.720	38327192	1290000	0.00	          1.96	  1.74	13.420	
00001	长和	0.81	483082368	100.100	100.200	4830552	465000	0.10	          0.13	  1.27	99.250	
01093	石药集团	3.31	426456992	18.100	18.100	23685530	1140000	0.22	          0.38	  1.70	17.680	
02688	新奥能源	-2.04	421766784	60.050	60.050	7017973	1466000	0.17	          0.65	  1.14	61.650	
02689	玖龙纸业	1.26	393004864	12.840	12.860	30269986	493000	-0.16	          0.65	  1.87	13.000	
06030	中信证券	2.30	383150976	18.700	18.700	20610274	1351500	0.00	          0.90	  1.18	18.500	
01099	国药控股	5.72	374880832	35.100	35.150	10822211	628000	-0.71	          0.91	  2.76	34.500	
01336	新华保险	2.36	371967840	49.850	49.850	7516421	307000	0.30	          0.73	  1.38	49.000	
00753	中国国航	6.61	348303936	12.580	12.580	28147104	434000	0.00	          0.62	  1.85	12.000	
02319	蒙牛乳业	1.73	346419424	26.500	26.600	13064752	772000	-0.38	          0.33	  1.04	26.350	
03333	中国恒大	-1.03	336601504	24.000	24.000	14032680	777000	0.21	          0.11	  0.93	24.650	
02328	中国财险	1.54	327868352	15.860	15.880	20624762	1756000	-0.25	          0.45	  1.16	15.680	
01055	中国南方航空股份	5.84	320632704	10.880	10.880	29934988	290000	0.37	          0.98	  1.75	10.300	
00288	万洲国际	2.77	319785760	9.650	9.650	33666352	2516500	0.00	          0.23	  1.09	9.440	
01113	长实集团	1.11	316121152	68.300	68.300	4645975	843000	-0.07	          0.13	  0.91	67.550	
00003	香港中华煤气	1.83	315042720	15.600	15.600	20281078	2117000	0.00	          0.14	  1.40	15.480	
00522	ASM PACIFIC	-0.61	314056384	114.200	114.200	2774050	56700	0.18	          0.68	  1.47	114.900	
02362	金川国际	15.79	311273120	1.980	--  	167691600	127000	0.51	          3.47	  2.23	1.750	
00136	恒腾网络	7.25	307147488	0.370	0.375	839888000	2324000	0.00	          1.13	  7.33	0.355	
01988	民生银行	-1.16	299884000	8.500	8.500	35081160	1807500	-0.12	          0.51	  1.09	8.660	
03888	金山软件	1.95	296944992	26.100	26.150	11421545	264000	0.19	          0.83	  2.71	25.750	
03323	中国建材	-0.13	288872000	7.950	7.950	36226076	1506000	0.25	          1.26	  0.99	8.080	
