代码	名称	涨幅%%	总金额	现价	卖价	总量	现量	涨速%%	换手%%	量比	今开	
02828	恒生Ｈ股	1.01	1892881280	129.600	--  	14623782	688200	0.23	--  	  1.14	129.000	
02822	南方Ａ５０	1.21	1311650176	16.780	--  	78549888	6285200	0.36	--  	  1.80	16.760	
02800	盈富基金	0.95	918501696	31.800	--  	28906528	3316500	0.00	--  	  0.91	31.700	
02823	安硕Ａ５０	1.36	675165888	16.360	--  	41484768	1380500	0.12	--  	  1.26	16.280	
00823	领展房产基金	3.14	503964576	67.250	--  	7544348	824500	-0.15	--  	  1.39	66.200	
03188	华夏沪深三百	1.57	381136384	51.800	--  	7381600	454200	-0.19	--  	  1.29	51.200	
07300	ＦＩ南方恒指	-0.77	57051164	5.170	--  	11020300	15000	0.00	--  	  0.80	5.200	
07288	ＦＬ二南方国指	1.07	35775132	11.380	--  	3132200	100	-0.18	--  	  0.41	11.420	
07200	ＦＬ二南方恒指	1.43	34766288	12.800	--  	2718900	2800	-0.16	--  	  1.28	12.740	
07228	ＦＬ二　三星国指	1.06	33872564	9.500	--  	3567000	4000	-0.21	--  	  0.54	9.620	
00405	越秀房产信托基金	0.96	30126752	5.250	--  	5749000	69000	-0.38	--  	  1.19	5.200	
02833	恒指ＥＴＦ	0.63	29930482	32.050	--  	933500	45000	0.00	--  	  1.55	32.000	
07230	ＦＬ二未来国指	1.02	29100544	11.840	--  	2451500	3000	0.00	--  	  1.42	11.920	
00778	置富产业信托	2.05	20262670	9.440	--  	2158000	169000	0.21	--  	  1.24	9.260	
02778	冠君产业信托	1.08	19161750	5.600	--  	3438059	1112000	0.00	--  	  0.45	5.540	
07205	ＦＬ二　三星恒指	1.34	12057897	10.600	--  	1134800	200	-0.38	--  	  1.77	10.620	
07221	ＦＬ二华夏恒指	1.58	11960567	14.160	--  	845700	5600	-0.28	--  	  0.84	14.160	
07341	ＦＩ华夏国指	-0.67	11777510	5.950	--  	1977600	900	0.00	--  	  1.12	5.950	
02827	标智沪深３００	1.64	11256321	40.300	--  	280200	200	0.00	--  	  2.17	40.100	
03081	价值黄金	0.93	8550787	32.600	--  	262544	48700	0.00	--  	  8.10	32.500	
02840	ＳＰＤＲ金ＥＴＦ	0.96	7055236	994.500	--  	7100	50	-0.05	--  	  0.48	990.000	
03087	ＸＴＲ富时越南	2.04	6591355	290.400	--  	22728	130	-0.48	--  	  2.17	287.600	
82822	南方Ａ５０－Ｒ	0.60	6412953	13.500	--  	475986	8000	0.00	--  	  0.84	13.500	
07267	ＦＬ二华夏国指	0.80	6007083	12.560	--  	475100	1500	0.00	--  	  0.26	12.680	
00435	阳光房地产基金	1.28	5481551	5.540	--  	997000	4000	0.36	--  	  1.11	5.470	
00808	泓富产业信托	0.30	4677725	3.370	--  	1383000	39000	-0.59	--  	  1.62	3.360	
03115	安硕恒生指数	0.71	4278303	113.200	--  	37840	3000	0.00	--  	  0.23	113.600	
87001	汇贤产业信托	0.00	3979806	3.240	--  	1228049	4000	0.31	--  	  0.84	3.240	
07312	ＦＩ　三星恒指	-0.92	3718334	4.320	--  	860800	600	0.00	--  	  1.06	4.290	
07328	ＦＩ　三星国指	-0.67	3621620	4.480	--  	808000	200000	0.00	--  	  2.19	4.350	
07388	ＦＩ南方国指	-0.37	3252314	5.380	--  	606200	4000	0.00	--  	  0.11	5.350	
02801	安硕中国ＥＴＦ	0.49	3095070	30.600	--  	101400	800	0.16	--  	  0.66	30.600	
02803	ＰＰ中国基石经济	1.40	3040760	8.720	--  	351500	20000	0.11	--  	  3.87	8.650	
03167	南方中国新行业	1.13	2996095	80.450	--  	37250	13200	0.06	--  	  0.95	80.450	
02838	恒生富时中国５０	0.18	2425000	222.800	--  	10900	700	0.00	--  	  1.25	222.200	
03147	南方中创业板	4.59	2351372	7.750	--  	306400	200	0.00	--  	  1.47	7.400	
07242	ＦＬ二易方达恒指	1.39	2262681	8.030	--  	283000	4500	-0.25	--  	  0.14	7.970	
03173	ＰＰ中国新经济	2.80	2201445	8.450	--  	263500	10000	0.00	--  	  2.32	8.300	
07321	ＦＩ华夏恒指	-0.86	2097346	5.740	--  	365100	1000	0.00	--  	  0.51	5.750	
07231	ＦＬ二未来恒指	1.37	1953336	13.300	--  	147200	3000	0.00	--  	  0.12	13.220	
03128	恒生Ａ股龙头	1.58	1780590	64.450	--  	27800	1800	0.00	--  	  1.04	64.350	
07336	ＦＩ未来恒指	-0.74	1724115	5.400	--  	318600	10000	0.00	--  	  0.45	5.420	
07210	ＸＬ二易亚中概股	3.02	1574350	22.200	--  	71000	3600	0.00	--  	  1.21	22.150	
03015	ＸＴＲＮ５０印度	0.95	1440720	1271.000	--  	1135	600	0.32	--  	  4.05	1272.000	
02819	ＡＢＦ港债指数	-1.01	1423203	97.600	--  	14551	100	0.10	--  	  4.45	98.300	
01881	富豪产业信托	0.00	1369260	2.420	--  	563000	1000	-0.41	--  	  1.04	2.440	
03140	领航标普５００	1.23	1267207	19.740	--  	64328	200	0.00	--  	  0.82	19.500	
02805	领航富时亚洲	0.96	1152030	26.250	--  	43900	30000	0.00	--  	  3.17	26.000	
83188	华夏沪深三百－Ｒ	1.21	1016056	41.850	--  	24367	6200	0.00	--  	  0.20	42.000	
82836	安硕印度－Ｒ	0.72	882224	19.620	--  	45000	5000	0.00	--  	  1.27	19.600	
02836	安硕印度	2.32	879200	24.300	--  	36200	200	-0.21	--  	  0.41	23.750	
03116	易亚富时黄金矿业	2.07	879034	8.380	--  	105400	4800	0.00	--  	  2.66	8.300	
03046	价值中国ＥＴＦ	0.62	852015	49.000	--  	17400	200	0.00	--  	  0.18	49.200	
02802	安硕亚洲新兴	1.28	830150	59.350	--  	14000	2000	0.25	--  	  2.33	59.200	
03027	ＸＴＲ俄罗斯	2.57	710194	23.950	--  	29875	1000	0.42	--  	  2.83	23.600	
03049	ＸＴＲ沪深三百	1.84	693432	8.850	--  	78600	300	0.00	--  	  1.67	8.770	
03110	未来恒生高股息率	-0.15	666550	32.550	--  	20500	4500	0.00	--  	  5.20	32.500	
07261	ＦＬ二华夏纳一百	2.42	598145	29.600	--  	20200	4900	0.00	--  	  0.57	29.500	
07222	ＸＬ二未来标普	2.49	581160	24.700	--  	23600	4000	0.00	--  	  0.53	24.550	
03010	安硕亚洲除日	0.78	563917	58.300	--  	9662	100	0.00	--  	  0.29	58.300	
03101	领航富时发展欧洲	0.50	520990	20.250	--  	25696	7000	0.00	--  	  0.91	20.150	
00820	汇丰中国翔龙基金	0.88	517550	11.460	--  	45334	1000	-0.35	--  	  1.29	11.380	
03048	ＴＲ巴西	0.71	500678	42.600	--  	11750	500	-0.12	--  	  6.39	42.400	
01426	春泉产业信托	0.60	469200	3.340	--  	141000	20000	0.00	--  	  0.52	3.320	
02846	安硕沪深三百	2.16	444235	33.100	--  	13400	3000	0.00	--  	  1.18	34.700	
07322	ＸＩ未来标普	-1.17	398880	11.840	--  	33700	20000	0.34	--  	  0.78	11.760	
03126	领航富时日本	1.64	393270	27.950	--  	14100	4000	0.00	--  	  1.79	27.600	
07331	ＦＩ华夏纳一百	-1.50	348302	10.520	--  	33200	4000	0.38	--  	  1.06	10.580	
03149	南方ＭＡ国际	1.10	295000	14.760	--  	20000	5000	0.00	--  	  5.49	14.740	
03141	ＢＭＯ亚洲投资债	0.33	275820	15.250	--  	18100	5000	0.00	--  	  0.44	15.250	
02834	安硕纳指一百	1.42	259524	12.880	--  	20200	3600	-0.31	--  	  1.49	12.700	
03155	安硕ＥＳ５０	1.73	218164	10.600	--  	20600	400	0.00	--  	  2.93	10.620	
03199	南方五年国债	0.56	213125	126.000	--  	1700	100	0.12	--  	  0.46	125.800	
03175	Ｆ三星原油期	1.36	187640	13.400	--  	14000	2000	0.00	--  	  0.30	13.360	
83149	南方ＭＡ国际－Ｒ	1.18	178500	11.960	--  	15000	5000	0.50	--  	  3.75	11.900	
83155	安硕ＥＳ５０－Ｒ	0.71	170900	8.550	--  	20000	10000	0.00	--  	  0.49	8.540	
82846	安硕沪深三百－Ｒ	1.92	169580	26.550	--  	6400	3000	0.00	--  	  0.29	26.450	
83128	恒生Ａ股龙头－Ｒ	1.07	165640	51.850	--  	3200	200	0.00	--  	  0.95	51.600	
03099	ＸＴＲ印尼	-0.53	165000	131.800	--  	1250	1250	-0.15	--  	  0.75	132.000	
83120	易方达１２０－Ｒ	-0.14	150954	14.640	--  	10300	3000	0.00	--  	  4.46	14.780	
03095	价值中国Ａ股	1.47	150170	8.950	--  	17000	1000	1.24	--  	  0.38	8.830	
