代码	名称	涨幅%%	总金额	现价	卖价	总量	现量	涨速%%	换手%%	量比	今开	
08367	倩碧控股	0.00	97077104	0.275	--  	285070016	810000	0.00	         35.63	0.00	0.450	
08392	舍图控股	26.67	74541400	0.570	--  	138140000	20000	0.00	         13.81	  3.30	0.455	
08473	弥明生活百货	0.00	73560000	0.680	--  	104780000	100000	1.49	          9.36	  0.23	0.730	
08532	宝发控股	-31.71	51811684	0.280	--  	162128000	8000	-1.75	         20.27	  0.47	0.420	
08207	中新控股	0.00	51377612	1.010	--  	51272000	8000	0.00	          0.23	  2.96	1.020	
08469	盛业资本	-1.72	42129944	7.420	--  	5632000	2000	-0.80	          0.76	  1.99	7.500	
08227	西安海天天	-7.33	36585460	6.070	--  	5999000	4000	0.66	          0.93	  3.03	6.500	
08470	莹岚集团	1.08	31361522	1.870	--  	16688000	8000	0.00	          2.78	  5.13	1.850	
08522	德益控股	2.06	27554762	0.990	--  	24788000	8000	0.00	          6.66	  3.04	1.000	
08137	洪桥集团	9.59	20280260	1.600	--  	12878000	10000	0.63	          0.13	  5.03	1.500	
08040	ＤＣＢ控股	-20.16	18853650	1.030	--  	15870000	45000	-0.96	          4.96	  1.07	1.300	
08138	同仁堂国药	3.09	15373399	13.360	--  	1164310	1000	-0.15	          0.14	  1.07	13.060	
08156	众彩股份	-3.70	11909701	0.780	--  	15115000	20000	-1.27	          0.46	  1.85	0.810	
08359	HYPEBEAST	-3.23	11478691	0.600	--  	18082600	60000	0.00	          0.90	  0.76	0.630	
08136	英马斯集团	20.90	11076401	0.405	--  	31410000	10000	3.85	          3.14	 14.15	0.340	
08379	汇安智能	-6.74	10318100	0.415	--  	24390000	10000	-1.19	          3.05	  0.21	0.455	
08101	壹家壹品	-2.73	9828252	0.107	--  	92748000	16000	0.94	          3.21	  1.26	0.107	
08278	CMON	11.11	9645000	0.300	--  	33030000	10000	-1.64	          1.83	  6.25	0.270	
08228	国艺娱乐	0.00	9584200	0.390	--  	24620000	160000	1.30	          0.55	  1.24	0.390	
08523	常满控股	-10.53	9206125	0.510	--  	17980000	35000	-1.92	          4.50	  1.05	0.570	
08142	德利机械	6.85	8240851	0.390	--  	20950000	210000	1.30	          2.10	  3.39	0.365	
08238	惠陶集团	-13.13	8230945	0.086	--  	89784000	256000	-3.37	          1.04	  0.34	0.103	
08217	联旺集团	6.90	7691901	0.310	--  	24810000	30000	0.00	          1.99	  9.33	0.290	
08147	汇思太平洋	-8.77	7465249	0.260	--  	29208000	20000	0.00	          0.53	  2.39	0.290	
08425	兴铭控股	6.77	6748001	1.420	--  	4992000	8000	2.90	          1.25	 11.98	1.330	
08479	金泰丰国际控股	5.43	6734841	0.970	--  	6748000	100000	-1.02	          1.61	  0.81	0.940	
08535	荧德控股	0.00	6090521	0.153	--  	38940000	100000	0.00	          3.25	  0.99	0.156	
08462	桥英控股	0.73	5592501	1.380	--  	4115000	70000	1.47	          0.69	  0.97	1.320	
08022	永耀集团控股	0.00	5422771	1.080	--  	5046000	24000	0.00	          0.30	  1.28	1.090	
08328	信义香港	-2.27	5200303	2.150	--  	2447000	4000	0.47	--  	320.77	2.200	
08073	兴业新材料	-1.26	5092524	1.570	--  	3197329	8000	-0.63	          0.67	  1.15	1.590	
08519	JIA GROUP	-4.31	4358680	0.222	--  	19170000	50000	0.00	          2.23	  0.82	0.230	
08292	盛良物流	0.00	4329800	1.130	--  	3900000	10000	1.80	          0.49	  3.32	1.130	
08055	中国网络信息科技	0.00	4137200	0.375	--  	10920000	8000	-1.32	          0.30	  1.35	0.375	
08422	ＷＴ集团	4.00	3847100	1.300	--  	2950000	20000	0.00	          0.29	  2.56	1.260	
08413	亚洲杂货	0.88	3812210	0.230	--  	16200000	10000	-0.43	          1.39	  1.18	0.228	
08133	铸能控股	0.00	3774840	0.194	--  	19360000	120000	0.00	          0.55	  0.93	0.194	
08083	中国创新支付	2.27	3640740	0.450	--  	8252000	4000	1.12	          0.12	  0.60	0.440	
08437	德斯控股	0.00	3600640	0.560	--  	6840000	8000	0.00	          1.14	  3.40	0.560	
08450	钜京控股	-8.14	3557010	0.203	--  	17190000	40000	-0.49	          1.72	  0.73	0.221	
08376	方圆房服集团	16.67	3535600	0.630	--  	5928000	12000	5.00	          1.48	  8.14	0.560	
08383	东骏控股	12.86	3379760	0.395	--  	8688000	8000	-1.25	          1.09	  4.04	0.350	
08285	森浩集团	12.31	3374400	0.365	--  	9770000	40000	4.29	          1.74	  1.93	0.320	
08266	金达集团国际	-13.07	3368628	0.133	--  	24894448	16000	0.00	          0.60	  2.89	0.152	
08361	中国育儿网络	0.00	3211380	0.395	--  	8132000	8000	0.00	          0.79	  3.47	0.395	
08351	俊文宝石	0.00	2539000	0.395	--  	6480000	3000000	0.00	          0.18	  9.69	0.410	
08089	华人策略控股	-0.66	2509570	3.000	--  	845400	1800	3.45	          0.41	  2.53	3.040	
08287	ZIONCOM	-3.23	2426650	0.450	--  	5320000	90000	0.00	          0.81	  1.71	0.465	
08090	中国融保金融集团	-3.30	2200960	0.880	--  	2474000	6000	0.00	          0.14	  0.55	0.910	
08181	港深联合	-9.09	2176720	0.350	--  	6336000	80000	0.00	          0.74	  0.83	0.385	
08158	中国再生医学	-1.22	2083085	0.162	--  	13015000	5000	-0.61	          0.07	  0.59	0.162	
08307	密迪斯肌	0.00	2058800	0.530	--  	3776000	28000	0.00	          0.79	  1.92	0.540	
08300	皇玺餐饮集团	-1.53	2053460	0.129	--  	15800000	240000	0.00	          0.60	  0.75	0.130	
08356	中国新华电视	25.00	2010040	0.085	--  	24960000	40000	0.00	          0.62	  5.04	0.079	
08427	瑞强集团	0.00	1917560	0.280	--  	6872000	280000	0.00	          1.11	  0.73	0.280	
08268	迪臣建设	5.00	1803248	0.189	--  	9552000	1200000	0.00	          0.96	 15.22	0.180	
08257	靖洋集团	1.69	1779500	0.300	--  	6050000	100000	1.69	          0.60	  1.61	0.295	
08308	古兜控股	-5.94	1705960	2.060	--  	828000	80000	-0.48	          0.08	  2.38	2.120	
08043	ATLINKS	-4.35	1688950	0.660	--  	2485000	65000	-1.49	          0.62	  0.35	0.710	
08157	象兴国际	-3.23	1642000	0.300	--  	5300000	40000	0.00	          0.53	  0.81	0.320	
08021	汇隆控股	13.33	1640380	0.034	--  	50760000	200000	-2.86	          0.40	  5.12	0.029	
08100	智易控股	0.00	1620000	0.410	--  	3972000	12000	1.23	          0.89	  0.66	0.405	
08465	高科桥	3.82	1611480	2.990	--  	542000	2000	0.00	          0.21	  3.47	2.850	
08371	尝高美集团	6.02	1570280	0.880	--  	1780000	40000	-3.30	          0.45	  3.80	0.830	
08309	万成环球控股	-4.88	1533650	0.390	--  	3970000	100000	0.00	          0.66	  4.13	0.405	
08013	ECI TECH	2.86	1520860	0.180	--  	8420000	920000	0.00	          0.53	  0.09	0.175	
08419	ＡＶ策划推广	10.45	1494400	0.740	--  	2070000	5000	1.37	          0.52	  9.41	0.690	
08032	非凡中国	1.18	1479200	0.860	--  	1720000	24000	0.00	          0.02	  1.95	0.860	
08037	中国生物科技服务	-5.20	1462600	1.640	--  	880000	20000	0.00	          0.10	  5.20	1.690	
08325	中国支付通	1.06	1426300	0.950	--  	1470000	40000	0.00	          0.09	  5.53	0.950	
08085	香港生命科学	0.00	1423780	0.096	--  	14992000	2760000	0.00	          0.26	  1.36	0.096	
08279	亚博科技控股	0.00	1420160	0.900	--  	1576000	4000	-1.10	          0.01	  1.19	0.890	
08510	TOPSTANDARDCORP	-2.35	1374488	0.249	--  	5472000	32000	-2.35	          0.68	  0.46	0.255	
08193	汉华专业服务	11.36	1353915	0.049	--  	29010000	80000	0.00	          0.50	  0.73	0.045	
08321	泰锦控股	-2.25	1314710	0.217	--  	6050000	120000	0.46	          0.76	  1.21	0.230	
08191	鸿伟亚洲	0.00	1309260	0.300	--  	4296000	204000	0.00	          0.52	  1.37	0.300	
08275	永勤集团控股	1.14	1180300	0.890	--  	1260000	20000	0.00	          0.21	  1.17	0.910	
08457	健升物流中国	0.00	1143950	0.305	--  	3830000	30000	1.67	          0.48	  0.84	0.300	
08313	杰地集团	-3.28	1110950	0.295	--  	3750000	30000	-1.67	          0.19	  0.32	0.300	
08315	冠辉集团控股	6.06	1108750	0.035	--  	32120000	2000000	0.00	          0.41	  2.21	0.033	
08001	东方汇财证券	0.00	1080640	0.780	--  	1392000	4000	1.30	          0.32	  1.21	0.780	
08050	量子思维	13.14	1075440	1.550	--  	666000	12000	-2.52	          0.05	 16.99	1.480	
08047	中国海洋捕捞	0.00	1068200	0.550	--  	1944000	8000	0.00	          0.07	  3.02	0.540	
08373	靛蓝星	13.13	1057650	1.120	--  	985000	5000	3.70	          0.25	  2.71	1.050	
08485	竣球控股	-1.09	1042090	0.181	--  	5680000	130000	0.00	          0.57	  0.14	0.182	
08301	明华科技	-3.03	1028000	0.960	--  	1080000	24000	0.00	          0.54	  0.44	0.960	
08255	神州数字	0.00	1014360	1.010	--  	1020000	6000	0.00	          0.21	  8.33	1.000	
08430	春能控股	1.54	1012650	0.330	--  	3105000	5000	1.54	          0.49	  5.00	0.325	
08226	树熊金融集团	-1.35	971460	0.219	--  	4400000	240000	-0.45	          0.18	  0.58	0.222	
08513	迎宏控股	1.82	879000	0.560	--  	1592000	20000	1.82	          0.40	  0.32	0.580	
08267	蓝港互动	7.75	838770	1.390	--  	643500	8000	0.00	          0.17	  1.98	1.300	
08196	建禹集团	-1.54	835480	4.490	--  	190000	4000	5.65	          0.06	  1.04	4.560	
08199	中国万桐园	3.33	825850	0.310	--  	2640000	30000	0.00	          0.26	  0.78	0.310	
08428	国茂控股	2.52	824184	0.244	--  	3336000	96000	0.00	          0.28	  2.64	0.238	
08463	TOMO HOLDINGS	-4.58	787840	1.460	--  	532000	20000	0.00	          0.12	  1.79	1.530	
08291	万成金属包装	-3.87	778300	1.490	--  	505000	30000	-5.70	          0.13	  0.47	1.410	
08342	飞思达科技	0.74	774150	1.370	--  	565000	5000	0.74	          0.12	  1.06	1.370	
08410	安领国际	2.31	738700	1.330	--  	560000	40000	0.00	          0.06	  0.36	1.350	
08352	成安控股	-3.85	733850	0.375	--  	1920000	30000	0.00	          0.29	  0.82	0.380	
08029	太阳国际	-1.32	725350	0.750	--  	955000	25000	-1.32	          0.07	  1.95	0.760	
08429	冰雪集团	0.00	697050	0.750	--  	920000	30000	0.00	          0.19	  1.31	0.750	
08395	齐家控股	-2.08	693080	0.141	--  	4800000	100000	0.00	          0.30	  0.88	0.144	
08081	互娱中国	0.00	688513	0.039	--  	17884320	4320	0.00	          0.34	  1.12	0.039	
08349	美固科技控股	-1.02	671600	2.900	--  	230000	20000	0.00	          0.06	  0.55	2.940	
08487	ISP GLOBAL	-3.45	661400	0.560	--  	1180000	180000	0.00	          0.15	  0.19	0.560	
08456	民信国际控股	2.22	661200	0.460	--  	1444000	8000	1.10	          0.36	  0.84	0.500	
08460	基地锦标集团	-2.13	641900	0.230	--  	2790000	200000	0.00	          0.28	  0.87	0.233	
08179	新煮意控股	1.09	575016	0.185	--  	3132000	12000	0.54	          0.15	  0.41	0.186	
08071	中彩网通控股	6.59	568510	0.194	--  	3115000	200000	4.30	          0.07	  0.95	0.182	
08471	新达控股	-1.35	557600	0.365	--  	1520000	100000	-1.35	          0.19	  0.75	0.370	
08095	北大青鸟环宇	0.00	557130	1.400	--  	405000	1000	0.00	          0.06	  1.65	1.380	
08078	ＨＭＶ数码中国	0.00	546097	0.244	--  	2232500	20000	0.41	          0.02	  2.56	0.245	
08046	恒芯中国	0.00	540395	0.035	--  	15247333	148000	0.00	          0.18	  0.22	0.035	
08007	环球战略集团	-1.38	508780	0.143	--  	3560000	10000	0.00	          0.06	  2.47	0.145	
