代码	名称	涨幅%%	总金额	现价	买价	卖价	总量	现量	涨速%%	换手%%	今开	
000503	海虹控股	9.91	1051353344	34.95	34.95	34.96	311067	1572	-0.05	          3.46	32.22	
002606	大连电瓷	9.98	517578432	9.04	9.04	--  	608767	1075	0.00	         15.15	8.20	
603058	永吉股份	10.01	410076480	17.92	17.92	--  	236276	6	0.00	         10.36	16.40	
002596	海南瑞泽	5.18	390712288	10.16	10.15	10.16	385639	2113	0.00	          5.31	9.85	
300364	中文在线	10.05	341621184	11.39	11.39	--  	316804	1170	0.00	          7.02	10.35	
300083	劲胜智能	3.06	281564576	7.41	7.41	7.42	380650	2232	0.00	          3.20	7.24	
002760	凤形股份	2.16	264240224	22.68	22.67	22.68	118375	3824	-0.30	         25.89	21.99	
603499	翔港科技	10.00	263940544	27.72	27.72	--  	100131	4	0.00	         40.05	24.30	
000979	中弘股份	1.89	153275888	1.62	1.61	1.62	953521	14038	0.00	          1.14	1.60	
300010	立思辰	1.88	140082320	9.78	9.78	9.79	143387	1881	0.10	          2.30	9.59	
000723	美锦能源	0.32	115789952	6.34	6.33	6.34	183915	7251	0.00	          1.70	6.34	
300167	迪威迅	2.12	112688576	7.71	7.70	7.71	147776	1561	-0.12	          4.92	7.44	
600959	江苏有线	1.47	105588384	7.58	7.57	7.58	140148	6	0.00	          1.00	7.45	
00551	裕元集团	1.85	95203872	33.050	33.000	33.050	2907664	298500	0.46	          0.18	32.850	
000558	莱茵体育	1.44	94692768	4.24	4.23	4.24	224684	4791	0.00	          1.74	4.18	
300410	正业科技	2.86	91983544	33.79	33.79	33.80	27344	607	0.03	          2.63	32.93	
002470	金正大	2.40	82833648	8.10	8.09	8.10	104066	1486	-0.11	          0.38	7.90	
002471	中超控股	10.14	69824512	4.02	4.02	--  	174733	71	0.00	          1.39	3.80	
00486	俄铝	0.37	55928348	5.370	--  	--  	10472000	1000	0.19	          0.07	5.370	
300471	厚普股份	1.38	47896572	8.79	8.79	8.80	54988	1482	0.11	          2.51	8.68	
300273	和佳股份	0.64	46445168	7.88	7.87	7.88	59398	3793	0.13	          1.06	7.83	
300042	朗科科技	6.42	46315888	24.70	24.69	24.70	19066	379	0.86	          1.70	23.40	
300363	博腾股份	1.36	45819476	12.64	12.63	12.64	36704	603	0.48	          1.19	12.47	
603079	圣达生物	2.97	41527520	45.12	45.13	45.14	9203	4	-0.12	          4.60	43.30	
002076	雪 莱 特	10.05	38867520	4.49	4.49	--  	87176	2	0.00	          2.07	4.25	
300495	美尚生态	0.61	38002928	14.74	14.74	14.75	26103	350	-0.06	          1.11	14.70	
002617	露笑科技	0.70	37770960	15.80	15.80	15.81	24060	1379	0.06	          0.34	15.65	
300680	隆盛科技	0.97	36457044	27.18	27.15	27.18	13315	469	-0.10	          7.83	26.84	
300247	乐金健康	10.06	31873736	5.14	5.14	--  	62011	127	0.00	          1.07	5.14	
603818	曲美家居	0.53	18421212	13.33	13.32	13.33	13942	20	0.23	          1.06	13.22	
300412	迦南科技	0.23	11098166	8.85	8.85	8.86	12556	157	0.00	          0.57	8.80	
603028	赛福天	0.65	10082239	9.28	9.27	9.28	10939	10	0.11	          0.95	9.23	
002725	跃岭股份	0.14	9684333	13.96	13.96	13.97	7002	477	0.14	          1.02	13.84	
002199	东晶电子	0.14	8831320	13.84	13.83	13.84	6412	278	0.00	          0.29	13.83	
数据来源:通达信
