代码	名称	涨幅%%	总金额	现价	买价	卖价	总量	现量	涨速%%	换手%%	
300237	美晨生态	10.03	235263072	14.59	14.59	--  	165451	7	0.00	          2.56	
07300	ＦＩ南方恒指	1.54	150977664	5.290	--  	--  	28621500	300	0.00	--  	
002742	三圣股份	0.23	126729536	21.52	21.52	21.53	58880	2092	0.51	          2.76	
002586	围海股份	3.56	49980604	8.15	8.14	8.15	61985	1149	0.25	          0.89	
00142	第一太平	1.45	46001568	4.890	4.880	4.890	9514197	1538000	0.20	          0.22	
603699	纽威股份	0.43	33332852	16.42	16.43	16.44	20357	6	0.49	          0.27	
00486	俄铝	0.56	25772122	5.400	--  	--  	4805985	12000	0.19	          0.03	
07388	ＦＩ南方国指	2.38	23275730	5.590	--  	--  	4194400	8000	0.18	--  	
07321	ＦＩ华夏恒指	1.91	10608828	5.880	--  	--  	1813500	4000	0.00	--  	
07341	ＦＩ华夏国指	2.49	7221523	6.180	--  	--  	1175100	5000	-0.16	--  	
07312	ＦＩ　三星恒指	1.38	6487159	4.420	--  	--  	1469800	10000	0.23	--  	
数据来源:通达信
