代码	名称	涨幅%%	总金额	现价	买价	卖价	总量	现量	涨速%%	换手%%	今开	
601600	中国铝业	-7.63	6284640768	5.45	5.44	5.45	11489568	335	0.74	         10.48	5.45	
601318	中国平安	1.73	4535163904	68.93	68.93	68.94	663296	141	0.00	          0.61	67.18	
600519	贵州茅台	2.25	3303604224	741.97	741.97	741.99	44795	14	0.06	          0.36	728.00	
603799	华友钴业	-0.77	3200775168	120.08	120.09	120.10	265388	9	-0.22	          4.53	119.01	
600516	方大炭素	3.65	3159136256	30.63	30.61	30.62	1043677	66	0.49	          6.07	29.12	
002460	赣锋锂业	0.51	3043584768	72.75	72.75	72.76	417133	3186	0.12	          8.03	71.35	
000725	京东方Ａ	0.71	2991961600	5.70	5.69	5.70	5254305	63611	0.00	          1.55	5.59	
000651	格力电器	-0.21	2732302848	51.58	51.57	51.58	529377	4056	0.04	          0.89	51.35	
300059	东方财富	2.68	2549920512	14.16	14.16	14.17	1832374	28752	-0.06	          5.75	13.57	
002466	天齐锂业	3.06	2497781760	63.39	63.39	63.40	396192	3238	0.00	          3.49	60.80	
002230	科大讯飞	2.86	2424363008	56.77	56.76	56.77	432372	8420	0.05	          3.66	54.70	
601360	三六零	-7.87	2413006336	52.44	52.37	52.40	464689	137	2.36	         11.70	52.70	
603993	洛阳钼业	-1.75	2398510080	8.43	8.42	8.43	2845919	196	-0.11	          2.20	8.37	
002415	海康威视	4.04	2317379840	44.29	44.28	44.29	530295	11194	0.54	          0.72	42.19	
002049	紫光国芯	5.54	2083019264	44.96	44.96	44.97	473453	5448	0.31	          7.86	42.00	
600030	中信证券	0.11	2017393536	18.13	18.13	18.14	1115791	92	-0.05	          1.14	17.89	
600048	保利地产	0.48	2007251200	14.70	14.70	14.71	1355076	314	-0.26	          1.15	14.42	
600460	士兰微	2.36	1964739200	16.46	16.50	16.51	1205868	225	0.24	          9.67	15.90	
002508	老板电器	-1.94	1958131328	39.88	39.88	39.89	491684	2793	0.71	          5.26	39.94	
000858	五 粮 液	0.05	1898957312	74.32	74.31	74.32	254649	2483	0.05	          0.67	73.80	
000063	中兴通讯	0.34	1888708096	32.35	32.35	32.36	583773	4220	0.06	          1.70	31.93	
603019	中科曙光	5.45	1856424832	45.46	45.46	45.47	417782	34	-0.08	          6.50	42.60	
