代码	名称	涨幅%%	总金额	现价	买价	卖价	总量	现量	涨速%%	换手%%	今开	
600664	哈药股份	0.57	181334864	5.28	5.27	5.28	344482	10	0.19	          1.38	5.28	
603557	起步股份	9.99	72981488	15.63	15.63	--  	47335	2	0.00	         10.07	15.30	
002188	ST巴士	0.13	72246232	7.44	7.44	7.45	97430	1454	0.00	          5.28	7.31	
002684	猛狮科技	0.73	69828072	13.84	13.83	13.84	50630	618	0.14	          1.57	13.38	
002288	超华科技	1.18	63456560	5.16	5.15	5.16	123551	981	0.19	          1.87	5.07	
002663	普邦股份	0.38	52032960	5.35	5.34	5.35	97115	2075	0.00	          0.81	5.35	
002010	传化智联	0.26	46346908	15.57	15.57	15.58	29573	469	0.00	          0.72	15.50	
002071	长城影视	0.45	38405828	8.97	8.97	8.98	42920	827	0.11	          0.83	8.86	
01363	中滔环保	1.44	16822896	1.410	1.400	1.410	11986000	322000	0.00	          0.19	1.400	
01681	康臣药业	0.12	11699903	8.620	--  	--  	1379768	64000	0.12	          0.16	8.610	
300108	吉药控股	0.12	7143354	8.26	8.26	8.28	8624	30	0.00	          0.20	8.22	
数据来源:通达信
