代码	名称	涨幅%%	总金额	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	
600588	用友网络	9.99	2081625600	3.72	40.94	--  	537073	10	0.00	          3.68	38.11	
600048	保利地产	0.41	1829904896	0.06	14.85	14.86	1215889	547	0.27	          1.04	14.92	
603019	中科曙光	7.97	1807175936	3.65	49.49	49.50	379306	7	0.10	          5.90	46.62	
603986	兆易创新	10.00	1804867456	15.17	166.85	--  	110771	4	0.00	          7.52	153.01	
300353	东土科技	3.41	1669610880	0.58	17.58	17.59	967103	8771	-0.39	         29.51	17.30	
000410	沈阳机床	6.40	1516509056	0.74	12.30	12.31	1240342	12759	0.00	         16.76	12.11	
000977	浪潮信息	4.40	1497209088	0.89	21.10	21.11	725855	8507	-0.18	          5.65	20.50	
600410	华胜天成	1.21	1177403008	0.14	11.75	11.76	1013179	196	0.17	          9.26	11.70	
600570	恒生电子	2.88	1117298048	1.42	50.67	50.71	221166	31	0.42	          3.58	50.35	
600577	精达股份	9.94	1088987008	0.47	5.20	--  	2106805	79	0.00	         10.77	5.08	
002405	四维图新	2.61	993920704	0.61	23.93	23.94	422578	11753	0.42	          4.12	23.60	
601155	新城控股	2.09	967564992	0.73	35.63	35.66	270217	6	-0.05	          3.76	35.03	
002769	普路通	9.99	889923136	1.86	20.47	--  	437437	328	0.00	         22.97	20.47	
001979	招商蛇口	0.73	807846080	0.16	22.08	22.09	362211	3046	0.00	          1.91	22.15	
000938	紫光股份	2.86	732352512	1.92	68.99	69.00	107998	783	0.01	          5.24	67.07	
600392	盛和资源	1.67	716180096	0.28	17.08	17.09	419397	80	0.06	          3.91	16.95	
600111	北方稀土	0.15	695961408	0.02	13.33	13.34	520283	1	0.15	          1.43	13.31	
300367	东方网力	1.96	688909760	0.33	17.16	17.17	405097	5600	0.35	          7.38	17.15	
600584	长电科技	2.44	660368704	0.50	21.02	21.04	318763	43	0.10	          3.24	20.65	
300058	蓝色光标	2.23	630129088	0.17	7.79	7.80	817761	18945	0.13	          4.86	7.68	
600260	凯乐科技	4.68	629425216	1.54	34.45	34.48	184343	108	0.06	          3.42	33.73	
300168	万达信息	3.10	614613760	0.47	15.64	15.65	397688	9494	0.19	          3.94	15.30	
002402	和而泰	6.27	599426432	0.59	10.00	10.01	599780	10370	0.10	          8.35	10.35	
300624	万兴科技	9.99	574397888	5.50	60.53	--  	98498	8	0.00	         49.25	56.17	
600093	易见股份	4.85	573166592	0.75	16.20	16.21	355674	87	-0.30	         11.03	15.75	
300465	高伟达	6.55	559020160	0.65	10.57	10.58	533863	5674	-0.37	         19.85	10.39	
300450	先导智能	6.11	528551808	4.06	70.47	70.48	76377	715	0.04	          4.52	67.20	
300666	江丰电子	8.58	505488928	4.73	59.89	59.90	86657	1485	-0.36	         15.85	55.17	
300236	上海新阳	1.56	499631296	0.52	33.95	33.96	148971	2561	0.41	          8.40	33.06	
600893	航发动力	2.63	480394080	0.69	26.91	26.92	180226	61	0.22	          0.93	26.78	
002024	苏宁易购	0.63	475218240	0.08	12.80	12.81	372930	5472	0.23	          0.75	12.78	
600110	诺德股份	4.52	471166464	0.39	9.02	9.03	530028	93	0.11	          4.61	8.62	
603533	掌阅科技	9.99	455984512	3.81	41.94	--  	112442	3	0.00	         27.42	39.08	
300413	快乐购	9.99	449109664	3.87	42.61	--  	109556	365	0.00	          5.33	38.91	
002369	卓翼科技	5.34	446078880	0.47	9.27	9.28	486547	4522	-0.10	         11.59	9.05	
000936	华西股份	3.23	439689632	0.23	7.34	7.35	598917	6085	0.27	          8.01	7.40	
603083	剑桥科技	4.07	433696928	1.80	46.02	46.04	96360	12	0.20	         39.38	45.50	
02269	药明生物	7.73	430890272	4.200	58.450	58.500	7371565	110000	-0.17	          0.63	55.000	
600797	浙大网新	5.57	429299776	0.64	12.15	12.16	361313	149	0.66	          4.30	11.70	
000681	视觉中国	5.31	420970048	1.38	27.37	27.38	157684	6639	0.85	          5.63	26.35	
002232	启明信息	9.93	405518112	1.05	11.61	11.62	357369	11427	0.26	          8.88	11.63	
600271	航天信息	1.05	404054848	0.22	21.10	21.11	192541	37	-0.13	          1.04	20.98	
000066	中国长城	4.71	397909632	0.32	7.12	7.13	563661	4674	0.00	          2.26	6.83	
300277	海联讯	3.68	386212928	0.43	12.10	12.11	329472	8753	0.17	          9.85	11.50	
300024	机器人	1.11	383502592	0.21	19.05	19.06	201964	2867	0.05	          1.33	18.98	
002373	千方科技	2.79	366857152	0.41	15.10	15.11	243954	2673	0.00	          2.98	14.90	
300070	碧水源	0.53	361758752	0.09	16.99	17.00	213538	3020	0.00	          1.11	17.05	
600125	铁龙物流	4.99	360842080	0.45	9.45	9.46	386813	120	0.42	          2.96	9.16	
600879	航天电子	1.87	355602016	0.14	7.63	7.64	463532	53	-0.38	          1.92	7.71	
002903	宇环数控	10.01	355079968	3.71	40.79	--  	88868	205	0.00	         35.55	39.00	
300738	奥飞数据	6.38	351760512	3.70	61.69	61.70	58248	1221	-0.17	         35.69	58.00	
