代码	名称	涨幅%%	总金额	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	
603993	洛阳钼业	7.66	3794683904	0.64	8.99	9.00	4303335	648	0.00	          3.32	8.42	9.07	
603799	华友钴业	1.56	2994080512	1.92	125.01	125.02	239674	9	0.47	          4.09	124.54	127.89	
002049	紫光国芯	8.12	2188589056	3.56	47.39	47.40	478135	8720	-0.05	          7.93	43.90	47.98	
600588	用友网络	9.99	2081625600	3.72	40.94	--  	537073	10	0.00	          3.68	38.11	40.94	
600048	保利地产	0.41	1829904896	0.06	14.85	14.86	1215889	547	0.27	          1.04	14.92	15.38	
603019	中科曙光	7.97	1807175936	3.65	49.49	49.50	379306	7	0.10	          5.90	46.62	49.75	
300353	东土科技	3.41	1669610880	0.58	17.58	17.59	967103	8771	-0.39	         29.51	17.30	18.16	
000410	沈阳机床	6.40	1516509056	0.74	12.30	12.31	1240342	12759	0.00	         16.76	12.11	12.72	
002916	深南电路	10.01	1360745728	7.08	77.83	--  	180504	260	0.00	         25.79	71.97	77.83	
600570	恒生电子	2.88	1117298048	1.42	50.67	50.71	221166	31	0.42	          3.58	50.35	51.35	
600577	精达股份	9.94	1088987008	0.47	5.20	--  	2106805	79	0.00	         10.77	5.08	5.20	
002925	盈趣科技	10.01	1084753664	8.79	96.64	--  	118035	231	0.00	         15.74	88.00	96.64	
601166	兴业银行	0.22	1072982144	0.04	17.92	17.93	598963	37	0.00	          0.31	17.88	18.05	
002405	四维图新	2.61	993920704	0.61	23.93	23.94	422578	11753	0.42	          4.12	23.60	23.95	
002594	比亚迪	3.58	969390144	2.25	65.12	65.13	149505	1402	0.12	          1.31	63.00	65.90	
601155	新城控股	2.09	967564992	0.73	35.63	35.66	270217	6	-0.05	          3.76	35.03	36.20	
600104	上汽集团	0.49	919354816	0.17	35.20	35.21	262415	110	0.26	          0.23	35.08	35.66	
