代码	名称	涨幅%%	总金额	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	
002049	紫光国芯	8.12	2188589056	3.56	47.39	47.40	478135	8720	-0.05	          7.93	43.90	47.98	
603019	中科曙光	7.97	1807175936	3.65	49.49	49.50	379306	7	0.10	          5.90	46.62	49.75	
300353	东土科技	3.41	1669610880	0.58	17.58	17.59	967103	8771	-0.39	         29.51	17.30	18.16	
000410	沈阳机床	6.40	1516509056	0.74	12.30	12.31	1240342	12759	0.00	         16.76	12.11	12.72	
002916	深南电路	10.01	1360745728	7.08	77.83	--  	180504	260	0.00	         25.79	71.97	77.83	
600577	精达股份	9.94	1088987008	0.47	5.20	--  	2106805	79	0.00	         10.77	5.08	5.20	
002594	比亚迪	3.58	969390144	2.25	65.12	65.13	149505	1402	0.12	          1.31	63.00	65.90	
002769	普路通	9.99	889923136	1.86	20.47	--  	437437	328	0.00	         22.97	20.47	20.47	
600260	凯乐科技	4.68	629425216	1.54	34.45	34.48	184343	108	0.06	          3.42	33.73	34.68	
300168	万达信息	3.10	614613760	0.47	15.64	15.65	397688	9494	0.19	          3.94	15.30	15.67	
002402	和而泰	6.27	599426432	0.59	10.00	10.01	599780	10370	0.10	          8.35	10.35	10.35	
600884	杉杉股份	4.63	585349824	0.84	18.97	18.98	310834	10	0.11	          3.78	18.48	19.14	
300676	华大基因	5.66	584562560	9.38	175.15	175.16	34096	720	0.25	          8.50	166.67	176.51	
600216	浙江医药	8.33	576180800	1.30	16.90	16.91	357406	11	0.77	          3.78	15.46	16.98	
300624	万兴科技	9.99	574397888	5.50	60.53	--  	98498	8	0.00	         49.25	56.17	60.53	
300465	高伟达	6.55	559020160	0.65	10.57	10.58	533863	5674	-0.37	         19.85	10.39	10.90	
300355	蒙草生态	4.84	555974336	0.55	11.91	11.92	477007	12550	0.34	          4.12	11.42	11.92	
600436	片仔癀	4.44	530903008	3.29	77.48	77.49	69867	78	0.19	          1.16	74.14	77.50	
300450	先导智能	6.11	528551808	4.06	70.47	70.48	76377	715	0.04	          4.52	67.20	73.06	
600845	宝信软件	2.63	509168800	0.68	26.53	26.54	195359	2	-0.25	          3.73	25.95	26.99	
600110	诺德股份	4.52	471166464	0.39	9.02	9.03	530028	93	0.11	          4.61	8.62	9.03	
600171	上海贝岭	4.74	466120480	0.63	13.93	13.94	341326	70	0.22	          5.07	13.24	14.08	
603533	掌阅科技	9.99	455984512	3.81	41.94	--  	112442	3	0.00	         27.42	39.08	41.94	
300413	快乐购	9.99	449109664	3.87	42.61	--  	109556	365	0.00	          5.33	38.91	42.61	
002369	卓翼科技	5.34	446078880	0.47	9.27	9.28	486547	4522	-0.10	         11.59	9.05	9.38	
000936	华西股份	3.23	439689632	0.23	7.34	7.35	598917	6085	0.27	          8.01	7.40	7.48	
300476	胜宏科技	5.43	438562528	1.45	28.13	28.14	157125	2692	0.18	          8.43	27.24	28.61	
603083	剑桥科技	4.07	433696928	1.80	46.02	46.04	96360	12	0.20	         39.38	45.50	46.36	
002232	启明信息	9.93	405518112	1.05	11.61	11.62	357369	11427	0.26	          8.88	11.63	11.63	
002019	亿帆医药	3.31	404932160	0.68	21.25	21.26	193187	2340	0.05	          2.73	20.53	21.26	
000066	中国长城	4.71	397909632	0.32	7.12	7.13	563661	4674	0.00	          2.26	6.83	7.25	
000868	安凯客车	2.22	389110432	0.15	6.89	6.90	565269	6195	0.00	          8.13	6.60	7.19	
002745	木林森	3.98	387010080	1.59	41.49	41.50	95074	636	0.12	          5.86	40.00	41.57	
300664	鹏鹞环保	8.06	380280032	1.48	19.84	19.85	192572	3372	-0.14	         24.07	18.69	20.21	
002373	千方科技	2.79	366857152	0.41	15.10	15.11	243954	2673	0.00	          2.98	14.90	15.30	
600125	铁龙物流	4.99	360842080	0.45	9.45	9.46	386813	120	0.42	          2.96	9.16	9.47	
600879	航天电子	1.87	355602016	0.14	7.63	7.64	463532	53	-0.38	          1.92	7.71	7.77	
002903	宇环数控	10.01	355079968	3.71	40.79	--  	88868	205	0.00	         35.55	39.00	40.79	
600895	张江高科	6.04	347271264	0.79	13.86	13.87	251846	53	-0.06	          1.63	13.43	14.16	
600439	瑞贝卡	3.97	340188896	0.25	6.52	6.54	540179	530	0.77	          4.77	6.16	6.58	
002179	中航光电	2.46	334417088	0.91	37.87	37.88	88141	566	0.03	          1.13	37.10	38.25	
600635	大众公用	9.95	333151040	0.42	4.64	--  	729702	6	0.00	          3.02	4.41	4.64	
002422	科伦药业	4.82	298306944	1.21	26.29	26.30	115126	1022	0.19	          1.12	25.18	26.42	
300735	光弘科技	4.35	290987328	0.90	21.59	21.60	135306	1916	0.09	         15.26	21.17	21.95	
