代码	名称	涨幅%%	总金额	现价	买价	卖价	总量	现量	涨速%%	换手%%	
00700	腾讯控股	3.20	10862231552	438.600	438.600	439.000	24812524	1356100	-0.63	          0.26	
02318	中国平安	3.60	3569217280	83.500	83.500	83.550	43174688	2707500	-0.12	          0.58	
01398	工商银行	3.67	2542603008	6.780	6.780	6.790	379121888	32055000	-0.15	          0.44	
002001	新 和 成	7.44	1325313920	40.45	40.45	40.46	343016	4929	-0.01	          3.20	
02628	中国人寿	2.21	1269202432	23.150	23.150	23.200	54806092	5320000	-0.22	          0.74	
00386	中国石油化工股份	1.96	1162529664	6.250	6.240	6.250	185948912	14702000	-0.32	          0.73	
00883	中国海洋石油	4.07	1097621760	11.260	11.260	11.280	97539632	8953000	-0.18	          0.22	
600028	中国石化	1.25	1021363968	6.47	6.46	6.47	1585880	54	0.31	          0.17	
03968	招商银行	3.42	990201344	33.250	33.250	33.350	30002856	2690000	-0.60	          0.65	
00857	中国石油股份	2.67	837125888	5.380	5.380	5.390	155362160	12292000	-0.55	          0.74	
01918	融创中国	5.54	787699648	29.550	29.500	29.550	27273560	625000	0.51	          0.62	
02018	瑞声科技	2.89	771736128	153.000	153.000	153.100	5038858	248500	-0.20	          0.41	
01928	金沙中国有限公司	2.74	688819584	43.050	43.000	43.050	16054713	893200	-0.35	          0.20	
02382	舜宇光学科技	1.54	617717248	131.900	131.900	132.000	4697357	194300	-0.30	          0.43	
06030	中信证券	4.15	519890080	18.060	18.040	18.060	29051244	992500	-0.44	          1.28	
603895	天永智能	0.86	495776000	53.87	53.86	53.87	91376	95	-0.03	         47.34	
601828	美凯龙	0.75	393365792	17.49	17.49	17.50	225525	22	0.17	          7.16	
01548	金斯瑞生物科技	3.73	369678880	25.000	24.950	25.000	14867194	24000	-0.40	          0.85	
601857	中国石油	1.25	307284704	8.11	8.10	8.11	381472	10	0.25	          0.02	
600066	宇通客车	1.11	287647712	23.78	23.78	23.79	121285	17	0.08	          0.55	
603356	华菱精工	0.85	280128000	23.61	23.59	23.60	119332	16	0.68	         35.79	
000423	东阿阿胶	1.13	266569376	61.08	61.08	61.09	43995	578	0.13	          0.67	
02600	中国铝业	4.19	252454640	4.720	4.710	4.720	53820660	2434000	-0.42	          1.36	
00004	九龙仓集团	2.97	250980624	29.450	29.450	29.500	8507447	759000	-0.17	          0.28	
002080	中材科技	2.66	242480080	22.38	22.38	22.39	109824	2703	0.13	          2.75	
603871	嘉友国际	0.91	227768992	71.29	71.27	71.35	31912	7	0.08	         15.96	
000996	中国中期	0.06	217416320	15.54	15.54	15.55	140279	3870	0.26	          4.07	
06881	中国银河	3.51	195724304	5.610	5.610	5.620	34936000	1297500	-0.36	          0.95	
02282	美高梅中国	0.22	173242944	22.800	22.800	22.900	7547172	477600	-0.65	          0.20	
603709	中源家居	1.06	173169104	34.27	34.25	34.26	50586	64	-0.02	         25.29	
002160	常铝股份	9.98	170651456	6.94	6.94	--  	252646	1155	0.00	          5.35	
01766	中国中车	0.98	168432304	7.200	7.200	7.210	23333368	1754000	-0.14	          0.53	
00884	旭辉控股集团	0.91	144561216	6.640	6.640	6.660	21769320	2018000	-0.45	          0.29	
300143	星普医科	10.02	142869280	24.92	24.92	--  	58088	32	0.00	          4.22	
06837	海通证券	2.75	139161632	11.220	11.220	11.240	12394000	1308800	0.18	          0.36	
00371	北控水务集团	1.98	120653616	5.160	5.160	5.170	23394522	2280000	-0.58	          0.25	
03908	中金公司	4.26	109553544	15.680	15.660	15.680	7027267	238400	0.13	          0.46	
00813	世茂房地产	1.96	107532520	20.800	20.800	20.850	5176906	171500	-0.72	          0.15	
06099	招商证券	0.69	106828264	11.740	11.700	11.740	9181800	44800	0.69	          0.94	
02196	复星医药	3.94	105394920	46.200	46.100	46.200	2304900	57500	0.33	          0.48	
