代码	名称	涨幅%%	总金额	现价	买价	卖价	总量	现量	涨速%%	换手%%	
00700	腾讯控股	3.20	10862231552	438.600	438.600	439.000	24812524	1356100	-0.63	          0.26	
000725	京东方Ａ	3.58	6281547776	5.79	5.78	5.79	10901011	112219	0.00	          3.22	
601318	中国平安	2.12	4498428416	69.32	69.38	69.39	657077	30	0.27	          0.61	
000063	中兴通讯	3.58	3800533504	33.30	33.30	33.31	1146695	8379	0.00	          3.34	
00939	建设银行	3.08	3798430464	8.020	8.020	8.030	477478976	26472000	-0.25	          0.20	
02318	中国平安	3.60	3569217280	83.500	83.500	83.550	43174688	2707500	-0.12	          0.58	
600030	中信证券	3.08	3232052224	18.42	18.41	18.42	1772032	41	0.05	          1.81	
002230	科大讯飞	2.73	3176176128	58.02	58.02	58.03	544745	9192	0.16	          4.61	
01398	工商银行	3.67	2542603008	6.780	6.780	6.790	379121888	32055000	-0.15	          0.44	
600728	佳都科技	5.20	2108286720	10.31	10.31	10.32	2037415	234	-0.18	         14.78	
300059	东方财富	1.08	2106954752	14.03	14.03	14.04	1497213	11793	0.14	          4.70	
002926	华西证券	4.97	1810573824	15.20	15.19	15.20	1201357	12219	0.00	         22.88	
603986	兆易创新	6.16	1731022848	177.12	177.49	177.50	98206	1	0.15	          6.67	
002405	四维图新	1.80	1660455424	24.37	24.36	24.37	673593	10856	-0.44	          6.56	
002925	盈趣科技	7.86	1628728192	104.24	104.23	104.24	159000	2537	0.57	         21.20	
03988	中国银行	2.66	1620184448	4.250	4.250	4.260	383804352	31365000	-0.23	          0.46	
600570	恒生电子	1.30	1599821952	51.35	51.34	51.35	308255	10	0.18	          4.99	
000825	太钢不锈	8.92	1513543040	7.08	7.07	7.08	2215895	28710	-0.27	          3.89	
01299	友邦保险	3.20	1499174016	64.550	64.550	64.600	23416388	3598600	0.31	          0.19	
002001	新 和 成	7.44	1325313920	40.45	40.45	40.46	343016	4929	-0.01	          3.20	
300418	昆仑万维	4.75	1288237568	26.26	26.26	26.27	491137	2227	-0.03	          8.39	
02628	中国人寿	2.21	1269202432	23.150	23.150	23.200	54806092	5320000	-0.22	          0.74	
600703	三安光电	3.53	1255810560	26.41	26.41	26.42	476303	4	0.15	          1.17	
600111	北方稀土	2.40	1248519168	13.65	13.64	13.65	920819	231	-0.28	          2.53	
000732	泰禾集团	10.02	1209985536	31.19	31.19	--  	412366	1017	0.00	          3.32	
02828	恒生中国企业	2.56	1190494336	124.200	--  	--  	9664531	136400	-0.08	--  	
600031	三一重工	3.57	1186107904	8.41	8.41	8.42	1434246	62	-0.11	          1.88	
00386	中国石油化工股份	1.96	1162529664	6.250	6.240	6.250	185948912	14702000	-0.32	          0.73	
600019	宝钢股份	1.37	1156442752	9.64	9.64	9.65	1210462	423	0.00	          0.55	
601838	成都银行	3.83	1132047744	13.27	13.28	13.29	864750	126	0.38	         23.94	
600392	盛和资源	5.09	1131278464	17.96	17.97	17.98	639964	37	-0.32	          5.96	
600549	厦门钨业	3.70	1109926912	26.08	26.09	26.10	431985	74	-0.10	          3.99	
00883	中国海洋石油	4.07	1097621760	11.260	11.260	11.280	97539632	8953000	-0.18	          0.22	
600487	亨通光电	2.40	1086370944	39.68	39.68	39.69	275094	26	0.03	          2.22	
600196	复星医药	5.21	1067279296	42.02	42.02	42.03	259278	29	0.10	          1.36	
601155	新城控股	9.06	1055353664	38.89	38.91	38.94	283448	56	2.02	          3.94	
01336	新华保险	5.40	1042324608	45.850	45.800	45.850	23338536	360700	0.00	          2.26	
600028	中国石化	1.25	1021363968	6.47	6.46	6.47	1585880	54	0.31	          0.17	
300104	乐视网	0.94	1016052864	5.38	5.37	5.38	1886108	32365	0.00	          6.20	
002129	中环股份	1.77	1009749312	9.18	9.17	9.18	1090042	12818	0.00	          4.12	
03968	招商银行	3.42	990201344	33.250	33.250	33.350	30002856	2690000	-0.60	          0.65	
002594	比亚迪	2.24	986303936	66.58	66.57	66.58	149686	1894	0.53	          1.31	
000100	TCL 集团	5.28	984737600	3.79	3.78	3.79	2635602	14696	0.26	          2.25	
601933	永辉超市	2.73	981862848	10.53	10.53	10.54	947807	129	0.38	          1.46	
600596	新安股份	10.02	973431872	15.15	15.15	--  	671973	8	0.93	          9.89	
000401	冀东水泥	4.28	968321920	14.36	14.36	14.37	671710	5422	-0.13	          4.99	
300136	信维通信	3.44	956320832	41.24	41.23	41.24	233474	1713	-0.01	          3.13	
300740	御家汇	3.61	946349440	47.39	47.39	47.40	198172	2797	-0.01	         49.54	
601688	华泰证券	2.32	908393600	17.64	17.64	17.65	518626	225	0.06	          0.95	
002456	欧菲科技	3.71	893060352	21.78	21.78	21.79	414318	4590	-0.04	          1.56	
01211	比亚迪股份	5.74	873683648	75.500	75.400	75.500	11711403	444500	0.00	          1.28	
002769	普路通	3.32	858577280	21.15	21.14	21.15	416821	5364	0.67	         21.88	
000738	航发控制	1.58	847068736	16.12	16.12	16.13	524674	3759	0.19	          4.58	
002236	大华股份	0.42	846241536	28.75	28.74	28.75	292748	2521	0.10	          1.72	
600160	巨化股份	1.51	843885056	12.76	12.73	12.76	673149	1365	1.03	          3.29	
002241	歌尔股份	1.31	841394240	15.48	15.48	15.49	544094	4660	0.00	          2.00	
002797	第一创业	3.06	839828480	8.75	8.74	8.75	968773	24382	0.23	          5.05	
002415	海康威视	0.84	837393920	43.10	43.10	43.11	194412	3891	0.28	          0.26	
00857	中国石油股份	2.67	837125888	5.380	5.380	5.390	155362160	12292000	-0.55	          0.74	
601336	新华保险	3.24	836328192	53.87	53.87	53.89	158370	30	0.17	          0.76	
600188	兖州煤业	6.69	815335872	15.46	15.45	15.46	549244	16	0.52	          1.86	
600068	葛洲坝	2.90	814464448	9.57	9.57	9.58	865753	556	0.53	          1.88	
300666	江丰电子	0.92	808717952	60.44	60.44	60.45	131560	1719	0.17	         24.06	
000960	锡业股份	6.15	801199424	15.19	15.19	15.20	535967	13864	-0.32	          4.43	
01918	融创中国	5.54	787699648	29.550	29.500	29.550	27273560	625000	0.51	          0.62	
600522	中天科技	2.63	786307008	12.88	12.88	12.89	612891	78	0.31	          2.24	
601988	中国银行	0.72	778647424	4.19	4.18	4.19	1868328	24	0.00	          0.09	
601766	中国中车	2.13	775150080	10.55	10.55	10.56	741539	326	0.00	          0.32	
02018	瑞声科技	2.89	771736128	153.000	153.000	153.100	5038858	248500	-0.20	          0.41	
601111	中国国航	2.81	769039744	13.53	13.53	13.54	577315	251	0.52	          0.68	
002371	北方华创	1.94	750489216	37.25	37.24	37.25	199357	1455	0.03	          5.69	
601328	交通银行	0.31	749493760	6.47	6.47	6.48	1162171	186	0.00	          0.30	
600276	恒瑞医药	2.31	746919552	76.19	76.22	76.23	98475	136	0.00	          0.35	
600760	中航沈飞	4.86	742844352	31.49	31.47	31.48	240345	60	-0.09	          6.97	
601601	中国太保	3.51	723746048	40.39	40.39	40.40	182538	68	0.30	          0.29	
601888	中国国旅	2.97	720905216	55.13	55.16	55.17	131866	2	-0.15	          0.68	
02601	中国太保	2.14	714353600	38.150	38.150	38.200	18796488	1878000	-0.65	          0.68	
00981	中芯国际	4.22	702564992	10.860	10.860	10.900	64343432	1328500	-0.37	          1.31	
01928	金沙中国有限公司	2.74	688819584	43.050	43.000	43.050	16054713	893200	-0.35	          0.20	
600282	南钢股份	4.09	669314176	5.34	5.34	5.35	1279596	386	0.19	          3.30	
601108	财通证券	2.81	660201984	16.44	16.44	16.45	404240	820	0.24	         11.26	
002016	世荣兆业	7.08	657762048	14.22	14.21	14.22	474614	5568	0.00	          7.35	
