代码	名称	涨幅%%	总金额	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	
600887	伊利股份	1.81	3989439232	0.56	31.50	31.52	1299959	56	-0.05	          2.15	30.01	
601899	紫金矿业	6.17	3040178432	0.28	4.82	4.83	6351666	40	0.21	          4.02	4.62	
01548	金斯瑞生物科技	16.57	1667251712	4.100	28.800	28.850	60260400	222000	0.17	          3.47	25.000	
000401	冀东水泥	6.21	1391813376	0.89	15.23	15.24	931179	9071	-0.25	          6.91	14.31	
600196	复星医药	4.74	1164810368	1.95	43.05	43.07	272641	7	0.26	          1.43	41.05	
600490	鹏欣资源	0.53	1152659712	0.05	9.48	9.49	1171502	44	-0.10	          7.88	10.00	
01928	金沙中国有限公司	5.65	1109506048	2.400	44.800	44.900	25052374	2462800	0.45	          0.31	43.050	
00027	银河娱乐	3.64	1048366464	2.400	68.350	68.400	15377383	1585000	0.07	          0.36	66.750	
000025	特 力Ａ	0.38	952351424	0.17	44.33	44.34	208567	3297	0.32	         10.76	46.20	
300216	千山药机	9.97	938906432	1.17	12.91	--  	780289	1207	0.00	         29.90	11.49	
002907	华森制药	4.12	837084032	1.59	40.15	40.16	209080	6583	-2.06	         52.19	37.50	
00902	华能国际电力股份	6.92	794242432	0.340	5.250	5.260	152626384	4020000	-0.19	          3.25	4.890	
000786	北新建材	5.41	789461248	1.23	23.95	23.96	338284	3339	-0.03	          2.39	22.62	
01093	石药集团	5.19	760510080	0.920	18.660	18.680	40889040	1594000	-1.27	          0.65	18.100	
002373	千方科技	6.88	757573376	1.03	16.01	16.02	483519	3856	-0.05	          5.91	14.98	
002019	亿帆医药	5.25	745664896	1.11	22.24	22.25	340059	4471	0.14	          4.81	21.14	
601828	美凯龙	3.90	729470848	0.67	17.84	17.85	411480	5	-0.05	         13.06	17.33	
600008	首创股份	6.43	709710784	0.32	5.30	5.31	1365264	33	-0.18	          2.83	4.97	
000856	冀东装备	10.03	701650880	1.94	21.29	--  	341742	2672	0.00	         15.05	19.32	
02269	药明生物	5.09	680666560	3.150	65.050	65.350	10316425	84500	-0.46	          0.89	62.800	
603616	韩建河山	9.98	651877312	1.72	18.95	--  	369353	1	0.00	         25.06	16.64	
600436	片仔癀	3.68	586638144	2.94	82.80	82.81	71693	1	0.08	          1.19	79.85	
002422	科伦药业	7.35	584497856	2.05	29.96	29.97	200036	2787	0.13	          1.94	27.92	
01128	永利澳门	6.63	569848512	1.750	28.100	28.150	20382900	760000	0.36	          0.39	27.000	
002863	今飞凯达	9.99	551626816	1.70	18.71	--  	314214	826	0.00	         56.62	17.02	
002913	奥士康	10.01	551406016	4.08	44.84	--  	125699	22	0.00	         34.90	43.30	
300476	胜宏科技	5.11	551186816	1.44	29.59	29.60	191420	10614	0.68	         10.27	27.97	
002911	佛燃股份	1.93	547569024	0.54	28.50	28.51	191847	3377	-0.37	         34.26	27.73	
600874	创业环保	10.04	546285632	1.21	13.26	--  	431983	24	0.00	          3.97	12.02	
300137	先河环保	7.06	537869632	1.33	20.18	20.19	272128	4837	-0.24	          9.19	18.82	
603329	上海雅仕	10.01	530103104	3.25	35.72	--  	156882	2	0.00	         47.54	32.00	
600207	安彩高科	2.02	507490272	0.18	9.10	9.11	565307	77	0.44	          8.19	8.98	
603080	新疆火炬	3.27	507424800	1.16	36.63	36.64	139776	2	-0.99	         39.37	34.60	
02899	紫金矿业	8.71	501261120	0.310	3.860	3.870	131825000	2240000	-0.26	          2.30	3.610	
000543	皖能电力	4.69	498801952	0.24	5.36	5.37	940977	11882	0.19	          5.26	5.17	
600079	人福医药	3.42	495532704	0.53	16.03	16.04	311040	800	0.12	          2.94	15.51	
300688	创业黑马	1.27	492242848	0.76	60.40	60.45	81153	1707	0.30	         47.74	58.15	
