代码	名称	涨幅%%	总金额	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	
600887	伊利股份	1.39	2694474752	0.43	31.30	31.31	858114	14	0.16	          1.42	30.98	
000830	鲁西化工	1.78	2135355648	0.36	20.58	20.59	1038786	12438	-0.04	          7.10	20.08	
601398	工商银行	0.31	1916691840	0.02	6.50	6.51	2937149	2981	0.15	          0.11	6.49	
600019	宝钢股份	0.22	947021376	0.02	9.22	9.23	1019732	67	0.11	          0.46	9.18	
03993	洛阳钼业	3.32	662613376	0.210	6.530	6.540	102895248	2649000	0.00	          2.62	6.320	
601088	中国神华	0.52	647671488	0.12	23.37	23.38	276868	1024	0.09	          0.17	23.27	
600740	山西焦化	0.08	646772032	0.01	12.50	12.51	513112	242	0.00	          7.81	12.30	
601699	潞安环能	0.52	640369984	0.06	11.63	11.64	550615	254	0.26	          1.84	11.47	
000717	韶钢松山	1.36	455756128	0.10	7.47	7.48	605025	5217	0.13	          2.50	7.34	
000898	鞍钢股份	0.45	363583968	0.03	6.69	6.70	541966	3151	0.15	          0.88	6.66	
600383	金地集团	0.41	303300096	0.05	12.33	12.34	245660	2	0.00	          0.54	12.25	
000426	兴业矿业	0.09	283615072	0.01	10.85	10.86	261137	2176	0.09	          1.96	10.82	
600074	ST保千里	4.87	217499296	0.11	2.37	--  	930676	51	0.00	          9.14	2.25	
600569	安阳钢铁	0.62	210100512	0.03	4.87	4.88	430218	89	0.41	          1.80	4.81	
600273	嘉化能源	1.22	176616064	0.11	9.11	9.12	193316	111	0.11	          1.48	8.95	
002359	北讯集团	0.46	148274096	0.12	26.23	26.24	56493	723	0.19	          0.80	26.01	
00347	鞍钢股份	1.40	131406128	0.110	7.930	7.950	16552920	148000	0.00	          1.52	7.850	
00932	顺腾国际控股	0.86	124829848	0.010	--  	--  	106508000	60000	0.00	          5.04	1.150	
06823	香港电讯－ＳＳ	0.20	98326992	0.020	--  	--  	10004556	13000	0.00	          0.13	9.890	
002189	利达光电	9.98	83181944	1.62	17.85	--  	46873	85	0.00	          2.36	17.59	
00323	马鞍山钢铁股份	1.32	70321712	0.050	3.820	3.830	18397824	374000	0.00	          1.06	3.780	
00316	东方海外国际	0.27	68601952	0.200	72.950	73.000	938967	35000	-0.07	          0.15	72.800	
00023	东亚银行	1.04	67688608	0.350	34.050	34.150	1987045	300200	0.29	          0.07	33.650	
00581	中国东方集团	0.89	56331592	0.050	5.690	5.700	9910000	28000	-0.35	          0.27	5.640	
000913	钱江摩托	0.45	52126324	0.08	17.87	17.88	29146	394	-0.10	          0.64	17.79	
600766	园城黄金	3.01	51892012	0.26	8.90	8.91	58680	12	0.34	          2.62	8.68	
600193	创兴资源	1.84	50521688	0.09	4.96	4.97	103240	103	0.81	          2.43	4.87	
002399	海普瑞	2.13	40123164	0.37	17.77	17.78	22707	827	0.00	          0.18	17.42	
600844	丹化科技	0.16	36132236	0.01	6.24	6.25	58467	18	0.16	          0.71	6.19	
02098	卓尔集团	0.45	34264832	0.040	8.880	8.930	3851000	1000	0.34	          0.03	8.890	
00338	上海石油化工股份	0.86	33765120	0.040	4.690	4.700	7221028	826000	0.21	          0.21	4.660	
000691	亚太实业	2.48	26661968	0.15	6.19	6.20	43325	1436	0.16	          1.49	6.06	
00778	置富产业信托	0.75	23654672	0.070	--  	--  	2533000	346000	0.00	--  	9.330	
00826	天工国际	1.99	13587641	0.030	--  	--  	8936000	10000	0.65	          0.40	1.500	
03319	雅生活服务	0.57	13403319	0.060	--  	--  	1270400	250	0.19	          0.29	10.520	
00297	中化化肥	0.93	11995261	0.010	1.070	1.080	11100000	184000	0.00	          0.16	1.080	
00787	利标品牌	1.92	10977744	0.010	0.520	0.530	20988048	228000	0.00	          0.25	0.520	
01263	柏能集团	2.38	9831740	0.140	--  	--  	1650000	8000	0.33	          0.37	5.840	
01651	津上机床中国	0.57	9696120	0.060	--  	--  	909000	1000	0.19	          0.24	10.360	
数据来源:通达信
