代码	名称	涨幅%%	总金额	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	
601318	中国平安	-2.39	4270300672	-1.70	69.45	69.46	609492	5	0.26	          0.56	71.20	
600519	贵州茅台	-1.88	2764427008	-13.60	710.20	710.29	38577	12	-0.21	          0.31	723.00	
300059	东方财富	-0.66	2498191616	-0.10	15.05	15.06	1645576	13304	-0.32	          5.16	15.19	
600030	中信证券	-1.81	2090717824	-0.35	18.97	18.98	1096966	375	0.26	          1.12	19.20	
000063	中兴通讯	-2.47	1802920064	-0.84	33.15	33.16	539481	8233	-0.08	          1.57	33.99	
000858	五 粮 液	-2.02	1744599424	-1.54	74.61	74.62	231138	1638	-0.08	          0.61	76.24	
600588	用友网络	-3.08	1643947008	-1.27	39.99	40.00	408447	448	0.18	          2.80	40.66	
601668	中国建筑	-1.00	1372436480	-0.09	8.95	8.96	1532497	15	0.11	          0.52	9.03	
601166	兴业银行	-0.33	1282573312	-0.06	17.88	17.89	715754	363	0.39	          0.38	17.90	
00941	中国移动	-1.17	1276146688	-0.850	71.650	71.700	17801660	2087500	0.42	          0.09	72.350	
002916	深南电路	-7.09	1218663936	-5.78	75.71	75.72	157089	3097	-0.27	         22.44	79.47	
600036	招商银行	-0.36	1158438656	-0.11	30.77	30.79	373747	20	0.26	          0.18	30.90	
601899	紫金矿业	-0.83	1079793152	-0.04	4.76	4.77	2262926	396	0.42	          1.43	4.76	
002926	华西证券	-2.52	1074039552	-0.39	15.06	15.07	709383	7857	-0.12	         13.51	15.31	
002001	新 和 成	-3.85	984798720	-1.53	38.24	38.25	254465	2121	0.00	          2.37	39.95	
600340	华夏幸福	-0.61	980216960	-0.22	35.93	35.94	272032	35	0.08	          0.92	36.09	
600031	三一重工	-2.58	960103040	-0.22	8.34	8.35	1143135	83	0.85	          1.50	8.56	
002405	四维图新	-0.32	937011456	-0.08	24.78	24.79	376678	2835	-0.07	          3.67	24.62	
002415	海康威视	-0.82	932892928	-0.36	43.59	43.60	213975	2038	0.21	          0.29	43.95	
002008	大族激光	-2.01	877680192	-1.19	57.91	57.92	150956	2248	-0.02	          1.52	58.75	
600352	浙江龙盛	-2.51	875872960	-0.32	12.45	12.46	701805	144	0.40	          2.29	12.70	
002236	大华股份	-3.18	869244608	-0.95	28.94	28.95	298384	3717	0.00	          1.75	29.80	
002456	欧菲科技	-3.28	845900672	-0.74	21.79	21.80	384578	2659	-0.26	          1.45	22.33	
600216	浙江医药	-4.43	844591744	-0.77	16.63	16.64	502793	80	0.06	          5.31	16.90	
