代码	名称	涨幅%%	总金额	买价	卖价	总量	现量	涨速%%	换手%%	量比	今开	最高	
00700	腾讯控股	0.17	10323251200	463.600	463.800	22611788	1130100	0.35	          0.24	  1.21	457.400	463.800	
00939	建设银行	-1.28	3427639808	8.480	8.490	407125376	29760000	0.47	          0.17	  0.98	8.500	8.500	
02318	中国平安	-0.46	2270535936	86.000	86.050	26660612	1318000	0.47	          0.36	  0.67	85.100	86.050	
01288	农业银行	0.64	1852216960	4.740	4.750	394768896	8337000	0.00	          1.28	  1.44	4.650	4.760	
03988	中国银行	0.00	1824546176	4.430	4.440	413792512	24331000	0.00	          0.49	  1.14	4.360	4.450	
01398	工商银行	-1.40	1764170368	7.020	7.030	252573520	13008000	0.57	          0.29	  0.79	7.050	7.050	
00005	汇丰控股	-0.78	1494580608	76.500	76.550	19530566	1788400	-0.20	          0.10	  0.96	76.500	76.750	
00388	香港交易所	-0.69	1201846784	288.800	289.000	4180331	269400	0.07	          0.34	  0.59	288.000	289.600	
00268	金蝶国际	14.89	1195939072	6.780	6.790	181806096	1628000	-0.15	          6.25	  4.96	5.830	6.990	
01705	宾仕国际	44.73	1140669184	--  	--  	369455424	4000	3.65	         92.36	0.00	2.750	4.050	
00941	中国移动	0.07	1048313152	71.750	71.800	14639496	1541000	-0.14	          0.07	  0.90	71.350	72.000	
01299	友邦保险	-1.18	1009955904	67.000	67.100	15151348	1877400	0.30	          0.13	  0.71	67.350	67.350	
02382	舜宇光学科技	-2.18	980263808	143.200	143.300	6864205	237100	0.28	          0.63	  0.79	144.700	145.000	
02007	碧桂园	1.74	880192512	15.200	15.220	58249152	1896000	0.40	          0.27	  1.21	14.980	15.220	
02018	瑞声科技	-2.81	870441792	155.300	155.400	5639956	201000	0.13	          0.46	  1.17	157.000	157.500	
00175	吉利汽车	-1.13	853239488	26.150	26.200	32711540	1454000	0.58	          0.36	  0.65	26.400	26.450	
02628	中国人寿	-1.06	780548160	23.250	23.300	33728264	2694000	0.00	          0.45	  0.90	23.100	23.300	
01548	金斯瑞生物科技	1.13	746500608	26.800	26.850	28048000	156000	0.19	          1.61	  0.69	25.750	27.550	
01316	耐世特	-15.85	627278528	13.800	13.820	45533400	845000	-0.14	          1.82	  7.76	15.220	15.220	
00001	长和	-0.46	618434816	98.000	98.050	6314476	558000	0.10	          0.16	  1.19	98.050	98.100	
00914	海螺水泥	3.73	586450240	43.100	43.150	13770789	488000	-0.23	          1.06	  1.50	41.200	43.650	
03888	金山软件	4.41	567527232	29.550	29.600	19459968	367000	0.34	          1.42	  2.70	28.000	29.650	
00883	中国海洋石油	-0.35	553976768	11.300	11.320	49294288	4216000	0.18	          0.11	  0.80	11.200	11.340	
03993	洛阳钼业	1.53	546115968	6.620	6.630	82659504	1047000	0.30	          2.10	  1.00	6.490	6.690	
00386	中国石油化工股份	0.94	517222272	6.470	6.480	80603856	9678000	0.15	          0.32	  0.76	6.320	6.480	
01918	融创中国	0.83	513621408	30.150	30.200	17070508	434000	0.50	          0.39	  0.86	29.800	30.500	
03323	中国建材	3.73	494922336	8.340	8.350	60194768	1790000	0.36	          2.09	  1.40	7.940	8.400	
00027	银河娱乐	-0.85	448659168	69.950	70.000	6430902	607000	0.21	          0.15	  0.56	69.200	70.300	
03968	招商银行	-1.00	447921376	34.700	34.750	13036813	665000	0.14	          0.28	  0.53	34.650	34.750	
01055	中国南方航空股份	-2.11	417447904	10.180	10.200	41779268	220000	0.20	          1.36	  1.98	10.300	10.300	
01093	石药集团	-0.93	405954560	19.180	19.200	21122236	740000	0.00	          0.34	  0.65	19.080	19.520	
00902	华能国际电力股份	0.96	387238176	5.240	5.250	74201424	1622000	0.00	          1.58	  1.24	5.110	5.340	
01928	金沙中国有限公司	-1.20	376692800	45.150	45.200	8354848	628000	0.11	          0.10	  0.50	44.800	45.650	
02601	中国太保	-0.26	353058560	38.900	38.950	9128606	857400	-0.26	          0.33	  0.65	38.950	39.100	
00762	中国联通	-0.10	339183776	9.630	9.640	35283020	2654000	-0.31	          0.12	  0.89	9.540	9.660	
00799	IGG	1.50	338197248	12.140	12.160	28086668	333000	0.00	          2.11	  1.00	11.680	12.200	
00857	中国石油股份	-0.37	334978784	5.390	5.400	62500304	5020000	0.00	          0.30	  0.70	5.380	5.410	
06869	长飞光纤光缆	2.63	333801504	38.950	39.000	8584283	134000	0.00	          2.44	  1.36	37.350	39.650	
00189	东岳集团	7.10	330275488	8.590	8.600	39184672	299000	0.35	          1.86	  2.08	7.960	8.630	
00763	中兴通讯	-2.72	325746016	28.550	28.600	11398815	318600	0.35	          1.51	  1.39	28.800	28.900	
00354	中国软件国际	5.62	318666816	6.560	6.580	49109000	134000	0.30	          2.04	  2.24	6.150	6.630	
01113	长实集团	0.29	306258048	69.000	69.050	4437984	616500	0.22	          0.12	  1.01	70.300	70.300	
00016	新鸿基地产	0.15	294879424	130.000	130.100	2276361	257000	0.15	          0.08	  0.73	129.900	130.200	
00011	恒生银行	-1.41	292766816	188.500	188.800	1551738	286400	-0.16	          0.08	  1.06	189.400	190.800	
00006	电能实业	0.80	292397760	69.150	69.200	4254081	295500	-0.07	          0.20	  1.49	68.150	69.250	
01088	中国神华	0.68	281742112	22.300	22.350	12751505	767000	0.45	          0.38	  0.62	21.950	22.350	
02388	中银香港	-0.50	280195392	39.800	39.850	7055050	846000	0.00	          0.07	  0.95	39.900	39.900	
02208	金风科技	5.52	275636960	14.100	14.140	19897580	153200	0.28	          3.06	  2.00	13.380	14.180	
01211	比亚迪股份	-0.78	262872048	75.900	75.950	3490256	177000	0.33	          0.38	  0.70	76.500	76.500	
00884	旭辉控股集团	1.04	260076496	6.790	6.800	38296232	1972000	0.00	          0.50	  1.63	6.730	6.920	
00669	创科实业	-2.27	259298544	47.350	47.400	5436942	248000	0.64	          0.30	  1.20	49.950	49.950	
01171	兖州煤业股份	2.02	257335136	11.100	11.120	23578476	658000	0.00	          1.21	  1.13	10.900	11.120	
00004	九龙仓集团	-1.73	250848784	28.350	28.400	8825686	1098000	0.00	          0.29	  0.51	28.850	28.900	
01038	长江基建集团	0.76	238211920	66.500	66.600	3586978	351000	-0.15	          0.14	  2.14	66.000	66.900	
00981	中芯国际	-1.08	235121488	11.000	11.020	21309002	351500	0.00	          0.43	  0.67	11.000	11.180	
01114	BRILLIANCE CHI	-2.03	229934272	19.280	19.300	11918023	548000	0.00	          0.24	  1.07	19.640	19.800	
00753	中国国航	-0.35	229897440	11.380	11.400	20558556	580000	-0.18	          0.45	  1.13	11.420	11.460	
06030	中信证券	-1.28	225413328	18.500	18.520	12205328	874000	-0.11	          0.54	  0.64	18.500	18.620	
01737	亚洲实业集团	1.92	223157664	--  	--  	409830016	10000	-1.85	         40.98	0.00	0.520	0.600	
00288	万洲国际	-1.38	223110656	9.300	9.330	23987028	5105500	-0.11	          0.16	  1.06	9.380	9.410	
00598	中国外运	-0.21	222731536	4.750	4.770	47207000	261000	0.21	          2.20	  4.33	4.700	4.780	
02689	玖龙纸业	0.00	221540176	13.360	13.380	16761080	327000	0.45	          0.36	  0.84	13.000	13.460	
03333	中国恒大	0.00	220495648	24.300	24.350	9126934	468000	0.41	          0.07	  0.43	24.000	24.350	
02899	紫金矿业	1.30	209633536	3.880	3.890	54340792	994000	0.52	          0.95	  0.80	3.830	3.920	
00293	国泰航空	0.00	208577040	13.780	13.840	15033038	619000	-0.43	          0.38	  2.20	13.560	14.220	
00688	中国海外发展	0.00	208173024	27.700	27.750	7576193	486000	0.00	          0.07	  0.55	27.400	27.800	
00916	龙源电力	2.52	199444064	5.680	5.700	35179504	1165000	0.18	          1.05	  2.80	5.590	5.710	
01177	中国生物制药	0.00	192244560	15.220	15.240	12589972	542000	-0.13	          0.15	  0.50	15.200	15.440	
02328	中国财险	0.62	191807664	16.280	16.300	11895271	1462000	0.49	          0.26	  0.68	16.120	16.300	
00066	港铁公司	0.34	190726240	43.950	44.000	4361777	441500	0.23	          0.07	  0.58	43.600	44.000	
02313	申洲国际	0.44	185539424	79.350	79.600	2354404	207000	0.25	          0.16	  1.53	83.000	83.000	
00998	中信银行	-0.69	179023056	5.720	5.730	31465976	1363000	0.00	          0.21	  0.56	5.680	5.740	
00291	华润啤酒	-1.32	174399728	33.550	33.700	5180488	276000	-0.59	          0.16	  0.62	34.800	34.800	
00123	越秀地产	2.15	171794800	1.890	1.900	91640720	1488000	-0.52	          0.74	  1.41	1.860	1.910	
00836	华润电力	-1.28	171145840	13.880	13.900	12368642	512000	0.29	          0.26	  1.09	13.860	13.940	
01999	敏华控股	-5.31	170283808	7.310	7.330	23208232	194800	0.14	          0.61	  2.96	7.520	7.550	
01800	中国交通建设	-1.52	168601216	8.430	8.440	20062648	1813000	0.12	          0.45	  1.12	8.480	8.510	
01966	中骏置业	2.20	166827856	4.170	4.180	39936000	505000	0.00	          1.04	  2.10	4.060	4.250	
02333	长城汽车	-0.67	166404368	8.880	8.890	18815816	1579500	0.23	          0.61	  0.70	8.870	8.900	
03328	交通银行	-0.93	164090592	6.370	6.390	25875442	2804000	-0.16	          0.07	  1.00	6.370	6.400	
00003	香港中华煤气	0.50	163939840	15.960	15.980	10299570	1604000	0.25	          0.07	  0.89	15.820	15.980	
06808	高鑫零售	-1.10	163394320	8.950	8.960	18409632	2012000	0.34	          0.19	  1.16	8.970	8.970	
00002	中电控股	0.13	161500176	78.750	78.800	2053603	548000	0.06	          0.08	  0.75	78.400	78.800	
01313	华润水泥控股	4.49	159509136	6.500	6.510	24963822	1050000	0.46	          0.38	  1.59	6.190	6.510	
00670	中国东方航空股份	-0.46	159199328	6.510	6.540	24774000	62000	-0.15	          0.53	  2.31	6.520	6.620	
01357	美图公司	0.58	159032784	10.060	10.360	15763000	2156000	3.39	          0.37	  1.54	10.200	10.360	
01339	中国人民保险集团	-1.38	158937856	4.290	4.300	37243396	1903000	0.23	          0.43	  1.21	4.290	4.350	
02669	中海物业	8.86	157454352	2.950	2.960	54644424	90000	0.00	          1.66	  5.01	2.700	2.970	
02202	万科企业	-0.14	155598864	34.850	34.900	4494557	220500	0.00	          0.34	  0.89	34.700	35.000	
03800	保利协鑫能源	-3.23	154515872	1.190	1.200	126665160	7914000	0.00	          0.68	  1.54	1.230	1.260	
02238	广汽集团	-0.33	153627696	17.920	17.940	8625039	526000	0.22	          0.39	  0.61	17.840	18.040	
00966	中国太平	-1.15	150694224	30.050	30.100	5059786	137600	0.33	          0.14	  0.66	30.300	30.300	
02319	蒙牛乳业	0.39	149800208	25.950	26.000	5790204	374000	0.19	          0.15	  0.45	25.700	26.000	
00178	莎莎国际	9.30	148820096	4.220	4.230	36197568	356000	0.24	          1.19	  6.16	3.840	4.240	
01030	新城发展控股	1.32	148742224	6.890	6.900	21860000	636000	0.44	          0.37	  1.02	6.720	6.910	
01359	中国信达	-1.02	147911344	2.910	2.920	50820320	4725000	-0.34	          0.37	  1.28	2.920	2.940	
00017	新世界发展	0.16	146466880	12.180	12.200	12039961	1926000	0.16	          0.12	  1.12	11.980	12.200	
02777	富力地产	-0.64	144087488	18.760	18.780	7700662	671600	0.11	          0.76	  1.32	18.640	18.920	
01910	新秀丽	0.55	142105408	--  	--  	3856178	1200	-0.41	          0.27	  2.54	37.100	37.200	
00586	海螺创业	1.24	141879520	24.350	24.400	5841833	126500	0.00	          0.32	  1.28	23.950	24.500	
02269	药明生物	3.90	140594032	66.550	66.650	2137472	8500	-0.22	          0.18	  0.42	63.300	67.200	
01988	民生银行	-0.98	138961088	8.100	8.110	17185616	1192000	-0.37	          0.25	  0.63	8.150	8.150	
00012	恒基地产	-0.19	137131680	51.850	51.900	2658631	203000	0.10	          0.07	  1.61	51.450	51.900	
01336	新华保险	-0.43	137082864	45.800	45.850	3021076	87700	-0.11	          0.29	  0.52	45.500	45.850	
02600	中国铝业	0.00	133540424	4.610	4.620	28921436	736000	0.43	          0.73	  1.27	4.610	4.680	
00323	马鞍山钢铁股份	1.83	130580768	3.890	3.900	33936096	524000	0.00	          1.96	  1.28	3.790	3.910	
02362	金川国际	1.02	130443288	--  	--  	65004000	2000	0.00	          1.34	  1.66	1.950	2.060	
00868	信义玻璃	2.02	129737944	13.140	13.160	10019457	412000	0.15	          0.25	  1.00	12.760	13.180	
00813	世茂房地产	1.20	129716640	21.050	21.150	6226608	437000	0.48	          0.18	  1.17	20.550	21.150	
01347	华虹半导体	-3.70	129421000	17.160	17.200	7580716	107000	-0.58	          0.73	  1.23	17.240	17.400	
00347	鞍钢股份	1.26	124824440	8.050	8.060	15610883	374000	0.25	          1.44	  0.78	7.850	8.110	
01815	金猫银猫	6.69	124530976	--  	--  	49062956	300	-0.39	          4.66	  0.76	2.380	2.640	
00772	阅文集团	-1.97	123266976	79.700	79.750	1550882	15600	0.06	          0.17	  0.61	80.350	80.350	
01099	国药控股	0.55	118185608	36.750	36.800	3243625	214800	0.00	          0.27	  0.57	36.050	36.800	
03383	雅居乐集团	-0.42	117383928	14.100	14.120	8314000	548000	0.14	          0.21	  1.04	14.100	14.380	
00019	太古股份公司Ａ	0.00	116087488	79.950	80.000	1460295	122500	0.25	          0.16	  1.11	78.900	80.100	
00728	中国电信	-0.59	114903824	3.380	3.390	34154588	4756000	-0.29	          0.25	  0.60	3.350	3.400	
01558	东阳光药	-4.04	114472272	--  	--  	2834600	600	0.37	          1.26	  1.08	41.500	41.500	
02331	李宁	0.73	114107680	8.320	8.330	13756289	106500	0.12	          0.63	  0.70	8.200	8.450	
01958	北京汽车	-0.18	113831016	10.800	10.840	10601825	125000	0.18	          0.50	  1.19	10.700	10.900	
01317	枫叶教育	-1.14	113124784	10.420	10.500	10696000	224000	-0.76	          0.72	  1.47	10.600	10.860	
01658	邮储银行	-1.98	112790208	4.940	4.950	22831000	953000	0.20	          0.11	  0.93	4.990	5.000	
02357	中航科工	1.98	110288424	5.140	5.150	21594088	700000	0.59	          0.92	  0.88	4.970	5.220	
01109	华润置地	0.00	109862768	28.100	28.150	3943412	276000	0.00	          0.06	  0.48	27.900	28.150	
00839	中教控股	-1.16	109850744	9.340	9.350	11945000	12000	0.11	          0.59	  1.61	9.420	9.430	
01208	五矿资源	-1.43	106810656	5.500	5.520	19416620	448000	-0.36	          0.24	  0.59	5.500	5.590	
02020	安踏体育	-0.12	105759576	41.600	41.800	2546226	388000	0.48	          0.09	  0.51	41.950	42.000	
00285	比亚迪电子	-0.81	105057744	17.180	17.200	6164932	69000	0.23	          0.27	  0.68	17.200	17.340	
00425	敏实集团	-3.49	104598520	44.250	44.300	2367464	256000	0.00	          0.21	  1.29	46.200	46.250	
00148	建滔化工	-1.86	99661368	42.250	42.300	2376871	181000	0.00	          0.22	  0.82	42.300	42.700	
01997	九龙仓置业	-0.99	98776440	54.750	54.800	1811249	241000	0.00	          0.06	  0.79	55.150	55.450	
02009	金隅集团	2.30	98344008	3.990	4.000	24877556	167000	0.25	          1.06	  1.39	3.880	4.000	
00639	首钢资源	9.13	96294320	2.390	2.400	41856640	3120000	1.27	          0.79	  1.73	2.180	2.390	
01044	恒安国际	0.46	95883864	76.250	76.300	1263760	112000	-0.20	          0.10	  0.64	75.800	76.900	
00551	裕元集团	0.15	95770496	32.400	32.450	2972310	457000	-0.15	          0.18	  1.39	32.000	32.600	
00522	ASM PACIFIC	-1.00	95261600	119.100	119.300	803292	101600	0.34	          0.20	  0.54	119.700	119.700	
01816	中广核电力	0.47	95034552	2.110	2.120	45026564	1867000	0.47	          0.40	  0.51	2.100	2.120	
01766	中国中车	-0.42	93652688	7.170	7.180	13095781	910000	0.14	          0.30	  0.50	7.160	7.190	
01128	永利澳门	-1.37	92442256	28.700	28.750	3231611	404400	0.17	          0.06	  0.28	28.600	28.750	
01169	海尔电器	0.90	91628520	27.850	27.900	3319330	413000	0.36	          0.12	  0.80	27.250	27.950	
