代码	名称	涨幅%%	总金额	买价	卖价	总量	现量	涨速%%	换手%%	量比	今开	最高	
02822	南方Ａ５０	-1.21	760902336	--  	--  	46408804	255200	0.00	--  	  1.13	16.480	16.520	
02800	盈富基金	0.16	697584448	--  	--  	21880880	841500	0.00	--  	  0.53	31.850	32.000	
02828	恒生中国企业	0.55	678184320	--  	--  	5275848	156600	0.23	--  	  0.64	128.000	129.500	
03188	华夏沪深三百	-1.15	551029632	--  	--  	10650979	361000	0.10	--  	  2.21	52.250	52.250	
02823	安硕Ａ５０	-1.12	505678144	--  	--  	31637532	1048500	0.00	--  	  1.18	16.040	16.100	
00823	领展房产基金	0.66	323303008	--  	--  	4732329	1008000	0.22	--  	  1.07	68.200	68.700	
07228	ＦＬ二　三星国指	0.65	108348952	--  	--  	11548600	1200	0.21	--  	  0.61	9.270	9.510	
07288	ＦＬ二南方国指	0.72	68942936	--  	--  	6158400	6000	0.36	--  	  0.82	11.100	11.360	
07200	ＦＬ二南方恒指	-0.16	49553936	--  	--  	3853900	600	0.16	--  	  0.57	12.860	12.960	
07300	ＦＩ南方恒指	0.00	41979912	--  	--  	8173810	100000	0.00	--  	  0.34	5.150	5.150	
07388	ＦＩ南方国指	-0.55	27344396	--  	--  	5081500	50000	-0.37	--  	  1.35	5.420	5.430	
07267	ＦＬ二华夏国指	0.49	26778460	--  	--  	2158200	30000	0.33	--  	  0.47	12.260	12.540	
07230	ＦＬ二未来国指	0.52	26674218	--  	--  	2298500	3000	0.35	--  	  0.91	11.500	11.820	
00405	越秀房产信托基金	0.57	25651592	--  	--  	4871175	111000	0.19	--  	  1.17	5.230	5.290	
00778	置富产业信托	0.75	23654672	--  	--  	2533000	346000	0.00	--  	  1.65	9.330	9.370	
07362	ＦＩ未来国指	-0.35	21598980	--  	--  	3833400	3000	0.18	--  	  7.49	5.670	5.670	
87001	汇贤产业信托	-0.31	20705554	--  	--  	6367605	57000	0.00	--  	  2.46	3.260	3.260	
07205	ＦＬ二　三星恒指	-0.19	19410092	--  	--  	1817200	3000	0.00	--  	  0.47	10.640	10.740	
07221	ＦＬ二华夏恒指	-0.28	15299365	--  	--  	1074400	10000	0.00	--  	  0.37	14.200	14.360	
07242	ＦＬ二易方达恒指	-0.37	14489624	--  	--  	1799200	136000	0.12	--  	  0.43	8.020	8.110	
07231	ＦＬ二未来恒指	-0.15	14441283	--  	--  	1081900	2000	0.00	--  	  1.11	13.300	13.440	
02801	安硕中国ＥＴＦ	-0.49	12733116	--  	--  	414802	1000	0.16	--  	  5.48	30.700	30.850	
02778	冠君产业信托	0.00	11178877	--  	--  	1994335	383000	0.18	--  	  0.76	5.600	5.620	
82822	南方Ａ５０－Ｒ	-0.75	11155800	--  	--  	841606	4600	0.30	--  	  1.38	13.300	13.300	
83010	安硕亚洲除日－Ｒ	1.60	10994221	--  	--  	230500	5000	0.00	--  	  1.87	47.450	47.850	
02827	标智沪深３００	-0.86	9179051	--  	--  	228116	10000	0.00	--  	  4.41	40.350	40.500	
02836	安硕印度	-0.21	8025791	--  	--  	334688	21800	-0.21	--  	  3.95	23.950	24.100	
02840	ＳＰＤＲ金ＥＴＦ	-0.15	7614066	--  	--  	7740	50	0.00	--  	  0.38	984.500	984.500	
02833	恒指ＥＴＦ	-0.16	7313180	--  	--  	227352	20000	0.16	--  	  0.57	32.150	32.250	
02803	ＰＰ中国基石经济	-0.11	6852226	--  	--  	777000	4000	0.11	--  	  3.58	8.810	8.850	
