代码	名称	涨幅%%	总金额	买价	卖价	总量	现量	涨速%%	换手%%	量比	今开	最高	
08101	壹家壹品	41.79	49850040	--  	--  	199296000	40000	7.55	          6.89	  1.88	0.202	0.290	
08349	美固科技控股	-12.69	34642504	--  	--  	8440001	10000	-0.76	          2.11	  1.53	4.200	4.750	
08011	百田石油	16.67	33319366	--  	--  	88682496	60000	-1.41	          3.02	  1.98	0.320	0.420	
08138	同仁堂国药	-0.13	21339808	--  	--  	1436000	1000	0.27	          0.17	  1.08	14.880	15.000	
08427	瑞强集团	-5.88	19375800	--  	--  	57288000	16000	4.92	          9.24	  6.89	0.345	0.370	
08291	万成金属包装	0.00	19343300	--  	--  	20230000	5000	4.44	          5.06	  1.20	0.890	1.040	
08473	弥明生活百货	-4.69	18202300	--  	--  	30130000	20000	0.00	          2.69	  0.80	0.640	0.640	
08469	盛业资本	-1.72	15529241	--  	--  	1950000	4000	0.00	          0.26	  0.78	8.150	8.160	
08083	中国创新支付	-3.77	15471041	--  	--  	30204000	300000	0.00	          0.43	  0.33	0.520	0.530	
08227	西安海天天	0.46	15034991	--  	--  	2302000	5000	0.00	          0.36	  0.47	6.410	6.580	
08040	ＤＣＢ控股	-23.26	14169451	--  	--  	13070000	25000	-1.98	          4.08	  2.65	1.260	1.300	
08062	俊盟国际	-7.69	12885501	--  	--  	20410000	120000	-1.64	          4.25	  0.84	0.650	0.650	
08158	中国再生医学	-6.55	12511661	--  	--  	78045000	815000	-0.63	          0.44	  4.74	0.171	0.172	
08086	新维国际控股	3.85	11275991	--  	--  	42494000	8000	1.89	          1.53	  9.91	0.265	0.270	
08207	中新控股	0.00	11230041	--  	--  	12368000	12000	0.00	          0.05	  0.23	0.920	0.930	
08156	众彩股份	5.00	10983551	--  	--  	13385000	10000	1.20	          0.41	  6.07	0.800	0.840	
08200	修身堂	4.69	9686040	--  	--  	146720000	80000	1.52	          2.69	  1.84	0.064	0.069	
08170	KSL HOLDINGS	5.00	8949770	--  	--  	2389000	1000	0.00	          0.58	  2.14	3.680	3.900	
08022	永耀集团控股	-1.87	8869587	--  	--  	8647119	45000	1.94	          0.52	  1.37	1.060	1.060	
08133	铸能控股	-7.32	8699560	--  	--  	57760000	20000	1.33	          1.65	  7.31	0.132	0.161	
08137	洪桥集团	0.00	8662060	--  	--  	5214000	38000	0.60	          0.05	  0.99	1.670	1.690	
08522	德益控股	-19.26	8469920	--  	--  	7068000	8000	-0.91	          1.90	  1.32	1.320	1.360	
08057	麦迪森控股	0.00	7900001	--  	--  	5000000	5000000	0.00	          0.13	 65.79	--  	1.580	
08379	汇安智能	12.68	7087751	--  	--  	18110000	120000	-1.23	          2.26	  2.63	0.350	0.410	
08073	兴业新材料	2.91	6263272	--  	--  	3514655	4000	0.00	          0.73	  1.23	1.720	1.830	
08078	ＨＭＶ数码中国	0.00	5592261	--  	--  	23300000	20000	0.00	          0.17	  2.28	0.240	0.241	
