代码	名称	涨幅%%	总金额	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	
06808	高鑫零售	0.11	134821920	0.010	8.860	8.870	15189090	2931500	0.00	          0.16	8.860	8.990	
002244	滨江集团	1.34	132183200	0.10	7.57	7.58	174942	935	-0.12	          0.65	7.48	7.68	
002672	东江环保	3.07	112950144	0.45	15.09	15.10	75034	903	0.00	          1.38	14.73	15.19	
600810	神马股份	1.86	107611544	0.18	9.85	9.86	108991	57	-0.19	          2.46	9.65	10.04	
300069	金利华电	1.21	60618720	0.35	29.31	29.32	20856	375	0.10	          2.27	29.00	29.34	
01980	天鸽互动	0.43	49455684	0.030	6.990	7.000	7015558	2466000	-1.41	          0.55	6.960	7.170	
00821	汇盈控股	12.78	22907282	0.230	--  	--  	11516000	40000	1.50	          1.45	1.760	2.120	
002207	*ST准油	0.25	22844178	0.02	8.06	8.07	28454	553	0.00	          1.29	8.05	8.13	
603665	康隆达	3.27	21448272	1.18	37.29	37.30	5893	48	1.09	          1.58	36.07	37.29	
000504	南华生物	0.12	17331078	0.03	24.34	24.37	7067	43	0.16	          0.23	24.43	24.80	
601677	明泰铝业	0.24	14014370	0.03	12.49	12.50	11215	1	0.08	          0.23	12.53	12.54	
002621	三垒股份	0.14	12666436	0.02	14.48	14.49	8662	124	-0.95	          0.44	14.47	14.79	
603838	四通股份	0.18	8942333	0.02	11.21	11.23	7979	13	0.27	          0.82	11.11	11.27	
数据来源:通达信
