代码	名称	涨幅%%	总金额	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	
02318	中国平安	0.79	6837499904	0.700	89.650	89.700	76085416	8793500	-0.28	          1.02	88.450	
601318	中国平安	0.03	4999966720	0.02	70.50	70.52	701326	12	-0.12	          0.65	70.70	
02007	碧桂园	4.68	3116067328	0.740	16.540	16.560	189753888	78145000	0.12	          0.87	15.980	
600728	佳都科技	2.33	2409915392	0.25	10.96	10.98	2141124	97	-0.26	         15.53	10.88	
00006	电能实业	3.26	2122800000	2.250	71.200	71.250	29579374	3866000	-0.56	          1.39	69.150	
00005	汇丰控股	0.72	1702687360	0.550	76.900	76.950	22136320	1914800	0.20	          0.11	76.250	
600585	海螺水泥	1.03	1587094528	0.35	34.29	34.34	465255	664	0.18	          1.16	33.88	
600570	恒生电子	0.78	1570657536	0.41	52.79	52.81	290338	36	0.08	          4.70	54.35	
600048	保利地产	0.14	1406306304	0.02	14.60	14.61	955963	53	0.21	          0.81	14.53	
300168	万达信息	1.83	1318443008	0.31	17.24	17.25	761435	10022	-0.05	          7.44	16.95	
002694	顾地科技	0.07	1132585472	0.01	13.83	13.84	821125	7413	0.00	         16.60	14.03	
603712	七一二	9.98	1058532096	2.26	24.90	--  	425524	7	0.00	         42.55	24.90	
00175	吉利汽车	0.57	1058443008	0.150	26.400	26.450	40179792	14372000	0.76	          0.45	26.500	
02601	中国太保	0.87	1047647680	0.350	40.450	40.500	25618476	5850200	-0.37	          0.92	39.800	
601601	中国太保	1.19	1008177280	0.48	40.75	40.76	244669	25	-0.28	          0.39	40.55	
002226	江南化工	9.91	947574912	0.69	7.64	7.65	1268507	13253	-0.12	         13.92	6.95	
000672	上峰水泥	0.22	946022784	0.03	13.71	13.72	683696	12556	0.00	          8.40	13.79	
03333	中国恒大	0.00	932163456	0.000	26.000	26.050	35981804	13345000	0.00	          0.27	25.850	
002405	四维图新	1.22	926779392	0.29	24.13	24.14	381697	3110	0.08	          3.72	23.91	
00001	长和	0.30	908625728	0.300	98.850	98.900	9210827	2279000	0.30	          0.24	98.000	
002137	麦达数字	10.00	868875712	1.08	11.88	--  	762079	573	0.00	         26.22	10.42	
000151	中成股份	9.98	860634240	1.47	16.20	--  	543634	1629	0.00	         20.40	15.61	
600581	八一钢铁	1.32	852923776	0.20	15.33	15.34	545065	78	0.13	          7.11	15.91	
300300	汉鼎宇佑	2.72	788967360	0.57	21.49	21.50	362418	5238	0.14	          9.45	21.08	
000423	东阿阿胶	1.05	758112640	0.64	61.37	61.38	122602	636	-0.02	          1.88	62.10	
000936	华西股份	4.89	755820800	0.39	8.36	8.37	902162	7113	-0.35	         12.06	8.23	
000917	电广传媒	10.00	752270848	0.78	8.57	8.58	896484	9271	0.12	          6.92	7.84	
600029	南方航空	0.00	727793408	0.00	11.33	11.34	637029	130	-0.25	          0.91	11.37	
002268	卫 士 通	0.07	726380800	0.02	28.00	28.02	253026	4131	-0.56	          3.66	28.35	
00019	太古股份公司Ａ	0.87	717121856	0.700	81.550	81.600	8782852	5104000	-0.37	          0.97	81.750	
600207	安彩高科	2.44	706906944	0.24	10.04	10.06	690796	148	-0.39	         10.01	9.80	
002354	天神娱乐	1.51	694515584	0.28	18.77	18.78	366280	3195	0.00	          7.05	18.42	
601155	新城控股	2.39	694467200	0.87	37.31	37.35	185199	74	0.00	          2.57	36.69	
00884	旭辉控股集团	4.31	690597952	0.310	7.480	7.510	92784632	29814000	0.13	          1.22	7.260	
300367	东方网力	1.71	689678272	0.28	16.70	16.71	410819	4565	-0.17	          7.48	16.42	
002184	海得控制	1.32	678654464	0.24	18.49	18.50	359616	5328	-0.04	         26.47	17.80	
600577	精达股份	3.82	673434176	0.18	4.87	4.88	1364217	36	0.41	          6.98	4.72	
00914	海螺水泥	3.02	664673152	1.300	44.350	44.400	15126140	3068000	0.34	          1.16	42.600	
001979	招商蛇口	0.85	660803904	0.19	22.46	22.47	291556	3084	-0.03	          1.53	22.22	
300253	卫宁健康	2.27	654783552	0.21	9.45	9.46	680536	3927	-0.41	          5.69	9.40	
600895	张江高科	10.03	653228928	1.33	14.59	--  	457405	128	0.00	          2.95	13.38	
300477	合纵科技	10.00	652158848	2.95	32.45	--  	211197	318	0.00	         17.46	29.16	
600158	中体产业	4.03	617879424	0.51	13.20	13.21	473175	84	0.23	          7.20	12.69	
600380	健康元	2.18	612814784	0.27	12.67	12.68	481813	62	-0.07	          3.08	12.48	
01109	华润置地	0.88	596930624	0.250	28.700	28.750	20772206	6518000	-0.52	          0.30	28.050	
600635	大众公用	10.06	590528192	0.47	5.14	--  	1161122	219	0.00	          4.80	4.79	
002655	共达电声	8.57	586205248	0.86	10.88	10.89	544533	6360	0.74	         15.13	10.07	
01093	石药集团	1.06	581753536	0.210	20.000	20.050	29196880	10422000	0.86	          0.47	20.000	
600705	中航资本	3.47	570135104	0.19	5.67	5.68	1001462	105	-0.17	          1.31	5.50	
00688	中国海外发展	0.54	555370816	0.150	28.050	28.100	19788628	6772000	0.00	          0.18	27.700	
002208	合肥城建	10.02	552223104	1.50	16.47	--  	336982	743	0.00	         10.55	16.36	
600876	洛阳玻璃	2.63	548587456	0.53	20.71	20.72	262116	30	0.15	         10.01	21.47	
300612	宣亚国际	4.86	544175296	2.42	52.24	52.25	104654	1275	0.27	         33.70	50.40	
002922	伊戈尔	10.01	540403776	2.91	31.97	--  	171793	245	0.00	         52.06	30.90	
00762	中国联通	1.47	532872800	0.140	9.670	9.680	54773576	7448000	0.00	          0.18	9.760	
00960	龙湖地产	1.28	523274816	0.300	23.750	23.800	22021324	14025000	0.63	          0.37	23.350	
600848	上海临港	4.81	512988032	1.16	25.21	25.29	201482	3	-0.15	          5.04	25.99	
000996	中国中期	4.65	498252832	0.74	16.65	16.66	302427	5938	0.06	          8.77	15.93	
002246	北化股份	4.21	496855040	0.48	11.87	11.88	421957	3211	0.25	         10.20	11.30	
600797	浙大网新	1.73	480022944	0.21	12.37	12.38	385401	6	-0.07	          4.59	12.15	
00268	金蝶国际	5.97	479067776	0.400	7.100	7.110	68062824	1598000	-0.70	          2.34	6.750	
603126	中材节能	6.52	478884640	0.63	10.29	10.30	476242	32	0.39	          7.80	9.68	
00002	中电控股	0.82	473906752	0.650	79.400	79.550	5979404	2411500	0.44	          0.24	78.600	
01113	长实集团	0.14	469409088	0.100	69.950	70.000	6709946	2382000	0.00	          0.18	69.100	
002273	水晶光电	2.64	462922976	0.56	21.80	21.81	213878	4273	0.09	          3.47	21.21	
300465	高伟达	5.02	461235296	0.51	10.66	10.67	426429	5153	-0.46	         15.85	10.43	
300688	创业黑马	10.00	460352832	5.95	65.44	--  	73326	279	0.00	         43.13	60.42	
300344	太空板业	3.53	458938304	0.37	10.83	10.84	421541	7550	0.09	         21.81	10.36	
600721	百花村	0.75	457446368	0.08	10.80	10.88	423104	19	0.94	         13.98	10.88	
02777	富力地产	3.10	453282016	0.600	19.960	20.050	22773344	8660800	-0.70	          2.24	19.200	
000839	中信国安	1.95	447963200	0.15	7.85	7.86	569232	4214	0.00	          1.45	7.72	
002517	恺英网络	0.00	429516992	0.00	20.00	20.01	213475	6011	0.35	          3.66	20.18	
002280	联络互动	2.31	426842880	0.17	7.51	7.52	564633	6298	0.27	          3.05	7.29	
601116	三江购物	10.01	423240320	1.81	19.89	--  	214916	2	0.00	          5.35	19.89	
00813	世茂房地产	6.91	422916192	1.500	23.150	23.200	18458720	2317500	0.43	          0.54	21.500	
002923	润都股份	9.99	421477568	3.68	40.50	--  	105939	292	0.00	         42.38	36.33	
300221	银禧科技	5.34	414973280	0.90	17.73	17.74	233432	1548	0.34	          5.79	16.90	
03883	中国奥园	4.76	414148544	0.340	7.480	7.490	55220480	27347000	-0.27	          2.06	7.210	
000987	越秀金控	2.85	413430304	0.32	11.55	11.56	354691	4479	-0.51	          6.59	11.30	
002038	双鹭药业	4.63	404288448	1.50	33.91	33.92	118271	908	0.21	          2.09	33.95	
000625	长安汽车	1.74	403598176	0.21	12.27	12.28	329223	4850	0.16	          0.88	12.18	
000613	大东海A	10.01	401728032	0.92	10.11	--  	410162	31	0.00	         15.44	9.35	
600801	华新水泥	0.40	400499584	0.06	15.14	15.15	262622	27	0.33	          2.70	15.08	
002472	双环传动	5.70	389613728	0.57	10.56	10.57	372098	3054	0.09	          6.83	9.90	
03323	中国建材	0.24	380086496	0.020	8.380	8.390	45128428	5314000	-0.36	          1.57	8.320	
000957	中通客车	2.95	379696256	0.32	11.15	11.16	344843	5585	0.18	          7.23	10.63	
300731	科创新源	1.46	379219648	0.52	36.17	36.18	106877	1200	-0.02	         48.58	34.00	
000935	四川双马	1.90	371054112	0.35	18.80	18.81	194691	2910	-0.15	          3.09	18.45	
300267	尔康制药	3.88	367269120	0.25	6.69	6.70	531830	2896	0.15	          4.57	6.67	
300020	银江股份	10.02	366608224	1.11	12.19	--  	309898	2482	0.00	          5.01	11.23	
01966	中骏置业	6.48	365940608	0.280	4.590	4.600	79819504	3285000	0.00	          2.09	4.360	
600383	金地集团	0.56	365485088	0.07	12.50	12.51	292068	36	0.08	          0.65	12.41	
600770	综艺股份	5.97	358897920	0.42	7.45	7.46	484942	186	0.27	          3.73	7.04	
600466	蓝光发展	4.37	357564288	0.43	10.27	10.29	350975	127	0.00	          3.98	9.83	
600783	鲁信创投	5.78	355525664	0.78	14.26	14.27	247561	20	0.07	          3.33	13.55	
002702	海欣食品	10.06	352169920	0.51	5.58	--  	656644	3346	0.00	         22.15	5.29	
002088	鲁阳节能	5.77	344313664	0.86	15.77	15.78	223079	1733	0.45	         10.67	15.01	
300236	上海新阳	0.06	343831328	0.02	34.11	34.12	101199	2274	0.00	          5.70	33.90	
600535	天士力	1.85	342894400	0.73	40.19	40.20	84623	13	0.42	          0.82	39.80	
002877	智能自控	2.62	341846272	0.78	30.56	30.57	110932	2123	-0.67	         36.30	30.16	
03888	金山软件	0.51	341220320	0.150	29.350	29.450	11585420	785000	-0.68	          0.84	29.100	
002475	立讯精密	0.00	341152640	0.00	25.61	25.62	132273	855	-0.07	          0.42	25.79	
002913	奥士康	6.06	337251520	2.48	43.40	43.41	78722	1101	-0.24	         21.86	40.77	
002422	科伦药业	3.66	336619200	1.10	31.14	31.15	108275	535	0.16	          1.05	30.31	
600100	同方股份	2.52	335835296	0.26	10.54	10.55	319464	220	-0.37	          1.08	10.29	
600213	亚星客车	10.03	332848320	1.04	11.41	--  	305520	3	0.00	         13.89	10.50	
000882	华联股份	10.09	326351808	0.32	3.49	--  	965319	7339	0.00	          4.34	3.29	
600398	海澜之家	0.16	321836544	0.02	12.39	12.40	256466	70	0.00	          0.57	12.36	
600645	中源协和	6.72	320021536	1.53	24.28	24.29	131627	2	-0.32	          3.43	23.05	
000155	川化股份	1.63	319441120	0.12	7.49	7.50	431560	9775	-0.26	          4.60	7.35	
00817	中国金茂	1.22	317310880	0.060	4.960	4.970	63776804	25164000	-0.40	          0.55	4.920	
002153	石基信息	0.33	316873472	0.09	27.65	27.66	112980	980	0.00	          2.33	28.01	
01233	时代中国控股	2.84	316864096	0.340	--  	--  	25725576	585000	0.33	          1.40	12.000	
002737	葵花药业	3.90	314956800	1.49	39.69	39.70	78553	454	0.05	          5.97	40.27	
300015	爱尔眼科	1.78	313959872	0.69	39.55	39.56	79496	544	0.03	          0.66	38.88	
601086	国芳集团	3.49	310203776	0.32	9.46	9.47	323952	221	-0.10	         20.25	9.27	
600325	华发股份	0.86	308938656	0.07	8.22	8.23	373906	30	-0.11	          1.95	8.19	
000530	大冷股份	3.70	304974080	0.21	5.87	5.88	518906	6643	-0.50	          8.74	5.70	
300390	天华超净	10.02	304724224	0.98	10.76	--  	287174	440	0.00	         15.49	10.30	
00384	中国燃气	3.90	301809088	0.950	25.250	25.300	12083105	2544200	0.40	          0.24	24.050	
600332	白云山	0.41	301517408	0.11	26.92	26.93	111071	1	-0.03	          1.04	27.38	
000963	华东医药	1.29	296490208	0.79	62.01	62.03	47726	216	-0.05	          0.55	61.41	
002076	雪 莱 特	6.73	292640064	0.37	5.87	5.88	505910	10318	0.34	         10.72	5.46	
601801	皖新传媒	4.66	287129728	0.47	10.53	10.54	271965	22	-0.08	          1.37	10.07	
002611	东方精工	1.27	284413536	0.19	15.14	15.15	185871	3079	-0.12	          5.27	15.50	
600868	梅雁吉祥	0.42	282952640	0.02	4.82	4.83	583170	117	0.00	          3.07	4.81	
000806	银河生物	3.19	277939904	0.23	7.43	7.44	372780	6139	-0.12	          5.34	7.26	
03383	雅居乐集团	3.70	277328800	0.540	15.080	15.140	18568396	7068000	0.80	          0.47	14.400	
01169	海尔电器	3.05	274936768	0.850	28.700	28.750	9656712	3146000	0.88	          0.34	27.600	
002358	森源电气	2.43	272157728	0.41	17.27	17.28	158168	1237	-0.11	          1.74	16.91	
002407	多氟多	0.87	271600288	0.16	18.63	18.64	144766	2105	0.00	          2.69	18.48	
01813	合景泰富	7.60	270758368	0.920	13.000	13.020	21173060	3563500	0.46	          0.67	11.940	
002680	长生生物	4.01	270470272	0.68	17.65	17.66	154389	1808	-0.27	          3.85	16.96	
000671	阳 光 城	1.20	269013472	0.10	8.41	8.42	317688	4465	-0.23	          0.98	8.32	
300490	华自科技	7.24	268748224	1.13	16.74	16.75	163058	1404	-0.05	         17.92	15.50	
002912	中新赛克	4.76	265726704	6.07	133.51	133.57	20396	526	-0.01	         12.21	126.84	
600192	长城电工	10.02	263308784	0.62	6.81	--  	402877	30	0.00	          9.12	6.54	
03669	永达汽车	2.88	261957856	0.260	--  	--  	28313106	1249000	-0.11	          1.54	9.140	
300078	思创医惠	0.10	261784048	0.01	10.01	10.02	255579	3056	-0.19	          4.95	10.37	
00656	复星国际	0.81	261388144	0.140	17.360	17.380	15034523	4069500	1.16	          0.18	17.320	
002066	瑞泰科技	1.91	260739296	0.20	10.68	10.69	239477	2263	0.19	         10.37	10.78	
600335	国机汽车	4.68	260324992	0.48	10.73	10.75	241513	15	0.28	          2.35	10.30	
002657	中科金财	2.83	259834384	0.58	21.07	21.08	120631	1294	-0.08	          4.38	21.20	
300099	精准信息	0.70	259306480	0.05	7.23	7.24	356400	6683	-0.54	          9.09	7.25	
002410	广联达	0.42	257721248	0.10	23.78	23.79	106465	837	-0.24	          1.23	23.75	
06869	长飞光纤光缆	3.00	256790320	1.200	41.150	41.200	6272416	381000	0.49	          1.78	40.400	
300207	欣旺达	0.60	254891632	0.07	11.67	11.68	214759	1323	0.17	          1.82	11.80	
603776	永安行	7.64	253590656	4.31	60.65	60.67	42132	1	-0.12	         17.55	58.15	
600422	昆药集团	2.76	253074944	0.26	9.67	9.68	262356	48	-0.09	          3.88	9.42	
603881	数据港	1.93	252995008	0.77	40.38	40.50	60393	15	-0.31	          4.72	42.48	
600760	中航沈飞	0.50	252144832	0.15	30.33	30.34	82186	4	-0.12	          2.38	30.35	
002666	德联集团	1.00	250343056	0.07	7.08	7.09	352081	4374	0.00	          7.93	6.96	
01030	新城发展控股	5.02	248878096	0.360	7.520	7.530	33492324	2060000	0.27	          0.57	7.200	
002264	新 华 都	9.95	243937552	0.81	8.95	--  	272612	159	0.00	          4.74	8.95	
002296	辉煌科技	10.00	243920272	0.66	7.26	--  	338295	806	0.00	         10.70	6.75	
600755	厦门国贸	1.01	242388736	0.10	9.95	9.96	242876	25	0.00	          1.34	9.86	
02331	李宁	1.68	240729600	0.140	8.440	8.460	28663222	4704500	1.08	          1.32	8.310	
300324	旋极信息	1.99	238788848	0.33	16.88	16.89	141631	1706	0.00	          2.09	16.50	
000016	深康佳Ａ	5.84	235746112	0.37	6.70	6.71	357616	3712	0.45	          2.24	6.34	
300647	超频三	5.26	234791296	1.21	24.20	24.21	99570	2095	0.08	         33.19	22.50	
002369	卓翼科技	2.47	234245952	0.22	9.12	9.13	256099	3116	-0.10	          6.10	8.92	
300727	润禾材料	2.75	233535968	0.90	33.59	33.60	69515	1094	-0.46	         28.49	32.65	
002004	华邦健康	3.54	232375616	0.24	7.02	7.03	329765	3660	-0.27	          1.98	6.93	
002638	勤上股份	0.18	230232304	0.01	5.51	5.52	409144	3409	0.00	          4.18	5.49	
000009	中国宝安	1.76	228125936	0.11	6.37	6.38	356732	2422	0.00	          1.68	6.23	
