代码	名称	涨幅%%	总金额	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	
601318	中国平安	0.03	4999966720	0.02	70.50	70.52	701326	12	-0.12	          0.65	70.70	71.95	
300059	东方财富	-1.27	4273201664	-0.20	15.56	15.57	2661046	52706	0.00	          8.35	15.82	16.45	
000651	格力电器	-0.71	4012414208	-0.38	53.40	53.42	749181	41314	0.09	          1.25	53.78	53.85	
000725	京东方Ａ	-2.69	2951590656	-0.16	5.79	5.80	5012646	122695	-0.16	          1.48	5.95	6.00	
600519	贵州茅台	-0.89	2676682496	-6.62	739.99	740.00	35856	22	0.05	          0.29	747.60	753.98	
600728	佳都科技	2.33	2409915392	0.25	10.96	10.98	2141124	97	-0.26	         15.53	10.88	11.77	
002340	格林美	0.74	2334058496	0.06	8.17	8.18	2874161	42984	0.12	          9.23	8.10	8.28	
002230	科大讯飞	-0.57	2277281536	-0.35	61.49	61.50	364590	5104	-0.22	          3.08	61.78	63.36	
603993	洛阳钼业	-2.43	2208865792	-0.23	9.23	9.24	2383105	61	0.00	          1.84	9.40	9.40	
603799	华友钴业	-2.45	2174750720	-3.24	128.83	128.85	168151	110	-0.24	          2.87	131.00	131.76	
600887	伊利股份	-3.31	1991468160	-1.06	30.98	30.99	633483	31	-0.09	          1.05	32.04	32.17	
002460	赣锋锂业	-3.12	1990960128	-2.54	78.99	79.00	247845	6187	-0.15	          4.73	81.50	82.26	
600030	中信证券	-2.45	1940783104	-0.46	18.35	18.37	1039979	220	-0.15	          1.06	18.77	18.94	
600634	富控互动	0.63	1922022912	0.08	12.81	12.82	1629267	4	-0.07	         28.30	11.47	13.50	
000063	中兴通讯	-2.44	1753054720	-0.80	32.00	32.01	542377	9479	-0.15	          1.58	32.83	32.95	
000858	五 粮 液	-1.45	1593762688	-1.13	76.87	76.88	205189	2245	0.00	          0.54	78.20	78.74	
600585	海螺水泥	1.03	1587094528	0.35	34.29	34.34	465255	664	0.18	          1.16	33.88	34.40	
600570	恒生电子	0.78	1570657536	0.41	52.79	52.81	290338	36	0.08	          4.70	54.35	55.48	
000333	美的集团	-2.80	1555874304	-1.72	59.68	59.69	258105	3885	0.15	          0.41	61.10	61.43	
002049	紫光国芯	-2.77	1510310400	-1.35	47.43	47.44	316182	4701	0.00	          5.25	48.71	48.94	
002236	大华股份	-5.16	1498577664	-1.48	27.17	27.18	544019	6161	-0.21	          3.20	28.61	28.66	
601288	农业银行	-1.45	1453850880	-0.06	4.06	4.07	3556188	241	0.00	          0.12	4.12	4.13	
