代码	名称	涨幅%%	总金额	现价	卖价	总量	现量	涨速%%	换手%%	量比	今开	
00700	腾讯控股	-0.86	13278687232	462.600	462.800	28243968	1789800	0.26	          0.30	  1.29	472.200	
02318	中国平安	-3.23	12346299392	88.300	88.300	134689552	5221000	-0.23	          1.81	  2.26	94.450	
02382	舜宇光学科技	0.00	3648562688	159.800	159.800	22262992	503900	0.19	          2.03	  2.10	165.000	
00388	香港交易所	-1.75	3387021568	269.200	269.400	12437388	606100	-0.15	          1.00	  1.48	275.800	
00175	吉利汽车	-6.18	3192892416	25.800	25.850	119262208	3996000	-0.19	          1.33	  2.74	27.850	
00939	建设银行	-0.12	2726173440	8.410	8.410	320658944	24203000	0.48	          0.13	  0.92	8.500	
01336	新华保险	-10.05	2372295424	39.850	39.900	57497272	1260900	0.63	          5.56	  7.04	43.000	
02007	碧桂园	1.23	2344532736	16.460	16.480	139411584	1560000	0.12	          0.64	  1.42	16.420	
01299	友邦保险	-1.24	2025035520	67.950	68.000	29345168	1766200	0.00	          0.24	  1.55	69.500	
01398	工商银行	-0.15	1673579520	6.860	6.870	241263616	23397000	0.15	          0.28	  1.09	6.900	
00386	中国石油化工股份	2.28	1628615168	6.740	6.750	239234624	10042000	0.00	          0.94	  2.34	6.660	
02018	瑞声科技	-3.46	1506937600	153.500	153.500	9595354	273000	-0.13	          0.79	  2.40	161.000	
02628	中国人寿	-1.52	1506749440	22.650	22.700	66060536	5412000	0.22	          0.89	  2.16	23.250	
00005	汇丰控股	-0.13	1436043648	76.850	76.900	18588644	1190000	0.00	          0.09	  1.01	76.950	
02601	中国太保	-2.39	1272232704	38.750	38.750	32345170	2328400	0.65	          1.17	  1.68	40.900	
03988	中国银行	0.00	1253460224	4.310	4.310	288723936	18461000	0.47	          0.35	  0.82	4.340	
00941	中国移动	-0.75	1190331264	72.300	72.350	16393845	1999500	-0.28	          0.08	  1.16	72.200	
01109	华润置地	5.25	1189570816	30.050	30.050	39145104	958000	0.00	          0.56	  3.19	29.000	
00857	中国石油股份	2.43	1068683648	5.470	5.480	194198336	11774000	-0.18	          0.92	  2.51	5.430	
01093	石药集团	-3.78	1066972800	21.650	21.650	48757956	2286000	0.00	          0.78	  1.41	22.400	
00688	中国海外发展	4.32	1054303296	29.000	29.000	36195468	1628000	0.35	          0.33	  3.38	27.800	
01288	农业银行	0.44	999861888	4.550	4.550	218120432	13311000	0.00	          0.71	  0.80	4.540	
01918	融创中国	3.29	992035968	31.350	31.350	31212476	331000	0.16	          0.71	  1.64	30.700	
00883	中国海洋石油	1.93	789699968	11.640	11.640	67229480	5206000	0.00	          0.15	  1.22	11.700	
00027	银河娱乐	-0.42	759882432	70.800	70.850	10641071	554000	0.00	          0.25	  1.50	71.500	
03888	金山软件	1.02	750278272	29.600	29.600	24815932	448000	0.34	          1.81	  1.95	29.400	
03968	招商银行	-0.73	722012096	33.800	33.800	21003392	1417000	0.00	          0.46	  1.27	34.900	
00006	电能实业	0.07	700410752	69.650	69.650	10015268	488500	-0.14	          0.47	  0.68	70.050	
02269	药明生物	-0.86	699272896	75.050	75.050	8923629	181500	-0.27	          0.77	  1.81	78.700	
02202	万科企业	1.99	653826368	33.300	33.300	19271008	573100	-0.15	          1.47	  2.23	32.900	
03333	中国恒大	-0.59	623058560	25.250	25.250	24019764	599000	-0.20	          0.18	  1.13	25.800	
00268	金蝶国际	-5.30	617435840	7.500	7.510	79048880	860000	-0.13	          2.72	  0.81	7.850	
01177	中国生物制药	-2.41	589191296	16.200	16.220	35833652	1144000	-0.12	          0.43	  1.47	16.720	
00425	敏实集团	-11.86	569229376	39.000	39.100	14095043	324000	2.63	          1.23	  6.53	42.000	
01928	金沙中国有限公司	-1.69	564702528	43.750	43.800	12747675	1459200	0.00	          0.16	  1.49	44.800	
00772	阅文集团	-4.65	559428160	75.800	75.850	7297055	68400	-0.07	          0.81	  2.12	80.000	
00135	昆仑能源	-3.80	545036992	7.080	7.090	74025016	1684000	-0.42	          0.92	  5.87	7.720	
00914	海螺水泥	-1.39	514380544	42.500	42.500	11902191	706500	0.35	          0.92	  1.07	43.100	
01088	中国神华	-0.48	514335456	20.950	20.950	24232368	1311000	0.24	          0.71	  1.39	21.050	
00003	香港中华煤气	1.73	500879968	16.460	16.460	30578904	1651000	0.12	          0.22	  2.57	16.360	
02799	中国华融	-4.68	495977408	3.460	3.470	141260144	3482000	-0.57	          0.56	  3.65	3.580	
01548	金斯瑞生物科技	-3.56	488039808	25.750	25.750	18439500	168000	0.00	          1.06	  0.63	27.050	
00016	新鸿基地产	0.15	484492288	129.800	129.800	3710929	302000	0.00	          0.13	  1.49	130.700	
02186	绿叶制药	-5.42	438487680	7.510	7.520	56315296	508500	-0.53	          1.70	  2.03	8.030	
01211	比亚迪股份	0.68	431521376	73.800	73.800	5800380	278500	0.14	          0.63	  1.39	73.700	
00004	九龙仓集团	-0.18	429319296	27.350	27.350	15652406	967000	0.37	          0.51	  1.32	27.600	
02319	蒙牛乳业	-2.00	420075264	24.500	24.550	16945422	597000	-0.20	          0.43	  1.07	25.000	
00322	康师傅控股	5.90	417634784	16.880	16.900	24982236	1004000	-0.12	          0.44	  4.70	16.200	
02388	中银香港	0.13	409923104	40.050	40.050	10179235	1020500	0.38	          0.10	  1.53	40.500	
06060	众安在线	-5.98	390767328	64.500	64.500	6052645	182900	0.70	          1.29	  3.16	67.000	
00001	长和	0.05	389903552	96.150	96.150	4034789	353000	0.10	          0.10	  0.57	96.900	
00763	中兴通讯	-2.45	382226048	27.900	27.950	13427752	674600	-0.36	          1.78	  1.35	28.650	
03993	洛阳钼业	-3.60	374321408	6.420	6.420	56894600	1710000	-0.16	          1.45	  0.76	6.760	
01660	善乐国际	-11.41	373794656	2.640	--  	124090000	8000	0.76	         10.02	  2.72	3.080	
02689	玖龙纸业	-4.50	370189408	12.300	12.320	29443500	849000	0.00	          0.63	  1.70	12.880	
01114	BRILLIANCE CHI	0.21	368017856	18.920	18.940	19396284	1502000	0.21	          0.38	  1.25	19.120	
02328	中国财险	-2.23	367382048	15.780	15.800	22924420	1712000	0.00	          0.50	  1.21	16.260	
06030	中信证券	0.11	363097408	18.300	18.300	19576002	1025500	-0.11	          0.86	  1.53	18.480	
00966	中国太平	-4.12	359806944	29.100	29.100	12176445	611600	0.87	          0.34	  1.64	30.750	
00002	中电控股	0.69	350298176	80.100	80.100	4383468	585500	0.13	          0.17	  1.53	79.800	
01530	三生制药	-5.40	344650976	17.180	17.200	19845710	1201000	-0.92	          0.78	  2.36	18.300	
00998	中信银行	0.18	341962048	5.530	5.540	61131160	2682000	0.18	          0.41	  1.25	5.600	
01113	长实集团	-0.86	328027136	68.850	68.850	4731177	648000	0.36	          0.13	  0.84	69.950	
