代码	名称	涨幅%%	总金额	现价	卖价	总量	现量	涨速%%	换手%%	量比	今开	
08101	壹家壹品	8.33	69211840	0.390	--  	177932000	20000	1.30	          6.15	  1.28	0.360	
08359	HYPEBEAST	15.58	30190002	0.890	--  	34840000	40000	-1.11	          1.74	  5.23	0.760	
08083	中国创新支付	1.02	29771522	0.495	--  	60276000	856000	2.06	          0.86	  1.55	0.490	
08200	修身堂	3.03	25084524	0.068	--  	357473984	440000	-1.45	          6.54	  3.18	0.066	
08291	万成金属包装	13.33	19999650	0.680	--  	29565000	5000	-1.45	          7.39	  1.80	0.600	
08469	盛业资本	0.25	19800440	8.090	--  	2438000	2000	-0.12	          0.33	  1.23	8.120	
08082	仁智国际集团	26.09	16576177	0.580	--  	34215500	20000	-3.33	          2.96	  4.03	0.470	
08138	同仁堂国药	-2.22	16155685	14.960	--  	1081000	1000	1.77	          0.13	  0.65	15.480	
08207	中新控股	0.00	15518671	0.930	--  	16691000	8000	0.00	          0.07	  1.17	0.920	
08349	美固科技控股	3.98	13901721	2.350	--  	5404000	10000	0.00	          1.35	  0.62	2.300	
08227	西安海天天	-1.56	11590451	6.330	--  	1801000	25000	-0.31	          0.28	  0.96	6.450	
08427	瑞强集团	-9.41	11361681	0.385	--  	28288000	8000	-1.28	          4.56	  0.90	0.450	
08071	中彩网通控股	7.49	11135031	0.201	--  	46915000	30000	-1.95	          1.00	 16.51	0.188	
08473	弥明生活百货	-4.12	11124201	0.465	--  	24760000	50000	2.20	          2.21	  1.14	0.480	
08160	GOLDWAY EDU	33.33	11030041	0.560	--  	23520000	48000	-3.45	          4.50	 21.49	0.460	
08148	奥柏中国	14.53	7594011	0.205	--  	37660000	20000	4.06	          3.46	  8.81	0.179	
08062	俊盟国际	-1.75	7474751	0.560	--  	13070000	50000	0.00	          2.72	  0.71	0.570	
08137	洪桥集团	0.00	7296401	1.680	--  	4344000	2000	0.00	          0.04	  1.14	1.680	
08483	名仕快相	3.45	7021881	0.300	--  	23424000	48000	0.00	          2.93	  1.59	0.295	
08228	国艺娱乐	8.45	6994901	0.385	--  	18520000	20000	-1.28	          0.41	  0.92	0.355	
08526	荣丰集团亚洲	-7.14	6831651	0.390	--  	16040000	70000	1.30	          2.79	  4.77	0.420	
08022	永耀集团控股	0.97	6438481	1.040	--  	6324000	3000	1.96	          0.38	  0.93	1.040	
