代码	名称	涨幅%%	总金额	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	
600516	方大炭素	2.63	1677069824	0.70	27.28	27.29	616727	37	0.40	          3.59	26.68	
600728	佳都科技	1.32	1297680640	0.14	10.74	10.76	1201907	179	0.09	          8.72	10.56	
002927	泰永长征	10.00	1138240768	6.04	66.44	--  	176673	89	0.00	         75.34	61.00	
002264	新 华 都	9.99	1067705152	1.11	12.22	--  	913506	286	0.00	         15.87	11.50	
000935	四川双马	9.98	1002818048	1.94	21.37	--  	478829	637	0.00	          7.61	19.51	
000555	神州信息	9.99	947743488	1.52	16.73	--  	589864	537	0.00	          6.44	15.50	
00857	中国石油股份	1.10	930047808	0.060	5.520	5.530	166900400	11744000	0.36	          0.79	5.580	
000151	中成股份	9.99	923096256	1.78	19.60	--  	482338	142	0.00	         18.10	19.00	
600113	浙江东日	10.00	854838272	1.22	13.42	--  	664043	52	0.52	         20.84	12.21	
600160	巨化股份	1.16	832314240	0.15	13.05	13.06	641459	143	0.08	          3.14	12.91	
00883	中国海洋石油	0.52	806751104	0.060	11.700	11.720	68120448	6511000	0.00	          0.15	11.980	
601600	中国铝业	0.39	803847744	0.02	5.12	5.13	1575237	8	0.39	          1.44	5.10	
000732	泰禾集团	0.25	760798528	0.07	27.86	27.87	273011	5028	-0.42	          2.20	27.68	
300740	御家汇	0.74	726297344	0.39	53.17	53.18	134388	2658	-0.22	         33.60	52.21	
06030	中信证券	2.51	714963072	0.460	18.760	18.780	38041284	1748500	0.54	          1.67	18.480	
000636	风华高科	3.82	690972352	0.48	13.06	13.07	531674	6130	0.15	          6.07	12.99	
00002	中电控股	1.12	653765760	0.900	80.900	81.000	8081561	803000	0.25	          0.32	80.500	
601688	华泰证券	0.17	618670208	0.03	17.45	17.46	352791	18	0.00	          0.65	17.45	
002174	游族网络	5.07	582276224	1.15	23.82	23.83	243020	2024	0.63	          4.21	22.55	
00006	电能实业	0.57	556933952	0.400	70.000	70.050	7944012	591000	-0.07	          0.37	70.000	
601086	国芳集团	10.01	548640832	0.98	10.77	--  	531512	3	0.00	         33.22	9.67	
01918	融创中国	1.59	535115264	0.500	31.850	31.900	16813530	897000	0.31	          0.38	31.800	
002346	柘中股份	6.20	530856160	1.17	20.04	20.05	266376	2482	-0.14	          6.81	19.09	
600406	国电南瑞	0.06	530809248	0.01	16.94	16.95	313360	9	-0.69	          1.42	16.80	
300315	掌趣科技	3.88	510023168	0.25	6.68	6.69	775978	11061	0.15	          2.94	6.47	
000768	中航飞机	1.41	505541600	0.22	15.84	15.85	320563	3106	0.00	          1.16	15.65	
01109	华润置地	0.17	492457792	0.050	30.100	30.150	16204719	1104000	0.00	          0.23	30.850	
603380	易德龙	7.18	485692032	1.60	23.93	23.98	205140	9	0.63	         51.29	23.10	
603533	掌阅科技	10.00	478765888	4.73	52.01	--  	93400	1	0.00	         22.78	50.49	
601108	财通证券	0.56	470603840	0.09	16.13	16.14	290139	129	0.19	          8.08	15.97	
002822	中装建设	7.37	454684096	0.59	8.60	8.61	539599	4625	-0.34	         17.63	8.20	
002782	可立克	10.01	453267616	1.45	15.94	--  	294985	437	0.00	         27.70	15.10	
600125	铁龙物流	1.69	451332416	0.16	9.63	9.64	471135	89	0.21	          3.61	9.39	
603059	倍加洁	10.00	438079680	4.90	53.90	--  	85116	4	0.00	         42.56	49.25	
600801	华新水泥	0.33	436320384	0.05	15.12	15.13	288552	9	-0.12	          2.97	14.91	
002738	中矿资源	2.12	431280800	0.67	32.03	32.20	131684	2463	1.61	         10.07	31.87	
00688	中国海外发展	0.34	424988064	0.100	29.050	29.100	14537960	1330000	0.17	          0.13	29.550	
600673	东阳光科	0.52	423325376	0.05	9.58	9.59	435833	107	0.00	          1.77	9.60	
01536	煜荣集团	6.74	411662944	0.120	--  	--  	209002000	2000	-0.52	         55.00	1.780	
000735	罗 牛 山	0.33	405230464	0.03	9.01	9.02	446370	5361	0.11	          4.21	8.99	
002265	西仪股份	9.99	401244416	1.40	15.41	--  	263967	96	0.00	          8.71	14.80	
002837	英维克	6.56	396056736	1.44	23.39	23.40	170110	1618	-0.08	         25.25	22.80	
300542	新晨科技	6.08	392046464	2.20	38.39	38.40	104991	878	0.21	         32.21	36.00	
002190	成飞集成	0.64	391286112	0.15	23.60	23.61	165641	2456	0.17	          4.80	23.59	
000776	广发证券	0.06	388016992	0.01	16.47	16.48	234512	2768	0.00	          0.40	16.52	
000065	北方国际	5.36	387400640	0.93	18.28	18.29	221610	2162	-0.21	          5.43	17.36	
002864	盘龙药业	9.99	376783648	3.38	37.22	--  	101489	32	0.00	         46.83	37.01	
600038	中直股份	1.41	372385824	0.60	43.20	43.21	86464	2	-0.36	          1.47	42.40	
600662	强生控股	9.93	371357888	0.55	6.09	--  	655331	13	0.00	          6.22	5.54	
603676	卫信康	1.16	353998560	0.20	17.45	17.47	204984	98	0.35	         32.54	17.03	
601116	三江购物	10.01	351534592	1.98	21.77	--  	165057	3	0.00	          4.11	20.50	
603138	海量数据	6.48	350338752	2.62	43.15	43.16	82306	5	0.21	         24.33	41.29	
601225	陕西煤业	0.13	350040736	0.01	7.89	7.90	446222	5	0.25	          0.45	7.94	
002281	光迅科技	0.18	349007488	0.05	27.54	27.55	126556	1367	0.36	          2.03	27.13	
600230	沧州大化	1.35	348552000	0.60	45.20	45.21	77108	1	0.27	          2.62	44.41	
600316	洪都航空	3.53	344693920	0.46	13.49	13.50	259349	40	-0.06	          3.62	12.83	
603477	振静股份	4.03	343557248	0.56	14.44	14.45	244960	63	-0.27	         40.83	13.61	
000819	岳阳兴长	10.00	337836416	1.21	13.31	--  	260059	783	0.00	          9.58	12.30	
002246	北化股份	2.15	332962080	0.26	12.35	12.36	272639	6267	0.16	          6.59	11.88	
603559	中通国脉	0.31	330812448	0.11	35.92	35.94	92694	39	0.34	         11.66	35.70	
002919	名臣健康	10.00	324537312	3.30	36.30	--  	92750	98	0.00	         45.55	32.92	
600729	重庆百货	0.14	321375360	0.04	29.31	29.33	109200	8	0.86	          2.69	29.80	
603881	数据港	2.93	318877088	1.18	41.46	41.47	77011	42	-0.16	          6.02	41.00	
002251	步 步 高	3.93	317975744	0.60	15.87	15.88	199130	2192	-0.05	          2.62	15.52	
600520	文一科技	10.02	312418368	1.96	21.53	--  	148797	10	0.00	          9.39	20.54	
600171	上海贝岭	0.51	310814464	0.07	13.79	13.80	225314	29	0.07	          3.34	13.84	
600698	湖南天雁	0.29	307046208	0.02	6.91	6.92	450147	25	0.58	          6.11	6.73	
300479	神思电子	10.02	302824256	1.97	21.64	--  	141880	766	0.00	         16.12	20.26	
002903	宇环数控	5.50	298032096	2.25	43.18	43.19	70828	1571	0.21	         28.33	39.89	
600099	林海股份	5.78	297725152	0.59	10.79	10.80	281793	27	0.00	         12.86	10.25	
600967	内蒙一机	1.97	296600640	0.27	13.97	13.98	213321	400	0.07	          2.22	13.61	
002323	雅百特	4.17	294526656	0.28	6.99	7.00	429048	4491	-0.13	         13.35	6.65	
00291	华润啤酒	1.31	280931552	0.450	34.700	34.750	7979927	578000	-0.14	          0.25	34.250	
600630	龙头股份	5.28	280524896	0.55	10.96	10.97	260271	82	0.27	          6.13	10.39	
01114	BRILLIANCE CHI	0.74	273944160	0.140	19.020	19.060	14346005	890000	0.32	          0.28	19.220	
600268	国电南自	10.00	273068352	0.60	6.60	--  	444643	98	0.00	          7.00	5.99	
600187	国中水务	9.94	266805424	0.49	5.42	--  	492737	11	0.00	          3.39	5.42	
03383	雅居乐集团	2.63	264787136	0.420	16.340	16.360	16141555	640000	0.25	          0.41	16.300	
601233	桐昆股份	0.93	259933120	0.22	23.83	23.84	109761	46	-0.07	          0.91	23.86	
300663	科蓝软件	5.49	257781680	1.56	29.98	29.99	87537	848	-0.12	         26.64	27.58	
600053	九鼎投资	1.53	251112272	0.42	27.85	27.86	89793	5	0.61	          2.07	26.99	
603329	上海雅仕	2.19	250892816	0.70	32.64	32.65	78108	20	0.31	         23.67	31.10	
600415	小商品城	3.01	250620656	0.17	5.81	5.82	433410	79	0.52	          0.80	5.67	
600119	长江投资	9.97	250491952	1.18	13.02	--  	200856	1	0.00	          6.53	11.75	
600621	华鑫股份	0.30	247770624	0.04	13.21	13.22	185567	15	0.15	          3.54	13.21	
300140	中环装备	1.61	246846144	0.22	13.91	13.92	179643	4859	0.43	          7.32	13.58	
002910	庄园牧场	5.36	245120656	1.00	19.65	19.66	127162	1843	-0.04	         27.15	18.38	
002555	三七互娱	1.60	243312704	0.31	19.69	19.70	124060	1360	0.05	          1.06	19.39	
002870	香山股份	10.00	242675648	2.80	30.80	--  	81848	139	0.00	         29.58	30.00	
600135	乐凯胶片	10.04	240299632	1.00	10.96	--  	226847	1	0.00	          6.16	9.91	
000400	许继电气	3.93	239746048	0.48	12.70	12.71	192303	5874	-0.07	          1.91	12.24	
600178	东安动力	2.15	232540112	0.15	7.11	7.12	338370	15	0.28	          7.32	6.85	
600315	上海家化	1.45	229194768	0.56	39.13	39.14	58985	8	-0.27	          0.88	38.54	
300469	信息发展	10.01	229105616	4.11	45.18	--  	51347	259	0.00	         17.95	43.12	
300099	精准信息	1.82	228334960	0.13	7.29	7.30	317731	5173	0.14	          8.10	7.14	
601366	利群股份	3.68	224827056	0.40	11.26	11.27	199308	3	0.27	         11.32	11.25	
300339	润和软件	2.32	224077536	0.25	11.03	11.04	204162	2114	0.00	          3.95	10.50	
600838	上海九百	10.03	221625632	0.91	9.98	--  	232586	3	0.00	          5.80	9.04	
600272	开开实业	9.96	216382688	1.07	11.81	--  	187575	5	0.00	         11.72	11.28	
002329	皇氏集团	3.88	212949968	0.25	6.69	6.70	317511	1558	0.00	          5.61	6.46	
002419	天虹股份	3.23	212858480	0.65	20.80	20.81	103131	1490	0.00	          1.29	19.97	
300509	新美星	0.91	210726192	0.28	30.90	30.97	66275	760	0.65	         25.20	33.30	
600372	中航电子	0.75	208809824	0.11	14.67	14.68	142965	3	0.00	          0.81	14.43	
300731	科创新源	10.00	206890288	3.58	39.38	--  	53617	318	0.00	         24.37	36.40	
603499	翔港科技	6.20	204600800	1.69	28.91	28.99	73351	26	2.15	         29.34	26.92	
300700	岱勒新材	2.40	203892496	1.56	66.50	66.51	30593	479	0.14	         14.85	65.00	
603363	傲农生物	3.74	200470208	0.63	17.48	17.50	116579	55	0.63	         19.43	16.50	
601952	苏垦农发	2.82	200358464	0.34	12.40	12.41	163194	39	-0.15	          6.28	12.07	
002596	海南瑞泽	1.16	199012096	0.13	11.33	11.34	174763	1177	0.09	          2.41	11.21	
603000	人民网	3.72	197869664	0.42	11.69	11.70	170620	6	0.52	          1.54	11.30	
000032	深桑达Ａ	2.32	191751104	0.25	11.03	11.04	180967	3328	0.73	          6.48	10.60	
300506	名家汇	0.41	190726368	0.09	21.98	21.99	87427	2114	-0.13	          6.63	21.23	
000018	神州长城	5.48	190157456	0.32	6.15	6.16	312400	3857	-0.15	          4.14	5.84	
600312	平高电气	2.07	186882848	0.19	9.38	9.39	202123	7	-0.10	          1.49	9.12	
002869	金溢科技	1.50	185584560	0.45	30.37	30.38	60472	617	0.13	         20.49	30.00	
600088	中视传媒	10.00	184583984	1.38	15.18	--  	128358	50	0.00	          3.87	14.00	
002917	金奥博	3.92	182457296	1.11	29.41	29.42	62842	1735	1.27	         22.23	28.43	
300519	新光药业	3.26	181217872	0.72	22.78	22.79	82387	1519	1.61	          8.34	21.50	
600855	航天长峰	4.19	178800336	0.58	14.42	14.44	125262	46	0.42	          3.79	13.80	
600833	第一医药	2.73	178795584	0.36	13.51	13.52	135162	193	-0.36	          6.06	13.18	
600480	凌云股份	2.99	177886176	0.43	14.79	14.80	121723	25	0.00	          3.37	14.41	
01359	中国信达	0.68	175119280	0.020	2.960	2.970	58802852	3783000	0.34	          0.43	2.990	
000021	深科技	1.37	173554688	0.12	8.90	8.91	197458	4559	0.23	          1.34	8.78	
600089	特变电工	0.56	173522560	0.05	9.02	9.04	193243	293	0.33	          0.52	8.99	
603776	永安行	3.32	172483008	1.99	61.86	61.88	28190	14	0.44	         11.75	59.90	
000901	航天科技	1.64	171612928	0.34	21.09	21.10	81921	1302	0.19	          2.17	20.68	
600604	市北高新	0.99	166579920	0.07	7.16	7.17	232785	34	0.00	          2.23	7.17	
