代码	名称	涨幅%%	总金额	买价	卖价	总量	现量	涨速%%	换手%%	量比	今开	
02828	恒生中国企业	-0.87	1498643456	--  	--  	11870695	68000	0.24	--  	  1.11	127.300	
02800	盈富基金	-0.95	666749824	--  	--  	21056708	712000	0.32	--  	  0.82	31.850	
02823	安硕Ａ５０	-0.64	626902912	--  	--  	39963460	1586700	0.00	--  	  1.24	15.860	
02822	南方Ａ５０	-0.74	448897152	--  	--  	27844000	1296800	-0.12	--  	  0.95	16.300	
00823	领展房产基金	0.22	319513024	--  	--  	4700482	1382500	0.52	--  	  0.84	68.800	
03188	华夏沪深三百	-0.88	275043232	--  	--  	5407200	344400	-0.10	--  	  1.20	51.400	
07228	ＦＬ二　三星国指	-1.66	149676672	--  	--  	16434000	25000	0.23	--  	  0.99	9.240	
07300	ＦＩ南方恒指	1.16	139584944	--  	--  	26914100	100	0.00	--  	  2.49	5.170	
07200	ＦＬ二南方恒指	-2.52	83190192	--  	--  	6601100	20000	0.00	--  	  1.87	12.800	
07388	ＦＩ南方国指	0.55	71380104	--  	--  	13054700	400	-0.18	--  	  2.89	5.470	
07267	ＦＬ二华夏国指	-1.84	63558948	--  	--  	5293300	299400	-0.34	--  	  1.23	12.240	
02840	ＳＰＤＲ金ＥＴＦ	1.17	47869244	--  	--  	48360	150	0.10	--  	  3.16	987.000	
07288	ＦＬ二南方国指	-1.85	43967096	--  	--  	4050900	20000	0.19	--  	  0.64	10.880	
07230	ＦＬ二未来国指	-1.60	37517492	--  	--  	3342900	3000	0.18	--  	  1.22	11.460	
87001	汇贤产业信托	-0.31	33649940	--  	--  	10348390	43000	0.00	--  	  1.81	3.260	
07221	ＦＬ二华夏恒指	-2.42	24751650	--  	--  	1766900	5000	0.00	--  	  0.95	14.280	
07336	ＦＩ未来恒指	1.30	23223036	--  	--  	4248200	290300	0.00	--  	 11.85	5.360	
07312	ＦＩ　三星恒指	1.16	22800912	--  	--  	5260400	10000	0.00	--  	  3.71	4.500	
03167	南方中国新行业	-1.54	20275438	--  	--  	251700	1000	0.00	--  	  2.08	81.000	
07231	ＦＬ二未来恒指	-2.57	19969660	--  	--  	1503600	3000	0.00	--  	  1.38	13.360	
07341	ＦＩ华夏国指	0.99	19754066	--  	--  	3251000	10000	0.00	--  	  1.35	6.000	
07205	ＦＬ二　三星恒指	-2.47	19605128	--  	--  	1863800	80000	0.00	--  	  1.33	10.640	
07242	ＦＬ二易方达恒指	-2.51	19342878	--  	--  	2422700	1500	-0.26	--  	  0.90	8.110	
00405	越秀房产信托基金	0.37	19260458	--  	--  	3604431	39000	0.19	--  	  0.69	5.340	
07362	ＦＩ未来国指	0.87	17839034	--  	--  	3103700	3000	0.00	--  	 65.53	5.690	
07328	ＦＩ　三星国指	0.87	16721177	--  	--  	3681600	30000	0.00	--  	  3.64	4.530	
07321	ＦＩ华夏恒指	-0.17	15376841	--  	--  	2668500	10000	-0.17	--  	  2.25	5.690	
02778	冠君产业信托	0.54	10686791	--  	--  	1908000	504000	0.54	--  	  0.60	5.570	
02833	恒指ＥＴＦ	-1.25	9964175	--  	--  	311700	10000	0.00	--  	  1.76	32.150	
03087	ＸＴＲ富时越南	0.73	7629745	--  	--  	24950	10	0.00	--  	  2.19	301.000	
00778	置富产业信托	0.42	7268017	--  	--  	767291	119000	0.11	--  	  0.24	9.490	
00808	泓富产业信托	0.00	6637494	--  	--  	1977254	2000	0.30	--  	  0.86	3.360	
03128	恒生Ａ股龙头	-3.18	5889161	--  	--  	90200	200	0.08	--  	  2.43	65.850	
02801	安硕中国ＥＴＦ	-2.58	5714171	--  	--  	188200	200	0.17	--  	  0.56	31.000	
03040	未来ＭＳＣＩ中国	-1.84	4849145	--  	--  	128500	200	-0.13	--  	  1.54	38.150	
03173	ＰＰ中国新经济	-0.45	3887855	--  	--  	439500	5000	0.00	--  	  1.33	8.880	
02805	领航富时亚洲	-0.95	3834780	--  	--  	145300	2600	0.00	--  	  4.65	26.600	
82822	南方Ａ５０－Ｒ	-1.07	3702238	--  	--  	285569	2400	0.16	--  	  0.48	13.160	
00435	阳光房地产基金	-0.75	3572288	--  	--  	673493	3000	-0.19	--  	  0.96	5.330	
03147	南方中创业板	-0.25	3013530	--  	--  	369400	600	-0.25	--  	  0.81	8.200	
02836	安硕印度	0.21	2809420	--  	--  	119200	4000	0.00	--  	  3.90	23.600	
02803	ＰＰ中国基石经济	-0.23	2727150	--  	--  	312500	3000	0.00	--  	  0.83	8.750	
03081	价值黄金	0.93	2540058	--  	--  	78324	20000	0.00	--  	  1.09	32.200	
07210	ＸＬ二易亚中概股	-2.02	2460000	--  	--  	112400	16000	0.00	--  	  1.03	22.150	
03165	ＢＭＯ欧优股对冲	-0.79	2409968	--  	--  	238200	12200	0.00	--  	  6.56	10.120	
02838	恒生富时中国５０	-1.63	2333060	--  	--  	10600	5000	-0.91	--  	  3.33	224.600	
83128	恒生Ａ股龙头－Ｒ	-2.65	2118800	--  	--  	40800	4600	-0.10	--  	  3.34	53.000	
03115	安硕恒生指数	-1.33	2069467	--  	--  	18490	11000	-0.18	--  	  0.52	115.000	
83188	华夏沪深三百－Ｒ	-0.85	1858186	--  	--  	45404	800	0.25	--  	  0.46	41.350	
01426	春泉产业信托	0.30	1691197	--  	--  	498619	1000	0.30	--  	  1.17	3.450	
03161	易亚中概股	-0.92	1633400	--  	--  	108000	20000	0.00	--  	  0.57	15.160	
02811	海通沪深三百	-1.32	1562036	--  	--  	86400	2000	0.00	--  	  8.54	18.180	
03016	ＴＲ菲律宾	1.35	1504800	--  	--  	100000	40000	0.00	--  	  4.05	15.000	
03095	价值中国Ａ股	-0.23	1418480	--  	--  	163500	5000	0.00	--  	  1.25	8.700	
01881	富豪产业信托	-1.62	1263025	--  	--  	517002	34000	0.00	--  	  0.98	2.470	
03101	领航富时发展欧洲	-0.60	1093457	--  	--  	54948	500	0.00	--  	  1.84	19.900	
07261	ＦＬ二华夏纳一百	-1.87	920590	--  	--  	31400	5000	-0.69	--  	  2.18	29.400	
03140	领航标普５００	-1.02	920015	--  	--  	47091	2100	0.00	--  	  0.67	19.580	
03197	华夏Ａ国际通	-1.03	883364	--  	--  	76200	5000	0.00	--  	  0.27	11.700	
03116	易亚富时黄金矿业	1.86	785370	--  	--  	95600	10000	0.00	--  	  1.43	8.200	
03046	价值中国ＥＴＦ	-0.52	722570	--  	--  	15100	1000	-0.32	--  	  0.53	48.350	
07322	ＸＩ未来标普	1.01	721880	--  	--  	60400	3200	0.00	--  	  2.39	11.900	
03157	华夏港股通小型股	-1.21	676770	--  	--  	23600	200	0.00	--  	  2.95	29.000	
03070	平安香港高息股	-0.45	646055	--  	--  	19100	3000	-0.59	--  	  0.84	34.100	
03102	易亚证券收益增长	-0.18	442400	--  	--  	40000	20000	0.00	--  	  1.52	11.060	
03048	ＴＲ巴西	1.72	425573	--  	--  	10250	600	-0.36	--  	 53.95	41.450	
83197	华夏Ａ国际通－Ｒ	-1.69	411780	--  	--  	44000	5000	0.00	--  	  1.99	9.390	
03010	安硕亚洲除日	-0.68	410360	--  	--  	7000	100	0.00	--  	  0.04	58.750	
03086	ＢＭＯ纳斯达克	-1.00	402712	--  	--  	28800	4000	-0.29	--  	  1.73	14.040	
02846	安硕沪深三百	-1.53	356040	--  	--  	11000	2000	0.00	--  	  1.31	32.400	
03085	领航亚洲高股息率	-0.62	337177	--  	--  	13882	1100	-0.21	--  	  1.05	24.250	
03110	未来恒生高股息率	-1.05	335670	--  	--  	10100	1000	0.00	--  	  1.91	33.300	
03175	Ｆ三星原油期	2.39	318144	--  	--  	23200	8000	0.00	--  	  0.84	13.720	
03199	南方五年国债	0.47	294518	--  	--  	2320	2000	-0.04	--  	  1.75	126.650	
07331	ＦＩ华夏纳一百	0.76	265000	--  	--  	25000	10000	0.00	--  	  1.30	10.600	
03084	价值日本ＥＴＦ	0.26	247560	--  	--  	16200	3000	0.26	--  	  1.79	15.300	
03126	领航富时日本	1.29	205320	--  	--  	7500	300	0.00	--  	  0.40	27.400	
83199	南方五年国债－Ｒ	0.00	204200	--  	--  	2000	2000	0.00	--  	  2.30	102.100	
03135	Ｆ南方东英原油	2.36	195522	--  	--  	22500	300	0.00	--  	  0.64	8.690	
00820	汇丰中国翔龙基金	-0.53	180882	--  	--  	16002	1000	0.36	--  	  0.34	11.320	
03020	ＸＴＲ美国	-0.70	179393	--  	--  	315	315	-0.70	--  	  3.42	569.500	
83146	安硕ＤＡＸ－Ｒ	-0.35	173300	--  	--  	20000	20000	-0.35	--  	  0.83	8.670	
02834	安硕纳指一百	-1.55	154726	--  	--  	12100	2000	-0.62	--  	  0.44	12.860	
03027	ＸＴＲ俄罗斯	1.33	154275	--  	--  	6750	750	0.00	--  	  0.45	22.850	
82828	恒生中国企业－Ｒ	-0.98	142280	--  	--  	1400	1000	-0.79	--  	  0.02	101.200	
03049	ＸＴＲ沪深三百	-0.80	133500	--  	--  	15300	5100	-0.23	--  	  0.19	8.800	
83155	安硕ＥＳ５０－Ｒ	-0.59	126400	--  	--  	15000	5000	0.00	--  	  0.19	8.430	
03080	平安中国国债	0.04	123450	--  	--  	1000	1000	0.00	--  	  0.11	123.450	
07222	ＸＬ二未来标普	-1.25	119350	--  	--  	5000	1000	0.00	--  	  0.90	23.900	
03170	安硕韩国二百	0.00	118200	--  	--  	10000	10000	0.00	--  	  1.42	--  	
03160	ＢＭＯ日股对冲	-0.18	109600	--  	--  	10000	10000	0.00	--  	  0.26	10.960	
82836	安硕印度－Ｒ	0.32	94400	--  	--  	5000	5000	0.00	--  	  0.07	18.880	
07302	ＦＩ易方达恒指	1.53	92856	--  	--  	20100	100	0.87	--  	  1.87	4.610	
02827	标智沪深３００	-0.50	79750	--  	--  	2000	1000	-0.88	--  	  0.02	39.850	
82843	东汇Ａ５０－Ｒ	-0.90	76560	--  	--  	5800	3400	0.00	--  	  0.27	13.200	
82834	安硕纳指一百－Ｒ	-1.53	74592	--  	--  	7200	5000	-0.77	--  	  1.02	10.360	
83168	恒生人币金ＥＴＦ	1.24	73650	--  	--  	3000	3000	0.00	--  	  0.43	24.550	
83118	嘉实明晟Ａ股－Ｒ	-0.57	73148	--  	--  	5300	100	0.00	--  	  0.64	13.820	
82811	海通沪深三百－Ｒ	-1.36	72528	--  	--  	5000	4000	0.00	--  	  4.03	14.540	
03041	价值韩国ＥＴＦ	0.72	66405	--  	--  	1900	1900	-0.14	--  	  1.67	34.950	
02802	安硕亚洲新兴	-0.75	59300	--  	--  	1000	1000	-0.17	--  	  0.18	59.300	
03118	嘉实明晟Ａ股	-0.70	54774	--  	--  	3200	3200	-0.12	--  	  0.76	17.100	
03127	未来沪深三百	-0.59	54080	--  	--  	3200	3200	0.00	--  	  0.33	16.900	
03155	安硕ＥＳ５０	0.38	52300	--  	--  	5000	5000	0.00	--  	  0.30	10.460	
03036	ＴＲ台湾	-0.67	47240	--  	--  	200	200	0.00	--  	  0.04	236.200	
82832	博时ＦＡ５０－Ｒ	-3.64	34656	--  	--  	5200	2000	0.00	--  	  1.91	6.700	
03121	ＢＭＯ亚太房地产	0.00	34080	--  	--  	3000	3000	-0.18	--  	  0.01	11.360	
03171	ＣＯＭＳ德股	-0.34	29375	--  	--  	250	250	-0.34	--  	  0.04	117.500	
03021	南方东英ＭＴ５０	1.17	29136	--  	--  	4800	2100	0.00	--  	  1.13	6.070	
83136	嘉实明晟５０－Ｒ	-2.53	26316	--  	--  	1800	1800	0.00	--  	  3.21	14.620	
03143	ＢＭＯ香港银行股	-0.79	24512	--  	--  	2400	1000	-0.40	--  	  0.71	10.280	
03012	东汇香港３５	-0.87	22800	--  	--  	1000	1000	-0.44	--  	  0.02	22.800	
03120	易方达１２０	-2.04	22714	--  	--  	1300	200	-1.14	--  	  0.18	17.500	
02825	标智香港１００	-1.24	22320	--  	--  	800	400	0.00	--  	  0.22	27.950	
02848	ＴＲ韩国	0.23	19680	--  	--  	30	30	-0.99	--  	  0.06	656.000	
02819	ＡＢＦ港债指数	0.00	19376	--  	--  	198	100	-0.05	--  	  0.16	98.500	
02832	博时ＦＡ５０	-0.72	18159	--  	--  	2200	1000	-0.24	--  	  0.38	8.290	
03073	ＳＰＤＲ大中华	-1.89	17620	--  	--  	400	400	0.00	--  	  0.00	44.050	
83100	易方达中一百－Ｒ	-1.83	16060	--  	--  	400	400	0.00	--  	  0.77	40.150	
03141	ＢＭＯ亚洲投资债	-0.33	13301	--  	--  	872	400	0.00	--  	  0.07	15.250	
03097	Ｆ未来原油	2.87	10760	--  	--  	2000	2000	-0.19	--  	  0.05	5.380	
82847	安硕富时一百－Ｒ	-0.52	5342	--  	--  	700	100	0.00	--  	  0.05	7.640	
83147	南方中创业板－Ｒ	-0.76	3936	--  	--  	600	200	0.00	--  	  0.08	6.570	
02821	沛富基金	-0.30	3510	--  	--  	30	30	0.00	--  	  0.06	117.000	
83120	易方达１２０－Ｒ	-1.83	2800	--  	--  	200	200	-0.57	--  	  0.07	14.000	
09074	安硕ＭＳ台湾－Ｕ	-0.66	2700	--  	--  	1800	1800	0.00	--  	  0.03	1.500	
09834	安硕纳指一百－Ｕ	-0.61	1630	--  	--  	1000	1000	0.00	--  	  0.01	1.630	
09836	安硕印度－Ｕ	0.00	596	--  	--  	200	200	0.00	--  	  0.01	--  	
82808	易方达国债－Ｒ	0.05	0	--  	--  	0	0	0.00	--  	  0.00	--  	
09847	安硕富时一百－Ｕ	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	
09846	安硕沪深三百－Ｕ	-0.96	0	--  	--  	0	0	0.00	--  	  0.00	--  	
09170	安硕韩国二百－Ｕ	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	
09155	安硕ＥＳ５０－Ｕ	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	
09146	安硕ＤＡＸ－Ｕ	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	
09115	安硕恒生指数－Ｕ	-1.11	0	--  	--  	0	0	0.00	--  	  0.00	--  	
09081	价值黄金－Ｕ	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	
09010	安硕亚洲除日－Ｕ	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	
07335	ＦＩ南方Ｎ５０	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	
07315	ＦＩ未来东证	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	
07225	ＦＬ二未来东证	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	
07202	ＦＬ二南方Ｎ５０	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	
04363	ＩＳ台湾基金ＴＲ	--  	0	--  	--  	0	0	--  	--  	  0.00	--  	
04362	ＩＳ南韩基金ＴＲ	--  	0	--  	--  	0	0	--  	--  	  0.00	--  	
03180	华夏中华八十	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	
03177	ＣＯＭＳ德高息股	-0.30	0	--  	--  	0	0	0.00	--  	  0.00	--  	
03162	安硕ＭＡ中国	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	
03156	广发明晟Ａ国	-0.38	0	--  	--  	0	0	0.00	--  	  0.00	--  	
03153	未来亚洲医疗保健	--  	0	--  	--  	0	0	--  	--  	  0.00	--  	
03150	嘉实中证五百	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	
03149	南方ＭＡ国际	-0.82	0	--  	--  	0	0	0.00	--  	  0.00	--  	
03146	安硕ＤＡＸ	-0.56	0	--  	--  	0	0	0.00	--  	  0.00	--  	
03145	ＢＭＯ亚洲高息股	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	
03137	南方中华８０	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	
03136	嘉实明晟５０	-0.97	0	--  	--  	0	0	0.00	--  	  0.00	--  	
03132	添富中证医药	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	
03129	南方三百精明	-0.81	0	--  	--  	0	0	0.00	--  	  0.00	--  	
03122	南方东英短债	0.11	0	--  	--  	0	0	0.00	--  	  0.00	--  	
03107	添富主要消费	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	
03100	易方达中一百	-0.79	0	--  	--  	0	0	0.00	--  	  0.00	--  	
03099	ＸＴＲ印尼	-0.64	0	--  	--  	0	0	0.00	--  	  0.00	--  	
03092	ＴＲ泰国	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	
03082	ＴＲ马来西亚	0.84	0	--  	--  	0	0	0.00	--  	  0.00	--  	
03074	安硕ＭＳ台湾	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	
03065	ＴＲ新加坡	-0.17	0	--  	--  	0	0	0.00	--  	  0.00	--  	
03060	价值台湾ＥＴＦ	0.11	0	--  	--  	0	0	0.00	--  	  0.00	--  	
03056	未来标普国际消费	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	
03055	ＴＲ中国	-1.60	0	--  	--  	0	0	0.00	--  	  0.00	--  	
03054	未来标普亚洲消费	--  	0	--  	--  	0	0	--  	--  	  0.00	--  	
03043	ＴＲ太平洋	-0.10	0	--  	--  	0	0	0.00	--  	  0.00	--  	
03024	标智上证５０	-0.35	0	--  	--  	0	0	0.00	--  	  0.00	--  	
03019	ＸＴＲ环球	-0.32	0	--  	--  	0	0	0.00	--  	  0.00	--  	
03015	ＸＴＲＮ５０印度	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	
03008	添富沪深三百	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	
03007	ＴＲ富时５０	-0.95	0	--  	--  	0	0	0.00	--  	  0.00	--  	
02847	安硕富时一百	-0.11	0	--  	--  	0	0	0.00	--  	  0.00	--  	
02843	东汇Ａ５０	-0.73	0	--  	--  	0	0	0.00	--  	  0.00	--  	
02839	标智港股内地地产	--  	0	--  	--  	0	0	--  	--  	  0.00	--  	
02835	未来ＫＯＳＰＩ	--  	0	--  	--  	0	0	--  	--  	  0.00	--  	
02824	力宝专选中港地产	-0.31	0	--  	--  	0	0	0.00	--  	  0.00	--  	
02817	标智港股内地消费	--  	0	--  	--  	0	0	--  	--  	  0.00	--  	
02808	易方达国债	0.26	0	--  	--  	0	0	0.00	--  	  0.00	--  	
01275	开元产业信托	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	
00625	睿富房地产基金	0.00	0	--  	--  	0	0	0.00	--  	0.00	--  	
83180	华夏中华八十－Ｒ	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	
83170	安硕韩国二百－Ｒ	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	
83162	安硕ＭＡ中国－Ｒ	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	
83156	广发明晟Ａ国－Ｒ	-0.71	0	--  	--  	0	0	0.00	--  	  0.00	--  	
83150	嘉实中证五百－Ｒ	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	
83149	南方ＭＡ国际－Ｒ	-0.85	0	--  	--  	0	0	0.00	--  	  0.00	--  	
83137	南方中华８０－Ｒ	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	
83132	添富中证医药－Ｒ	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	
83129	南方三百精明－Ｒ	-1.01	0	--  	--  	0	0	0.00	--  	  0.00	--  	
83127	未来沪深三百－Ｒ	-0.44	0	--  	--  	0	0	0.00	--  	  0.00	--  	
83122	南方东英短债－Ｒ	0.03	0	--  	--  	0	0	0.00	--  	  0.00	--  	
83115	安硕恒生指数－Ｒ	-1.37	0	--  	--  	0	0	0.00	--  	  0.00	--  	
83107	添富主要消费－Ｒ	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	
83095	价值中国Ａ股－Ｒ	-0.29	0	--  	--  	0	0	0.00	--  	  0.00	--  	
83081	价值黄金－Ｒ	0.97	0	--  	--  	0	0	0.00	--  	  0.00	--  	
83074	安硕ＭＳ台湾－Ｒ	-0.63	0	--  	--  	0	0	0.00	--  	  0.00	--  	
83012	东汇香港３５－Ｒ	-1.08	0	--  	--  	0	0	0.00	--  	  0.00	--  	
83010	安硕亚洲除日－Ｒ	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	
83008	添富沪深三百－Ｒ	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	
82846	安硕沪深三百－Ｒ	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	
82833	恒指ＥＴＦ－Ｒ	-1.55	0	--  	--  	0	0	0.00	--  	  0.00	--  	
82823	安硕Ａ５０－Ｒ	-0.79	0	--  	--  	0	0	0.00	--  	  0.00	--  	
数据来源:通达信
