代码	名称	涨幅%%	总金额	买价	卖价	总量	现量	涨速%%	换手%%	量比	今开	
08168	宝积资本	12.50	136215264	--  	--  	426129984	10000	1.89	--  	0.00	0.340	
08207	中新控股	3.23	111491248	--  	--  	117428000	4000	2.13	          0.52	  7.14	0.950	
08473	弥明生活百货	33.33	58345704	--  	--  	101940000	270000	1.64	          9.10	  4.14	0.475	
08083	中国创新支付	3.03	39098780	--  	--  	77400000	16000	2.00	          1.11	  1.80	0.495	
08101	壹家壹品	-15.38	34827660	--  	--  	95668000	544000	0.00	          3.31	  0.65	0.385	
08022	永耀集团控股	3.85	30124968	--  	--  	28366518	1500000	0.00	          1.71	  4.29	1.020	
08291	万成金属包装	-25.00	20687676	--  	--  	39145000	65000	2.00	          9.79	  2.04	0.690	
08227	西安海天天	-1.42	15597541	--  	--  	2478000	8000	-0.48	          0.38	  1.41	6.380	
08469	盛业资本	0.00	15190901	--  	--  	1878000	2000	0.00	          0.25	  0.91	8.090	
08359	HYPEBEAST	-6.74	14324001	--  	--  	16920000	40000	-1.19	          0.85	  1.30	0.900	
08479	金泰丰国际控股	8.06	11625691	--  	--  	4272300	8000	0.37	          1.02	  3.06	2.650	
08082	仁智国际集团	-5.17	9879744	--  	--  	16755150	45000	0.00	          1.45	  1.09	0.590	
08138	同仁堂国药	-0.40	9357309	--  	--  	628481	1000	0.00	          0.08	  0.45	15.180	
08200	修身堂	-11.76	8032841	--  	--  	128580000	80000	-1.64	          2.35	  0.84	0.067	
08156	众彩股份	-4.94	7663741	--  	--  	9834000	30000	0.00	          0.30	  1.43	0.790	
08337	直通电讯	-7.84	6998001	--  	--  	43870000	70000	0.00	          1.41	  3.75	0.165	
08287	ZIONCOM	1.30	6721751	--  	--  	16910000	10000	1.30	          2.56	  1.04	0.395	
08228	国艺娱乐	0.00	6703101	--  	--  	17540000	200000	1.32	          0.39	  1.04	0.385	
08089	华人策略控股	-3.19	6559257	--  	--  	2751400	1800	1.25	          1.33	  3.00	2.510	
08148	奥柏中国	-0.98	6540703	--  	--  	31737000	20000	0.50	          2.92	  2.69	0.204	
08062	俊盟国际	-3.57	6300601	--  	--  	11620000	200000	0.00	          2.42	  0.69	0.560	
08483	名仕快相	-5.00	5619121	--  	--  	18760000	64000	-1.72	          2.35	  1.13	0.300	
08427	瑞强集团	-16.88	5189520	--  	--  	15352000	16000	-1.54	          2.48	  0.47	0.380	
08090	中国融保金融集团	0.00	4516140	--  	--  	5672000	10000	1.27	          0.32	  2.74	0.800	
08436	德宝集团控股	6.15	4223800	--  	--  	6180000	5000	1.47	          1.54	  5.94	0.650	
08137	洪桥集团	-1.19	4130460	--  	--  	2486000	8000	0.00	          0.03	  0.64	1.670	
08175	中国数码文化	12.77	3867600	--  	--  	7860000	200000	1.92	          0.41	  1.33	0.470	
08125	仁德资源	0.00	3737400	--  	--  	8292000	760000	0.00	          2.28	 91.73	0.450	
08001	东方汇财证券	0.00	3697880	--  	--  	4408000	120000	0.00	          1.02	  2.95	0.800	
08275	永勤集团控股	0.00	3396100	--  	--  	1710000	20000	0.00	          0.28	  1.01	1.980	
08225	中国医疗集团	5.56	3373100	--  	--  	8540000	40000	-3.80	          0.86	  0.41	0.385	
08179	新煮意控股	-2.17	3291756	--  	--  	18480000	48000	0.00	          0.88	 21.67	0.183	
08349	美固科技控股	-4.26	3252100	--  	--  	1390000	10000	-2.17	          0.35	  0.18	2.550	
08279	亚博科技控股	2.15	3184880	--  	--  	3492000	4000	0.00	          0.03	  3.09	0.920	
08131	辰罡科技	43.94	3029276	--  	--  	11920397	10000	3.64	          3.96	 11.51	0.205	
08292	盛良物流	-4.27	2828900	--  	--  	2490000	50000	0.00	          0.31	  1.02	1.170	
08073	兴业新材料	0.00	2799280	--  	--  	1756000	8000	7.10	          0.37	  0.64	1.690	
