代码	名称	涨幅%%	总金额	现价	买价	卖价	总量	现量	涨速%%	换手%%	
600547	山东黄金	5.89	2252057600	29.14	29.16	29.17	779664	87	0.28	          5.37	
600598	北大荒	7.31	1966580992	12.04	12.03	12.04	1644993	426	-1.14	          9.25	
000555	神州信息	0.36	1304466944	16.79	16.78	16.79	774084	11858	0.00	          8.46	
600489	中金黄金	5.42	1281576192	9.34	9.33	9.34	1386143	156	0.11	          4.02	
000935	四川双马	4.35	1241045248	22.30	22.30	22.31	568499	7170	-0.26	          9.03	
601069	西部黄金	10.02	1158155776	18.88	18.88	--  	630455	2	0.00	          9.91	
601116	三江购物	8.59	1085139840	23.64	23.20	23.52	463864	20	-1.28	         11.54	
300740	御家汇	0.13	925788288	53.25	53.24	53.25	165843	1994	0.40	         41.46	
002131	利欧股份	3.94	833328576	2.90	2.89	2.90	2880526	39838	0.35	          8.46	
601952	苏垦农发	3.06	809218112	12.79	12.80	12.81	629517	39	-0.53	         24.21	
300477	合纵科技	1.01	796717184	38.08	38.07	38.08	213895	2414	-0.30	         17.68	
600988	赤峰黄金	9.00	777136192	6.30	6.29	6.30	1265877	808	0.80	         10.37	
002265	西仪股份	9.99	725702528	16.95	16.95	--  	437228	679	0.00	         14.42	
002505	大康农业	9.96	663787136	2.76	2.76	--  	2435318	4664	0.00	          4.44	
300051	三五互联	1.42	661956352	11.41	11.41	11.42	576402	6190	-0.08	         23.50	
600838	上海九百	3.81	658212096	10.36	10.32	10.34	635035	11	-1.60	         15.84	
600520	文一科技	3.72	610956928	22.33	22.33	22.34	271815	8	0.00	         17.16	
002477	雏鹰农牧	4.28	559743168	3.90	3.90	3.91	1428037	11227	-0.25	          7.65	
600662	强生控股	3.28	557875520	6.29	6.27	6.28	897377	47	0.00	          8.52	
002155	湖南黄金	5.54	546847360	9.14	9.14	9.15	603019	5080	0.11	          5.66	
300738	奥飞数据	2.75	521624192	70.70	70.70	70.72	74516	817	0.00	         45.66	
600316	洪都航空	2.89	518780480	13.87	13.92	13.94	380605	19	0.65	          5.31	
002910	庄园牧场	10.02	517786016	21.63	21.63	--  	247205	631	0.00	         52.78	
603363	傲农生物	10.02	514423648	19.22	19.22	--  	271513	1	0.00	         45.25	
600354	敦煌种业	10.04	497148640	7.67	7.67	--  	649279	26	0.00	         14.50	
600689	上海三毛	9.98	495575840	13.67	13.67	--  	366029	38	0.00	         24.05	
002041	登海种业	10.02	493109344	12.19	12.19	--  	407588	619	0.00	          4.66	
600108	亚盛集团	4.46	479293312	3.98	3.97	3.98	1199584	1	0.00	          6.16	
603501	韦尔股份	2.53	478512544	40.05	40.09	40.15	119221	31	-1.05	         28.66	
002919	名臣健康	4.08	454844960	37.78	37.77	37.78	125089	1395	3.20	         61.44	
002237	恒邦股份	4.40	453813568	10.45	10.44	10.45	436140	2755	-0.09	          5.22	
000045	深纺织Ａ	7.72	438998752	9.91	9.90	9.91	443445	2633	-0.09	          9.70	
600313	农发种业	10.03	438911648	3.73	3.73	--  	1202946	100	0.00	         12.11	
000993	闽东电力	7.27	418857920	8.85	8.85	8.86	476769	4945	0.34	         12.78	
600873	梅花生物	3.20	401360320	5.16	5.16	5.17	774425	20	0.19	          2.49	
300657	弘信电子	5.54	390696768	43.40	43.40	43.41	90259	708	-0.20	         34.71	
600359	新农开发	9.95	361575936	7.07	7.07	--  	520718	32	0.00	         13.65	
300686	智动力	5.27	344977088	24.15	24.15	24.16	142562	488	0.08	         45.55	
600800	天津磁卡	10.00	339588960	6.49	6.49	--  	523820	10	0.00	          8.57	
600517	置信电气	0.35	328613888	5.77	5.76	5.77	558661	10	0.17	          4.49	
300609	汇纳科技	1.98	327372544	36.58	36.57	36.58	86015	800	-0.04	         16.27	
000759	中百集团	3.12	307306976	8.92	8.92	8.93	344979	3206	-0.33	          5.07	
600981	汇鸿集团	7.00	296199680	6.42	6.41	6.42	458518	9	-1.07	         18.96	
300175	朗源股份	10.02	284726304	6.70	6.70	--  	427465	517	0.00	          9.26	
000985	大庆华科	0.80	278287232	21.47	21.46	21.47	124584	1874	-0.13	          9.61	
002771	真视通	6.29	264712352	18.75	18.75	18.78	146874	2232	-0.99	         20.60	
07300	ＦＩ南方恒指	2.29	263327664	5.350	--  	--  	48930100	20000	0.00	--  	
600371	万向德农	10.00	263083808	11.44	11.44	--  	235301	133	0.00	         10.46	
603060	国检集团	2.02	251409424	23.21	23.24	23.25	106976	30	-0.16	         16.76	
002748	世龙实业	0.21	245060320	14.33	14.33	14.34	165078	2171	-0.34	          6.88	
002824	和胜股份	9.99	242446352	17.28	17.28	--  	140828	169	0.00	         19.02	
600975	新五丰	10.04	217440384	5.81	5.81	--  	375141	34	0.00	          8.00	
002786	银宝山新	3.08	206036304	9.37	9.37	9.38	223112	2114	0.21	         16.14	
002567	唐人神	4.98	204394224	6.75	6.74	6.75	302294	2556	0.45	          4.66	
603738	泰晶科技	2.42	198184320	27.47	27.48	27.50	72665	12	-1.35	         17.32	
603336	宏辉果蔬	10.00	192288624	22.56	22.56	--  	85980	2	0.00	         16.27	
600300	维维股份	3.76	186159136	4.42	4.40	4.41	422418	374	-0.44	          2.53	
300682	朗新科技	9.99	182953248	23.57	23.57	--  	77631	73	0.00	         17.25	
000713	丰乐种业	9.97	175757824	7.28	7.28	--  	242195	202	0.00	          8.10	
