代码	名称	涨幅%%	总金额	现价	买价	卖价	总量	现量	涨速%%	换手%%	
00700	腾讯控股	-4.42	126137966592	420.000	420.000	420.200	308436768	3386400	-0.38	          3.25	
000725	京东方Ａ	-3.87	5911184384	5.46	5.45	5.46	10976664	132552	0.55	          3.24	
00388	香港交易所	-2.73	4515865600	256.800	256.800	257.000	17604382	1234000	-0.16	          1.42	
00005	汇丰控股	-2.16	4511518720	74.650	74.600	74.650	60552832	1798800	-0.07	          0.30	
600030	中信证券	-5.65	3795691008	17.70	17.68	17.69	2104342	31	-0.16	          2.14	
600519	贵州茅台	-2.07	3727044864	711.06	710.12	711.00	52547	6	0.01	          0.42	
000333	美的集团	-1.16	3526483712	56.24	56.24	56.25	641627	9602	0.37	          1.01	
000063	中兴通讯	-7.49	3186737408	29.01	29.01	29.02	1083264	12115	-0.09	          3.15	
601668	中国建筑	-0.22	2763952128	8.88	8.89	8.90	3151152	11352	0.11	          1.06	
600048	保利地产	-2.28	2750426368	13.31	13.30	13.31	2109760	1211	0.38	          1.80	
601166	兴业银行	-1.32	2690716416	17.22	17.22	17.23	1576916	41	0.17	          0.83	
601899	紫金矿业	-0.66	2320704768	4.54	4.53	4.54	5194865	5770	0.00	          3.29	
601398	工商银行	-2.63	2219790336	6.30	6.30	6.31	3544713	2965	0.16	          0.13	
002415	海康威视	-1.09	2198182656	42.79	42.78	42.79	527767	9167	0.28	          0.66	
600585	海螺水泥	-2.68	2144626176	31.57	31.58	31.59	684490	1359	0.25	          1.71	
000001	平安银行	-2.74	2037734400	11.34	11.33	11.34	1825691	36114	0.62	          1.08	
02800	盈富基金	-2.71	1981037568	30.550	--  	--  	65122840	1438000	-0.16	--  	
02822	南方Ａ５０	-2.62	1897462656	15.600	--  	--  	122182600	2900800	0.13	--  	
02018	瑞声科技	-6.79	1848678400	145.600	145.500	145.600	12727895	595000	0.48	          1.04	
02628	中国人寿	-1.56	1843289088	22.150	22.100	22.150	83780760	5985000	0.45	          1.13	
600019	宝钢股份	-4.09	1770637568	8.68	8.69	8.70	2083090	467	0.58	          0.94	
601939	建设银行	-3.48	1692875904	7.76	7.76	7.77	2184835	68	0.00	          2.28	
600690	青岛海尔	-2.00	1678649728	18.65	18.68	18.69	924443	135	0.48	          1.52	
600029	南方航空	-1.96	1578437376	10.48	10.48	10.49	1567789	645	0.67	          2.23	
600703	三安光电	-3.00	1548907136	24.92	24.91	24.93	632168	20	0.40	          1.55	
000002	万 科Ａ	-0.35	1527314432	31.07	31.06	31.07	505125	8500	0.52	          0.52	
600050	中国联通	-6.59	1482111744	5.67	5.66	5.67	2570676	155	-0.17	          1.33	
601988	中国银行	-1.20	1476263680	4.12	4.11	4.12	3621844	6048	0.49	          0.17	
601328	交通银行	-1.10	1340033536	6.32	6.32	6.33	2137800	804	0.16	          0.54	
002008	大族激光	-2.97	1308943616	52.25	52.25	52.26	253107	2740	0.25	          2.55	
002456	欧菲科技	-6.70	1292197376	19.78	19.77	19.78	655202	5246	0.36	          2.47	
601766	中国中车	0.00	1283501568	10.27	10.26	10.27	1269823	10	0.29	          0.55	
601601	中国太保	-0.51	1273560448	39.26	39.29	39.30	330281	18	0.51	          0.53	
600487	亨通光电	-6.70	1210996224	35.80	35.79	35.80	333613	89	0.34	          2.69	
601688	华泰证券	-6.54	1205653760	16.30	16.31	16.32	725251	232	0.18	          1.33	
600362	江西铜业	-1.13	1196539392	17.48	17.49	17.50	706792	5	0.58	          3.41	
02823	安硕Ａ５０	-2.43	1194504064	15.240	--  	--  	78892592	2249700	0.00	--  	
601088	中国神华	-0.18	1186343680	22.18	22.19	22.20	550763	1596	0.73	          0.33	
600031	三一重工	-0.24	1125806464	8.15	8.14	8.15	1429502	95	1.12	          1.87	
03968	招商银行	-3.57	1094157824	32.400	32.350	32.400	33904052	1839000	0.15	          0.74	
002241	歌尔股份	-7.84	1075338368	13.40	13.39	13.40	798782	7963	0.83	          2.94	
600606	绿地控股	-0.14	1074487168	7.35	7.35	7.36	1495486	2392	0.41	          4.64	
601111	中国国航	-1.37	1050939968	11.50	11.52	11.53	951632	84	1.14	          1.01	
01928	金沙中国有限公司	-4.01	1043187392	41.900	41.850	41.900	24870660	1631600	0.84	          0.31	
601699	潞安环能	-1.78	1003391168	10.47	10.49	10.50	1004395	233	1.16	          3.36	
600016	民生银行	-3.27	991613504	7.98	7.98	7.99	1231625	10	-0.24	          0.42	
601225	陕西煤业	-0.89	956988800	7.82	7.83	7.84	1270737	194	0.90	          1.27	
02601	中国太保	-1.98	948387072	37.100	37.050	37.100	25882808	1578200	0.54	          0.93	
002001	新 和 成	-8.52	928014400	32.00	31.99	32.00	283602	2506	-0.61	          2.64	
601989	中国重工	-6.81	908628608	5.06	5.06	5.07	1765006	426	-0.38	          0.96	
00288	万洲国际	-4.65	869871936	9.030	9.010	9.030	98376048	6163500	0.67	          0.67	
300498	温氏股份	3.66	866035648	21.54	21.54	21.55	399460	3589	-0.18	          1.13	
000100	TCL 集团	-4.38	851734848	3.49	3.48	3.49	2476084	25667	1.16	          2.11	
002797	第一创业	-8.79	844962880	7.78	7.77	7.78	1057952	10977	0.13	          5.51	
002176	江特电机	-9.90	839605568	10.56	10.55	10.56	770085	4178	0.09	          5.58	
000807	云铝股份	-9.62	833324608	7.52	7.52	7.53	1089508	10806	-0.12	          4.84	
601818	光大银行	-0.24	831122112	4.19	4.19	4.20	2012619	310	0.48	          0.51	
000776	广发证券	-2.91	815913472	15.99	15.98	15.99	514453	10937	0.50	          0.87	
03188	华夏沪深三百	-2.67	779747648	49.200	--  	--  	15945029	157200	0.20	--  	
002594	比亚迪	-4.97	769016448	59.48	59.48	59.49	128223	1082	-0.02	          1.13	
300088	长信科技	-10.00	759543872	6.57	6.57	6.58	1124596	2236	0.00	          4.98	
300159	新研股份	-6.62	753959488	8.74	8.73	8.74	876007	3632	-0.78	          9.21	
600115	东方航空	-0.14	726976832	7.23	7.23	7.24	1036552	23	0.28	          1.06	
000338	潍柴动力	-1.00	702134912	7.96	7.95	7.96	906530	16552	1.53	          2.10	
00763	中兴通讯	-5.27	696777664	26.050	26.000	26.050	26935784	441600	0.00	          3.57	
601211	国泰君安	-5.61	679543296	16.67	16.64	16.67	401813	69	-0.17	          0.85	
601857	中国石油	-2.73	679356352	7.83	7.81	7.82	868121	139	-0.24	          0.05	
600000	浦发银行	-4.41	676679680	11.71	11.69	11.70	571064	81	0.00	          0.20	
