代码	名称	涨幅%%	总金额	现价	买价	卖价	总量	现量	涨速%%	换手%%	
600598	北大荒	7.31	1966580992	12.04	12.03	12.04	1644993	426	-1.14	          9.25	
000555	神州信息	0.36	1304466944	16.79	16.78	16.79	774084	11858	0.00	          8.46	
000935	四川双马	4.35	1241045248	22.30	22.30	22.31	568499	7170	-0.26	          9.03	
000768	中航飞机	2.65	1118410496	16.27	16.27	16.28	691280	6421	0.12	          2.50	
601116	三江购物	8.59	1085139840	23.64	23.20	23.52	463864	20	-1.28	         11.54	
300740	御家汇	0.13	925788288	53.25	53.24	53.25	165843	1994	0.40	         41.46	
002131	利欧股份	3.94	833328576	2.90	2.89	2.90	2880526	39838	0.35	          8.46	
601952	苏垦农发	3.06	809218112	12.79	12.80	12.81	629517	39	-0.53	         24.21	
300477	合纵科技	1.01	796717184	38.08	38.07	38.08	213895	2414	-0.30	         17.68	
002265	西仪股份	9.99	725702528	16.95	16.95	--  	437228	679	0.00	         14.42	
600343	航天动力	10.04	719409344	13.15	13.15	--  	567739	25	0.00	          8.90	
00006	电能实业	0.36	705609664	70.300	70.250	70.300	10091452	500000	0.00	          0.47	
300051	三五互联	1.42	661956352	11.41	11.41	11.42	576402	6190	-0.08	         23.50	
600838	上海九百	3.81	658212096	10.36	10.32	10.34	635035	11	-1.60	         15.84	
002428	云南锗业	1.51	639927936	12.79	12.78	12.79	503678	5553	0.31	          7.82	
002864	盘龙药业	6.13	639022592	39.50	39.44	39.50	162917	1053	-0.99	         75.18	
600520	文一科技	3.72	610956928	22.33	22.33	22.34	271815	8	0.00	         17.16	
300705	九典制药	3.18	581684992	33.70	33.70	33.71	169635	1395	-0.34	         57.82	
002477	雏鹰农牧	4.28	559743168	3.90	3.90	3.91	1428037	11227	-0.25	          7.65	
600662	强生控股	3.28	557875520	6.29	6.27	6.28	897377	47	0.00	          8.52	
600698	湖南天雁	3.47	547430336	7.15	7.15	7.16	774504	106	-0.41	         10.51	
300738	奥飞数据	2.75	521624192	70.70	70.70	70.72	74516	817	0.00	         45.66	
002190	成飞集成	5.64	519701536	24.93	24.93	24.94	217366	2694	-0.19	          6.30	
600316	洪都航空	2.89	518780480	13.87	13.92	13.94	380605	19	0.65	          5.31	
002910	庄园牧场	10.02	517786016	21.63	21.63	--  	247205	631	0.00	         52.78	
603363	傲农生物	10.02	514423648	19.22	19.22	--  	271513	1	0.00	         45.25	
600354	敦煌种业	10.04	497148640	7.67	7.67	--  	649279	26	0.00	         14.50	
600689	上海三毛	9.98	495575840	13.67	13.67	--  	366029	38	0.00	         24.05	
002041	登海种业	10.02	493109344	12.19	12.19	--  	407588	619	0.00	          4.66	
600108	亚盛集团	4.46	479293312	3.98	3.97	3.98	1199584	1	0.00	          6.16	
603501	韦尔股份	2.53	478512544	40.05	40.09	40.15	119221	31	-1.05	         28.66	
002919	名臣健康	4.08	454844960	37.78	37.77	37.78	125089	1395	3.20	         61.44	
000045	深纺织Ａ	7.72	438998752	9.91	9.90	9.91	443445	2633	-0.09	          9.70	
600313	农发种业	10.03	438911648	3.73	3.73	--  	1202946	100	0.00	         12.11	
600360	华微电子	1.44	438507232	7.06	7.06	7.07	624269	135	-0.13	          8.46	
000993	闽东电力	7.27	418857920	8.85	8.85	8.86	476769	4945	0.34	         12.78	
600536	中国软件	1.65	406545024	14.81	14.81	14.82	272879	17	0.27	          5.52	
600873	梅花生物	3.20	401360320	5.16	5.16	5.17	774425	20	0.19	          2.49	
300657	弘信电子	5.54	390696768	43.40	43.40	43.41	90259	708	-0.20	         34.71	
300140	中环装备	2.23	377399872	14.22	14.22	14.23	272461	7542	0.00	         11.10	
600359	新农开发	9.95	361575936	7.07	7.07	--  	520718	32	0.00	         13.65	
300686	智动力	5.27	344977088	24.15	24.15	24.16	142562	488	0.08	         45.55	
600800	天津磁卡	10.00	339588960	6.49	6.49	--  	523820	10	0.00	          8.57	
600517	置信电气	0.35	328613888	5.77	5.76	5.77	558661	10	0.17	          4.49	
