代码	名称	涨幅%%	总金额	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	
601318	中国平安	-2.87	9441425408	-2.02	68.24	68.26	1380985	6	0.10	          1.27	69.20	
600887	伊利股份	-3.53	4561493504	-1.00	27.33	27.34	1628855	52	-0.14	          2.70	28.44	
002230	科大讯飞	5.31	2673475072	2.88	57.09	57.10	480780	5450	-0.08	          4.06	53.70	
600036	招商银行	-3.96	2654133504	-1.20	29.10	29.11	905780	14	0.17	          0.44	30.26	
601398	工商银行	-4.44	2431016448	-0.28	6.02	6.03	4007329	9	0.17	          0.15	6.23	
600340	华夏幸福	-6.84	1752114176	-2.33	31.71	31.72	548309	25	0.35	          1.86	33.50	
601601	中国太保	-6.04	1504041344	-2.37	36.89	36.95	404769	2	0.11	          0.64	38.89	
601939	建设银行	-3.61	1444986752	-0.28	7.47	7.48	1928108	10	0.00	          2.01	7.72	
600150	中国船舶	-4.78	1186184832	-0.86	17.12	17.13	702207	47	0.06	          5.10	16.50	
01088	中国神华	-2.72	1006566720	-0.550	19.700	19.720	51532720	1585500	-0.10	          1.52	20.150	
002001	新 和 成	2.19	990561536	0.70	32.69	32.70	303884	4654	-0.39	          2.83	32.00	
00688	中国海外发展	-1.99	857067968	-0.550	27.050	27.100	31627086	1860000	0.00	          0.29	27.550	
02328	中国财险	-3.32	823385856	-0.520	15.100	15.120	54651728	3880000	0.40	          1.19	15.260	
600741	华域汽车	-2.27	594753152	-0.60	25.73	25.79	235771	13	0.55	          0.82	26.10	
000895	双汇发展	-5.31	564131008	-1.42	25.31	25.32	220963	1234	0.04	          0.67	26.47	
002142	宁波银行	-3.35	557390464	-0.65	18.77	18.78	298952	902	-0.10	          0.66	19.08	
600176	中国巨石	3.03	536820608	0.47	15.96	15.98	345926	52	-0.18	          1.19	15.10	
601998	中信银行	-4.76	524884576	-0.32	6.40	6.41	816803	123	0.47	          0.26	6.65	
600146	商赢环球	4.26	464107744	0.94	23.04	23.05	204748	24	-0.25	         10.24	22.18	
002048	宁波华翔	-6.33	420103008	-1.08	15.98	15.99	264614	3101	0.06	          5.75	16.72	
000831	五矿稀土	10.02	382829664	1.02	11.20	--  	346347	154	0.00	          3.53	9.89	
600779	水井坊	4.50	349791168	1.90	44.08	44.09	80548	12	0.09	          1.65	41.80	
300148	天舟文化	-7.70	329577312	-0.54	6.46	6.47	516895	9332	-0.76	          6.78	6.31	
01813	合景泰富	-4.97	315969184	-0.580	11.060	11.080	29350488	286000	0.36	          0.93	10.820	
002151	北斗星通	10.00	305261632	2.63	28.94	--  	107404	710	0.00	          4.22	26.02	
600787	中储股份	1.50	292198304	0.13	8.78	8.79	334881	131	-0.10	          1.80	8.57	
300308	中际旭创	4.38	281965632	3.19	76.08	76.09	40076	95	0.07	          1.86	71.00	
000723	美锦能源	3.82	275985344	0.20	5.43	5.44	541845	30214	0.56	          5.01	5.10	
600130	波导股份	0.34	249598912	0.02	5.80	5.81	450266	16	2.46	          5.86	5.50	
000400	许继电气	-5.05	243459472	-0.61	11.47	11.48	216494	3201	0.26	          2.15	11.45	
300424	航新科技	8.09	215423664	1.86	24.85	24.86	92917	1282	0.32	          7.50	23.39	
600335	国机汽车	10.02	203567968	0.89	9.77	--  	215452	20	0.00	          2.09	8.80	
00323	马鞍山钢铁股份	-3.43	202535248	-0.120	3.370	3.380	60174280	1598000	-0.29	          3.47	3.470	
600566	济川药业	3.76	201913296	1.61	44.55	44.60	46172	15	0.14	          0.57	42.85	
600161	天坛生物	6.58	195499248	1.70	27.52	27.55	73597	13	-0.03	          1.10	25.12	
00551	裕元集团	-6.87	191846672	-2.300	31.150	31.200	6124942	258000	-0.16	          0.37	32.850	
002071	长城影视	4.67	170879888	0.39	8.74	8.75	201444	1078	-0.10	          3.91	8.50	
002900	哈三联	6.15	166540832	1.59	27.45	27.46	63566	2172	0.22	         12.05	24.97	
002032	苏 泊 尔	1.83	163964896	0.70	38.99	39.00	43399	336	0.52	          0.80	37.56	
