代码	名称	涨幅%%	总金额	买价	卖价	总量	现量	涨速%%	换手%%	量比	今开	
00700	腾讯控股	1.31	18516920320	432.000	432.200	42644184	7092600	-0.46	          0.45	  0.45	435.200	
02318	中国平安	-0.54	7656331776	83.500	83.550	90952904	3214500	0.06	          1.22	  0.92	85.600	
00939	建设银行	0.85	2481740800	8.250	8.260	300666464	23513000	0.24	          0.13	  0.80	8.350	
00388	香港交易所	1.23	2423219968	263.200	263.400	9185432	1177700	0.30	          0.74	  0.70	264.800	
00941	中国移动	3.12	1866896512	72.700	72.750	25810526	2578500	0.07	          0.13	  1.48	71.250	
01398	工商银行	1.34	1686397952	6.800	6.810	247870848	21206000	0.15	          0.29	  0.91	6.850	
00175	吉利汽车	-1.03	1589387520	23.950	24.000	65392568	3201000	0.63	          0.73	  0.80	24.800	
00005	汇丰控股	0.13	1535859968	75.050	75.100	20421770	1210000	0.00	          0.10	  0.74	75.350	
02018	瑞声科技	4.69	1459745152	151.700	151.800	9602393	235500	0.13	          0.79	  1.11	151.000	
00386	中国石油化工股份	-0.72	1448429952	6.870	6.880	210457776	13090000	0.00	          0.82	  1.02	7.000	
03988	中国银行	1.65	1402238080	4.290	4.300	325906752	21452000	0.23	          0.39	  0.79	4.280	
01299	友邦保险	-0.52	1337355904	67.300	67.350	19796120	3428400	0.37	          0.16	  0.75	68.800	
02007	碧桂园	3.60	1174619136	16.680	16.700	70411360	1304000	0.00	          0.32	  0.68	16.500	
00762	中国联通	5.58	1050304320	9.840	9.850	106709472	3426000	0.00	          0.35	  3.37	9.750	
00268	金蝶国际	-2.91	1023507264	7.990	8.000	122340912	538000	0.00	          4.21	  1.40	8.550	
00027	银河娱乐	0.91	1019271616	72.300	72.350	14030541	1257000	-0.07	          0.33	  1.13	73.100	
01288	农业银行	2.73	973937536	4.520	4.530	216287104	9932000	0.00	          0.70	  1.09	4.490	
02269	药明生物	8.92	935725568	80.200	80.650	11782415	92500	0.44	          1.01	  0.81	76.000	
02382	舜宇光学科技	1.46	864860928	160.300	160.400	5365138	251600	-0.25	          0.49	  0.36	160.500	
00688	中国海外发展	4.43	859473280	28.250	28.300	30438220	1400000	-0.18	          0.28	  1.28	27.950	
01928	金沙中国有限公司	1.19	822849280	42.650	42.700	19195766	1277600	-0.47	          0.24	  1.39	42.900	
00006	电能实业	0.07	801981632	70.350	70.450	11378969	646000	-0.21	          0.53	  1.09	70.700	
00857	中国石油股份	0.92	769044800	5.500	5.510	139601680	5844000	-0.36	          0.66	  0.81	5.490	
02601	中国太保	-0.81	760120128	36.750	36.800	20701780	1389800	0.41	          0.75	  0.87	37.500	
03968	招商银行	1.70	742192832	32.800	32.850	22747032	1449000	0.31	          0.50	  1.02	32.650	
02628	中国人寿	0.68	725140800	22.150	22.200	32785168	2987000	0.00	          0.44	  0.60	22.250	
00914	海螺水泥	1.53	708566848	43.200	43.250	16442340	471000	0.00	          1.27	  1.33	43.500	
02328	中国财险	-2.25	705098432	14.760	14.780	47281528	1668000	0.14	          1.03	  1.45	15.220	
03333	中国恒大	0.79	680632576	25.350	25.400	26820676	1134000	0.40	          0.20	  1.56	25.750	
00354	中国软件国际	11.56	662916096	6.940	6.950	94626544	916000	0.14	          3.94	  3.86	6.410	
01093	石药集团	0.69	648547840	21.900	21.950	29769756	820000	0.00	          0.48	  0.64	22.250	
01177	中国生物制药	1.92	643364608	15.920	15.940	40422100	780000	-0.50	          0.48	  0.97	15.920	
01088	中国神华	0.61	620410944	19.800	19.820	31252426	2074000	-0.20	          0.92	  1.10	20.150	
00981	中芯国际	3.29	580539264	10.680	10.720	53551128	2380000	-0.74	          1.09	  1.56	10.620	
01918	融创中国	1.99	571352128	30.750	30.800	18428000	351000	0.00	          0.42	  0.79	31.300	
00288	万洲国际	-3.12	551705024	8.380	8.390	64862772	5781500	-0.36	          0.44	  1.57	8.500	
01548	金斯瑞生物科技	4.23	525513952	25.850	25.900	20283050	140000	0.39	          1.17	  0.86	25.600	
03323	中国建材	3.39	521631904	8.230	8.240	64004720	2736000	0.49	          2.22	  1.44	8.010	
01099	国药控股	5.85	519387456	39.750	39.800	13128081	490400	0.25	          1.10	  2.30	38.800	
02186	绿叶制药	6.78	503136256	7.720	7.730	65677000	798500	-0.26	          2.01	  1.22	7.580	
02688	新奥能源	6.48	493054816	71.450	71.500	7026560	291000	-0.28	          0.65	  1.64	68.000	
00656	复星国际	3.46	485396480	17.920	17.940	26900930	504500	-0.11	          0.31	  1.51	17.580	
02282	美高梅中国	2.68	447007712	21.000	21.100	21369764	470400	0.48	          0.56	  2.02	21.000	
03888	金山软件	2.29	432243552	26.750	26.800	16025025	475000	0.19	          1.17	  0.67	26.700	
00883	中国海洋石油	0.00	421589952	11.720	11.740	35812668	3354000	-0.34	          0.08	  0.48	11.900	
00384	中国燃气	3.19	399998016	29.100	29.150	13680132	385400	-0.17	          0.28	  1.48	28.500	
02319	蒙牛乳业	1.88	394563968	24.400	24.450	16220736	1277000	0.00	          0.41	  1.05	24.600	
