代码	名称	涨幅%%	总金额	现价	昨收	每手	总量	涨速%%	今开	最高	最低	抛空额	股息率%%	振幅%%	涨跌	细分行业	抛空量	按盘价	
000063	中兴通讯	0.39	2016965888	36.36	36.22	0	556511	-0.04	35.92	36.67	35.81	--  	0.68	2.37	0.14	通信设备	--  	0.000	
002129	中环股份	2.77	1540088192	11.49	11.18	0	1333072	-0.51	11.20	11.76	11.19	--  	0.27	5.10	0.31	半导体	--  	-0.000	
603019	中科曙光	2.89	800510656	40.24	39.11	0	199323	-0.11	39.14	40.65	39.14	--  	0.20	3.86	1.13	电脑设备	--  	0.000	
000830	鲁西化工	4.67	757060544	15.92	15.21	0	479207	-0.05	15.24	16.11	15.24	--  	1.97	5.72	0.71	农药化肥	--  	0.000	
600487	亨通光电	1.69	656659328	40.42	39.75	0	162957	-0.09	39.82	40.61	39.80	--  	0.25	2.04	0.67	通信设备	--  	-0.000	
300115	长盈精密	4.64	579000448	20.07	19.18	0	294852	-0.24	19.12	20.15	19.05	--  	0.78	5.74	0.89	元器件	--  	-0.000	
002797	第一创业	1.24	538537152	9.80	9.68	0	553745	0.10	9.65	9.87	9.61	--  	0.26	2.69	0.12	证券	--  	0.000	
002185	华天科技	2.65	513673344	8.52	8.30	0	606302	0.00	8.30	8.57	8.28	--  	0.30	3.49	0.22	半导体	--  	0.000	
002450	康得新	1.37	485322304	22.20	21.90	0	220187	0.45	21.80	22.38	21.74	--  	0.26	2.92	0.30	化工原料	--  	0.000	
002202	金风科技	1.51	457349760	18.85	18.57	0	242818	0.16	18.82	19.02	18.60	--  	0.83	2.26	0.28	电气设备	--  	0.000	
300676	华大基因	1.56	436493376	208.00	204.80	0	20846	0.09	207.00	211.00	207.00	--  	0.00	1.95	3.20	医疗保健	--  	0.000	
002156	通富微电	3.20	403181568	13.22	12.81	0	306032	-0.07	12.85	13.37	12.81	--  	0.18	4.37	0.41	半导体	--  	0.000	
000100	TCL 集团	1.83	388626208	3.90	3.83	0	1003821	0.00	3.84	3.91	3.83	--  	1.89	2.09	0.07	家用电器	--  	0.000	
601688	华泰证券	0.23	361056512	17.26	17.22	0	209012	-0.05	17.23	17.42	17.19	--  	2.90	1.34	0.04	证券	--  	0.000	
000670	盈方微	4.55	344290432	6.90	6.60	0	501017	0.00	6.66	6.98	6.62	--  	0.00	5.45	0.30	元器件	--  	0.000	
002079	苏州固锝	3.21	322383552	9.33	9.04	0	346777	-0.10	9.01	9.42	9.00	--  	0.37	4.65	0.29	半导体	--  	-0.000	
600507	方大特钢	0.32	321995776	12.69	12.65	0	254417	-0.07	12.70	12.83	12.47	--  	1.99	2.85	0.04	特种钢	--  	-0.000	
600038	中直股份	2.31	305200096	46.53	45.48	0	65840	-0.14	45.49	46.70	45.48	--  	0.51	2.68	1.05	航空	--  	-0.000	
600406	国电南瑞	2.35	298141888	18.28	17.86	0	164796	0.33	17.89	18.30	17.82	--  	0.97	2.69	0.42	软件服务	--  	0.000	
002635	安洁科技	2.96	248516176	26.09	25.34	0	95927	0.04	25.70	26.24	25.50	--  	0.61	2.92	0.75	电脑设备	--  	0.000	
600999	招商证券	1.12	241521760	17.16	16.97	0	141371	0.06	17.03	17.20	16.96	--  	0.95	1.41	0.19	证券	--  	-0.000	
603458	勘设股份	3.12	240164416	75.59	73.30	0	32089	-0.06	73.53	75.86	73.06	--  	0.00	3.82	2.29	建筑施工	--  	-0.000	
300570	太辰光	1.30	230581216	21.09	20.82	0	108983	-0.56	20.95	21.50	20.65	--  	1.01	4.08	0.27	元器件	--  	0.000	
600346	恒力股份	3.44	227009392	12.33	11.92	0	184451	-0.07	11.99	12.49	11.99	--  	1.26	4.19	0.41	化纤	--  	-0.000	
600846	同济科技	1.90	218244544	9.63	9.45	0	227559	0.00	9.46	9.68	9.41	--  	1.06	2.86	0.18	综合类	--  	0.000	
300474	景嘉微	4.70	213573776	53.92	51.50	0	39925	0.02	51.58	54.29	51.46	--  	0.17	5.50	2.42	元器件	--  	-0.000	
000021	深科技	2.31	207418784	9.73	9.51	0	214151	-0.09	9.59	9.80	9.50	--  	0.53	3.15	0.22	电脑设备	--  	-0.000	
600291	西水股份	0.34	189351984	23.52	23.44	0	80695	-0.03	23.45	23.69	23.35	--  	0.04	1.45	0.08	保险	--  	0.000	
300046	台基股份	2.97	179522480	22.21	21.57	0	80873	0.27	21.43	22.60	21.40	--  	0.23	5.56	0.64	半导体	--  	-0.000	
002396	星网锐捷	1.55	178003136	21.59	21.26	0	82991	0.14	21.26	21.61	21.20	--  	0.43	1.93	0.33	通信设备	--  	0.000	
300236	上海新阳	3.77	177632880	34.09	32.85	0	52730	0.00	32.92	34.25	32.66	--  	0.30	4.84	1.24	半导体	--  	0.000	
300458	全志科技	2.15	174196352	28.46	27.86	0	60820	-0.41	27.70	29.10	27.61	--  	0.54	5.35	0.60	元器件	--  	-0.000	
603160	汇顶科技	1.91	170427136	96.94	95.12	0	17547	0.12	95.92	98.20	95.22	--  	0.41	3.13	1.82	元器件	--  	0.000	
300285	国瓷材料	4.44	165974560	20.00	19.15	0	84341	0.65	19.42	20.00	19.00	--  	0.26	5.22	0.85	陶瓷	--  	0.000	
