代码	名称	涨幅%%	总金额	现价	昨收	每手	总量	涨速%%	今开	最高	最低	抛空额	股息率%%	振幅%%	涨跌	细分行业	抛空量	按盘价	
000063	中兴通讯	0.39	2016965888	36.36	36.22	0	556511	-0.04	35.92	36.67	35.81	--  	0.68	2.37	0.14	通信设备	--  	0.000	
00981	中芯国际	2.58	1864209024	13.520	13.180	500	139149920	-0.73	13.000	13.920	12.820	--  	0.00	8.35	0.340	半导体	--  	13.520	
600048	保利地产	3.21	1780418560	14.15	13.71	0	1266858	-0.27	13.67	14.32	13.61	--  	2.30	5.18	0.44	全国地产	--  	-0.000	
000933	神火股份	1.50	1705708416	10.15	10.00	0	1666866	-0.09	10.18	10.48	9.98	--  	0.25	5.00	0.15	煤炭开采	--  	-0.000	
600392	盛和资源	1.99	1691120128	19.00	18.63	0	899849	0.64	19.10	19.25	18.28	--  	0.11	5.21	0.37	小金属	--  	0.000	
002129	中环股份	2.77	1540088192	11.49	11.18	0	1333072	-0.51	11.20	11.76	11.19	--  	0.27	5.10	0.31	半导体	--  	-0.000	
01299	友邦保险	2.15	1368015616	66.650	65.250	200	20605784	0.30	65.500	66.800	65.200	--  	0.38	2.45	1.400	保险	--  	66.650	
601398	工商银行	0.98	1340017024	6.20	6.14	0	2168998	0.00	6.13	6.22	6.12	--  	3.82	1.63	0.06	银行	--  	-0.000	
000839	中信国安	3.34	1329945600	9.59	9.28	0	1383727	-0.09	9.35	9.84	9.32	--  	0.54	5.60	0.31	综合类	--  	0.000	
601288	农业银行	1.32	1210267264	3.83	3.78	0	3160217	-0.25	3.79	3.86	3.79	--  	4.50	1.85	0.05	银行	--  	-0.000	
03888	金山软件	8.56	1210247808	26.000	23.950	1000	47161628	-0.19	23.950	26.200	23.700	--  	0.00	10.44	2.050	软件服务	--  	26.000	
000002	万 科Ａ	1.17	1204645888	31.06	30.70	0	385307	-0.15	30.75	31.71	30.74	--  	2.57	3.16	0.36	全国地产	--  	-0.000	
00941	中国移动	1.34	1171871744	79.250	78.200	500	14795774	-0.06	78.800	79.600	78.300	--  	6.09	1.66	1.050	电讯	--  	79.250	
002236	大华股份	7.05	1158133760	23.09	21.57	0	510634	0.00	21.82	23.19	21.82	--  	0.46	6.35	1.52	电器仪表	--  	0.000	
300017	网宿科技	4.93	1112652800	10.64	10.14	0	1045878	-0.08	10.16	10.94	10.14	--  	0.82	7.89	0.50	电信运营	--  	0.000	
002415	海康威视	1.04	1086131200	39.00	38.60	0	278139	-0.37	38.40	39.44	38.40	--  	1.04	2.69	0.40	电器仪表	--  	0.000	
600362	江西铜业	0.20	1043164992	20.17	20.13	0	516925	0.25	20.24	20.42	19.95	--  	0.75	2.33	0.04	铜	--  	0.000	
002146	荣盛发展	5.77	1032966656	9.53	9.01	0	1101702	0.32	9.04	9.63	9.04	--  	4.44	6.55	0.52	全国地产	--  	-0.000	
601989	中国重工	2.55	1020773056	6.03	5.88	0	1685443	0.50	5.99	6.20	5.95	--  	0.62	4.25	0.15	船舶	--  	0.000	
00175	吉利汽车	1.88	971487040	27.100	26.600	1000	35851656	-0.18	26.950	27.350	26.750	--  	0.00	2.26	0.500	汽车	--  	27.100	
002460	赣锋锂业	0.52	963033024	71.75	71.38	0	134876	0.22	71.61	72.50	70.58	--  	0.14	2.69	0.37	小金属	--  	0.000	
603559	中通国脉	6.07	852001664	38.61	36.40	0	224132	-1.07	36.90	39.50	36.02	--  	0.18	9.56	2.21	通信设备	--  	0.000	
601939	建设银行	1.72	848571776	7.68	7.55	0	1106196	0.00	7.55	7.73	7.50	--  	3.68	3.05	0.13	银行	--  	-0.000	
02382	舜宇光学科技	0.50	833401024	99.900	99.400	1000	8230583	0.00	101.000	104.300	99.500	--  	0.00	4.83	0.500	工业工程	--  	99.900	
03988	中国银行	0.79	826626432	3.840	3.810	1000	214810560	-0.26	3.820	3.860	3.820	--  	0.00	1.05	0.030	银行	--  	3.840	
00658	中国高速传动	12.31	817538624	13.500	12.020	1000	64091000	0.15	12.380	13.500	12.120	--  	0.00	11.48	1.480	工业工程	--  	13.500	
603019	中科曙光	2.89	800510656	40.24	39.11	0	199323	-0.11	39.14	40.65	39.14	--  	0.20	3.86	1.13	电脑设备	--  	0.000	
000636	风华高科	4.30	798360896	11.88	11.39	0	677710	0.25	11.36	12.04	11.30	--  	0.18	6.50	0.49	元器件	--  	0.000	
601988	中国银行	1.02	772256576	3.97	3.93	0	1946082	0.25	3.94	3.99	3.93	--  	4.27	1.53	0.04	银行	--  	0.000	
02628	中国人寿	0.20	757423296	24.550	24.500	1000	30818358	0.20	24.350	24.700	24.350	--  	0.00	1.43	0.050	保险	--  	24.550	
000830	鲁西化工	4.67	757060544	15.92	15.21	0	479207	-0.05	15.24	16.11	15.24	--  	1.97	5.72	0.71	农药化肥	--  	0.000	
002456	欧菲科技	2.03	749331392	20.59	20.18	0	365572	-0.04	20.31	20.66	20.30	--  	0.22	1.78	0.41	元器件	--  	0.000	
000066	中国长城	9.95	745075904	7.29	6.63	0	1052701	0.28	6.59	7.29	6.57	--  	0.16	10.86	0.66	电脑设备	--  	-0.000	
600521	华海药业	3.97	683513024	30.12	28.97	0	224009	0.13	30.70	31.87	29.55	--  	0.62	8.01	1.15	化学制药	--  	0.000	
002371	北方华创	6.09	678651968	41.44	39.06	0	167119	0.68	38.71	41.68	38.67	--  	0.06	7.71	2.38	专用机械	--  	-0.000	
01958	北京汽车	2.41	677551488	10.180	9.940	500	65790500	0.59	9.900	10.640	9.800	--  	0.00	8.45	0.240	汽车	--  	10.180	
600584	长电科技	2.84	676355584	21.33	20.74	0	318648	-0.04	20.80	21.46	20.80	--  	0.06	3.18	0.59	半导体	--  	-0.000	
600497	驰宏锌锗	1.28	673203456	7.10	7.01	0	947283	-0.27	7.04	7.23	6.95	--  	0.60	3.99	0.09	铅锌	--  	-0.000	
600487	亨通光电	1.69	656659328	40.42	39.75	0	162957	-0.09	39.82	40.61	39.80	--  	0.25	2.04	0.67	通信设备	--  	-0.000	
601636	旗滨集团	7.22	638555520	6.24	5.82	0	1040190	-0.78	5.88	6.35	5.82	--  	2.58	9.11	0.42	玻璃	--  	-0.000	
000983	西山煤电	0.60	626565568	10.14	10.08	0	619131	0.30	10.12	10.32	9.95	--  	0.11	3.67	0.06	煤炭开采	--  	0.000	
002027	分众传媒	0.28	619420352	14.08	14.04	0	440716	0.00	14.04	14.35	13.91	--  	2.08	3.13	0.04	影视音像	--  	-0.000	
300059	东方财富	0.15	580238016	12.95	12.93	0	449516	0.15	12.89	13.04	12.79	--  	0.26	1.93	0.02	互联网	--  	-0.000	
300115	长盈精密	4.64	579000448	20.07	19.18	0	294852	-0.24	19.12	20.15	19.05	--  	0.78	5.74	0.89	元器件	--  	-0.000	
002405	四维图新	0.08	569776896	26.39	26.37	0	214379	-0.22	26.45	26.85	26.36	--  	0.14	1.86	0.02	软件服务	--  	-0.000	
002241	歌尔股份	3.21	566070656	17.35	16.81	0	328784	0.12	16.94	17.36	16.83	--  	0.42	3.15	0.54	元器件	--  	0.000	
000060	中金岭南	0.81	560485696	11.17	11.08	0	503696	0.18	11.09	11.23	11.01	--  	0.27	1.99	0.09	铅锌	--  	0.000	
300223	北京君正	9.99	546664960	35.44	32.22	0	155998	0.00	32.42	35.44	32.42	--  	0.09	9.37	3.22	半导体	--  	-0.000	
002797	第一创业	1.24	538537152	9.80	9.68	0	553745	0.10	9.65	9.87	9.61	--  	0.26	2.69	0.12	证券	--  	0.000	
600547	山东黄金	0.45	536983488	31.18	31.04	0	172719	0.03	31.04	31.35	30.77	--  	0.32	1.87	0.14	黄金	--  	0.000	
002110	三钢闽光	0.78	521465888	19.34	19.19	0	268631	-0.25	19.24	19.75	19.11	--  	1.04	3.34	0.15	普钢	--  	0.000	
600741	华域汽车	1.75	519680192	29.69	29.18	0	175523	-0.12	29.20	29.77	29.05	--  	3.43	2.47	0.51	汽车配件	--  	0.000	
03333	中国恒大	1.13	514075104	26.950	26.650	1000	19307912	0.94	27.000	27.300	26.400	--  	0.00	3.38	0.300	地产	--  	26.950	
002185	华天科技	2.65	513673344	8.52	8.30	0	606302	0.00	8.30	8.57	8.28	--  	0.30	3.49	0.22	半导体	--  	0.000	
000878	云南铜业	0.21	505572928	14.19	14.16	0	357793	0.14	14.13	14.29	13.96	--  	1.25	2.33	0.03	铜	--  	-0.000	
000717	韶钢松山	0.11	503899520	8.86	8.85	0	572129	0.00	8.82	8.95	8.68	--  	0.39	3.05	0.01	普钢	--  	-0.000	
002244	滨江集团	6.71	500490304	7.95	7.45	0	635780	0.00	7.45	8.10	7.41	--  	0.91	9.26	0.50	区域地产	--  	-0.000	
600970	中材国际	1.96	497727712	9.89	9.70	0	500488	-0.49	9.74	10.05	9.64	--  	0.91	4.23	0.19	建筑施工	--  	0.000	
603501	韦尔股份	5.91	496509056	41.77	39.44	0	119263	-0.18	39.50	42.65	39.27	--  	0.00	8.57	2.33	半导体	--  	0.000	
601233	桐昆股份	3.21	493996704	22.49	21.79	0	220898	0.40	21.90	22.67	21.90	--  	1.22	3.53	0.70	化纤	--  	-0.000	
02823	安硕Ａ５０	0.13	486469312	15.020	15.000	100	32351752	0.00	15.000	15.100	14.980	52672972	0.00	0.80	0.020		3504700	15.020	
002450	康得新	1.37	485322304	22.20	21.90	0	220187	0.45	21.80	22.38	21.74	--  	0.26	2.92	0.30	化工原料	--  	0.000	
600326	西藏天路	2.50	475462912	10.26	10.01	0	464385	0.00	10.00	10.39	9.96	--  	0.61	4.30	0.25	建筑施工	--  	0.000	
02822	南方Ａ５０	0.26	462941728	15.460	15.420	200	29924656	0.00	15.460	15.560	15.440	53075916	0.00	0.78	0.040		3429600	15.460	
01928	金沙中国有限公司	0.12	459213280	40.350	40.300	400	11343944	0.25	40.300	40.900	40.050	--  	0.00	2.11	0.050	酒店及消闲	--  	40.350	
03968	招商银行	1.80	457651136	31.100	30.550	500	14728820	0.00	30.600	31.300	30.600	--  	0.00	2.29	0.550	银行	--  	31.100	
