                  20170324 辉山乳业 (06863)

 时间	    价格	    现量	笔数	

09:19	   2.810	    4000	0	
09:30	   2.770	 1876000	0	S	
09:30	   2.780	  367000	0	B	
09:30	   2.780	    1000	0	B	
09:30	   2.780	   72000	0	B	
09:32	   2.800	 6356000	0	B	
09:37	   2.800	 1185000	0	S	
09:37	   2.800	 1500000	0	B	
09:38	   2.800	 1525000	0	B	
09:38	   2.810	  500000	0	B	
09:40	   2.800	  425000	0	S	
09:40	   2.800	 2343000	0	B	
09:47	   2.810	  141000	0	B	
09:49	   2.810	    1000	0	B	
09:51	   2.800	  100000	0	S	
09:51	   2.800	    1000	0	S	
09:51	   2.800	   25000	0	S	
09:51	   2.800	    1000	0	S	
09:52	   2.800	  200000	0	S	
09:54	   2.800	  300000	0	S	
09:54	   2.800	    3000	0	S	
09:55	   2.800	    6000	0	S	
09:56	   2.800	   12000	0	S	
09:57	   2.800	   70000	0	S	
09:57	   2.800	    2000	0	S	
09:59	   2.810	    1000	0	B	
10:01	   2.800	  130000	0	S	
10:01	   2.800	    7000	0	S	
10:02	   2.800	  300000	0	S	
10:02	   2.800	    5000	0	S	
10:02	   2.800	  220000	0	S	
10:02	   2.800	    5000	0	S	
10:04	   2.800	  300000	0	S	
10:04	   2.800	    5000	0	S	
10:04	   2.800	    3000	0	S	
10:05	   2.800	   10000	0	S	
10:05	   2.800	  128000	0	S	
10:05	   2.800	    3000	0	S	
10:05	   2.800	  152000	0	S	
10:05	   2.800	    4000	0	S	
10:06	   2.800	  200000	0	S	
10:06	   2.800	    1000	0	S	
10:08	   2.800	    1000	0	B	
10:10	   2.790	  675000	0	S	
10:10	   2.790	   28000	0	S	
10:12	   2.790	  300000	0	S	
10:12	   2.790	    6000	0	S	
10:13	   2.800	    1000	0	B	
10:18	   2.790	  100000	0	S	
10:19	   2.790	   10000	0	S	
10:21	   2.790	  328000	0	S	
10:21	   2.790	   14000	0	S	
10:21	   2.800	    1000	0	B	
10:24	   2.800	    1000	0	B	
10:25	   2.790	   72000	0	S	
10:27	   2.800	    1000	0	B	
10:30	   2.800	    1000	0	B	
10:31	   2.800	    1000	0	B	
10:31	   2.800	     350	0	B	
10:31	   2.790	   50000	0	S	
10:31	   2.800	    1000	0	B	
10:36	   2.790	   50000	0	S	
10:36	   2.800	    1000	0	B	
10:37	   2.800	    1000	0	B	
10:37	   2.800	    1000	0	B	
10:38	   2.780	  346000	0	S	
10:38	   2.800	    1000	0	B	
10:38	   2.780	  254000	0	S	
10:38	   2.790	  467000	0	B	
10:39	   2.790	   29000	0	B	
10:39	   2.780	  438000	0	S	
10:39	   2.790	   68000	0	B	
10:39	   2.790	    1000	0	B	
10:39	   2.780	  248000	0	S	
10:39	   2.780	    6000	0	B	
10:40	   2.770	  462000	0	S	
10:40	   2.780	    8000	0	B	
10:40	   2.780	  116000	0	B	
10:40	   2.780	  115000	0	B	
10:41	   2.780	  477000	0	B	
10:41	   2.780	  210000	0	B	
10:41	   2.780	   32000	0	B	
10:41	   2.780	    1000	0	B	
10:41	   2.780	    1000	0	B	
10:41	   2.770	  188000	0	S	
10:41	   2.780	   29000	0	B	
10:42	   2.780	    1000	0	B	
10:42	   2.770	  244000	0	S	
10:42	   2.770	    6000	0	S	
10:42	   2.770	 1000000	0	S	
10:42	   2.780	    1000	0	B	
10:42	   2.780	   10000	0	B	
10:43	   2.770	  156000	0	S	
10:43	   2.770	  400000	0	S	
10:43	   2.780	    1000	0	B	
10:44	   2.770	   10000	0	S	
10:44	   2.770	   13000	0	S	
10:44	   2.770	    1000	0	B	
10:44	   2.770	    1000	0	B	
10:45	   2.770	    1000	0	B	
10:45	   2.760	  200000	0	S	
10:45	   2.770	    1000	0	B	
10:45	   2.760	   10000	0	S	
10:46	   2.760	   34000	0	S	
10:46	   2.770	    1000	0	B	
10:46	   2.760	   33000	0	S	
10:47	   2.760	    1000	0	B	
10:47	   2.750	  160000	0	S	
10:48	   2.760	    1000	0	B	
10:48	   2.760	    1000	0	B	
10:48	   2.750	    7000	0	S	
10:48	   2.750	    1000	0	B	
10:49	   2.750	    1000	0	B	
10:50	   2.750	    1000	0	B	
10:51	   2.750	    1000	0	B	
10:51	   2.730	  200000	0	S	
10:53	   2.750	    1000	0	B	
10:54	   2.750	    1000	0	B	
10:55	   2.730	   40000	0	S	
10:55	   2.750	    1000	0	B	
10:56	   2.720	  200000	0	S	
10:56	   2.730	    1000	0	B	
10:57	   2.730	    1000	0	B	
10:59	   2.730	    1000	0	B	
10:59	   2.720	   68000	0	S	
10:59	   2.720	   38000	0	S	
