代码	名称	涨幅%%	总金额	现价	昨收	每手	总量	涨速%%	今开	最高	最低	抛空额	股息率%%	振幅%%	涨跌	活跃度	买价	按盘价	总资产(万)	
00005	汇丰控股	0.89	2346285824	67.950	67.350	400	34537952	-0.22	67.650	68.200	67.450	--  	2.40	1.11	0.600	   3773	67.950	67.950	237498592.00	
02800	盈富基金	0.60	1913267584	25.300	25.150	500	75673600	0.00	25.200	25.400	25.150	465013632	0.00	0.99	0.150	   1072	--  	25.300	0.00	
02828	恒生Ｈ股	0.39	1560672384	103.100	102.700	200	15085204	-0.19	103.200	104.000	103.000	497431328	0.00	0.97	0.400	   1003	--  	103.100	0.00	
01398	工商银行	0.00	1411940864	5.100	5.100	1000	276304288	0.00	5.120	5.140	5.090	--  	0.00	0.98	0.000	   3133	5.090	5.100	2490493696.00	
00939	建设银行	0.32	1273323136	6.360	6.340	1000	200023584	-0.16	6.370	6.400	6.330	--  	0.00	1.10	0.020	   2769	6.360	6.360	2169520384.00	
00941	中国移动	-0.23	1162714368	85.250	85.450	500	13636600	0.00	85.600	85.600	85.000	--  	1.46	0.70	-0.200	   3635	85.200	85.250	152099392.00	
02628	中国人寿	0.83	1109537408	24.350	24.150	1000	45324340	0.21	24.400	24.750	24.300	--  	0.00	1.86	0.200	   3445	24.300	24.350	280570208.00	
00175	吉利汽车	3.66	1066463744	11.340	10.940	5000	95267320	0.18	11.000	11.400	10.900	--  	1.06	4.57	0.400	   2805	11.320	11.340	6758283.50	
01299	友邦保险	0.36	988289728	55.850	55.650	200	17739704	0.09	56.000	56.100	55.450	--  	1.14	1.17	0.200	   4653	55.800	55.850	18507400.00	
00883	中国海洋石油	1.24	833274176	9.010	8.900	1000	92465128	-0.33	8.980	9.060	8.920	--  	2.55	1.57	0.110	   3272	9.000	9.010	63768100.00	
00001	长和	1.19	790814272	101.900	100.700	500	7770669	0.10	101.000	102.800	100.900	--  	1.91	1.89	1.200	   2049	101.800	101.900	101346496.00	
01336	新华保险	-0.37	744436864	40.550	40.700	100	18373464	-0.37	40.700	41.550	40.500	--  	0.00	2.58	-0.150	   4372	40.550	40.550	71053296.00	
00857	中国石油股份	0.38	589585344	5.310	5.290	2000	110583360	-0.19	5.330	5.380	5.300	--  	0.00	1.51	0.020	   1789	5.310	5.310	238985104.00	
00902	华能国际电力股份	4.32	511923360	5.800	5.560	2000	89369792	0.17	5.570	5.800	5.560	--  	0.00	4.32	0.240	   3442	5.790	5.800	37554268.00	
03968	招商银行	0.99	490857824	20.500	20.300	500	23849660	-0.24	20.550	20.750	20.200	--  	0.00	2.71	0.200	   2226	20.500	20.500	600067392.00	
02328	中国财险	1.74	480681760	12.860	12.640	2000	37317996	-0.31	12.820	12.960	12.720	--  	2.68	1.90	0.220	   1852	12.840	12.860	47594900.00	
02823	Ｘ安硕Ａ５０中国	0.90	470821600	11.160	11.060	100	42304512	-0.18	11.080	11.180	11.060	57337308	0.00	1.08	0.100	   1458	--  	11.160	0.00	
00386	中国石油化工股份	0.48	441711936	6.240	6.210	2000	70552240	-0.16	6.290	6.300	6.220	--  	3.04	1.29	0.030	   2578	6.240	6.240	149860896.00	
02333	长城汽车	1.73	407526112	8.240	8.100	500	49627984	0.49	8.110	8.300	8.050	--  	0.00	3.09	0.140	   3028	8.210	8.240	8983688.00	
00823	领展房产基金	2.05	401925632	57.350	56.200	500	7033421	0.09	56.850	57.600	56.500	65182904	0.00	1.96	1.150	   1796	--  	57.350	0.00	
03333	中国恒大	2.09	383875648	8.310	8.140	1000	46322760	0.00	8.140	8.420	8.110	--  	0.00	3.81	0.170	   2033	8.310	8.310	135086800.00	
02822	南方Ａ５０	0.87	333976064	11.540	11.440	200	29032664	0.00	11.460	11.560	11.440	67740152	0.00	1.05	0.100	    632	--  	11.540	0.00	
01113	长实地产	1.24	305349760	57.200	56.500	500	5365472	0.00	56.800	57.250	56.550	--  	2.01	1.24	0.700	   1235	57.150	57.200	39683600.00	
01288	农业银行	0.00	296032416	3.620	3.620	1000	81634528	-0.28	3.630	3.650	3.600	--  	0.00	1.38	0.000	   1925	3.610	3.620	2032398336.00	
00991	大唐发电	5.81	251666432	2.730	2.580	2000	93991248	0.37	2.590	2.740	2.580	--  	0.00	6.20	0.150	   1802	2.730	2.730	23203878.00	
02888	渣打集团	1.85	214794864	74.150	72.800	50	2894101	-0.40	73.850	74.700	73.700	--  	0.00	1.37	1.350	   2475	74.150	74.150	64669200.00	
01530	三生制药	2.77	202030944	10.380	10.100	500	19698500	0.39	10.200	10.480	10.100	--  	0.00	3.76	0.280	    871	10.360	10.380	1103880.25	
00694	北京首都机场股份	0.52	198273984	11.500	11.440	2000	17342800	0.52	11.440	11.700	11.260	--  	0.99	3.85	0.060	    955	11.480	11.500	3390419.00	
00966	中国太平	1.52	189077216	19.980	19.680	200	9445259	0.20	19.680	20.250	19.660	--  	0.00	3.00	0.300	   2535	19.980	19.980	50540576.00	
01988	民生银行	-0.26	167084336	7.620	7.640	500	21899504	0.40	7.680	7.690	7.570	--  	0.00	1.57	-0.020	   1472	7.600	7.620	595660672.00	
01044	恒安国际	0.43	163276528	58.000	57.750	500	2808170	0.00	57.750	58.450	57.550	--  	2.12	1.56	0.250	   1189	57.950	58.000	3414472.75	
01071	华电国际电力股份	2.67	154389264	3.460	3.370	2000	44914136	0.00	3.380	3.480	3.360	--  	4.39	3.56	0.090	   1421	3.450	3.460	21307572.00	
00267	中信股份	0.88	152237296	11.460	11.360	1000	13340799	0.35	11.280	11.460	11.280	--  	2.01	1.58	0.100	   1293	11.440	11.460	723799488.00	
00551	裕元集团	0.15	152206752	33.000	32.950	500	4561895	0.15	33.300	33.850	32.800	--  	3.03	3.19	0.050	   1773	32.950	33.000	761177.38	
00728	中国电信	0.26	147341136	3.800	3.790	2000	38817052	0.26	3.790	3.820	3.780	--  	2.76	1.06	0.010	   1928	3.790	3.800	65236800.00	
02319	蒙牛乳业	1.90	145846848	14.980	14.700	1000	9789353	0.13	14.700	15.080	14.500	--  	0.67	3.95	0.280	   1459	14.960	14.980	4912442.50	
02338	潍柴动力	4.31	131641576	12.580	12.060	1000	10559288	0.64	12.120	12.720	12.060	--  	0.00	5.47	0.520	   1977	12.480	12.580	17477112.00	
06886	HTSC	1.98	125280336	14.400	14.120	200	8683691	-0.28	14.320	14.580	14.160	--  	3.88	2.97	0.280	   1588	14.380	14.400	40145040.00	
00019	太古股份公司Ａ	0.54	123848024	74.350	73.950	500	1660835	-0.40	74.700	75.100	74.200	--  	1.48	1.22	0.400	    788	74.350	74.350	37349800.00	
00017	新世界发展	1.24	122795952	9.810	9.690	1000	12587962	0.41	9.730	9.810	9.700	--  	1.33	1.14	0.120	   1063	9.800	9.810	42038888.00	
06823	香港电讯　ＳＳ	0.50	122207968	10.020	9.970	1000	12237880	0.40	10.000	10.040	9.950	1599240	3.47	0.90	0.050	   1734	--  	10.020	9336600.00	
01093	石药集团	-0.88	117647080	11.220	11.320	2000	10449973	0.00	11.320	11.400	11.140	--  	1.07	2.30	-0.100	   1266	11.220	11.220	1476018.63	
03898	中车时代电气一百	-2.16	116238160	40.800	41.700	100	2822320	0.37	41.600	41.850	40.650	--  	0.00	2.88	-0.900	   1323	40.750	40.800	2392899.00	
00425	敏实集团	1.32	115559040	30.750	30.350	2000	3758322	0.00	30.550	31.200	30.400	--  	2.21	2.64	0.400	    503	30.700	30.750	1505071.25	
00003	香港中华煤气	0.26	115291944	15.700	15.660	1000	7336815	-0.25	15.700	15.760	15.660	--  	1.46	0.64	0.040	    971	15.700	15.700	11674340.00	
01194	麦盛资本	26.40	113863472	0.158	0.125	2000	783948032	0.64	0.132	0.159	0.129	848212	0.00	24.00	0.033	   2546	--  	0.158	1349319.50	
02607	上海医药	0.47	100395976	21.400	21.300	100	4690600	0.23	21.300	21.600	21.150	--  	0.00	2.11	0.100	   1807	21.300	21.400	8886877.00	
