代码	名称	涨幅%%	总金额	现价	昨收	每手	总量	涨速%%	今开	最高	最低	抛空额	股息率%%	振幅%%	涨跌	活跃度	买价	按盘价	总资产(万)	
002236	大华股份	-5.61	1254922240	16.99	18.00	0	733440	0.00	17.88	18.03	16.76	--  	0.00	7.06	-1.01	   4020	16.99	-0.000	1488720.25	
03669	永达汽车	-8.47	1122646016	6.590	7.200	500	170136272	0.00	6.700	6.820	6.570	16801546	2.88	3.47	-0.610	   4431	--  	6.590	2037512.50	
00981	中芯国际	-8.01	821014528	8.380	9.110	500	95820176	-0.12	9.040	9.040	8.350	--  	0.00	7.57	-0.730	   5499	8.380	8.380	1011527.81	
002699	美盛文化	-9.99	527438112	25.86	28.73	0	203324	0.00	25.86	26.76	25.86	--  	0.00	3.13	-2.87	   2937	--  	0.000	370714.69	
00004	九龙仓集团	-1.57	410829440	65.950	67.000	1000	6225307	-0.15	66.550	66.800	65.450	--  	2.38	2.01	-1.050	   1059	65.900	65.950	44382700.00	
300115	长盈精密	-6.68	387458592	26.70	28.61	0	140006	0.00	28.62	28.85	26.53	--  	0.00	8.11	-1.91	   2712	26.70	0.000	782236.94	
002174	游族网络	-9.82	354197856	24.98	27.70	0	137181	0.04	27.52	27.52	24.93	--  	0.00	9.35	-2.72	   3279	24.98	-0.000	543354.81	
600365	通葡股份	7.47	334800288	10.64	9.90	0	324911	-0.18	9.91	10.89	9.10	--  	0.00	18.08	0.74	   2586	10.64	0.000	95905.74	
002354	天神娱乐	-4.93	314808992	21.80	22.93	0	141711	-0.32	22.80	23.27	21.51	--  	0.00	7.68	-1.13	   3250	21.79	-0.000	1274960.13	
300450	先导智能	-4.35	274674848	40.45	42.29	0	66427	-0.12	42.50	42.65	40.29	--  	0.00	5.58	-1.84	   2586	40.45	0.000	257758.17	
002364	中恒电气	-8.78	254441968	15.37	16.85	0	163679	0.52	16.80	16.85	15.17	--  	0.00	9.97	-1.48	   2236	15.37	-0.000	262402.66	
603997	继峰股份	0.43	234069104	25.83	25.72	0	90988	0.15	25.74	25.91	25.59	--  	0.00	1.24	0.11	   2087	25.83	-0.000	195153.50	
01112	合生元	-12.70	232937328	21.650	24.800	500	10747300	-0.23	24.700	25.000	20.600	--  	0.00	17.74	-3.150	   1576	21.600	21.650	1420514.25	
000635	英 力 特	-9.98	230933072	22.47	24.96	0	99549	0.04	24.96	25.00	22.46	--  	0.00	10.18	-2.49	   1201	--  	-0.000	338351.63	
